OBJECTID,HL_DATE,HL_TYPE,SHAPEAREA,SHAPELEN
1524,2019/10/16 00:00:00+00,4,38578.0306296875,1555.44951754573
1525,2022/04/05 00:00:00+00,4,202341.132647656,2118.02596715291
1526,2022/04/05 00:00:00+00,1,4107.02218046875,297.05146663532
1527,2022/04/05 00:00:00+00,4,181249.675078125,3256.61191985443
1528,2022/04/05 00:00:00+00,4,75880.4384054688,2942.36468240026
1529,2000/03/31 00:00:00+00,1,4242.07511875,511.348100354614
1530,2017/07/14 00:00:00+00,4,9308.1611875,488.649638937856
1531,2022/04/05 00:00:00+00,1,267659.278782031,3599.6101223131
1532,2019/10/16 00:00:00+00,1,10627.0504671875,426.412569413921
1533,2019/10/16 00:00:00+00,3,5012.0377859375,442.421801333707
1534,2022/04/05 00:00:00+00,3,13462.2136023438,1289.26063676078
1535,2022/04/05 00:00:00+00,1,2562973.34781562,7440.04560196558
1536,2022/04/05 00:00:00+00,1,19109.8164789063,794.845533514283
1537,2022/04/05 00:00:00+00,4,3548.87283203125,376.890053905581
1538,2022/04/05 00:00:00+00,4,2415.909078125,403.409938612909
1539,2022/04/05 00:00:00+00,4,3360.140771875,324.175950037982
1540,2022/04/05 00:00:00+00,4,281.7087,77.1831868545792
1541,2022/04/05 00:00:00+00,4,7402.62109296875,922.009952570595
1542,2022/04/05 00:00:00+00,3,2177.73415859375,516.023078688451
1543,2000/03/31 00:00:00+00,1,1741.33895,150.140418855852
1544,2000/03/31 00:00:00+00,1,25374.6675375,897.567087697873
1545,2000/03/31 00:00:00+00,1,4027.23918046875,237.946860923868
1546,2000/03/31 00:00:00+00,1,5183.8026375,312.964322408314
1547,2000/03/31 00:00:00+00,1,8120.78581875,380.820653149896
1548,2000/03/31 00:00:00+00,1,5272.814025,309.103441377372
1549,2000/03/31 00:00:00+00,4,436225.645294531,3573.70358391755
1550,2000/03/31 00:00:00+00,4,59525.80024375,2734.37075854124
1551,2012/04/06 00:00:00+00,1,10291.6303710937,496.706523285181
1552,2017/07/14 00:00:00+00,4,1472.16419375,216.521090777913
1553,2017/07/14 00:00:00+00,4,882.15489375,114.784469014419
1554,2017/07/14 00:00:00+00,4,105926.361260938,2385.75293733932
1555,2019/10/16 00:00:00+00,1,82679.2689890625,1783.57207754981
1556,2019/10/16 00:00:00+00,1,22181.7868476563,671.657459540532
1557,2019/10/16 00:00:00+00,1,63195.8352820313,1353.37297651088
1558,2022/04/05 00:00:00+00,1,126203.489504688,1306.62260652087
1559,2019/10/16 00:00:00+00,4,81743.2930992188,2508.80468695743
1560,2019/10/16 00:00:00+00,4,79458.2926046875,1307.59537021222
1561,2022/04/05 00:00:00+00,3,423.64100859375,127.896195346274
1562,2022/04/05 00:00:00+00,1,24119.7808039063,839.031638643083
1563,2022/04/05 00:00:00+00,3,9275.39770078125,1227.43917361655
1564,2022/04/05 00:00:00+00,4,16502.6768125,881.852642288945
1565,2022/04/05 00:00:00+00,3,34051.5589757812,1511.50497751497
