word,quantity,frequency
doll,63,0.0005
men,6,0.0
hoop,9,0.0001
pie,30,0.0002
cheek,6,0.0
share,3,0.0
Mary,6,0.0
noise,48,0.0004
stack,9,0.0001
line,3,0.0
six,57,0.0005
pound,3,0.0
draw,372,0.0031
carpet,6,0.0
peach,6,0.0
van,51,0.0004
rat,12,0.0001
nut,24,0.0002
bee,24,0.0002
neigh,21,0.0002
dead,6,0.0
kick,42,0.0003
dust,12,0.0001
sack,6,0.0
pay,6,0.0
bump,60,0.0005
greenie,3,0.0
Toby,111,0.0009
knick,12,0.0001
wave,21,0.0002
choochoo,6,0.0
whoo,15,0.0001
smoke,30,0.0002
coal,9,0.0001
ticket,6,0.0
need,21,0.0002
Worzel,6,0.0
knock,15,0.0001
monster,9,0.0001
polish,3,0.0
rock,15,0.0001
Ted,24,0.0002
Percy,348,0.0029
keeper,3,0.0
string,3,0.0
hen,6,0.0
plate,3,0.0
porridge,3,0.0
hammer,9,0.0001
armband,6,0.0
under,135,0.0011
jungle,3,0.0
song,9,0.0001
peek,3,0.0
Pingu,96,0.0008
Ian,15,0.0001
cross,33,0.0003
paint,234,0.0019
party,9,0.0001
birthday,9,0.0001
sad,15,0.0001
Bert,48,0.0004
stair,33,0.0003
phone,72,0.0006
aeroplane,21,0.0002
nana,327,0.0027
moon,33,0.0003
star,102,0.0008
grr,33,0.0003
Symber,24,0.0002
peep,87,0.0007
picture,42,0.0003
Thomas_Engine,3,0.0
bounce,9,0.0001
bouncy,12,0.0001
gribbet,18,0.0001
Spot,63,0.0005
spout,15,0.0001
fee,3,0.0
nee,219,0.0018
dig,6,0.0
fast,30,0.0002
burny,3,0.0
noisy,6,0.0
shape,9,0.0001
Zita,168,0.0014
screwdriver,3,0.0
fix,33,0.0003
tv,3,0.0
tortoise,30,0.0002
flower,21,0.0002
ugh,3,0.0
ooo,6,0.0
clock,33,0.0003
Wayne,9,0.0001
Gordon,201,0.0017
Henry,63,0.0005
straw,3,0.0
fox,3,0.0
ambulance,9,0.0001
with,48,0.0004
tap,3,0.0
build,63,0.0005
Dad,27,0.0002
side,15,0.0001
eh,21,0.0002
grrr,15,0.0001
croc,21,0.0002
rid,12,0.0001
fell,3,0.0
tight,9,0.0001
circus,3,0.0
castle,15,0.0001
poor,21,0.0002
pa,3,0.0
bad,6,0.0
handle,6,0.0
everybody,3,0.0
poorly,6,0.0
Amy,27,0.0002
rainbow,3,0.0
four,108,0.0009
eight,39,0.0003
ten,33,0.0003
lemon,24,0.0002
cheer,6,0.0
only,3,0.0
beep,90,0.0007
Charles,3,0.0
bat,6,0.0
jumper,15,0.0001
Thom,9,0.0001
ribbet,21,0.0002
froggie,9,0.0001
shin,3,0.0
ouch,57,0.0005
end,12,0.0001
already,3,0.0
Tiggie,15,0.0001
Pooh,63,0.0005
Piglet,6,0.0
Eeyore,6,0.0
Kanga,6,0.0
Roo,6,0.0
Anna,84,0.0007
oo,54,0.0004
squeak,15,0.0001
plane,99,0.0008
tennis,6,0.0
air,21,0.0002
nanas,24,0.0002
kite,18,0.0001
Berthorse,9,0.0001
huh,267,0.0022
hungry,12,0.0001
very,6,0.0
thirsty,3,0.0
thank,33,0.0003
smile,3,0.0
rocket,6,0.0
Fat_Controller,21,0.0002
Clara,12,0.0001
Th,3,0.0
sea,6,0.0
poop,3,0.0
Pat,72,0.0006
Jess,15,0.0001
Goggins,6,0.0
Edward,108,0.0009
woof,9,0.0001
its,3,0.0
achoo,18,0.0001
digger,138,0.0011
sweet,27,0.0002
king,6,0.0
white,102,0.0008
c,9,0.0001
Berton,3,0.0
into,3,0.0
Bertthe,3,0.0
Jane,3,0.0
cluck,12,0.0001
butterfly,9,0.0001
bumble,6,0.0
Mickey_Mouse,3,0.0
Granny,6,0.0
sticky,6,0.0
color,78,0.0006
engine,9,0.0001
Thomas_the_Tank,15,0.0001
track,36,0.0003
Thomas_Tank,30,0.0002
cockpit,3,0.0
as_well,33,0.0003
number,27,0.0002
upset,3,0.0
Tank,105,0.0009
fireman,3,0.0
The_Tank,6,0.0
Thomas_and_the_Tank,3,0.0
booby,3,0.0
out_of,3,0.0
ladder,54,0.0004
mane,3,0.0
Daddys,6,0.0
stay,3,0.0
Postman_Pat,9,0.0001
knickers,15,0.0001
ding,12,0.0001
knee,75,0.0006
sunshine,3,0.0
through,3,0.0
squirrel,9,0.0001
D,21,0.0002
snowman,69,0.0006
whistle,3,0.0
neeow,3,0.0
hard,9,0.0001
yours,12,0.0001
then,18,0.0001
purple,24,0.0002
plant,6,0.0
hill,15,0.0001
black,48,0.0004
Diesel,18,0.0001
day,3,0.0
puff,3,0.0
Thomas_the_Tank_Engine,18,0.0001
Thomas_Tank_Engine,3,0.0
same,6,0.0
matter,30,0.0002
backwards,3,0.0
call,6,0.0
station,15,0.0001
owl,9,0.0001
twit,6,0.0
lollipop,15,0.0001
slow,3,0.0
empty,12,0.0001
beak,12,0.0001
somewhere,6,0.0
garage,12,0.0001
Paddington_Bear,3,0.0
aerial,3,0.0
much,6,0.0
person,3,0.0
Dominic,33,0.0003
bake,3,0.0
together,18,0.0001
doughnut,6,0.0
crane,9,0.0001
dish,9,0.0001
burger,33,0.0003
cheeseburger,6,0.0
uhhuh,3,0.0
large,9,0.0001
small,18,0.0001
chalk,12,0.0001
puzzle,6,0.0
o,3,0.0
v,6,0.0
y,9,0.0001
r,12,0.0001
x,3,0.0
brown,6,0.0
dolphin,21,0.0002
block,6,0.0
Ribena,15,0.0001
goat,18,0.0001
beef,3,0.0
bun,12,0.0001
skittle,3,0.0
papa,3,0.0
h,3,0.0
k,3,0.0
l,3,0.0
f,6,0.0
s,9,0.0001
stage,3,0.0
darling,3,0.0
motorbike,6,0.0
radio,6,0.0
Frank,6,0.0
roll,3,0.0
lamb,6,0.0
apart,6,0.0
tanker,9,0.0001
or,6,0.0
instead,12,0.0001
glue,9,0.0001
fetch,3,0.0
radish,9,0.0001
Andy,24,0.0002
milkman,3,0.0
nothing,9,0.0001
how,6,0.0
rhino,9,0.0001
tiny,15,0.0001
rolly_pollies,3,0.0
Gail,9,0.0001
Little_Miss_Magic,3,0.0
trick,3,0.0
Abra_ca_dabra_cottage,3,0.0
sleeve,3,0.0
Olwin,9,0.0001
candle,6,0.0
thirty,3,0.0
thirteen,3,0.0
Kathy,6,0.0
