admin_date,dose,last_7days,LOADED,rolling_count,ObjectId
2021/07/10 04:00:00+00,1,3645,2022/10/10 10:04:00+00,460965,235
2021/03/06 05:00:00+00,3,48,2022/10/10 10:04:00+00,272,236
2022/07/02 04:00:00+00,5,14,2022/10/10 10:04:00+00,322,237
2021/10/23 04:00:00+00,5,4,2022/10/10 10:04:00+00,38,238
2022/09/24 04:00:00+00,1,1282,2022/10/10 10:04:00+00,680321,239
2022/01/22 05:00:00+00,2,2210,2022/10/10 10:04:00+00,497643,240
2022/04/23 04:00:00+00,1,895,2022/10/10 10:04:00+00,657720,241
2021/07/10 04:00:00+00,2,4014,2022/10/10 10:04:00+00,391842,242
2021/03/13 05:00:00+00,1,32209,2022/10/10 10:04:00+00,198312,243
2022/07/09 04:00:00+00,1,1071,2022/10/10 10:04:00+00,668372,244
2021/10/30 04:00:00+00,1,6056,2022/10/10 10:04:00+00,559718,245
2022/09/24 04:00:00+00,2,1382,2022/10/10 10:04:00+00,535623,246
2022/01/22 05:00:00+00,3,6052,2022/10/10 10:04:00+00,195216,247
2022/04/23 04:00:00+00,2,1075,2022/10/10 10:04:00+00,515430,248
2021/07/10 04:00:00+00,3,30,2022/10/10 10:04:00+00,995,249
2021/03/13 05:00:00+00,2,13035,2022/10/10 10:04:00+00,111159,250
2022/07/09 04:00:00+00,2,516,2022/10/10 10:04:00+00,524552,251
2021/10/30 04:00:00+00,2,2695,2022/10/10 10:04:00+00,461374,252
2022/09/24 04:00:00+00,3,1792,2022/10/10 10:04:00+00,236788,253
2022/01/22 05:00:00+00,4,70,2022/10/10 10:04:00+00,974,254
2022/04/23 04:00:00+00,3,1136,2022/10/10 10:04:00+00,216776,255
2021/07/17 04:00:00+00,1,4627,2022/10/10 10:04:00+00,465592,256
2021/03/13 05:00:00+00,3,38,2022/10/10 10:04:00+00,310,257
2022/07/09 04:00:00+00,3,649,2022/10/10 10:04:00+00,226628,258
2021/10/30 04:00:00+00,3,11276,2022/10/10 10:04:00+00,67157,259
2022/09/24 04:00:00+00,4,3817,2022/10/10 10:04:00+00,58754,260
2022/01/29 05:00:00+00,1,2832,2022/10/10 10:04:00+00,643314,261
2022/04/23 04:00:00+00,4,3698,2022/10/10 10:04:00+00,16295,262
2021/07/17 04:00:00+00,2,3376,2022/10/10 10:04:00+00,395218,263
2021/03/13 05:00:00+00,4,6,2022/10/10 10:04:00+00,29,264
2022/07/09 04:00:00+00,4,1101,2022/10/10 10:04:00+00,39691,265
2021/10/30 04:00:00+00,4,40,2022/10/10 10:04:00+00,391,266
2022/09/24 04:00:00+00,5,3647,2022/10/10 10:04:00+00,7493,267
2022/01/29 05:00:00+00,2,2404,2022/10/10 10:04:00+00,500047,268
2022/04/23 04:00:00+00,5,18,2022/10/10 10:04:00+00,187,269
