OBJECTID,TYPE,QUPOLY_CD,QUATGEOL,SHAPE_Length,SHAPE_Area
188,head,Clf-p,Glacial Lake Connecticut Submerged Lacustrine Fan Deposits Proximal Facies,1445.5875007948,124889.952939619
189,head,Clf-p,Glacial Lake Connecticut Submerged Lacustrine Fan Deposits Proximal Facies,1639.22922461127,104174.014065522
190,head,Clf-p,Glacial Lake Connecticut Submerged Lacustrine Fan Deposits Proximal Facies,2431.71379939816,463412.546523375
191,tail,Clf-d,Glacial Lake Connecticut Submerged Lacustrine Fan Deposits Distal Facies,3484.99661429738,748242.397640103
192,head,Clf-p,Glacial Lake Connecticut Submerged Lacustrine Fan Deposits Proximal Facies,14396.1266563227,7798578.80221165
193,head,Clf-p,Glacial Lake Connecticut Submerged Lacustrine Fan Deposits Proximal Facies,3347.71263418559,876487.505537405
194,head,Clf-p,Glacial Lake Connecticut Submerged Lacustrine Fan Deposits Proximal Facies,6360.13765607429,2705595.60652191
195,tail,Clf-d,Glacial Lake Connecticut Submerged Lacustrine Fan Deposits Distal Facies,7868.8490237221,3654922.47412768
196,tail,Clf-d,Glacial Lake Connecticut Submerged Lacustrine Fan Deposits Distal Facies,23345.8721244373,12132511.6555398
197,tail,Clf-d,Glacial Lake Connecticut Submerged Lacustrine Fan Deposits Distal Facies,7376.88020721846,1505263.93288558
198,tail,Clf-d,Glacial Lake Connecticut Submerged Lacustrine Fan Deposits Distal Facies,13749.2165967207,6161735.41167153
199,tail,Clf-d,Glacial Lake Connecticut Submerged Lacustrine Fan Deposits Distal Facies,46527.3659890089,106239236.344317
200,tail,Clf-d,Glacial Lake Connecticut Submerged Lacustrine Fan Deposits Distal Facies,27990.9698779817,42451973.8252456
201,head,Clf-p,Glacial Lake Connecticut Submerged Lacustrine Fan Deposits Proximal Facies,3972.40571788577,1241385.59517371
202,tail,Clf-d,Glacial Lake Connecticut Submerged Lacustrine Fan Deposits Distal Facies,2726.70993200611,514736.090170247
