OBJECTID,NLCS_NAME,CASEFILE_NO,ADMIN_ST,ROD_DATE,GlobalID,created_date,last_edited_date,NLCS_ID,Shape_Length,Shape_Area
3696,Black Ridge Canyons ,CO_070_113,CO,1993/01/01 00:00:00+00,{115AA645-8CFE-4869-B448-0B8E76515F04},2016/07/12 20:30:58+00,2017/03/21 13:17:46+00,NLCS000342,7925.28903980083,510320.996246443
3724,Dominguez,CO-070-150,CO,1993/01/01 00:00:00+00,{B32F04A6-EAF0-4AEE-AA05-BF547023A0B2},2016/09/19 15:31:23+00,2017/03/20 20:29:24+00,NLCS000355,165140.693544382,12313027.4360384
4199,Dolores River Canyon,CO-030-290,CO,1993/01/01 00:00:00+00,{E01AF6D4-8305-415B-82A7-21C9314739B7},2016/09/26 21:10:01+00,2017/02/22 17:56:04+00,NLCS000354,6788.13068517178,1005751.54958229
4200,McKenna Peak,UNK,CO,1993/01/01 00:00:00+00,{B0B12089-21EC-4472-874B-73480E15F7E2},2018/02/23 23:22:43+00,2018/02/23 23:26:13+00,NLCS000364,72681.4619265431,83821506.7060716
4202,Bull Canyon,CO-010-001,CO,1993/01/01 00:00:00+00,{E99F6E1E-943B-41B5-86C9-C84F435BB250},2019/05/20 22:02:56+00,2019/06/03 16:04:38+00,NLCS000344,51794.1046625903,51999151.1796211
4203,Upper Grape Creek,CO-050-017,CO,1993/01/01 00:00:00+00,{555F0AD5-4680-41F9-8592-F1C6C3890708},2019/05/21 13:53:11+00,2019/05/21 13:53:11+00,NLCS000383,5743.0103772229,1534723.95860228
4204,Menefee Mountain,CO-030-251,CO,1993/01/01 00:00:00+00,{59CEA8E3-A5CF-4D61-BCBE-A17A5BBCDFF4},2019/05/17 21:33:14+00,2019/05/17 21:33:14+00,NLCS000365,1606.58029656962,161299.602169126
4205,Menefee Mountain,CO-030-251,CO,1993/01/01 00:00:00+00,{D8BA5AF3-0159-4EE6-A360-8E74A3479780},2019/05/17 21:39:14+00,2019/05/17 21:39:14+00,NLCS000365,2428.23493477759,324818.052100597
4206,Beaver Creek,CO-050-016,CO,1993/01/01 00:00:00+00,{3701D026-63FB-4CCC-9134-FF6385A98AEC},2021/08/20 14:26:27+00,2021/08/20 16:47:10+00,NLCS000338,121662.883387454,89136730.501884
4207,Beaver Creek,CO-050-016,CO,1993/01/01 00:00:00+00,{3E4CAE88-6970-4D0F-B457-76A57D71C4BF},2021/08/20 16:46:49+00,2021/08/20 16:47:35+00,NLCS000338,20584.6399771157,9900224.91993064
4208,Lower Grape Creek,CO-050-014,CO,1993/01/01 00:00:00+00,{AB9D9925-3B55-4976-85EB-1DB6B7E37E14},2021/08/20 14:22:09+00,2021/08/20 14:22:09+00,NLCS000362,5929.11414665413,2137016.98222872
4209,Beaver Creek,CO-050-016,CO,1993/01/01 00:00:00+00,{39E55E0D-590C-451D-8509-F5BDFB7147CE},2021/08/20 14:35:50+00,2021/08/20 14:35:57+00,NLCS000338,13413.1038223363,3031216.04604866
4210,Beaver Creek,CO-050-016,CO,1993/01/01 00:00:00+00,{B50366A4-D490-4CEF-94D3-F06BA421DA49},2021/08/20 14:34:46+00,2021/08/20 14:34:46+00,NLCS000338,18674.272505447,8831084.9638925
4211,Rare Lizard & Snake Natural Area,CO-ISA-004,CO,1993/01/01 00:00:00+00,{C3B07CE0-0E44-43D0-986B-3A29582044BA},2022/07/07 19:14:12+00,2022/07/07 19:15:17+00,NLCS000373,6151.87661799268,1747588.04555199
