OBJECTID,AREASYMBOL,SPATIALVER,MUSYM,MUKEY,SHAPE_Length,SHAPE_Area
13689,VA059,3,105C,2250557,4700.48966277913,-363428.673297999
13690,VA059,3,39C,2250349,2342.26381085167,-173857.603427481
13691,VA059,3,39D,2250350,12051.9606652144,-962521.668217656
13692,VA059,3,105B,2250556,2721.90099658564,-236700.514328672
13693,VA059,3,39C,2250349,2305.54126714661,-129284.562302351
13694,VA059,3,25B,2250306,6648.6996253572,-758789.322203568
13695,VA059,3,39D,2250350,4344.41974274609,-349575.345272592
13696,VA059,3,105C,2250557,3084.38292786688,-251963.408831877
13697,VA059,3,39C,2250349,9750.95745363692,-1097712.48021958
13698,VA059,3,78B,2250491,1494.35181160888,-73576.6754442883
13699,VA059,3,14B,2250272,1433.36789460834,-74276.6616757207
13700,VA059,3,39E,2250351,2299.76506318071,-256333.420825401
13701,VA059,3,39D,2250350,1990.85521818738,-209431.180685721
13702,VA059,3,105B,2250556,6619.23240782932,-837616.622604109
13703,VA059,3,81C,2250502,1710.71955113897,-114132.077395358
13704,VA059,3,93B,2250537,3246.25404400357,-242816.912783621
13705,VA059,3,39D,2250350,2137.45381170117,-92762.0315689012
13706,VA059,3,25B,2250306,1569.89609597984,-154342.583241778
13707,VA059,3,25C,2250307,4569.01011774526,-440576.971031232
13708,VA059,3,39D,2250350,1532.55902598075,-102690.421823675
13709,VA059,3,78B,2250491,3375.15755928133,-192830.202429198
13710,VA059,3,W,2250944,1094.74664745909,-56987.567443113
13711,VA059,3,39C,2250349,9537.46368046812,-544286.393842433
13712,VA059,3,39C,2250349,2415.75978938728,-182395.860112179
13713,VA059,3,78B,2250491,3855.7780048779,-278764.796683026
13714,VA059,3,105B,2250556,3782.82933240312,-281912.386631872
13715,VA059,3,85C,2250510,1880.91849347704,-130023.90615114
13716,VA059,3,W,2250944,1792.85594699334,-116109.635052251
13717,VA059,3,39B,2250348,1612.22635582409,-148426.261834126
13718,VA059,3,39C,2250349,23145.0347171594,-3392364.36704973
13719,VA059,3,105C,2250557,1931.79542115076,-124163.628955143
13720,VA059,3,39C,2250349,2769.56005515795,-186758.058812323
13721,VA059,3,93B,2250537,1742.58966688629,-117278.902110525
13722,VA059,3,39B,2250348,24307.6263564448,-3426999.70753659
13723,VA059,3,81C,2250502,6829.12224487639,-728984.382830982
13724,VA059,3,39D,2250350,9315.98366497908,-940240.78558666
13725,VA059,3,107B,2250560,1761.25914210682,-125990.460782671
13726,VA059,3,30A,2250319,4777.78208349246,-466148.687424277
13727,VA059,3,39C,2250349,1592.59807648724,-110619.610212806
13728,VA059,3,25C,2250307,1210.7397098813,-92350.8324821905
13729,VA059,3,105D,2250558,1707.56888079475,-95124.5656445678
13730,VA059,3,30A,2250319,2597.43112387868,-130663.309037371
13731,VA059,3,30A,2250319,1463.66102583336,-87766.1608593554
13732,VA059,3,105C,2250557,1076.79171519691,-67597.5590965306
13733,VA059,3,105C,2250557,3159.98813486921,-283090.733616592
13734,VA059,3,75B,2250477,761.994539787416,-37359.8415703648
13735,VA059,3,105D,2250558,1950.98777657784,-147703.650655168
13736,VA059,3,105C,2250557,1100.63067721936,-77537.8017044965
13737,VA059,3,39C,2250349,2585.09986999714,-184740.430581012
