OBJECTID,ZONING_CODE,ZONING_NAME,ZONING_TYPE,GLOBALID,SHAPEAREA,SHAPELEN
127125,R5A,RES MULTI FAMILY,RESIDENTIAL,{5B17FDDB-D137-46D7-8751-E4E4E01544FD},91917.3997171875,3108.36495280397
127130,R4,RES SINGLE FAMILY,RESIDENTIAL,{4CE17712-A326-40E6-B64C-6DA908388E0D},3698574.28679453,16561.3361483443
127131,R6,RES MULTI-FAMILY,RESIDENTIAL,{8360A58E-3209-432A-899E-4016CA28C4C7},610677.452848438,5895.01758258845
127135,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,{8BA83273-7BFF-4C47-A250-CC709903AF25},1013522.89333672,7614.33966698163
127472,OR3,OFFICE/RES,OFFICE,{9EFB2B20-277F-4884-982A-D22ACF04A86C},363190.658790625,2493.30265732142
127473,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,{51B41DCD-DB42-4F0F-8029-102A1AB9AEB2},517545.306000781,5125.03841368038
127474,R4,RES SINGLE FAMILY,RESIDENTIAL,{D1C1CADF-EDD0-4B96-ACA6-C12A3A2AD1A4},718139.650774219,5214.69716827151
127476,M3,INDUSTRIAL,INDUSTRIAL,{93CACBCA-5A39-41CE-993A-96FEC600A787},22883130.5287844,46543.2825184857
127477,M1,INDUSTRIAL,INDUSTRIAL,{5B6CDFB0-A61D-476B-AF77-D24B89594450},878359.381282812,6594.01311605641
127478,R5,RES SINGLE FAMILY,RESIDENTIAL,{AD38DF19-0B00-405D-BC39-73C2C5B468FD},321942.80409375,2421.02468799352
127480,M2,INDUSTRIAL,INDUSTRIAL,{69DDC1A5-E8AA-4614-B943-90228B58B2D4},3040898.9689625,9717.58931644806
127483,R5,RES SINGLE FAMILY,RESIDENTIAL,{7C3C0B31-A61B-4DE8-9807-2D1AC662D4B0},8017732.87188438,19585.9230345177
127485,R7,RES MULTI-FAMILY,RESIDENTIAL,{9C5F1E8F-7846-41C7-B9A5-A4BA8C616B9C},158033.054517969,1900.4638634983
127488,R5B,RES TWO-FAMILY,RESIDENTIAL,{2AFFEF1A-D2B3-4DF9-AFE6-6312947D1958},49326.1529765625,1455.63074671642
128080,R5A,RES MULTI FAMILY,RESIDENTIAL,{34A1F15C-4426-447B-A87C-6CE291AEB10A},510641.281023438,4047.70836000748
128397,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,{3EFE576A-BF3F-4900-91C1-ADC6343ADBD2},3020496.55340547,12242.3111511609
128400,OR3,OFFICE/RES,OFFICE,{9FD6CAC5-116B-416A-BEDC-9DED3E6A3889},1256753.17369219,5792.9660225593
128716,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,{61344DB7-E9C3-40D6-BE3D-FA27C0F5C1A4},318227.745507813,3200.35631375746
129042,OR1,OFFICE/RES,OFFICE,{423F0860-CB67-44B0-A066-98F639B91C91},25906.2805304688,683.833136648864
129043,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,{202087EB-B13F-4037-A994-110681FB9C89},83249.1386234375,1339.42404953126
129052,R5A,RES MULTI-FAMILY,RESIDENTIAL,{081F1634-D90A-4DCA-863E-F9F66CC16AAD},73646.5182796875,1307.4135667327
129053,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,{E55D8C45-F7E9-48BC-8DE2-6E7FF174D21B},122073.38364375,1404.46207642075
129054,(W3),WATERFRONT OVERLAY,SPECIAL,{D59E411E-ED46-43F4-BD2E-68E8A4C20FB4},9660139.4208875,26146.8748890676
129064,R6,RES MULTI-FAMILY,RESIDENTIAL,{BC68A2C0-971E-4235-842F-94A7F597F15A},815846.206349219,4951.84562110396
129525,OR3,OFFICE/RES,OFFICE,{CFF57AE0-310D-49F5-AC11-1FCB29777E90},81590.8528914063,1232.24570368215
129531,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,{886F7664-C572-445B-8A5D-B41A4BE5AC69},573430.034489844,3611.55531802731
129539,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,{CECA681D-05E1-4052-AEBE-9965A37AF517},70698.4779015625,1245.6860554389
129540,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,{B305BF76-87E4-44B7-9ABA-7E77F9455893},454256.481363281,3172.87626788058
129677,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,{78FC0BA7-1F1A-43CB-A801-4903106B3810},13015.1264445313,556.177868692495
129678,R6,RES MULTI-FAMILY,RESIDENTIAL,{8C5EC4EF-FC9E-4091-8C62-5E9B31CB5306},102730.827907031,1392.855323967
129679,R5B,RES TWO-FAMILY,RESIDENTIAL,{B00EACF8-8350-401D-B9B9-1E7CE6383A1A},10113.2331125,458.870685796176
129680,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,{50F98610-2D98-48D3-956C-1094197C56C2},14602.6279554687,571.113182819296
