business_id,date,score,description,type,ObjectId
32112,20180814,96,,ROUTINE,89
32877,20211119,98,,FOLLOWUP,90
33158,20181108,0,,FOLLOWUP,91
32579,20210713,95,,ROUTINE,92
32724,20211129,97,,ROUTINE,93
33088,20200226,100,,ROUTINE,94
32534,20201029,96,,ROUTINE,95
32112,20190411,98,,ROUTINE,96
33158,20181109,0,,FOLLOWUP,97
32579,20220202,94,,ROUTINE,98
32905,20230221,96,,ROUTINE,99
32727,20220831,97,,ROUTINE,100
33088,20200721,99,,ROUTINE,101
33158,20181111,0,,FOLLOWUP,102
32534,20210902,95,,ROUTINE,103
32112,20191120,99,,ROUTINE,104
32579,20220804,96,,ROUTINE,105
32905,20190103,100,,ROUTINE,106
32727,20230306,98,,ROUTINE,107
33088,20210421,100,,ROUTINE,108
33158,20190618,93,,ROUTINE,109
32534,20220322,94,,ROUTINE,110
32604,20221018,100,,ROUTINE,111
32112,20211022,87,,ROUTINE,112
32905,20190612,99,,ROUTINE,113
32727,20230720,98,,ROUTINE,114
33088,20211102,99,,ROUTINE,115
33158,20200107,93,,ROUTINE,116
32535,20221021,97,,ROUTINE,117
32604,20230410,99,,ROUTINE,118
32604,20180924,100,,ROUTINE,119
32604,20190425,100,,ROUTINE,120
32604,20191126,100,,ROUTINE,121
32604,20200716,100,,ROUTINE,122
32604,20210309,100,,ROUTINE,123
32604,20220420,100,,ROUTINE,124
32604,20211020,99,,ROUTINE,125
32609,20220705,95,,ROUTINE,126
32609,20221213,96,,ROUTINE,127
32609,20230522,95,,ROUTINE,128
32609,20180814,93,,ROUTINE,129
32609,20190228,95,,ROUTINE,130
32609,20190910,91,,ROUTINE,131
32609,20190724,0,,COMPLAINT,132
32609,20201026,88,,ROUTINE,133
32609,20201102,98,,FOLLOWUP,134
32609,20200221,93,,ROUTINE,135
32609,20210609,91,,ROUTINE,136
32609,20211230,95,,ROUTINE,137
32613,20220502,97,,ROUTINE,138
32613,20230426,95,,ROUTINE,139
32613,20221028,99,,ROUTINE,140
32613,20181019,94,,ROUTINE,141
32613,20190510,100,,ROUTINE,142
32613,20191217,98,,ROUTINE,143
32613,20200818,99,,ROUTINE,144
32613,20210402,96,,ROUTINE,145
32613,20211021,98,,ROUTINE,146
32659,20220929,98,,ROUTINE,147
32659,20230324,95,,ROUTINE,148
32659,20190328,93,,ROUTINE,149
32659,20200220,97,,ROUTINE,150
33092,20230220,93,,ROUTINE,151
32905,20191213,100,,ROUTINE,152
32112,20211022,0,,COMPLAINT,153
32727,20181206,99,,ROUTINE,154
33158,20210909,95,,FOLLOWUP,155
33092,20181211,99,,ROUTINE,156
32535,20230427,97,,ROUTINE,157
32905,20210607,99,,ROUTINE,158
32112,20211029,0,,FOLLOWUP,159
32727,20190416,0,,COMPLAINT,160
33158,20210831,77,,ROUTINE,161
33092,20190724,98,,ROUTINE,162
32535,20190214,96,,ROUTINE,163
32905,20220125,99,,ROUTINE,164
32112,20211029,99,,FOLLOWUP,165
32727,20190904,94,,ROUTINE,166
33158,20220307,92,,ROUTINE,167
33092,20191216,97,,ROUTINE,168
32535,20191010,95,,ROUTINE,169
32905,20220824,98,,ROUTINE,170
32112,20220524,96,,ROUTINE,171
32727,20200312,94,,ROUTINE,172
33158,20220831,88,,ROUTINE,173
33092,20210823,100,,ROUTINE,174
32535,20220414,97,,ROUTINE,175
32910,20220616,96,,ROUTINE,176
32114,20221201,93,,ROUTINE,177
32727,20220121,97,,ROUTINE,178
33164,20221202,96,,ROUTINE,179
33092,20220824,96,,ROUTINE,180
32536,20220805,99,,ROUTINE,181
32910,20221229,95,,ROUTINE,182
32114,20230531,93,,ROUTINE,183
32733,20220822,92,,ROUTINE,184
33164,20230712,95,,ROUTINE,185
33099,20220707,98,,ROUTINE,186
32536,20230119,98,,ROUTINE,187
32910,20230728,95,,ROUTINE,188
