Geo_FIPS,StateFIPS,CountyFIPS,TractFIPS,BlockgroupFIPS,TotalPopEst2015_19ACS,YearOfStartDate,UnderAge1PopEst2015_19ACS,Age0to17PopEst2015_19ACS,Unique0to17WithED_Visit,Unique0to17WithED_VisitPer100,NumberED_VisitsAge0to17,ED_VisitsPer100Age0to17,NumberLowAcuityED_VisitsAge0to17,LowAcuityED_VisitsPer100Age0to17,NumberAsthmaRelatedED_Visits,AsthmaRelatedED_VisitsPer100Age0to17,NumberED_VisitsByChildrenUnder1YearOld,NumberOfInjuryRelatedVisits,InjuryRelatedEDVisitsPer100Age0to17,NumberAcuteRespiratoryTractInfectionRelatedED_VisitsAge0to17,AcuteRespiratoryTractInfectionRelatedED_VisitsPer100Age0to17
420031404002,42,3,140400,2,609,2019.0,8.8,140,21.0,15.0,30.0,21.4,17.0,12.1,1.0,0.7,1.0,,0.0,3.0,2.1
420031404003,42,3,140400,3,911,2016.0,14.6,189,26.0,13.8,27.0,14.3,15.0,7.9,4.0,2.1,2.0,,0.0,,0.0
420031404003,42,3,140400,3,911,2017.0,14.6,189,22.0,11.6,27.0,14.3,10.0,5.3,4.0,2.1,4.0,,0.0,1.0,0.5
420031404003,42,3,140400,3,911,2018.0,14.6,189,27.0,14.3,32.0,16.9,14.0,7.4,5.0,2.6,2.0,,0.0,1.0,0.5
420031404003,42,3,140400,3,911,2019.0,14.6,189,30.0,15.9,39.0,20.6,21.0,11.1,4.0,2.1,2.0,1.0,0.5,2.0,1.1
420031405001,42,3,140500,1,589,2016.0,4.2,61,42.0,68.9,58.0,95.1,18.0,29.5,10.0,16.4,7.0,1.0,1.6,7.0,11.5
420031405001,42,3,140500,1,589,2017.0,4.2,61,39.0,63.9,59.0,96.7,18.0,29.5,6.0,9.8,6.0,1.0,1.6,12.0,19.7
420031405001,42,3,140500,1,589,2018.0,4.2,61,27.0,44.3,34.0,55.7,18.0,29.5,2.0,3.3,1.0,,0.0,6.0,9.8
420031405001,42,3,140500,1,589,2019.0,4.2,61,24.0,39.3,30.0,49.2,18.0,29.5,3.0,4.9,5.0,1.0,1.6,3.0,4.9
420031405002,42,3,140500,2,407,2016.0,0.0,35,21.0,60.0,28.0,80.0,12.0,34.3,6.0,17.1,2.0,,0.0,2.0,5.7
420031405002,42,3,140500,2,407,2017.0,0.0,35,23.0,65.7,28.0,80.0,8.0,22.9,8.0,22.9,4.0,,0.0,4.0,11.4
420031405002,42,3,140500,2,407,2018.0,0.0,35,25.0,71.4,42.0,120.0,26.0,74.3,6.0,17.1,11.0,,0.0,9.0,25.7
420031405002,42,3,140500,2,407,2019.0,0.0,35,19.0,54.3,38.0,108.6,21.0,60.0,10.0,28.6,13.0,,0.0,12.0,34.3
420031405003,42,3,140500,3,919,2016.0,2.8,149,16.0,10.7,21.0,14.1,12.0,8.1,5.0,3.4,3.0,,0.0,,0.0
420031405003,42,3,140500,3,919,2017.0,2.8,149,14.0,9.4,16.0,10.7,5.0,3.4,7.0,4.7,3.0,,0.0,2.0,1.3
420031405003,42,3,140500,3,919,2018.0,2.8,149,11.0,7.4,17.0,11.4,8.0,5.4,5.0,3.4,3.0,,0.0,3.0,2.0
420031405003,42,3,140500,3,919,2019.0,2.8,149,16.0,10.7,20.0,13.4,14.0,9.4,3.0,2.0,2.0,,0.0,,0.0
420031406001,42,3,140600,1,1333,2016.0,32.2,290,50.0,17.2,67.0,23.1,28.0,9.7,13.0,4.5,10.0,3.0,1.0,3.0,1.0
420031406001,42,3,140600,1,1333,2017.0,32.2,290,54.0,18.6,66.0,22.8,27.0,9.3,9.0,3.1,1.0,,0.0,4.0,1.4
420031406001,42,3,140600,1,1333,2018.0,32.2,290,51.0,17.6,67.0,23.1,35.0,12.1,10.0,3.4,6.0,1.0,0.3,4.0,1.4
420031406001,42,3,140600,1,1333,2019.0,32.2,290,40.0,13.8,53.0,18.3,22.0,7.6,12.0,4.1,4.0,,0.0,5.0,1.7
420031406002,42,3,140600,2,994,2016.0,3.0,190,21.0,11.1,28.0,14.7,12.0,6.3,,0.0,,,0.0,2.0,1.1
420031406002,42,3,140600,2,994,2017.0,3.0,190,25.0,13.2,35.0,18.4,12.0,6.3,,0.0,6.0,1.0,0.5,5.0,2.6
420031406002,42,3,140600,2,994,2018.0,3.0,190,17.0,8.9,20.0,10.5,7.0,3.7,3.0,1.6,2.0,,0.0,,0.0
420031406002,42,3,140600,2,994,2019.0,3.0,190,26.0,13.7,29.0,15.3,17.0,8.9,1.0,0.5,4.0,1.0,0.5,2.0,1.1
420031406003,42,3,140600,3,825,2016.0,14.4,162,24.0,14.8,29.0,17.9,13.0,8.0,6.0,3.7,2.0,,0.0,5.0,3.1
420031406003,42,3,140600,3,825,2017.0,14.4,162,30.0,18.5,39.0,24.1,14.0,8.6,10.0,6.2,4.0,1.0,0.6,5.0,3.1
420031406003,42,3,140600,3,825,2018.0,14.4,162,25.0,15.4,28.0,17.3,13.0,8.0,3.0,1.9,5.0,,0.0,6.0,3.7
420031406003,42,3,140600,3,825,2019.0,14.4,162,35.0,21.6,49.0,30.2,24.0,14.8,5.0,3.1,10.0,4.0,2.5,4.0,2.5
420031408001,42,3,140800,1,1849,2016.0,37.2,500,78.0,15.6,96.0,19.2,36.0,7.2,13.0,2.6,10.0,,0.0,12.0,2.4
420031408001,42,3,140800,1,1849,2017.0,37.2,500,75.0,15.0,92.0,18.4,39.0,7.8,7.0,1.4,6.0,,0.0,3.0,0.6
420031408001,42,3,140800,1,1849,2018.0,37.2,500,81.0,16.2,104.0,20.8,62.0,12.4,5.0,1.0,11.0,,0.0,11.0,2.2
420031408001,42,3,140800,1,1849,2019.0,37.2,500,72.0,14.4,100.0,20.0,52.0,10.4,8.0,1.6,8.0,,0.0,3.0,0.6
420031408002,42,3,140800,2,1792,2016.0,8.6,243,59.0,24.3,76.0,31.3,40.0,16.5,12.0,4.9,4.0,2.0,0.8,8.0,3.3
420031408002,42,3,140800,2,1792,2017.0,8.6,243,51.0,21.0,62.0,25.5,23.0,9.5,5.0,2.1,1.0,1.0,0.4,5.0,2.1
420031408002,42,3,140800,2,1792,2018.0,8.6,243,54.0,22.2,65.0,26.7,29.0,11.9,6.0,2.5,4.0,,0.0,9.0,3.7
420031408002,42,3,140800,2,1792,2019.0,8.6,243,48.0,19.8,54.0,22.2,32.0,13.2,3.0,1.2,6.0,,0.0,2.0,0.8
420031408003,42,3,140800,3,846,2016.0,0.0,150,28.0,18.7,34.0,22.7,15.0,10.0,8.0,5.3,6.0,,0.0,6.0,4.0
420031408003,42,3,140800,3,846,2017.0,0.0,150,26.0,17.3,33.0,22.0,10.0,6.7,5.0,3.3,3.0,,0.0,3.0,2.0
420031408003,42,3,140800,3,846,2018.0,0.0,150,26.0,17.3,40.0,26.7,21.0,14.0,10.0,6.7,15.0,1.0,0.7,8.0,5.3
420031408003,42,3,140800,3,846,2019.0,0.0,150,21.0,14.0,49.0,32.7,34.0,22.7,8.0,5.3,19.0,4.0,2.7,12.0,8.0
420031410001,42,3,141000,1,953,2016.0,12.8,215,29.0,13.5,36.0,16.7,15.0,7.0,2.0,0.9,6.0,,0.0,2.0,0.9
420031410001,42,3,141000,1,953,2017.0,12.8,215,30.0,14.0,39.0,18.1,21.0,9.8,5.0,2.3,6.0,3.0,1.4,3.0,1.4
420031410001,42,3,141000,1,953,2018.0,12.8,215,28.0,13.0,33.0,15.3,23.0,10.7,4.0,1.9,7.0,3.0,1.4,2.0,0.9
420031410001,42,3,141000,1,953,2019.0,12.8,215,26.0,12.1,35.0,16.3,18.0,8.4,2.0,0.9,8.0,1.0,0.5,4.0,1.9
420031411001,42,3,141100,1,1300,2016.0,8.2,248,42.0,16.9,60.0,24.2,28.0,11.3,11.0,4.4,2.0,1.0,0.4,3.0,1.2
420031411001,42,3,141100,1,1300,2017.0,8.2,248,44.0,17.7,56.0,22.6,24.0,9.7,1.0,0.4,6.0,1.0,0.4,5.0,2.0
420031411001,42,3,141100,1,1300,2018.0,8.2,248,38.0,15.3,61.0,24.6,27.0,10.9,2.0,0.8,8.0,1.0,0.4,5.0,2.0
420031411001,42,3,141100,1,1300,2019.0,8.2,248,48.0,19.4,68.0,27.4,38.0,15.3,4.0,1.6,8.0,2.0,0.8,8.0,3.2
420031413001,42,3,141300,1,1354,2016.0,22.6,260,27.0,10.4,37.0,14.2,13.0,5.0,3.0,1.2,2.0,1.0,0.4,4.0,1.5
420031413001,42,3,141300,1,1354,2017.0,22.6,260,31.0,11.9,41.0,15.8,14.0,5.4,8.0,3.1,3.0,1.0,0.4,5.0,1.9
420031413001,42,3,141300,1,1354,2018.0,22.6,260,40.0,15.4,63.0,24.2,26.0,10.0,1.0,0.4,1.0,,0.0,2.0,0.8
420031413001,42,3,141300,1,1354,2019.0,22.6,260,35.0,13.5,46.0,17.7,26.0,10.0,3.0,1.2,3.0,1.0,0.4,,0.0
420031413002,42,3,141300,2,1535,2016.0,17.0,301,37.0,12.3,44.0,14.6,22.0,7.3,4.0,1.3,9.0,1.0,0.3,2.0,0.7
420031413002,42,3,141300,2,1535,2017.0,17.0,301,37.0,12.3,43.0,14.3,16.0,5.3,2.0,0.7,10.0,1.0,0.3,4.0,1.3
420031413002,42,3,141300,2,1535,2018.0,17.0,301,39.0,13.0,45.0,15.0,18.0,6.0,9.0,3.0,3.0,2.0,0.7,,0.0
420031413002,42,3,141300,2,1535,2019.0,17.0,301,31.0,10.3,42.0,14.0,15.0,5.0,6.0,2.0,4.0,,0.0,3.0,1.0
420031413003,42,3,141300,3,2237,2016.0,20.8,145,27.0,18.6,31.0,21.4,11.0,7.6,2.0,1.4,6.0,1.0,0.7,7.0,4.8
420031413003,42,3,141300,3,2237,2017.0,20.8,145,27.0,18.6,34.0,23.4,21.0,14.5,2.0,1.4,8.0,3.0,2.1,5.0,3.4
