Date,Intersection,City,State,Inspection #,Level,OOS-TR,OOS-TL,OOS-DR,Crash,Weighed,# of Violations,Total Fines,Inspector
2017-09-23,BROUGHTON RD & E PARK DR,BETHEL PARK,PA,PAM584000336,3,,,,,,1.0,0.0,INSPECTOR 2
2017-09-23,BROWNSVILLE RD & SYLVANIA,SOUTH PARK,PA,PAM584000337,2,,Y,,,,6.0,0.0,INSPECTOR 2
2017-09-22,BRIDGEVILLE REST AREA,S.FAYETTE,PA,PAM615000469,1,,,,,,5.0,,INSPECTOR 1
2017-09-22,BRIDGEVILLE REST AREA,S.FAYETTE,PA,PAM615000470,1,,Y,,,,5.0,,INSPECTOR 1
2017-09-22,BRIDGEVILLE REST AREA,S.FAYETTE,PA,PAM615000471,1,,,,,,4.0,,INSPECTOR 1
2017-09-22,I79 S WEIGH STATION,SOUTH FAYETTE,PA,PAM584000332,1,,Y,,,,6.0,0.0,INSPECTOR 2
2017-09-22,I79 S WEIGH STATION,SOUTH FAYETTE,PA,PAM584000333,2,,,,,,3.0,0.0,INSPECTOR 2
2017-09-22,I79 S WEIGH STATION,SOUTH FAYETTE,PA,PAM584000334,2,,,,,,5.0,0.0,INSPECTOR 2
2017-09-22,I 79 & BRIDGEVILLE WEIGH STATION,BRIDGEVILLE,PA,PAM628000465,1,,,,,,1.0,,INSPECTOR 4
2017-09-22,I 79 & BRIDGEVILLE WEIGH STATION,BRIDGEVILLE,PA,PAM628000466,1,,,,,,3.0,,INSPECTOR 4
2017-09-22,I 79 & BRIDGEVILLE WEIGH STATION,BRIDGEVILLE,PA,PAM628000467,2,Y,,,,,10.0,484.0,INSPECTOR 4
2017-09-22,79S WEIGHSTATION,SOUTH FAYETTE,PA,PAM637000288,3,,,,,,0.0,0.0,INSPECTOR 3
