SECTION_NUMBER,ON_STREET,FROM_STREET,TO_STREET,LENGTH,COUNT_,CURRENT_PQI,MEASURED_PQI,PQI_DATE,CLASS,YEAR,ObjectId
1190,BASELINE RD,COUNTRY CLUB WY,RIVER DR,1079,7.0,30.7,35.9,2022/03/28 07:00:00+00,Arterial,2022.0,139
1200,BASELINE RD,RIVER DR,BALA DR,636,7.0,28.1,33.2,2022/03/28 07:00:00+00,Arterial,2022.0,140
1210,BASELINE RD,BALA DR,PRICE FREEWAY,559,7.0,64.6,69.2,2022/03/28 07:00:00+00,Arterial,2022.0,141
1215,BASELINE RD,PRICE FREEWAY,CITY LIMIT,436,7.0,80.2,82.7,2022/03/28 07:00:00+00,Arterial,2022.0,142
1220,SOUTHERN AV, 48TH ST,FAIR LN,723,6.0,69.9,73.0,2022/03/28 07:00:00+00,Arterial,2022.0,143
1230,SOUTHERN AV,FAIR LN,POTTER RD,1152,6.0,34.3,38.3,2022/03/28 07:00:00+00,Arterial,2022.0,144
1240,SOUTHERN AV,POTTER RD,I-10,1475,6.0,37.6,41.7,2022/03/28 07:00:00+00,Arterial,2022.0,145
1250,SOUTHERN AV,I-10,CLEMINTINE DR,1259,6.0,42.8,47.0,2022/03/28 07:00:00+00,Arterial,2022.0,146
1260,SOUTHERN AV,CLEMINTINE DR,ALBERT AV,269,6.0,30.8,34.6,2022/03/28 07:00:00+00,Arterial,2022.0,147
1270,SOUTHERN AV,ALBERT AV,PRIEST DR,610,6.0,62.6,66.3,2022/03/28 07:00:00+00,Arterial,2022.0,148
1280,SOUTHERN AV,PRIEST DR,MARGO DR,492,6.0,62.7,66.3,2022/03/28 07:00:00+00,Arterial,2022.0,149
1290,SOUTHERN AV,MARGO DR,SHAFER DR,739,6.0,60.4,64.3,2022/03/28 07:00:00+00,Arterial,2022.0,150
470,ELLIOT RD,LA ROSA DR,RURAL RD,666,3.0,36.2,39.9,2022/03/26 07:00:00+00,Arterial,2022.0,151
1780,BROADWAY RD,COLLEGE AV,EL CAMINO DR,330,5.0,73.3,76.6,2022/03/28 07:00:00+00,Arterial,2022.0,152
1300,SOUTHERN AV,SHAFER DR,WESTFALL AV,392,6.0,44.4,48.6,2022/03/28 07:00:00+00,Arterial,2022.0,153
53121,VETRANS WY,6TH ST,COLLEGE AV,1656,3.0,32.6,36.2,2022/03/26 07:00:00+00,Arterial,2022.0,154
1310,SOUTHERN AV,WESTFALL AV,HARDY DR,1136,6.0,56.8,60.8,2022/03/28 07:00:00+00,Arterial,2022.0,155
1790,BROADWAY RD,EL CAMINO DR,SIERRA VISTA DR,866,5.0,76.2,79.4,2022/03/28 07:00:00+00,Arterial,2022.0,156
480,ELLIOT RD,RURAL RD,JEN TILLY LN,520,3.0,46.0,49.8,2022/03/26 07:00:00+00,Arterial,2022.0,157
1320,SOUTHERN AV,HARDY DR,ROOSEVELT ST,1303,6.0,42.7,46.9,2022/03/28 07:00:00+00,Arterial,2022.0,158
1800,BROADWAY RD,SIERRA VISTA DR,LA ROSA DR,659,5.0,75.1,78.3,2022/03/28 07:00:00+00,Arterial,2022.0,159
42241,ALAMEDA DR,JEN TILLY LN,RURAL RD,440,3.0,53.5,57.1,2022/03/26 07:00:00+00,Arterial,2022.0,160
490,ELLIOT RD,JEN TILLY LN,RITA LN,775,3.0,41.3,45.1,2022/03/26 07:00:00+00,Arterial,2022.0,161
42251,ALAMEDA DR,BONARDEN LN,JEN TILLY LN,275,3.0,57.8,61.5,2022/03/26 07:00:00+00,Arterial,2022.0,162
500,ELLIOT RD,RITA LN,TERRACE RD,679,3.0,28.2,31.5,2022/03/26 07:00:00+00,Arterial,2022.0,163
42261,ALAMEDA DR,RITA LN,BONARDEN LN,295,3.0,46.3,50.1,2022/03/26 07:00:00+00,Arterial,2022.0,164
510,ELLIOT RD,TERRACE RD,LAKESHORE DR,739,3.0,28.6,32.0,2022/03/26 07:00:00+00,Arterial,2022.0,165
42271,ALAMEDA DR,RITA LN,RITA LN,293,3.0,39.5,43.3,2022/03/26 07:00:00+00,Arterial,2022.0,166
520,ELLIOT RD,LAKESHORE DR,JUNIPER ST,1026,3.0,49.9,53.8,2022/03/26 07:00:00+00,Arterial,2022.0,167
42281,ALAMEDA DR,TERRACE RD,RITA LN,280,3.0,29.8,33.2,2022/03/26 07:00:00+00,Arterial,2022.0,168
530,ELLIOT RD,JUNIPER ST,JUNIPER ST,326,3.0,45.4,49.3,2022/03/26 07:00:00+00,Arterial,2022.0,169
42291,ALAMEDA DR,MORROW ST,TERRACE RD,532,3.0,34.5,38.1,2022/03/26 07:00:00+00,Arterial,2022.0,170
540,ELLIOT RD,JUNIPER ST,WILLOW DR,216,3.0,24.0,27.0,2022/03/26 07:00:00+00,Arterial,2022.0,171
42301,ALAMEDA DR,MAE PL,MORROW ST,262,3.0,48.5,52.4,2022/03/26 07:00:00+00,Arterial,2022.0,172
550,ELLIOT RD,WILLOW DR,MCCLINTOCK DR,1133,3.0,32.1,35.6,2022/03/26 07:00:00+00,Arterial,2022.0,173
42311,ALAMEDA DR,KENNETH PL,MAE PL,285,3.0,51.8,55.6,2022/03/26 07:00:00+00,Arterial,2022.0,174
560,ELLIOT RD,MCCLINTOCK DR,S KACHINA DR,685,3.0,57.3,61.9,2022/03/26 07:00:00+00,Arterial,2022.0,175
42321,ALAMEDA DR,DORSEY LN,KENNETH PL,727,3.0,73.1,75.9,2022/03/26 07:00:00+00,Arterial,2022.0,176
570,ELLIOT RD,S KACHINA DR,LOS FELIZ DR,685,3.0,69.3,72.4,2022/03/26 07:00:00+00,Arterial,2022.0,177
45211,EL PARQUE DR,MCCLINTOCK DR,BROADMOR DR,385,3.0,75.9,78.4,2022/03/26 07:00:00+00,Arterial,2022.0,178
580,ELLIOT RD,LOS FELIZ DR,COUNTRY CLUB WAY,1349,3.0,69.5,72.5,2022/03/26 07:00:00+00,Arterial,2022.0,179
8185,13TH ST ALLEY,END,FOREST AV,813,3.0,75.3,77.9,2022/03/26 07:00:00+00,Arterial,2022.0,180
590,ELLIOT RD,COUNTRY CLUB WAY,RIVER PARKWAY,1446,3.0,76.2,78.6,2022/03/26 07:00:00+00,Arterial,2022.0,181
41261,INDUSTRIAL PARK DR,23RD ST,ALAMEDA DR,1330,3.0,66.9,70.1,2022/03/26 07:00:00+00,Arterial,2022.0,182
600,ELLIOT RD,RIVER PARKWAY,S PRICE RD,1116,3.0,71.2,74.0,2022/03/26 07:00:00+00,Arterial,2022.0,183
41271,INDUSTRIAL PARK DR,BROADWAY RD,23RD ST,1336,3.0,70.2,73.0,2022/03/26 07:00:00+00,Arterial,2022.0,184
610,GUADALUPE RD,CITY LIMIT,PARKSIDE DR,239,5.0,72.7,75.3,2022/03/26 07:00:00+00,Arterial,2022.0,185
620,GUADALUPE RD,PARKSIDE DR,HARDY DR,446,5.0,79.0,81.3,2022/03/26 07:00:00+00,Arterial,2022.0,186
630,GUADALUPE RD,HARDY DR,MCKEMY ST,1023,5.0,88.9,88.9,2023/05/15 07:00:00+00,Arterial,2023.0,187
640,GUADALUPE RD,MCKEMY ST,MCKEMY ST,162,5.0,83.3,85.1,2022/03/26 07:00:00+00,Arterial,2022.0,188
650,GUADALUPE RD,MCKEMY ST,ROOSEVELT ST,430,5.0,80.7,82.8,2022/03/26 07:00:00+00,Arterial,2022.0,189
660,GUADALUPE RD,ROOSEVELT ST,KYRENE RD,1095,5.0,79.1,81.3,2022/03/26 07:00:00+00,Arterial,2022.0,190
670,GUADALUPE RD,KYRENE RD,ASH AV,1343,5.0,77.7,80.1,2022/03/26 07:00:00+00,Arterial,2022.0,191
680,GUADALUPE RD,ASH AV,ASH AV,433,5.0,78.8,81.3,2022/03/26 07:00:00+00,Arterial,2022.0,192
690,GUADALUPE RD,ASH AV,MAPLE AV,379,5.0,82.6,84.7,2022/03/26 07:00:00+00,Arterial,2022.0,193
700,GUADALUPE RD,MAPLE AV,MAPLE AV,179,5.0,83.0,85.0,2022/03/26 07:00:00+00,Arterial,2022.0,194
