OBJECTID,DBARC_COD,DIVIDE,AV_LEGEND,IMS_LEGEND,LENGTH_MI,SHAPE_Length
18210,3,Subregional drainage basin divide,Subregional,Subregional,0.103661,547.332413725652
18211,2,Regional drainage basin divide,Regional,Regional,0.85914498,4536.28774999652
18212,2,Regional drainage basin divide,Regional,Regional,0.560853,2961.30382535359
18213,6,Lake impoundment basin divide,Lake Impoundment,Reach,0.483377,2552.23030071265
18214,3,Subregional drainage basin divide,Subregional,Subregional,1.46705996,7746.06089319432
18215,2,Regional drainage basin divide,Regional,Regional,0.12587699,664.63000085128
18216,5,Stream reach basin divide,Stream Reach,Reach,0.92061799,4860.86515273791
18217,3,Subregional drainage basin divide,Subregional,Subregional,0.107059,565.269211021924
18218,3,Subregional drainage basin divide,Subregional,Subregional,0.0436373,230.404733132698
18219,3,Subregional drainage basin divide,Subregional,Subregional,0.46337598,2446.62665857754
18220,3,Subregional drainage basin divide,Subregional,Subregional,0.54021501,2852.33566763459
18221,6,Lake impoundment basin divide,Lake Impoundment,Reach,0.86047697,4543.31812793879
18222,4,Local drainage basin divide,Local,Local,0.226122,1193.92507291569
18223,3,Subregional drainage basin divide,Subregional,Subregional,0.374498,1977.35174961861
18224,4,Local drainage basin divide,Local,Local,0.40931499,2161.18373568106
18225,4,Local drainage basin divide,Local,Local,0.75613099,3992.37245892848
18226,4,Local drainage basin divide,Local,Local,0.289218,1527.07332935083
18227,6,Lake impoundment basin divide,Lake Impoundment,Reach,0.27741101,1464.72919612772
18228,4,Local drainage basin divide,Local,Local,0.835527,4411.58465609633
18229,5,Stream reach basin divide,Stream Reach,Reach,0.16965499,895.78064776982
18230,4,Local drainage basin divide,Local,Local,1.02151,5393.58761967876
18231,1,Major drainage basin divide,Major,Major,3.41998004,18057.4720017545
18232,5,Stream reach basin divide,Stream Reach,Reach,0.54812002,2894.07417777456
18233,4,Local drainage basin divide,Local,Local,0.30268698,1598.18776198248
18234,6,Lake impoundment basin divide,Lake Impoundment,Reach,0.60484498,3193.58294251052
18235,6,Lake impoundment basin divide,Lake Impoundment,Reach,0.293922,1551.90984127425
18236,2,Regional drainage basin divide,Regional,Regional,0.258024,1362.36942247675
18237,4,Local drainage basin divide,Local,Local,0.50014001,2640.73809447167
18238,2,Regional drainage basin divide,Regional,Regional,2.00161004,10568.4895221819
18239,4,Local drainage basin divide,Local,Local,0.0339876,179.454385517654
18240,4,Local drainage basin divide,Local,Local,0.398234,2102.67265271878
18241,4,Local drainage basin divide,Local,Local,2.3963201,12652.5684446213
18242,4,Local drainage basin divide,Local,Local,0.10920699,576.613580006191
18243,3,Subregional drainage basin divide,Subregional,Subregional,0.394479,2082.85069333298
18244,1,Major drainage basin divide,Major,Major,0.0524115,276.732692680871
