OBJECTID,PRECINCT,LEGISDIST,CONGDIST,SENDIST,COMMDIST,SCHOOLDIST,COUNDIST,FORMERPREC,COMMENTS,SHAPE_LENG,Shape_Length,Shape_Area
60,H147,35,3,37,B,5,24, , ,0,11564.3517168921,8272081.81694198
61,Q112,46,3,37,B,5,24, , ,0,17096.4414801252,16131691.9140763
62,Q114,46,3,19,B,6,23, , ,0,16315.1861559878,14589278.1707077
63,Q113,46,3,35,B,6,24, , ,0,12076.6209318216,8464334.17050599
64,B149,29,3,38,B,6,22, , ,0,24504.1246396197,17966888.3261418
65,B175,29,3,38,B,6,22, , ,0,27375.4976147532,32672250.3505801
66,A111,28,3,37,C,4,14, , ,0,15238.6821237329,11007188.8840207
67,A136,28,3,37,C,4,14, , ,0,10402.7131290151,4802635.46867127
68,J150,38,3,37,C,5,13,I122p/I123p, ,0,15211.452561005,6958926.87260424
69,A108,28,3,37,C,4,14, , ,0,22286.159073313,12944275.8349843
70,A107,28,3,37,C,4,12, , ,0,13371.7901126646,8052295.70773551
71,H146,35,3,37,B,6,13,H134p, ,0,26511.7346599431,32051566.2565994
72,B160,29,3,19,B,6,22, , ,0,11716.5452049143,5812962.59392879
73,B154,29,3,14,B,7,22, , ,0,17452.7634663382,10011213.3841093
74,B133,29,3,19,B,6,23, , ,0,24077.4208703831,21411842.718058
75,Q105,46,3,35,B,6,24, , ,0,27777.6030433449,28146096.2484645
76,B163,29,3,14,B,6,22, , ,0,14457.3349737187,11632715.1852643
77,J135,38,3,37,C,5,25, , ,0,27986.677180523,17448169.6343636
78,Q104,46,3,37,B,6,24, , ,0,17447.9001258463,16833720.2008047
79,A124,28,3,37,C,4,25,A125p, ,0,30787.6188529708,39443145.0909962
80,Q103,46,3,35,B,6,24, , ,0,25542.0575377437,10757665.0268321
81,J120,38,3,37,B,5,25, , ,0,15458.5208753421,9995478.10513537
82,I124,37,3,37,C,5,13, , ,0,28671.7031272277,32376299.3235236
83,O129,44,3,37,C,4,12, , ,0,17966.8275878466,12713126.0457931
84,B156,29,3,19,B,6,23, , ,0,18403.1358772553,15537439.7341322
85,B166,29,3,14,B,6,22, , ,0,14271.5550411237,9415376.66001318
86,Q101,46,3,35,B,6,2, , ,0,15198.8498706744,12796249.1307046
87,B168,29,3,14,B,7,22, , ,0,19594.5995086513,16543566.5398031
88,B132,29,3,19,B,6,23, , ,0,17874.9695020641,14376124.8987635
89,O137,44,3,37,C,4,12, , ,0,18434.2764937135,10184325.9458087
90,B185,29,3,19,B,6,22,Q130, ,0,8821.19725285933,4563145.98133088
91,J117,38,3,37,B,5,21, , ,0,13812.0499106143,6909201.16289936
92,K128,40,3,37,C,4,12, , ,0,18248.320526788,20204353.0504738
93,Q134,46,3,35,B,6,2, , ,0,19886.3119631606,11045006.1857222
94,I123,37,3,37,C,5,13, , ,0,27772.7058934532,23282840.6689501
95,Q122,46,3,35,B,6,2, , ,0,21939.4411439618,20840932.7578207
96,B159,29,3,14,B,7,22, , ,0,50253.4459574914,69634218.695047
97,K146,40,3,37,C,4,12,J128, ,0,18654.0773727628,16310291.0509252
98,K147,40,3,37,C,4,12,J129, ,0,25000.0086531769,28445157.104369
99,O128,44,3,37,C,4,12, , ,0,16690.9780705556,11118013.7261904
100,C113,30,3,35,B,6,2, , ,0,15822.8040308013,11388928.1937757
101,J114,38,3,37,B,5,21,I120p, ,0,22322.7075062407,15156409.6151261
102,Q138,46,3,19,B,7,22,C140, ,0,16248.6646117147,13201542.6852662
103,O139,44,3,37,C,4,12, ,SM,0,37907.5259688366,65679403.6374995
104,K127,40,3,37,C,4,12, , ,0,17602.0156546667,16524698.0057239
105,C108,30,3,35,B,6,2, , ,0,13247.7283055781,8416497.6752479
106,Q127,46,3,35,B,6,24, , ,0,28171.7343957669,38438660.962482
107,H161,35,3,35,B,6,21,Q136p,SM,0,17097.1519156921,12669020.2703501
108,I142,37,3,37,B,6,13,H134p,SM,0,52939.7143145586,113488852.715304
109,B157,29,3,19,B,7,22, , ,0,25879.8840322818,18795276.3727688
110,Q123,46,3,35,B,6,2, , ,0,12115.4357664567,9153220.19562351
