X,Y,OBJECTID,ID1,ID2,REGION
-118.424818663,42.936556731,23568,LavaPlains_20,20,LavaPlains
-118.697106706,42.933567474,23569,LavaPlains_298,298,LavaPlains
-118.562082888,42.93589259,23570,LavaPlains_28,28,LavaPlains
-118.703274808,42.934763844,23571,LavaPlains_298,298,LavaPlains
-118.432422903,42.938474339,23572,LavaPlains_20,20,LavaPlains
-118.581931072,42.93658597,23573,LavaPlains_28,28,LavaPlains
-118.493341891,42.938500695,23574,LavaPlains_292,292,LavaPlains
-118.68206856,42.936526504,23575,LavaPlains_298,298,LavaPlains
-118.426782896,42.940959819,23576,LavaPlains_20,20,LavaPlains
-118.508291047,42.940478182,23577,LavaPlains_292,292,LavaPlains
-118.178670733,42.94434736,23578,LavaPlains_38,38,LavaPlains
-118.162359055,42.945158185,23579,LavaPlains_38,38,LavaPlains
-118.388582483,42.942717678,23580,LavaPlains_32,32,LavaPlains
-118.679659046,42.94058691,23581,LavaPlains_298,298,LavaPlains
-118.6529477,42.941458835,23582,LavaPlains_298,298,LavaPlains
-118.557908955,42.944160554,23583,LavaPlains_28,28,LavaPlains
-118.50336021,42.944970603,23584,LavaPlains_292,292,LavaPlains
-118.434358552,42.946339194,23585,LavaPlains_20,20,LavaPlains
-118.358673551,42.947906707,23586,LavaPlains_36,36,LavaPlains
-118.560138323,42.945659696,23587,LavaPlains_28,28,LavaPlains
-118.477221848,42.947081985,23588,LavaPlains_20,20,LavaPlains
-118.377326318,42.948971773,23589,LavaPlains_32,32,LavaPlains
-118.178812041,42.951752044,23590,LavaPlains_38,38,LavaPlains
-118.494782341,42.948222489,23591,LavaPlains_292,292,LavaPlains
-118.629305229,42.946547396,23592,LavaPlains_291,291,LavaPlains
-118.587136617,42.947300976,23593,LavaPlains_28,28,LavaPlains
-118.138725941,42.953043398,23594,LavaPlains_30,30,LavaPlains
-118.678326847,42.948012481,23595,LavaPlains_298,298,LavaPlains
-118.658504675,42.948462467,23596,LavaPlains_298,298,LavaPlains
-118.128578359,42.955478451,23597,LavaPlains_30,30,LavaPlains
-118.156412194,42.955281115,23598,LavaPlains_302,302,LavaPlains
-118.371070387,42.953474444,23599,LavaPlains_32,32,LavaPlains
-118.438348268,42.952970696,23600,LavaPlains_20,20,LavaPlains
-118.482967176,42.953608745,23601,LavaPlains_20,20,LavaPlains
-118.164344104,42.957454739,23602,LavaPlains_302,302,LavaPlains
-118.506428127,42.953946341,23603,LavaPlains_292,292,LavaPlains
-118.566799194,42.953377251,23604,LavaPlains_28,28,LavaPlains
-118.638788881,42.952932511,23605,LavaPlains_291,291,LavaPlains
-118.617974461,42.953228681,23606,LavaPlains_291,291,LavaPlains
-118.146619126,42.959082708,23607,LavaPlains_30,30,LavaPlains
-118.394152987,42.95649613,23608,LavaPlains_32,32,LavaPlains
-118.419906688,42.956421013,23609,LavaPlains_20,20,LavaPlains
-118.455628631,42.956133247,23610,LavaPlains_20,20,LavaPlains
-118.138629971,42.959725976,23611,LavaPlains_30,30,LavaPlains
-118.457385452,42.956271891,23612,LavaPlains_20,20,LavaPlains
-118.697203639,42.953047094,23613,LavaPlains_298,298,LavaPlains
-118.713655487,42.953526417,23614,LavaPlains_298,298,LavaPlains
-118.495315583,42.956668096,23615,LavaPlains_292,292,LavaPlains
-118.169460952,42.96142764,23616,LavaPlains_302,302,LavaPlains
-118.144919535,42.961997773,23617,LavaPlains_30,30,LavaPlains
-118.557055024,42.958098769,23618,LavaPlains_28,28,LavaPlains
-118.51838892,42.959020815,23619,LavaPlains_292,292,LavaPlains
-118.685800154,42.956838154,23620,LavaPlains_298,298,LavaPlains
-118.173556933,42.96355925,23621,LavaPlains_302,302,LavaPlains
-118.598603525,42.958491932,23622,LavaPlains_28,28,LavaPlains
-118.643320739,42.958502542,23623,LavaPlains_291,291,LavaPlains
-118.403824396,42.962495972,23624,LavaPlains_32,32,LavaPlains
-118.572570864,42.960543126,23625,LavaPlains_28,28,LavaPlains
-118.460050058,42.962355981,23626,LavaPlains_20,20,LavaPlains
-118.492714651,42.962417593,23627,LavaPlains_292,292,LavaPlains
-118.641511736,42.960541009,23628,LavaPlains_291,291,LavaPlains
-118.525388987,42.96287225,23629,LavaPlains_292,292,LavaPlains
-118.352694903,42.965124238,23630,LavaPlains_32,32,LavaPlains
-118.42197876,42.965491874,23631,LavaPlains_20,20,LavaPlains
-118.418043043,42.965943212,23632,LavaPlains_20,20,LavaPlains
-118.66232716,42.964265541,23633,LavaPlains_291,291,LavaPlains
-118.45490996,42.967492981,23634,LavaPlains_20,20,LavaPlains
-118.130624886,42.971478032,23635,LavaPlains_30,30,LavaPlains
-118.418319537,42.968435307,23636,LavaPlains_20,20,LavaPlains
-118.59113129,42.966243595,23637,LavaPlains_28,28,LavaPlains
-118.381508511,42.969368595,23638,LavaPlains_32,32,LavaPlains
-118.700826946,42.965229303,23639,LavaPlains_298,298,LavaPlains
-118.378346548,42.970131227,23640,LavaPlains_32,32,LavaPlains
-118.135802987,42.972875785,23641,LavaPlains_30,30,LavaPlains
-118.422186621,42.969755828,23642,LavaPlains_20,20,LavaPlains
-118.369040094,42.970645438,23643,LavaPlains_32,32,LavaPlains
-118.63741384,42.967200729,23644,LavaPlains_291,291,LavaPlains
-118.147873245,42.973479876,23645,LavaPlains_30,30,LavaPlains
-118.696501762,42.967386505,23646,LavaPlains_298,298,LavaPlains
-118.662240221,42.969177306,23647,LavaPlains_291,291,LavaPlains
-118.153835715,42.975754455,23648,LavaPlains_30,30,LavaPlains
-118.49009693,42.972031268,23649,LavaPlains_292,292,LavaPlains
-118.733156774,42.968930209,23650,LavaPlains_298,298,LavaPlains
-118.363987013,42.975133315,23651,LavaPlains_32,32,LavaPlains
-118.149598331,42.977809626,23652,LavaPlains_30,30,LavaPlains
-118.428556173,42.974989536,23653,LavaPlains_20,20,LavaPlains
-118.681613215,42.972114257,23654,LavaPlains_291,291,LavaPlains
-118.145120514,42.978740029,23655,LavaPlains_30,30,LavaPlains
