OBJECTID,SURVTYP,SURVTYPTXT,SHAPE_Length,SHAPE_Area
81,W,Meandered Water,29007.1914313924,858309.169730897
82,W,Meandered Water,25749.0684464018,790787.113014181
83,W,Meandered Water,24342.0383546194,348468.632995877
84,W,Meandered Water,25883.4561570698,701272.277755688
85,W,Meandered Water,3827.7136925045,76541.524520754
86,W,Meandered Water,11882.9169224064,308855.590908889
87,W,Meandered Water,6.25095170837225,0.882732194386354
88,W,Meandered Water,36155.8860303362,738037.793248635
89,W,Meandered Water,16206.270710058,475800.035487226
90,W,Meandered Water,9716.96591100897,270983.467802141
91,W,Meandered Water,16955.1579355294,461251.608684994
92,W,Meandered Water,28176.8120118154,963695.355957577
93,W,Meandered Water,15982.8478428105,748709.689622855
94,W,Meandered Water,1511.66301828414,55700.0987309362
95,W,Meandered Water,6547.75279839879,199561.879446818
96,W,Meandered Water,2784.49286974034,77177.2369226923
97,W,Meandered Water,2507.54991132154,106551.443280032
98,W,Meandered Water,18319.7905175296,669446.807313714
99,W,Meandered Water,3867.60814884989,97479.1781136711
100,W,Meandered Water,1280.87621810173,57443.2520602397
101,W,Meandered Water,9158.05947908498,64969.8445620257
102,W,Meandered Water,6883.57279657276,1627355.70785967
103,W,Meandered Water,20423.2163402679,13889509.9558275
104,W,Meandered Water,3803.72451313358,91606.2418538916
105,W,Meandered Water,22.9244323026351,19.0879280238591
106,W,Meandered Water,318.567200331959,5648.96861703195
107,W,Meandered Water,3702.53277120341,65599.4023296411
108,W,Meandered Water,356.928881529533,3894.31029514717
109,W,Meandered Water,2891.96180168369,306118.530436184
110,W,Meandered Water,2591.36609390296,46470.7738937986
111,W,Meandered Water,7265.12187713092,219576.415264658
112,W,Meandered Water,1991.25322237348,135865.315721346
113,W,Meandered Water,2940.75182425443,337656.190847158
114,W,Meandered Water,1773.86874362446,173031.466256074
115,W,Meandered Water,6316.5118096495,1982680.21478727
116,W,Meandered Water,2346.4240583634,271834.638667843
117,W,Meandered Water,2268.89254563359,295896.402891259
118,W,Meandered Water,3567.84083326591,457143.311867852
119,W,Meandered Water,2612.43377695553,239649.277212284
120,W,Meandered Water,322.398383441928,2785.13597072389
