X,Y,Incident_Date,Latitude,Longitude,Incident_Type,Department_Apparatus_Name,ObjectId
-8800820.98096431,4295629.07225939,2018/03/17 00:00:00+00,35.96371,-79.05912,553 - Public service,Truck 74,175
-8797830.9394416,4290865.89747434,2018/01/07 00:00:00+00,35.92907,-79.03226,"745 - Alarm system activation, no fire - unintentional",Engine 34,176
-8795172.63000146,4293160.59601954,2018/03/17 00:00:00+00,35.94576,-79.00838,142 - Brush or brush-and-grass mixture fire,Battalion 11,177
-8800336.74117936,4295272.86194628,2018/03/17 00:00:00+00,35.96112,-79.05477,"600 - Good intent call, other",Battalion 11,178
-8799014.26562873,4287473.54591563,2018/03/18 00:00:00+00,35.90439,-79.04289,"743 - Smoke detector activation, no fire - unintentional",Engine 32,179
-8798857.30514672,4286644.86235423,2018/03/18 00:00:00+00,35.89836,-79.04148,"745 - Alarm system activation, no fire - unintentional",Engine 32,180
-8799410.56301596,4287205.55676209,2018/03/18 00:00:00+00,35.90244,-79.04645,"745 - Alarm system activation, no fire - unintentional",Battalion 11,181
-8799241.35738995,4285300.96252972,2018/03/18 00:00:00+00,35.88858,-79.04493,551 - Assist police or other governmental agency,Engine 35,182
-8795280.60990753,4292145.86428695,2018/01/07 00:00:00+00,35.93838,-79.00935,522 - Water or steam leak,Engine 33,183
-8795513.26764329,4292917.21676242,2018/03/18 00:00:00+00,35.94399,-79.01144,131 - Passenger vehicle fire,Battalion 11,184
-8796711.06536422,4292988.71744758,2018/03/19 00:00:00+00,35.94451,-79.0222,553 - Public service,Truck 74,185
-8800792.0378967,4292204.98562297,2018/03/19 00:00:00+00,35.93881,-79.05886,"745 - Alarm system activation, no fire - unintentional",Engine 31,186
-8800610.58712671,4289067.87430496,2018/03/19 00:00:00+00,35.91599,-79.05723,"550 - Public service assistance, other",Engine 31,187
-8803208.78404183,4293258.2242592,2018/01/07 00:00:00+00,35.94647,-79.08057,553 - Public service,Engine 34,188
-8796677.66951698,4291443.3074492,2018/03/19 00:00:00+00,35.93327,-79.0219,"113 - Cooking fire, confined to container",Engine 32,189
-8799226.88585615,4294266.18398925,2018/03/20 00:00:00+00,35.9538,-79.0448,"745 - Alarm system activation, no fire - unintentional",Engine 31,190
-8798394.21606502,4289829.38604226,2018/03/20 00:00:00+00,35.92153,-79.03732,412 - Gas leak (natural gas or LPG),Engine 31,191
-8800606.13434708,4290731.17289366,2018/03/20 00:00:00+00,35.92809,-79.05719,"400 - Hazardous condition, other",Engine 31,192
-8803925.68156254,4286583.02282886,2018/01/07 00:00:00+00,35.89791,-79.08701,611 - Dispatched & cancelled en route,Engine 31,193
-8798766.02316427,4286811.14371047,2018/03/20 00:00:00+00,35.89957,-79.04066,"743 - Smoke detector activation, no fire - unintentional",Battalion 11,194
-8800396.85370439,4287264.65123871,2018/03/21 00:00:00+00,35.90287,-79.05531,611 - Dispatched & cancelled en route,Engine 32,195
-8801350.86174049,4288259.6855296,2018/03/21 00:00:00+00,35.91011,-79.06388,412 - Gas leak (natural gas or LPG),Engine 31,196
-8799935.9910125,4288107.1260207,2018/03/21 00:00:00+00,35.909,-79.05117,"745 - Alarm system activation, no fire - unintentional",Engine 31,197
-8799156.75457695,4292075.74404956,2018/03/21 00:00:00+00,35.93787,-79.04417,112 - Fires in structure other than in a building,Engine 31,198
-8800711.88786333,4288309.16474887,2018/03/21 00:00:00+00,35.91047,-79.05814,"745 - Alarm system activation, no fire - unintentional",Engine 31,199
-8801426.55899423,4289052.75457582,2018/03/21 00:00:00+00,35.91588,-79.06456,"743 - Smoke detector activation, no fire - unintentional",Engine 31,200
-8799017.60521346,4287208.30533528,2018/03/21 00:00:00+00,35.90246,-79.04292,"745 - Alarm system activation, no fire - unintentional",Battalion 11,201
