State,Zip Code,2017,2018,2019,2020,2021,2022,2023,Unnamed: 9
Alabama (AL),35546,32,30,31,21,22,13,13,
Alabama (AL),35548,15,16,11,*,*,12,11,
Alabama (AL),35549,35,40,23,33,20,20,24,
Alabama (AL),35550,36,41,44,23,12,19,21,
Alabama (AL),35551,*,*,*,*,*,*,*,
Alabama (AL),35552,14,*,*,*,*,*,*,
Alabama (AL),35553,31,42,39,29,19,20,13,
Alabama (AL),35554,*,11,*,*,*,*,*,
Alabama (AL),35555,111,80,82,69,60,64,44,
Alabama (AL),35559,*,*,*,*,*,*,*,
Alabama (AL),35560,*,*,*,*,*,*,*,
Alabama (AL),35563,31,27,22,32,21,27,17,
Alabama (AL),35564,28,19,17,11,12,18,11,
Alabama (AL),35565,103,92,92,80,54,60,41,
Alabama (AL),35570,86,90,105,57,70,58,51,
Alabama (AL),35571,*,*,*,*,*,*,*,
Alabama (AL),35572,*,*,*,*,*,*,*,
Alabama (AL),35573,*,*,*,*,*,*,*,
Alabama (AL),35574,19,*,16,14,*,*,*,
Alabama (AL),35575,*,16,*,*,*,*,*,
Alabama (AL),35576,26,18,21,21,23,14,12,
Alabama (AL),35577,*,*,*,*,*,*,*,
Alabama (AL),35578,39,45,28,26,36,24,24,
Alabama (AL),35579,15,13,19,20,13,*,*,
Alabama (AL),35580,37,24,25,16,21,19,11,
Alabama (AL),35581,51,32,26,31,40,23,17,
Alabama (AL),35582,36,30,22,24,31,24,18,
Alabama (AL),35584,*,*,*,*,*,*,*,
Alabama (AL),35585,12,*,13,11,*,*,*,
Alabama (AL),35586,32,42,39,22,17,20,20,
Alabama (AL),35587,13,*,*,*,*,*,*,
Alabama (AL),35592,29,32,36,26,24,20,15,
Alabama (AL),35593,15,*,14,11,15,*,*,
Alabama (AL),35594,63,59,37,45,42,35,28,
Alabama (AL),35601,162,151,156,113,102,89,72,
Alabama (AL),35602,*,*,*,*,*,*,*,
Alabama (AL),35603,201,186,180,137,112,117,95,
Alabama (AL),35609,*,*,*,*,*,*,*,
Alabama (AL),35610,15,17,12,16,*,11,*,
Alabama (AL),35611,135,145,113,101,101,84,92,
Alabama (AL),35612,*,*,*,*,*,*,*,
Alabama (AL),35613,109,110,105,82,104,78,66,
Alabama (AL),35614,44,43,40,34,33,31,24,
Alabama (AL),35615,*,*,*,*,*,*,*,
Alabama (AL),35616,35,27,25,16,12,17,18,
Alabama (AL),35617,*,*,*,*,*,*,*,
Alabama (AL),35618,12,14,*,19,*,*,*,
Alabama (AL),35619,37,36,24,24,18,16,16,
Alabama (AL),35620,44,55,37,30,41,34,24,
Alabama (AL),35621,27,22,11,*,15,13,*,
Alabama (AL),35622,39,35,35,21,30,27,21,
Alabama (AL),35630,196,198,151,164,131,137,110,
Alabama (AL),35631,*,*,*,*,*,*,*,
Alabama (AL),35632,*,*,*,*,*,*,*,
Alabama (AL),35633,159,131,110,97,97,84,77,
Alabama (AL),35634,63,82,78,42,66,36,46,
Alabama (AL),35640,164,174,127,132,104,107,95,
Alabama (AL),35643,21,27,17,19,15,13,11,
Alabama (AL),35645,96,73,81,64,63,62,48,
Alabama (AL),35646,28,28,29,31,21,19,13,
Alabama (AL),35647,*,*,*,*,*,*,*,
Alabama (AL),35648,33,26,30,22,25,20,18,
Alabama (AL),35649,*,*,*,*,*,*,*,
Alabama (AL),35650,97,72,92,53,61,52,43,
Alabama (AL),35651,*,*,*,*,*,*,*,
Alabama (AL),35652,55,58,33,41,41,41,40,
Alabama (AL),35653,65,58,58,59,48,43,26,
Alabama (AL),35654,49,45,27,36,35,31,26,
Alabama (AL),35660,57,59,48,54,32,27,33,
Alabama (AL),35661,110,108,77,95,86,65,68,
Alabama (AL),35662,*,*,*,*,*,*,*,
Alabama (AL),35670,43,40,43,37,39,35,26,
Alabama (AL),35671,*,*,13,*,13,*,*,
Alabama (AL),35672,45,28,27,28,23,24,17,
Alabama (AL),35673,37,40,33,30,27,23,18,
Alabama (AL),35674,125,116,110,102,86,66,71,
Alabama (AL),35677,*,21,17,*,*,*,*,
Alabama (AL),35699,*,*,*,*,*,*,*,
Alabama (AL),35739,35,29,12,22,29,18,13,
Alabama (AL),35740,33,18,22,17,13,17,*,
Alabama (AL),35741,12,23,26,22,22,*,16,
Alabama (AL),35742,*,*,*,*,*,*,*,
Alabama (AL),35744,19,16,18,*,*,*,*,
Alabama (AL),35745,*,*,*,*,*,*,*,
Alabama (AL),35746,*,*,*,*,*,*,*,
Alabama (AL),35747,43,30,36,31,19,22,18,
Alabama (AL),35748,48,46,37,34,28,32,26,
Alabama (AL),35749,87,77,80,65,69,67,39,
Alabama (AL),35750,68,60,75,57,42,41,42,
Alabama (AL),35751,*,*,*,*,*,*,*,
Alabama (AL),35752,*,21,19,11,13,*,11,
Alabama (AL),35754,32,26,29,28,12,18,16,
Alabama (AL),35755,*,*,*,*,*,*,*,
Alabama (AL),35756,36,52,41,39,40,31,37,
Alabama (AL),35757,56,48,43,45,50,41,43,
Alabama (AL),35758,149,138,139,127,103,77,98,
Alabama (AL),35759,38,43,45,35,35,26,25,
Alabama (AL),35760,33,36,14,21,24,27,13,
Alabama (AL),35761,61,46,45,40,37,50,30,
Alabama (AL),35762,*,*,*,*,*,*,*,
Alabama (AL),35763,75,78,78,66,74,66,46,
Alabama (AL),35764,*,*,*,*,*,*,*,
Alabama (AL),35765,24,21,20,15,19,18,12,
Alabama (AL),35766,*,*,*,*,*,*,*,
Alabama (AL),35767,*,*,*,*,*,*,*,
Alabama (AL),35768,74,79,67,76,69,45,37,
Alabama (AL),35769,77,69,57,62,53,45,48,
Alabama (AL),35771,23,20,20,19,19,13,15,
Alabama (AL),35772,29,40,29,31,22,17,20,
Alabama (AL),35773,59,51,57,46,46,40,27,
Alabama (AL),35774,*,*,*,*,*,*,*,
Alabama (AL),35775,*,*,*,*,*,*,*,
Alabama (AL),35776,35,24,22,20,26,19,16,
Alabama (AL),35801,141,146,103,117,80,81,76,
Alabama (AL),35802,169,167,148,150,129,97,83,
Alabama (AL),35803,164,154,149,125,104,97,89,
Alabama (AL),35804,*,*,*,*,*,*,*,
Alabama (AL),35805,76,50,72,49,43,36,31,
Alabama (AL),35806,96,84,91,71,65,59,39,
Alabama (AL),35807,*,*,*,*,*,*,*,
Alabama (AL),35808,*,*,*,*,*,*,*,
Alabama (AL),35809,*,*,*,*,*,*,*,
Alabama (AL),35810,155,161,140,109,104,97,85,
Alabama (AL),35811,142,135,145,110,92,78,84,
Alabama (AL),35812,*,*,*,*,*,*,*,
Alabama (AL),35813,*,*,*,*,*,*,*,
Alabama (AL),35814,*,*,*,*,*,*,*,
Alabama (AL),35815,*,*,*,*,*,*,*,
Alabama (AL),35816,36,36,35,31,27,21,22,
Alabama (AL),35824,17,27,23,21,22,18,*,
Alabama (AL),35893,*,*,*,*,*,*,*,
Alabama (AL),35894,*,*,*,*,*,*,*,
Alabama (AL),35895,*,*,*,*,*,*,*,
Alabama (AL),35896,*,*,*,*,*,*,*,
Alabama (AL),35897,*,*,*,*,*,*,*,
Alabama (AL),35898,*,*,*,*,*,*,*,
Alabama (AL),35899,*,*,*,*,*,*,*,
Alabama (AL),35901,125,117,88,80,83,55,50,
Alabama (AL),35902,11,*,*,*,*,*,*,
Alabama (AL),35903,111,97,104,78,67,75,50,
Alabama (AL),35904,86,113,76,59,45,48,52,
Alabama (AL),35905,54,47,42,25,40,32,28,
Alabama (AL),35906,77,66,62,69,43,51,37,
Alabama (AL),35907,61,59,51,43,42,39,34,
Alabama (AL),35950,105,107,100,90,70,55,61,
Alabama (AL),35951,68,59,56,56,53,41,30,
Alabama (AL),35952,47,52,45,38,36,28,27,
Alabama (AL),35953,49,45,47,32,37,29,22,
Alabama (AL),35954,79,93,65,63,61,44,42,
Alabama (AL),35956,67,54,33,45,50,41,26,
Alabama (AL),35957,95,107,80,84,66,49,57,
Alabama (AL),35958,27,23,16,13,20,18,*,
Alabama (AL),35959,49,35,39,30,34,34,17,
Alabama (AL),35960,103,83,51,60,61,69,43,
Alabama (AL),35961,28,34,24,24,18,20,20,
Alabama (AL),35962,40,52,31,33,26,21,26,
Alabama (AL),35963,*,*,*,*,*,*,*,
Alabama (AL),35964,*,*,*,*,*,*,*,
Alabama (AL),35966,30,23,17,12,14,17,13,
Alabama (AL),35967,81,90,79,82,60,49,51,
Alabama (AL),35968,47,51,34,33,36,26,27,
Alabama (AL),35971,23,33,37,37,22,15,21,
Alabama (AL),35972,11,*,*,*,*,*,*,
Alabama (AL),35973,19,*,17,17,17,13,*,
Alabama (AL),35974,18,13,*,12,*,*,*,
Alabama (AL),35975,12,*,*,*,*,*,*,
Alabama (AL),35976,112,116,108,103,81,72,71,
Alabama (AL),35978,47,46,41,30,40,22,23,
Alabama (AL),35979,*,*,*,*,*,*,*,
Alabama (AL),35980,32,34,31,18,16,19,19,
Alabama (AL),35981,21,13,*,13,16,*,*,
Alabama (AL),35983,20,27,36,25,15,17,*,
Alabama (AL),35984,12,27,19,15,16,*,14,
Alabama (AL),35986,65,41,52,50,32,42,24,
Alabama (AL),35987,21,16,17,14,15,*,*,
Alabama (AL),35988,*,*,*,*,*,*,*,
Alabama (AL),35989,18,15,19,16,*,14,*,
Alabama (AL),35990,*,*,*,*,*,*,*,
Alabama (AL),36003,*,11,13,*,*,*,*,
Alabama (AL),36005,13,17,*,15,*,*,11,
Alabama (AL),36006,*,*,*,*,*,*,*,
Alabama (AL),36008,*,*,*,*,*,*,*,
Alabama (AL),36009,14,16,13,19,14,12,12,
Alabama (AL),36010,55,43,41,22,31,27,25,
Alabama (AL),36013,*,*,*,*,*,*,*,
Alabama (AL),36015,*,*,*,*,*,*,*,
Alabama (AL),36016,23,28,29,25,24,12,15,
Alabama (AL),36017,*,20,14,*,*,*,*,
Alabama (AL),36020,11,*,*,*,*,*,*,
Alabama (AL),36022,73,46,62,63,42,50,26,
Alabama (AL),36023,*,*,*,*,*,*,*,
Alabama (AL),36024,52,47,36,33,36,28,28,
Alabama (AL),36025,20,22,17,21,*,15,*,
Alabama (AL),36026,*,15,*,*,*,*,*,
Alabama (AL),36027,102,101,94,63,67,55,59,
Alabama (AL),36028,15,*,14,14,20,11,*,
Alabama (AL),36029,*,*,*,*,*,*,*,
Alabama (AL),36030,*,*,*,*,*,*,*,
Alabama (AL),36031,*,*,*,*,*,*,*,
Alabama (AL),36032,*,17,14,*,*,*,*,
Alabama (AL),36033,29,38,20,29,23,15,19,
Alabama (AL),36034,*,*,*,*,*,*,*,
Alabama (AL),36035,20,14,13,17,*,11,*,
Alabama (AL),36036,15,14,*,*,*,*,*,
Alabama (AL),36037,78,86,89,69,56,54,44,
Alabama (AL),36038,*,*,*,*,*,*,*,
Alabama (AL),36039,*,*,*,*,*,*,*,
Alabama (AL),36040,24,22,13,15,11,16,*,
Alabama (AL),36041,13,*,*,*,*,*,*,
Alabama (AL),36042,*,17,14,*,*,*,*,
Alabama (AL),36043,20,24,20,21,18,12,15,
Alabama (AL),36045,*,*,*,*,*,*,*,
Alabama (AL),36046,*,*,*,*,*,*,*,
Alabama (AL),36047,*,11,12,*,*,*,*,
Alabama (AL),36048,*,*,15,13,12,*,*,
Alabama (AL),36049,38,40,34,20,31,19,29,
Alabama (AL),36051,*,19,13,*,*,*,11,
Alabama (AL),36052,*,*,*,*,*,*,*,
Alabama (AL),36053,*,*,11,11,*,*,*,
Alabama (AL),36054,70,61,59,53,46,40,39,
Alabama (AL),36057,*,*,*,*,*,*,*,
Alabama (AL),36061,*,*,*,*,*,*,*,
Alabama (AL),36062,*,*,*,*,*,*,*,
Alabama (AL),36064,44,25,41,26,26,24,12,
Alabama (AL),36065,*,*,*,*,*,*,*,
Alabama (AL),36066,110,108,91,89,78,80,62,
Alabama (AL),36067,172,144,137,105,105,95,77,
Alabama (AL),36068,*,*,*,*,*,*,*,
Alabama (AL),36069,17,14,18,22,13,*,*,
Alabama (AL),36071,*,*,*,*,*,*,*,
Alabama (AL),36072,*,*,*,*,12,*,*,
Alabama (AL),36075,20,12,14,*,12,*,*,
