OBJECTID,COMMENT,STEWARD1,STEWARD2,GlobalID,Shape_Length,Shape_Area
135,,BLM Cadastral - NV,,{DA81DDF3-34B4-49ED-9789-BF110BCF9896},1730.3741471535,127794.239075295
136,,BLM Cadastral - NV,,{7D5E7EAD-C2CF-45BA-9ADD-1BE1C210389D},1298.30120470841,73218.9774443698
137,,BLM Cadastral - NV,,{CA3BFB30-9322-4BE7-9CF9-C7E6B69D7425},1574.6941652701,157943.125178897
138,,BLM Cadastral - NV,,{9482AB77-ACCD-4B0E-B366-7420C906AC67},1135.6418788855,53116.0010075018
139,,BLM Cadastral - NV,,{187FEA90-7F02-4B94-97F7-C16D809769B6},1565.50987365429,158986.042433198
140,,BLM Cadastral - NV,,{5863201C-C204-4DCB-B2AC-102FD0F5585F},1343.72105954598,77350.204734267
141,,BLM Cadastral - NV,,{5D6DE3F8-AE49-46BA-AD67-213BD0D86839},1569.0365130493,155317.430199778
142,,BLM Cadastral - NV,,{59047C88-611E-43A9-A01E-6531233836EB},1407.82270157467,88276.5908069032
143,,BLM Cadastral - NV,,{76C80031-EEB9-443F-B539-7AE0CFA0FC88},911.132806565488,33847.5421337756
144,,BLM Cadastral - NV,,{29978C1B-F10A-44C9-B2C9-BBE4ADDD4CC9},1390.08297508676,89663.7420303334
145,,BLM Cadastral - NV,,{6C33BBC3-219E-4358-85C0-9285A650C072},1256.73142633309,67579.234945289
146,,BLM Cadastral - NV,,{8E736E64-4707-4CD7-8BBD-63A17839197F},1343.93877443829,78221.510923532
147,,BLM Cadastral - NV,,{6DFE8B25-6C35-4775-8491-E11B9C85B6F2},1600.80519291765,162537.389870942
148,,BLM Cadastral - NV,,{E31E5898-6405-4D1A-B44B-985966D608BF},1587.84931099381,162244.497917723
149,,BLM Cadastral - NV,,{F13BD0C7-92CB-461B-BEA1-07F7026D618C},1056.55100617943,47676.3740583794
150,,BLM Cadastral - NV,,{B28EA9A2-23E2-4EE9-BFCE-51B11F48C221},996.114612006723,42224.7323521315
151,,BLM Cadastral - NV,,{C988E8D5-16F0-4C67-8D41-8A668545C184},1553.88625201075,157367.399185329
152,,BLM Cadastral - NV,,{25B1C532-622C-413F-AABD-7DF5C426F05E},849.820403460637,30715.0415350214
153,,BLM Cadastral - NV,,{7A3E706C-9E09-4761-93B8-042A94049E92},1165.0148542419,57945.2058505623
154,,BLM Cadastral - NV,,{A102E103-8146-4C18-9266-D6178414214B},1540.55445598018,154646.726938462
155,,BLM Cadastral - NV,,{D5A29B54-A529-459D-B74C-145BB6F6A012},1577.35282534345,158961.017982214
156,,BLM Cadastral - NV,,{6EE51217-B7A5-43A8-AACB-89A6A8518E86},780.903870113052,26008.7511616852
157,,BLM Cadastral - NV,,{A07A81D3-2E6A-42CA-B60B-1D45DB1CE4DE},1556.00506156907,122334.79966134
158,,BLM Cadastral - NV,,{C13919D5-E72A-428B-AAAF-A5C07A4E98B8},1585.9376042672,114815.212181234
159,,BLM Cadastral - NV,,{707A4FAF-512C-4A66-BA25-2154102E7B34},1298.37042300008,99285.8040014456
160,,BLM Cadastral - NV,,{51D61750-118D-4906-906E-FFBB9F87ACE5},1482.28672888369,139465.095496316
