Reference_Id,Account,Agency_Application,Relief_Program,Application_Date,Relief_Amount,Household_Income,Household_Size,Financial_Hardship,Job_Loss,Reduced_Hours,Account_Type,Zip,Country,State,Location,Council_District,ObjectId
VRZQ-KVVP-FNWN,9141820000.0,True,MCR,2021/10/05 00:00:00+00,1000.0,3000.0,2.0,True,True,False,residential,40212.0,USA,Kentucky,"40212, Kentucky, USA",5.0,4871
2NM4-L9LV-TQWN,903900000.0,True,MCR,2021/10/05 00:00:00+00,1000.0,937.0,1.0,True,False,False,residential,40272.0,USA,Kentucky,"40272, Kentucky, USA",14.0,4872
Z3Q9-9ZKQ-ZVVM,1732358534.0,False,MCR,2021/12/22 00:00:00+00,572.5,3000.0,4.0,True,False,False,residential,40220.0,USA,Kentucky,"40220, Kentucky, USA",11.0,4873
MQPR-QKMW-LLYC,2596820000.0,True,MCR,2021/12/27 00:00:00+00,179.98,3000.0,5.0,True,False,False,residential,40223.0,USA,Kentucky,"40223, Kentucky, USA",7.0,4874
ZVPV-QKLW-YXM6,9860071155.0,True,MCR,2021/09/28 00:00:00+00,275.99,3000.0,5.0,True,False,True,residential,40299.0,USA,Kentucky,"40299, Kentucky, USA",26.0,4875
4ZWW-PQKW-CT6P,1132465824.0,False,MCR,2021/08/25 00:00:00+00,351.47,3000.0,3.0,True,False,False,residential,40215.0,USA,Kentucky,"40215, Kentucky, USA",3.0,4876
ZV22-ZVL9-V3H9,1694100000.0,True,MCR,2021/08/31 00:00:00+00,1000.0,1100.0,3.0,True,True,False,residential,40215.0,USA,Kentucky,"40215, Kentucky, USA",3.0,4877
WVYW-NZ4Y-KYQV,4686400000.0,False,MCR,2021/09/28 00:00:00+00,165.96,3000.0,5.0,True,False,False,residential,40217.0,USA,Kentucky,"40217, Kentucky, USA",1.0,4878
PQYP-Z32Y-L2J4,2536394275.0,False,MCR,2021/12/28 00:00:00+00,220.1,3000.0,3.0,True,False,True,residential,40299.0,USA,Kentucky,"40299, Kentucky, USA",11.0,4879
M4N9-Z3WV-KLNZ,4653240000.0,False,MCR,2021/08/25 00:00:00+00,1000.0,794.0,1.0,True,False,False,residential,40219.0,USA,Kentucky,"40219, Kentucky, USA",24.0,4880
YLLK-2N9L-Y3LK,9175040055.0,False,MCR,2021/08/26 00:00:00+00,182.81,3000.0,5.0,True,False,True,residential,40214.0,USA,Kentucky,"40214, Kentucky, USA",21.0,4881
KVP2-LLNN-CR9G,8404020000.0,True,MCR,2021/08/31 00:00:00+00,1000.0,3800.0,5.0,True,True,True,residential,40215.0,USA,Kentucky,"40215, Kentucky, USA",15.0,4882
RKQZ-3QKL-KMWQ,5378339843.0,True,MCR,2021/09/08 00:00:00+00,1000.0,1800.0,1.0,True,True,False,residential,40220.0,USA,Kentucky,"40220, Kentucky, USA",26.0,4883
YVN2-3QLZ-GYF2,3047358131.0,True,MCR,2021/08/31 00:00:00+00,1000.0,675.0,5.0,True,True,False,residential,40215.0,USA,Kentucky,"40215, Kentucky, USA",15.0,4884
23N2-PQLL-3Q2C,6522161876.0,True,MCR,2021/09/21 00:00:00+00,324.85,2500.0,2.0,True,False,True,residential,40023.0,USA,Kentucky,"40023, Kentucky, USA",2.0,4885
NWQ3-PK3Q-2LZW,7424900000.0,False,MCR,2021/09/28 00:00:00+00,217.58,3000.0,4.0,True,False,True,residential,40272.0,USA,Kentucky,"40272, Kentucky, USA",14.0,4886
3QM4-23QV-6WX2,5959800000.0,False,MCR,2021/08/26 00:00:00+00,303.59,3000.0,3.0,True,False,True,residential,40272.0,USA,Kentucky,"40272, Kentucky, USA",25.0,4887
RPZW-VPLM-9649,1001364313.0,False,MCR,2021/12/28 00:00:00+00,670.8,3000.0,2.0,True,True,False,residential,40258.0,USA,Kentucky,"40258, Kentucky, USA",12.0,4888
QLPL-RQP2-ZJC9,8231824540.0,True,MCR,2021/08/25 00:00:00+00,1000.0,944.0,2.0,True,False,False,residential,40208.0,USA,Kentucky,"40208, Kentucky, USA",6.0,4889
RQVY-92YW-NGHR,48440000.0,False,MCR,2021/08/26 00:00:00+00,221.71,3000.0,2.0,True,False,True,residential,40212.0,USA,Kentucky,"40212, Kentucky, USA",5.0,4890
YP2Z-LLQN-FPLN,9624980708.0,False,MCR,2022/01/05 00:00:00+00,261.36,3000.0,2.0,True,False,False,residential,40215.0,USA,Kentucky,"40215, Kentucky, USA",21.0,4891
L9WQ-ZQQ9-KC9Z,8519310000.0,True,MCR,2021/09/29 00:00:00+00,180.57,3000.0,6.0,True,True,False,residential,40258.0,USA,Kentucky,"40258, Kentucky, USA",12.0,4892
ZV2Y-PW4W-QVTM,9347100000.0,False,MCR,2021/09/21 00:00:00+00,267.58,2500.0,2.0,True,False,True,residential,40215.0,USA,Kentucky,"40215, Kentucky, USA",15.0,4893
N499-3ZYN-XKT3,7478620000.0,False,MCR,2021/09/09 00:00:00+00,1000.0,714.0,1.0,True,True,False,residential,40213.0,USA,Kentucky,"40213, Kentucky, USA",21.0,4894
LLNR-Z3VY-J3HF,2738595954.0,False,MCR,2022/01/10 00:00:00+00,414.66,3000.0,4.0,True,False,True,residential,40228.0,USA,Kentucky,"40228, Kentucky, USA",23.0,4895
WV2K-ZVWR-3HPT,4151510000.0,True,MCR,2021/09/22 00:00:00+00,432.24,2500.0,5.0,True,False,False,residential,40210.0,USA,Kentucky,"40210, Kentucky, USA",1.0,4896
YP3R-WY3N-9XNL,4731260783.0,True,MCR,2021/08/25 00:00:00+00,1000.0,2100.0,4.0,True,True,True,residential,40210.0,USA,Kentucky,"40210, Kentucky, USA",4.0,4897
