OBJECTID,DFIRM_ID,FLD_AR_ID,FLD_ZONE,FLOODWAY,SFHA_TF,AR_REVERT,SOURCE_CIT,HYDRO_ID,CST_MDL_ID
660,50027C,50027C_8618,AE,FLOODWAY,T,,50027C_FIS1,,
661,50027C,50027C_9148,AE,FLOODWAY,T,,50027C_FIS1,,
662,50021C,50021C_7324,AE,FLOODWAY,T,,50021C_FIS1,,
663,50021C,50021C_7714,AE,FLOODWAY,T,,50021C_FIS2,,
664,50027C,50027C_9257,AE,FLOODWAY,T,,50027C_FIS1,,
665,500066,500066_6772,AE,FLOODWAY,T,,500066_FIS1,,
666,50027C,50027C_8037,AE,FLOODWAY,T,,50027C_FIS1,,
667,50027C,50027C_9282,AE,FLOODWAY,T,,50027C_FIS1,,
668,50021C,50021C_7813,AE,FLOODWAY,T,,50021C_FIS1,,
669,50021C,50021C_7584,AE,FLOODWAY,T,,50021C_FIS1,,
670,50027C,50027C_9134,AE,FLOODWAY,T,,50027C_FIS1,,
671,50027C,50027C_8141,AE,FLOODWAY,T,,50027C_FIS1,,
672,50021C,50021C_7671,AE,FLOODWAY,T,,50021C_FIS1,,
673,50021C,50021C_7674,AE,FLOODWAY,T,,50021C_FIS1,,
674,50027C,50027C_5105,AE,FLOODWAY,T,,50027C_FIS1,,
675,50027C,50027C_5111,AE,FLOODWAY,T,,50027C_FIS1,,
676,50027C,50027C_4801,AE,FLOODWAY,T,,50027C_FIS1,,
677,50027C,50027C_4802,AE,FLOODWAY,T,,50027C_FIS1,,
678,500234,500234_7873,AE,FLOODWAY,T,,500234_FIS1,,
679,50025C,50025C_2795,AE,FLOODWAY,T,NSPNUL,50025C_FIS1,,
680,500027,500027_6643,AE,FLOODWAY,T,,500027_FIS1,,
681,50027C,50027C_5105,AE,FLOODWAY,T,,50027C_FIS1,,
682,50027C,50027C_5111,AE,FLOODWAY,T,,50027C_FIS1,,
683,50027C,50027C_9184,AE,FLOODWAY,T,,50027C_FIS1,,
684,50025C,50025C_2381,AE,FLOODWAY,T,NSPNUL,50025C_FIS1,,
685,50021C,50021C_7714,AE,FLOODWAY,T,,50021C_FIS2,,
686,50027C,50027C_7971,AE,FLOODWAY,T,,50027C_FIS1,,
687,50025C,50025C_2564,AE,FLOODWAY,T,NSPNUL,50025C_FIS1,,
688,50021C,50021C_7674,AE,FLOODWAY,T,,50021C_FIS1,,
689,50027C,50027C_9204,AE,FLOODWAY,T,,50027C_FIS1,,
690,50027C,50027C_8374,AE,FLOODWAY,T,,50027C_FIS1,,
691,50025C,50025C_2468,AE,FLOODWAY,T,NSPNUL,50025C_FIS1,,
692,500056,500056_6729,AE,FLOODWAY,T,,500056_FIS1,,
693,50021C,50021C_7813,AE,FLOODWAY,T,,50021C_FIS1,,
694,50027C,50027C_7971,AE,FLOODWAY,T,,50027C_FIS1,,
695,50021C,50021C_7823,AE,FLOODWAY,T,,50021C_FIS1,,
696,50027C,50027C_8374,AE,FLOODWAY,T,,50027C_FIS1,,
697,50027C,50027C_8820,AE,FLOODWAY,T,,50027C_FIS1,,
698,50021C,50021C_7688,AE,FLOODWAY,T,,50021C_FIS1,,
699,50021C,50021C_7795,AE,FLOODWAY,T,,50021C_FIS2,,
700,500234,500234_7873,AE,FLOODWAY,T,,500234_FIS1,,
701,50027C,50027C_8037,AE,FLOODWAY,T,,50027C_FIS1,,
702,50027C,50027C_6311,AE,FLOODWAY,T,,50027C_FIS1,,
703,50027C,50027C_9184,AE,FLOODWAY,T,,50027C_FIS1,,
704,50021C,50021C_5961,AE,FLOODWAY,T,,50021C_FIS1,,
705,50027C,50027C_8820,AE,FLOODWAY,T,,50027C_FIS1,,
706,50027C,50027C_9265,AE,FLOODWAY,T,,50027C_FIS1,,
707,50027C,50027C_9157,AE,FLOODWAY,T,,50027C_FIS1,,
708,50027C,50027C_9158,AE,FLOODWAY,T,,50027C_FIS1,,
709,50027C,50027C_9159,AE,FLOODWAY,T,,50027C_FIS1,,
710,50027C,50027C_9160,AE,FLOODWAY,T,,50027C_FIS1,,
711,50025C,50025C_2468,AE,FLOODWAY,T,NSPNUL,50025C_FIS1,,
712,50027C,50027C_6306,AE,FLOODWAY,T,,50027C_FIS1,,
713,50025C,50025C_2795,AE,FLOODWAY,T,NSPNUL,50025C_FIS1,,
714,50027C,50027C_8135,AE,FLOODWAY,T,,50027C_FIS1,,
715,50027C,50027C_9158,AE,FLOODWAY,T,,50027C_FIS1,,
716,50027C,50027C_9159,AE,FLOODWAY,T,,50027C_FIS1,,
717,50027C,50027C_9160,AE,FLOODWAY,T,,50027C_FIS1,,
718,500056,500056_6729,AE,FLOODWAY,T,,500056_FIS1,,
719,50021C,50021C_7795,AE,FLOODWAY,T,,50021C_FIS2,,
720,50025C,50025C_2762,AE,FLOODWAY,T,NSPNUL,50025C_FIS1,,
721,50027C,50027C_8609,AE,FLOODWAY,T,,50027C_FIS1,,
722,50025C,50025C_2733,AE,FLOODWAY,T,NSPNUL,50025C_FIS1,,
723,50021C,50021C_5079,AE,FLOODWAY,T,,50021C_FIS1,,
724,50027C,50027C_8135,AE,FLOODWAY,T,,50027C_FIS1,,
725,50027C,50027C_4318,AE,FLOODWAY,T,,50027C_FIS1,,
726,50027C,50027C_8141,AE,FLOODWAY,T,,50027C_FIS1,,
727,50027C,50027C_6306,AE,FLOODWAY,T,,50027C_FIS1,,
728,50021C,50021C_7863,AE,FLOODWAY,T,,50021C_FIS1,,
729,50027C,50027C_6313,AE,FLOODWAY,T,,50027C_FIS1,,
730,50027C,50027C_6314,AE,FLOODWAY,T,,50027C_FIS1,,
731,50027C,50027C_9157,AE,FLOODWAY,T,,50027C_FIS1,,
732,50025C,50025C_2564,AE,FLOODWAY,T,NSPNUL,50025C_FIS1,,
733,50027C,50027C_9281,AE,FLOODWAY,T,,50027C_FIS1,,
734,50027C,50027C_9282,AE,FLOODWAY,T,,50027C_FIS1,,
735,50027C,50027C_9150,AE,FLOODWAY,T,,50027C_FIS1,,
736,50027C,50027C_9151,AE,FLOODWAY,T,,50027C_FIS1,,
737,50021C,50021C_7569,AE,FLOODWAY,T,,50021C_FIS1,,
738,50027C,50027C_8141,AE,FLOODWAY,T,,50027C_FIS1,,
739,50025C,50025C_2683,AE,FLOODWAY,T,NSPNUL,50025C_FIS1,,
740,50027C,50027C_6316,AE,FLOODWAY,T,,50027C_FIS1,,
741,50027C,50027C_6318,AE,FLOODWAY,T,,50027C_FIS1,,
742,50027C,50027C_6319,AE,FLOODWAY,T,,50027C_FIS1,,
743,50025C,50025C_2543,AE,FLOODWAY,T,NSPNUL,50025C_FIS1,,
744,50027C,50027C_6311,AE,FLOODWAY,T,,50027C_FIS1,,
745,50027C,50027C_8374,AE,FLOODWAY,T,,50027C_FIS1,,
746,50027C,50027C_6306,AE,FLOODWAY,T,,50027C_FIS1,,
747,50027C,50027C_4801,AE,FLOODWAY,T,,50027C_FIS1,,
748,50027C,50027C_4802,AE,FLOODWAY,T,,50027C_FIS1,,
749,50025C,50025C_2715,AE,FLOODWAY,T,NSPNUL,50025C_FIS1,,
750,50027C,50027C_6306,AE,FLOODWAY,T,,50027C_FIS1,,
751,50025C,50025C_2609,AE,FLOODWAY,T,NSPNUL,50025C_FIS1,,
752,500234,500234_7873,AE,FLOODWAY,T,,500234_FIS1,,
753,50021C,50021C_5954,AE,FLOODWAY,T,,50021C_FIS1,,
754,50021C,50021C_7795,AE,FLOODWAY,T,,50021C_FIS2,,
755,50027C,50027C_9184,AE,FLOODWAY,T,,50027C_FIS1,,
756,50027C,50027C_5111,AE,FLOODWAY,T,,50027C_FIS1,,
757,50027C,50027C_8618,AE,FLOODWAY,T,,50027C_FIS1,,
758,50025C,50025C_2762,AE,FLOODWAY,T,NSPNUL,50025C_FIS1,,
759,50021C,50021C_7823,AE,FLOODWAY,T,,50021C_FIS1,,
760,50021C,50021C_7422,AE,FLOODWAY,T,,50021C_FIS1,,
761,500027,500027_6643,AE,FLOODWAY,T,,500027_FIS1,,
762,50027C,50027C_6313,AE,FLOODWAY,T,,50027C_FIS1,,
763,50027C,50027C_6314,AE,FLOODWAY,T,,50027C_FIS1,,
764,50027C,50027C_6316,AE,FLOODWAY,T,,50027C_FIS1,,
765,50027C,50027C_6318,AE,FLOODWAY,T,,50027C_FIS1,,
766,50027C,50027C_6319,AE,FLOODWAY,T,,50027C_FIS1,,
767,50027C,50027C_4318,AE,FLOODWAY,T,,50027C_FIS1,,
768,50023C,50023C_1203,AE,FLOODWAY,T,,50023C_FIS1,,
769,50027C,50027C_8135,AE,FLOODWAY,T,,50027C_FIS1,,
770,50021C,50021C_7171,AE,FLOODWAY,T,,50021C_FIS1,,
771,50021C,50021C_7063,AE,FLOODWAY,T,,50021C_FIS1,,
772,50025C,50025C_2683,AE,FLOODWAY,T,NSPNUL,50025C_FIS1,,
773,50025C,50025C_2564,AE,FLOODWAY,T,NSPNUL,50025C_FIS1,,
774,50021C,50021C_7043,AE,FLOODWAY,T,,50021C_FIS2,,
775,50021C,50021C_7037,AE,FLOODWAY,T,,50021C_FIS1,,
776,50025C,50025C_2381,AE,FLOODWAY,T,NSPNUL,50025C_FIS1,,
777,50021C,50021C_5961,AE,FLOODWAY,T,,50021C_FIS1,,
778,50027C,50027C_9228,AE,FLOODWAY,T,,50027C_FIS1,,
779,50027C,50027C_9311,AE,FLOODWAY,T,,50027C_FIS1,,
780,50027C,50027C_6275,AE,FLOODWAY,T,,50027C_FIS1,,
781,50021C,50021C_7274,AE,FLOODWAY,T,,50021C_FIS1,,
782,500068,500068_6928,AE,FLOODWAY,T,,500068_FIS1,,
783,50025C,50025C_2633,AE,FLOODWAY,T,NSPNUL,50025C_FIS1,,
784,50027C,50027C_9282,AE,FLOODWAY,T,,50027C_FIS1,,
785,500066,500066_6772,AE,FLOODWAY,T,,500066_FIS1,,
786,50021C,50021C_7043,AE,FLOODWAY,T,,50021C_FIS2,,
787,50021C,50021C_7037,AE,FLOODWAY,T,,50021C_FIS1,,
788,50027C,50027C_4801,AE,FLOODWAY,T,,50027C_FIS1,,
