AOC_CODE,RANK_TITLE,OFFICER_SEX,OFFICER_RACE,OFFICER_AGE_RANGE,OFFICER_AGE,OFFICER_DIVISION,OFFICER_ASSIGNMENT,OFFICER_YEARS_SWORN,OBJECTID
2219,POLICE OFFICER                     ,M,W ,OVER 60,72,4TH DIVISION                                           ,2ND PLATOON                                            ,34.0,148
2221,POLICE OFFICER                     ,M,W ,OVER 60,65,CANINE UNIT                                            ,2ND PLATOON                                            ,35.0,149
2225,POLICE OFFICER                     ,M,B ,OVER 60,70,4TH DIVISION                                           ,2ND PLATOON                                            ,34.0,150
2226,POLICE CHIEF                       ,M,W ,50 - 59,54,CHIEF`S STAFF                                          ,STAFF                                                  ,25.0,151
2227,POLICE LIEUTENANT                  ,F,W ,40 - 49,45,PROPERTY ROOM SECTION                                  ,EVIDENCE TECH TEAM                                     ,20.0,152
2228,POLICE OFFICER                     ,M,W ,50 - 59,58,5TH DIVISION                                           ,1ST PLATOON                                            ,34.0,153
2229,POLICE OFFICER                     ,M,W ,OVER 60,67,5TH DIVISION                                           ,2ND PLATOON                                            ,16.0,154
2230,POLICE OFFICER                     ,M,W ,50 - 59,53,5TH DIVISION                                           ,1ST PLATOON                                            ,22.0,155
2232,POLICE OFFICER                     ,M,W ,50 - 59,53,8TH DIVISION                                           ,2ND PLATOON                                            ,25.0,156
2234,POLICE OFFICER                     ,M,W ,50 - 59,53,CIS HOMICIDE                                           ,MISSING PERSONS                                        ,18.0,157
2236,POLICE SERGEANT                    ,M,W ,40 - 49,44,SUPPORT UNIT                                           ,INVESTIGATIVE SUPPORT                                  ,18.0,158
2237,POLICE OFFICER                     ,M,W ,OVER 60,60,1ST DIVISION                                           ,3RD PLATOON                                            ,13.0,159
2238,POLICE OFFICER                     ,M,W ,50 - 59,57,4TH DIVISION                                           ,DETECTIVES                                             ,14.0,160
2239,POLICE OFFICER                     ,M,W ,OVER 60,67,TRAFFIC                                                ,1ST PLATOON                                            ,34.0,161
2241,POLICE OFFICER                     ,M,B ,OVER 60,61,TRAFFIC                                                ,3RD PLATOON                                            ,34.0,162
2243,POLICE LIEUTENANT                  ,M,W ,OVER 60,61,CIS ROBBERY                                            ,STAFF                                                  ,34.0,163
2244,POLICE MAJOR                       ,M,W ,50 - 59,52,2ND DIVISION                                           ,STAFF                                                  ,21.0,164
2246,POLICE SERGEANT                    ,M,W ,40 - 49,48,PROFESSIONAL STANDARDS UNIT                            ,STAFF                                                  ,23.0,165
2248,POLICE OFFICER                     ,M,W ,50 - 59,51,MAJOR CRIME DIVISION                                   ,STAFF                                                  ,23.0,166
2249,POLICE LIEUTENANT                  ,M,W ,40 - 49,48,2ND DIVISION                                           ,STAFF                                                  ,25.0,167
2253,POLICE OFFICER                     ,M,W ,40 - 49,48,5TH DIVISION                                           ,RESOURCE OFFICERS                                      ,23.0,168
2255,POLICE OFFICER                     ,M,W ,50 - 59,58,NARCOTICS                                              ,MAJOR CASE SQUAD                                       ,25.0,169
2256,POLICE SERGEANT                    ,M,W ,OVER 60,61,7TH DIVISION                                           ,3RD PLATOON                                            ,25.0,170
2257,POLICE OFFICER                     ,M,A ,50 - 59,57,TRAINING                                               ,BASIC ACADEMY                                          ,24.0,171
2259,POLICE LIEUTENANT                  ,M,W ,40 - 49,49,CANINE UNIT                                            ,STAFF                                                  ,23.0,172
2260,POLICE OFFICER                     ,M,W ,40 - 49,45,8TH DIVISION                                           ,RESOURCE OFFICERS                                      ,19.0,173
2261,POLICE SERGEANT                    ,M,W ,40 - 49,42,TECHNICAL SERVICES                                     ,VIDEO RECORDS UNIT                                     ,20.0,174
2262,POLICE SERGEANT                    ,M,W ,40 - 49,49,PROFESSIONAL STANDARDS UNIT                            ,STAFF                                                  ,22.0,175
2267,POLICE OFFICER                     ,F,W ,40 - 49,48,CIS SPECIAL VICTIMS                                    ,SEX CRIMES                                             ,24.0,176
2269,POLICE MAJOR                       ,M,W ,40 - 49,49,MAJOR CRIME DIVISION                                   ,STAFF                                                  ,24.0,177
2272,POLICE OFFICER                     ,M,W ,40 - 49,46,3RD DIVISION                                           ,RESOURCE OFFICERS                                      ,21.0,178
2274,POLICE SERGEANT                    ,M,W ,50 - 59,51,7TH DIVISION                                           ,1ST PLATOON                                            ,23.0,179
2278,POLICE OFFICER                     ,M,W ,OVER 60,61,5TH DIVISION                                           ,1ST PLATOON                                            ,23.0,180
2280,POLICE OFFICER                     ,M,W ,50 - 59,51,PROPERTY ROOM SECTION                                  ,EVIDENCE TECH TEAM                                     ,24.0,181
2283,POLICE LIEUTENANT                  ,F,W ,40 - 49,42,6TH DIVISION                                           ,STAFF                                                  ,20.0,182
2285,POLICE OFFICER                     ,M,W ,50 - 59,54,SCHOOL RESOURCE OFFICERS                               ,STAFF                                                  ,25.0,183
2288,POLICE SERGEANT                    ,F,W ,OVER 60,62,TRAINING                                               ,SPECIAL PROJECTS UNIT                                  ,25.0,184
2289,POLICE SERGEANT                    ,M,W ,50 - 59,52,8TH DIVISION                                           ,DETECTIVES                                             ,23.0,185
2290,POLICE SERGEANT                    ,M,W ,50 - 59,54,PROPERTY ROOM SECTION                                  ,STAFF                                                  ,25.0,186
2291,POLICE OFFICER                     ,M,W ,50 - 59,52,CRIMES AGAINST CHILDREN                                ,OPERATIONS A                                           ,24.0,187
2292,POLICE OFFICER                     ,M,W ,50 - 59,55,8TH DIVISION                                           ,1ST PLATOON                                            ,25.0,188
2294,POLICE LIEUTENANT                  ,M,W ,40 - 49,47,1ST DIVISION                                           ,STAFF                                                  ,23.0,189
2295,POLICE SERGEANT                    ,M,W ,50 - 59,50,TRAFFIC                                                ,2ND PLATOON                                            ,23.0,190
2298,POLICE OFFICER                     ,F,W ,40 - 49,49,SCHOOL RESOURCE OFFICERS                               ,STAFF                                                  ,24.0,191
2300,POLICE OFFICER                     ,M,W ,40 - 49,40,FOCUSED INTELLIGENCE UNIT                              ,FEDERAL TASK FORCES                                    ,18.0,192
2301,POLICE OFFICER                     ,M,W ,50 - 59,51,7TH DIVISION                                           ,2ND PLATOON                                            ,24.0,193
2302,POLICE SERGEANT                    ,F,W ,50 - 59,50,8TH DIVISION                                           ,STAFF                                                  ,24.0,194
2306,POLICE OFFICER                     ,M,W ,OVER 60,61,SWAT UNIT                                              ,SQUAD 1                                                ,24.0,195
2307,POLICE SERGEANT                    ,M,W ,40 - 49,45,6TH DIVISION                                           ,1ST PLATOON                                            ,19.0,196
2308,POLICE OFFICER                     ,M,W ,50 - 59,59,TRAFFIC                                                ,2ND PLATOON                                            ,24.0,197
2309,POLICE LIEUTENANT                  ,M,W ,50 - 59,51,COMMUNITY SERVICES                                     ,STAFF                                                  ,25.0,198
2310,POLICE SERGEANT                    ,M,B ,50 - 59,59,PROFESSIONAL STANDARDS UNIT                            ,STAFF                                                  ,21.0,199
2311,POLICE OFFICER                     ,M,W ,40 - 49,48,3RD DIVISION                                           ,1ST PLATOON                                            ,19.0,200
2312,POLICE OFFICER                     ,M,W ,50 - 59,54,3RD DIVISION                                           ,RESOURCE OFFICERS                                      ,24.0,201
2313,POLICE OFFICER                     ,M,W ,50 - 59,53,3RD DIVISION                                           ,RESOURCE OFFICERS                                      ,24.0,202
2314,POLICE OFFICER                     ,M,W ,OVER 60,62,7TH DIVISION                                           ,1ST PLATOON                                            ,18.0,203
2315,POLICE OFFICER                     ,M,W ,40 - 49,49,1ST DIVISION                                           ,1ST PLATOON                                            ,23.0,204
2317,POLICE OFFICER                     ,M,W ,50 - 59,52,SCHOOL RESOURCE OFFICERS                               ,STAFF                                                  ,23.0,205
2318,POLICE OFFICER                     ,M,B ,40 - 49,48,2ND DIVISION                                           ,2ND PLATOON                                            ,21.0,206
