AOC_CODE,RANK_TITLE,OFFICER_SEX,OFFICER_RACE,OFFICER_AGE_RANGE,OFFICER_AGE,OFFICER_DIVISION,OFFICER_ASSIGNMENT,OFFICER_YEARS_SWORN,OBJECTID
7002,POLICE SERGEANT                    ,F,W ,30 - 39,34,CIS HOMICIDE                                           ,SQUAD 2                                                ,11.0,1324
7011,POLICE OFFICER                     ,F,W ,40 - 49,41,1ST DIVISION                                           ,3RD PLATOON                                            ,10.0,1325
7998,POLICE CHIEF                       ,M,B ,OVER 60,78,CHIEF`S STAFF                                          ,STAFF                                                  ,,1326
7050,POLICE OFFICER                     ,M,W ,30 - 39,36,3RD DIVISION                                           ,2ND PLATOON                                            ,10.0,1327
7038,POLICE OFFICER                     ,M,W ,30 - 39,37,1ST DIVISION                                           ,BIKE PLATOON                                           ,10.0,1328
7036,POLICE OFFICER                     ,F,W ,40 - 49,46,CIS HOMICIDE                                           ,SQUAD 1                                                ,10.0,1329
7037,POLICE OFFICER                     ,M,W ,30 - 39,38,1ST DIVISION                                           ,BIKE PLATOON                                           ,10.0,1330
7039,POLICE OFFICER                     ,M,B ,40 - 49,40,SUPPORT BUREAU                                         ,STAFF                                                  ,10.0,1331
7061,POLICE OFFICER                     ,M,W ,30 - 39,35,1ST DIVISION                                           ,STAFF                                                  ,10.0,1332
7040,POLICE OFFICER                     ,M,B ,40 - 49,40,4TH DIVISION                                           ,2ND PLATOON                                            ,10.0,1333
7041,POLICE OFFICER                     ,M,W ,30 - 39,38,8TH DIVISION                                           ,1ST PLATOON                                            ,10.0,1334
7042,POLICE OFFICER                     ,M,B ,40 - 49,47,2ND DIVISION                                           ,2ND PLATOON                                            ,10.0,1335
7043,POLICE OFFICER                     ,F,W ,30 - 39,35,5TH DIVISION                                           ,DETECTIVES                                             ,10.0,1336
7044,POLICE OFFICER                     ,M,W ,30 - 39,34,4TH DIVISION                                           ,3RD PLATOON                                            ,10.0,1337
7045,POLICE OFFICER                     ,M,B ,40 - 49,41,6TH DIVISION                                           ,DETECTIVES                                             ,10.0,1338
7046,POLICE OFFICER                     ,M,W ,30 - 39,33,FOCUSED INTELLIGENCE UNIT                              ,MAJOR CASE SQUAD                                       ,10.0,1339
7047,POLICE OFFICER                     ,F,B ,30 - 39,35,TRAINING                                               ,IN-SERVICE TRAINING UNIT                               ,10.0,1340
7048,POLICE SERGEANT                    ,M,W ,30 - 39,36,8TH DIVISION                                           ,2ND PLATOON                                            ,10.0,1341
7049,POLICE OFFICER                     ,M,W ,30 - 39,35,5TH DIVISION                                           ,2ND PLATOON                                            ,10.0,1342
7052,POLICE SERGEANT                    ,M,W ,30 - 39,38,PROFESSIONAL STANDARDS UNIT                            ,STAFF                                                  ,10.0,1343
7056,POLICE OFFICER                     ,M,B ,40 - 49,43,1ST DIVISION                                           ,BIKE PLATOON                                           ,10.0,1344
7053,POLICE OFFICER                     ,M,W ,30 - 39,36,3RD DIVISION                                           ,1ST PLATOON                                            ,10.0,1345
7054,POLICE OFFICER                     ,F,W ,30 - 39,33,PUBLIC INFORMATION OFFICE                              ,COMMUNITY ENGAGEMENT UNIT                              ,10.0,1346
7055,POLICE OFFICER                     ,M,W ,30 - 39,38,MOUNTED PATROL                                         ,STAFF                                                  ,10.0,1347
7058,POLICE OFFICER                     ,M,H ,30 - 39,34,1ST DIVISION                                           ,BIKE PLATOON                                           ,10.0,1348
7057,POLICE OFFICER                     ,M,W ,30 - 39,35,VIOLENT CRIME UNIT                                     ,SQUAD 2                                                ,10.0,1349
7059,POLICE OFFICER                     ,M,W ,40 - 49,45,HOMELAND SECURITY UNIT                                 ,STAFF                                                  ,10.0,1350
7060,POLICE OFFICER                     ,M,W ,30 - 39,37,3RD DIVISION                                           ,3RD PLATOON                                            ,10.0,1351
7062,POLICE OFFICER                     ,M,W ,30 - 39,37,CIS ROBBERY                                            ,3RD PLATOON                                            ,9.0,1352
7063,POLICE OFFICER                     ,M,W ,40 - 49,46,TRAINING                                               ,FIREARMS TRAINING UNIT                                 ,10.0,1353
7064,POLICE OFFICER                     ,M,W ,30 - 39,33,CIS SPECIAL VICTIMS                                    ,CRIMES AGAINST CHILDREN                                ,10.0,1354
7065,POLICE OFFICER                     ,M,H ,30 - 39,34,6TH DIVISION                                           ,DETECTIVES                                             ,10.0,1355
7066,POLICE SERGEANT                    ,M,W ,30 - 39,34,TRAINING                                               ,STAFF                                                  ,10.0,1356
7096,POLICE OFFICER                     ,M,W ,40 - 49,41,8TH DIVISION                                           ,2ND PLATOON                                            ,9.0,1357
7069,POLICE OFFICER                     ,M,W ,30 - 39,35,MAJOR CRIME DIVISION                                   ,FUGITIVE APPREHENSION SQUAD                            ,9.0,1358
7070,POLICE SERGEANT                    ,M,W ,30 - 39,36,1ST DIVISION                                           ,DETECTIVES                                             ,9.0,1359
7072,POLICE SERGEANT                    ,M,W ,40 - 49,43,TRAFFIC                                                ,1ST PLATOON                                            ,9.0,1360
7074,POLICE OFFICER                     ,M,W ,30 - 39,35,7TH DIVISION                                           ,DETECTIVES                                             ,9.0,1361
7077,POLICE OFFICER                     ,M,W ,30 - 39,34,RIVER PATROL                                           ,STAFF                                                  ,9.0,1362
7080,POLICE OFFICER                     ,M,W ,50 - 59,52,3RD DIVISION                                           ,1ST PLATOON                                            ,9.0,1363
7081,POLICE OFFICER                     ,M,W ,40 - 49,41,2ND DIVISION                                           ,DETECTIVES                                             ,9.0,1364
7079,POLICE OFFICER                     ,F,A ,30 - 39,32,CIS SPECIAL VICTIMS                                    ,DOMESTIC VIOLENCE UNIT                                 ,9.0,1365
7083,POLICE OFFICER                     ,F,W ,30 - 39,34,5TH DIVISION                                           ,1ST PLATOON                                            ,9.0,1366
7082,POLICE OFFICER                     ,M,W ,30 - 39,37,3RD DIVISION                                           ,DETECTIVES                                             ,9.0,1367
7086,POLICE SERGEANT                    ,M,W ,30 - 39,37,INSPECTIONS AND COMPLIANCE UNIT                        ,STAFF                                                  ,9.0,1368
7085,POLICE SERGEANT                    ,M,W ,30 - 39,33,PROFESSIONAL STANDARDS UNIT                            ,STAFF                                                  ,9.0,1369
7076,POLICE OFFICER                     ,M,W ,30 - 39,33,CIS HOMICIDE                                           ,SQUAD 3                                                ,9.0,1370
7084,POLICE OFFICER                     ,F,W ,30 - 39,35,1ST DIVISION                                           ,BIKE PLATOON                                           ,9.0,1371
7089,POLICE SERGEANT                    ,M,W ,30 - 39,36,3RD DIVISION                                           ,DETECTIVES                                             ,9.0,1372
7087,POLICE SERGEANT                    ,M,W ,30 - 39,36,5TH DIVISION                                           ,DETECTIVES                                             ,9.0,1373
7088,POLICE OFFICER                     ,M,W ,30 - 39,38,CANINE UNIT                                            ,3RD PLATOON                                            ,9.0,1374
7090,POLICE SERGEANT                    ,M,W ,30 - 39,33,7TH DIVISION                                           ,2ND PLATOON                                            ,9.0,1375
7091,POLICE OFFICER                     ,M,W ,50 - 59,52,5TH DIVISION                                           ,DETECTIVES                                             ,9.0,1376
7094,POLICE OFFICER                     ,F,W ,30 - 39,36,4TH DIVISION                                           ,1ST PLATOON                                            ,9.0,1377
7095,POLICE OFFICER                     ,M,W ,30 - 39,37,8TH DIVISION                                           ,1ST PLATOON                                            ,9.0,1378
7098,POLICE OFFICER                     ,M,W ,30 - 39,39,8TH DIVISION                                           ,2ND PLATOON                                            ,9.0,1379
7097,POLICE OFFICER                     ,F,W ,40 - 49,42,CIS SPECIAL VICTIMS                                    ,SEX CRIMES                                             ,9.0,1380
7099,POLICE OFFICER                     ,M,W ,30 - 39,35,9TH DIVISION                                           ,SQUAD 3                                                ,9.0,1381
7100,POLICE OFFICER                     ,M,B ,30 - 39,35,7TH DIVISION                                           ,1ST PLATOON                                            ,9.0,1382
7101,POLICE SERGEANT                    ,M,B ,30 - 39,39,4TH DIVISION                                           ,2ND PLATOON                                            ,9.0,1383
7103,POLICE OFFICER                     ,M,B ,30 - 39,33,4TH DIVISION                                           ,1ST PLATOON                                            ,9.0,1384
7104,POLICE SERGEANT                    ,M,B ,40 - 49,40,7TH DIVISION                                           ,2ND PLATOON                                            ,9.0,1385
7071,POLICE OFFICER                     ,M,W ,30 - 39,32,MAJOR CASE UNIT                                        ,MAJOR CASE SQUAD                                       ,9.0,1386
7105,POLICE OFFICER                     ,M,W ,30 - 39,32,8TH DIVISION                                           ,1ST PLATOON                                            ,9.0,1387
7106,POLICE OFFICER                     ,M,W ,40 - 49,41,7TH DIVISION                                           ,2ND PLATOON                                            ,9.0,1388
7107,POLICE OFFICER                     ,M,B ,40 - 49,42,2ND DIVISION                                           ,3RD PLATOON                                            ,9.0,1389
7108,POLICE OFFICER                     ,M,W ,50 - 59,57,6TH DIVISION                                           ,3RD PLATOON                                            ,9.0,1390
7102,POLICE OFFICER                     ,M,W ,30 - 39,38,2ND DIVISION                                           ,1ST PLATOON                                            ,9.0,1391
7068,POLICE OFFICER                     ,M,W ,40 - 49,42,5TH DIVISION                                           ,1ST PLATOON                                            ,10.0,1392
7110,POLICE OFFICER                     ,M,W ,50 - 59,59,CIS ROBBERY                                            ,2ND PLATOON                                            ,9.0,1393
7111,POLICE OFFICER                     ,M,W ,40 - 49,45,8TH DIVISION                                           ,1ST PLATOON                                            ,8.0,1394
7112,POLICE OFFICER                     ,M,B ,40 - 49,40,PUBLIC INFORMATION OFFICE                              ,COMMUNITY ENGAGEMENT UNIT                              ,9.0,1395
7113,POLICE SERGEANT                    ,M,W ,30 - 39,32,7TH DIVISION                                           ,2ND PLATOON                                            ,9.0,1396
7115,POLICE OFFICER                     ,M,B ,30 - 39,38,3RD DIVISION                                           ,2ND PLATOON                                            ,9.0,1397
7114,POLICE LIEUTENANT                  ,M,A ,30 - 39,33,CIS SPECIAL VICTIMS                                    ,STAFF                                                  ,9.0,1398
7117,POLICE OFFICER                     ,M,B ,30 - 39,34,VEHICLE IMPOUNDMENT                                    ,STAFF                                                  ,9.0,1399
7116,POLICE OFFICER                     ,M,W ,30 - 39,33,4TH DIVISION                                           ,1ST PLATOON                                            ,9.0,1400
7128,POLICE OFFICER                     ,M,W ,30 - 39,33,MAJOR CRIME DIVISION                                   ,FUGITIVE APPREHENSION SQUAD                            ,9.0,1401
7119,POLICE SERGEANT                    ,F,W ,30 - 39,32,1ST DIVISION                                           ,2ND PLATOON                                            ,9.0,1402
7118,POLICE OFFICER                     ,F,W ,30 - 39,36,CIS HOMICIDE                                           ,SQUAD 2                                                ,9.0,1403
7120,POLICE OFFICER                     ,M,W ,40 - 49,43,7TH DIVISION                                           ,2ND PLATOON                                            ,9.0,1404
7121,POLICE OFFICER                     ,F,W ,30 - 39,37,4TH DIVISION                                           ,1ST PLATOON                                            ,9.0,1405
7122,POLICE OFFICER                     ,M,W ,30 - 39,34,MAJOR CRIME DIVISION                                   ,FUGITIVE APPREHENSION SQUAD                            ,9.0,1406
7123,POLICE OFFICER                     ,M,W ,30 - 39,33,3RD DIVISION                                           ,1ST PLATOON                                            ,9.0,1407
7127,POLICE OFFICER                     ,M,W ,30 - 39,35,7TH DIVISION                                           ,DETECTIVES                                             ,9.0,1408
7125,POLICE OFFICER                     ,F,W ,30 - 39,38,CIS ROBBERY                                            ,2ND PLATOON                                            ,9.0,1409
7124,POLICE OFFICER                     ,F,B ,30 - 39,35,6TH DIVISION                                           ,RESOURCE OFFICERS                                      ,9.0,1410
7073,POLICE SERGEANT                    ,M,W ,30 - 39,35,3RD DIVISION                                           ,2ND PLATOON                                            ,9.0,1411
7126,POLICE OFFICER                     ,M,B ,30 - 39,38,4TH DIVISION                                           ,1ST PLATOON                                            ,9.0,1412
7129,POLICE OFFICER                     ,F,W ,40 - 49,47,5TH DIVISION                                           ,1ST PLATOON                                            ,9.0,1413
7130,POLICE OFFICER                     ,M,W ,50 - 59,50,RIVER PATROL                                           ,STAFF                                                  ,9.0,1414
7131,POLICE OFFICER                     ,M,B ,40 - 49,47,FOCUSED INTELLIGENCE UNIT                              ,MAJOR CASE SQUAD                                       ,9.0,1415
7132,POLICE OFFICER                     ,M,B ,30 - 39,32,4TH DIVISION                                           ,1ST PLATOON                                            ,9.0,1416
7133,POLICE SERGEANT                    ,F,W ,30 - 39,32,WELLNESS UNIT                                          ,STAFF                                                  ,9.0,1417
7135,POLICE OFFICER                     ,F,W ,30 - 39,32,3RD DIVISION                                           ,3RD PLATOON                                            ,9.0,1418
7134,POLICE OFFICER                     ,M,W ,30 - 39,33,TRAINING                                               ,IN-SERVICE TRAINING UNIT                               ,9.0,1419
7136,POLICE OFFICER                     ,M,W ,30 - 39,32,3RD DIVISION                                           ,1ST PLATOON                                            ,9.0,1420
7137,POLICE OFFICER                     ,M,W ,40 - 49,40,VIOLENT CRIME UNIT                                     ,SQUAD 1                                                ,9.0,1421
7138,POLICE OFFICER                     ,M,B ,30 - 39,38,6TH DIVISION                                           ,RESOURCE OFFICERS                                      ,9.0,1422
7140,POLICE SERGEANT                    ,M,W ,30 - 39,36,CIS HOMICIDE                                           ,SQUAD 2                                                ,9.0,1423
7141,POLICE OFFICER                     ,M,W ,30 - 39,34,1ST DIVISION                                           ,DETECTIVES                                             ,9.0,1424
7142,POLICE OFFICER                     ,F,W ,30 - 39,32,8TH DIVISION                                           ,DETECTIVES                                             ,9.0,1425
7143,POLICE OFFICER                     ,M,W ,30 - 39,39,FOCUSED INTELLIGENCE UNIT                              ,FIREARMS INTELLIGENCE SQUAD                            ,9.0,1426
7144,POLICE SERGEANT                    ,M,W ,30 - 39,33,2ND DIVISION                                           ,1ST PLATOON                                            ,8.0,1427
7145,POLICE OFFICER                     ,M,W ,30 - 39,33,CANINE UNIT                                            ,2ND PLATOON                                            ,8.0,1428
7146,POLICE OFFICER                     ,M,W ,30 - 39,37,2ND DIVISION                                           ,1ST PLATOON                                            ,8.0,1429
7147,POLICE OFFICER                     ,M,W ,30 - 39,37,NARCOTICS                                              ,INTERDICTION SQUAD                                     ,8.0,1430
7148,POLICE OFFICER                     ,F,W ,40 - 49,44,1ST DIVISION                                           ,BIKE PLATOON                                           ,8.0,1431
7149,POLICE OFFICER                     ,M,W ,30 - 39,32,3RD DIVISION                                           ,1ST PLATOON                                            ,8.0,1432
7150,POLICE SERGEANT                    ,M,W ,30 - 39,32,VIOLENT CRIME UNIT                                     ,SQUAD 2                                                ,8.0,1433
7152,POLICE OFFICER                     ,M,W ,30 - 39,32,FOCUSED INTELLIGENCE UNIT                              ,FIREARMS INTELLIGENCE SQUAD                            ,8.0,1434
7153,POLICE SERGEANT                    ,F,W ,30 - 39,33,1ST DIVISION                                           ,2ND PLATOON                                            ,8.0,1435
7154,POLICE OFFICER                     ,F,B ,30 - 39,38,2ND DIVISION                                           ,2ND PLATOON                                            ,8.0,1436
7155,POLICE OFFICER                     ,M,W ,50 - 59,54,1ST DIVISION                                           ,BIKE PLATOON                                           ,8.0,1437
7156,POLICE OFFICER                     ,M,B ,30 - 39,39,CIS HOMICIDE                                           ,SQUAD 3                                                ,8.0,1438
7157,POLICE OFFICER                     ,M,B ,30 - 39,35,4TH DIVISION                                           ,1ST PLATOON                                            ,8.0,1439
7139,POLICE SERGEANT                    ,M,W ,30 - 39,36,4TH DIVISION                                           ,1ST PLATOON                                            ,9.0,1440
7158,POLICE OFFICER                     ,M,B ,30 - 39,34,7TH DIVISION                                           ,3RD PLATOON                                            ,8.0,1441
7166,POLICE OFFICER                     ,M,W ,30 - 39,34,3RD DIVISION                                           ,1ST PLATOON                                            ,8.0,1442
7159,POLICE OFFICER                     ,M,W ,30 - 39,38,8TH DIVISION                                           ,2ND PLATOON                                            ,8.0,1443
7160,POLICE OFFICER                     ,M,W ,30 - 39,35,3RD DIVISION                                           ,2ND PLATOON                                            ,8.0,1444
7161,POLICE OFFICER                     ,M,W ,30 - 39,32,FOCUSED INTELLIGENCE UNIT                              ,FIREARMS INTELLIGENCE SQUAD                            ,8.0,1445
7162,POLICE OFFICER                     ,M,W ,30 - 39,36,1ST DIVISION                                           ,2ND PLATOON                                            ,8.0,1446
7163,POLICE OFFICER                     ,M,W ,30 - 39,33,6TH DIVISION                                           ,1ST PLATOON                                            ,8.0,1447
7164,POLICE OFFICER                     ,M,H ,30 - 39,35,8TH DIVISION                                           ,1ST PLATOON                                            ,8.0,1448
7165,POLICE OFFICER                     ,M,W ,30 - 39,33,1ST DIVISION                                           ,DETECTIVES                                             ,8.0,1449
7169,POLICE OFFICER                     ,M,B ,30 - 39,35,4TH DIVISION                                           ,2ND PLATOON                                            ,8.0,1450
7171,POLICE OFFICER                     ,M,W ,30 - 39,32,3RD DIVISION                                           ,1ST PLATOON                                            ,8.0,1451
7173,POLICE SERGEANT                    ,M,W ,30 - 39,33,1ST DIVISION                                           ,2ND PLATOON                                            ,8.0,1452
7174,POLICE OFFICER                     ,M,B ,30 - 39,31,3RD DIVISION                                           ,1ST PLATOON                                            ,8.0,1453
7167,POLICE OFFICER                     ,M,W ,50 - 59,52,6TH DIVISION                                           ,1ST PLATOON                                            ,8.0,1454
7168,POLICE OFFICER                     ,M,W ,30 - 39,30,CIS HOMICIDE                                           ,SQUAD 2                                                ,8.0,1455
7170,POLICE OFFICER                     ,F,W ,30 - 39,34,1ST DIVISION                                           ,RESOURCE OFFICERS                                      ,8.0,1456
7176,POLICE OFFICER                     ,M,B ,30 - 39,31,6TH DIVISION                                           ,2ND PLATOON                                            ,8.0,1457
7177,POLICE OFFICER                     ,M,W ,30 - 39,35,3RD DIVISION                                           ,1ST PLATOON                                            ,8.0,1458
7178,POLICE OFFICER                     ,M,W ,30 - 39,31,8TH DIVISION                                           ,2ND PLATOON                                            ,8.0,1459
7180,POLICE SERGEANT                    ,M,W ,40 - 49,44,1ST DIVISION                                           ,1ST PLATOON                                            ,8.0,1460
7182,POLICE OFFICER                     ,M,W ,30 - 39,36,RECORDS MANAGEMENT                                     ,LMPD SERVICE CENTER                                    ,8.0,1461
7183,POLICE OFFICER                     ,M,W ,30 - 39,34,4TH DIVISION                                           ,1ST PLATOON                                            ,8.0,1462
7181,POLICE OFFICER                     ,F,W ,30 - 39,32,2ND DIVISION                                           ,2ND PLATOON                                            ,8.0,1463
7184,POLICE OFFICER                     ,M,W ,30 - 39,34,2ND DIVISION                                           ,1ST PLATOON                                            ,8.0,1464
7172,POLICE OFFICER                     ,M,W ,40 - 49,41,TRAINING                                               ,RECRUITS                                               ,8.0,1465
7179,POLICE OFFICER                     ,M,W ,30 - 39,35,5TH DIVISION                                           ,DETECTIVES                                             ,8.0,1466
7175,POLICE OFFICER                     ,F,W ,30 - 39,32,2ND DIVISION                                           ,DETECTIVES                                             ,8.0,1467
7185,POLICE OFFICER                     ,M,W ,30 - 39,32,5TH DIVISION                                           ,DETECTIVES                                             ,8.0,1468
7197,POLICE OFFICER                     ,M,B ,30 - 39,38,2ND DIVISION                                           ,HALO/DRO                                               ,8.0,1469
7226,POLICE OFFICER                     ,M,W ,30 - 39,31,3RD DIVISION                                           ,DETECTIVES                                             ,8.0,1470
7232,POLICE OFFICER                     ,M,W ,30 - 39,34,3RD DIVISION                                           ,1ST PLATOON                                            ,8.0,1471
7189,POLICE OFFICER                     ,M,W ,40 - 49,46,3RD DIVISION                                           ,2ND PLATOON                                            ,8.0,1472
7205,POLICE OFFICER                     ,F,W ,30 - 39,33,3RD DIVISION                                           ,DETECTIVES                                             ,7.0,1473
7215,POLICE OFFICER                     ,F,W ,40 - 49,41,MOUNTED PATROL                                         ,STAFF                                                  ,8.0,1474
7190,POLICE OFFICER                     ,F,B ,30 - 39,39,1ST DIVISION                                           ,2ND PLATOON                                            ,8.0,1475
7216,POLICE OFFICER                     ,M,W ,40 - 49,45,1ST DIVISION                                           ,1ST PLATOON                                            ,8.0,1476
7229,POLICE OFFICER                     ,M,W ,30 - 39,33,1ST DIVISION                                           ,BIKE PLATOON                                           ,8.0,1477
7191,POLICE SERGEANT                    ,M,W ,30 - 39,35,1ST DIVISION                                           ,DETECTIVES                                             ,8.0,1478
7227,POLICE OFFICER                     ,F,W ,30 - 39,32,SCHOOL RESOURCE OFFICERS                               ,STAFF                                                  ,8.0,1479
7231,POLICE OFFICER                     ,F,W ,30 - 39,32,2ND DIVISION                                           ,HALO/DRO                                               ,8.0,1480
7219,POLICE LIEUTENANT                  ,M,W ,30 - 39,31,3RD DIVISION                                           ,STAFF                                                  ,8.0,1481
7194,POLICE OFFICER                     ,M,W ,30 - 39,36,VIOLENT CRIME UNIT                                     ,SQUAD 2                                                ,8.0,1482
7218,POLICE OFFICER                     ,M,W ,30 - 39,35,1ST DIVISION                                           ,2ND PLATOON                                            ,8.0,1483
7195,POLICE OFFICER                     ,M,W ,30 - 39,36,1ST DIVISION                                           ,3RD PLATOON                                            ,8.0,1484
7196,POLICE OFFICER                     ,M,W ,30 - 39,38,FOCUSED INTELLIGENCE UNIT                              ,FIREARMS INTELLIGENCE SQUAD                            ,8.0,1485
7217,POLICE OFFICER                     ,M,W ,30 - 39,35,CIS HOMICIDE                                           ,SQUAD 1                                                ,8.0,1486
7228,POLICE OFFICER                     ,M,W ,40 - 49,44,4TH DIVISION                                           ,1ST PLATOON                                            ,8.0,1487
7199,POLICE OFFICER                     ,M,W ,30 - 39,38,5TH DIVISION                                           ,1ST PLATOON                                            ,8.0,1488
7224,POLICE OFFICER                     ,M,A ,30 - 39,35,3RD DIVISION                                           ,1ST PLATOON                                            ,8.0,1489
7223,POLICE OFFICER                     ,F,W ,30 - 39,31,1ST DIVISION                                           ,2ND PLATOON                                            ,8.0,1490
7213,POLICE OFFICER                     ,M,H ,30 - 39,34,7TH DIVISION                                           ,2ND PLATOON                                            ,8.0,1491
7221,POLICE OFFICER                     ,M,W ,30 - 39,33,3RD DIVISION                                           ,1ST PLATOON                                            ,8.0,1492
7198,POLICE OFFICER                     ,M,B ,40 - 49,45,3RD DIVISION                                           ,2ND PLATOON                                            ,8.0,1493
7220,POLICE SERGEANT                    ,M,W ,30 - 39,33,1ST DIVISION                                           ,2ND PLATOON                                            ,8.0,1494
7211,POLICE OFFICER                     ,M,W ,30 - 39,31,6TH DIVISION                                           ,2ND PLATOON                                            ,8.0,1495
7210,POLICE OFFICER                     ,M,W ,30 - 39,37,1ST DIVISION                                           ,2ND PLATOON                                            ,8.0,1496
7209,POLICE SERGEANT                    ,M,W ,30 - 39,35,2ND DIVISION                                           ,2ND PLATOON                                            ,8.0,1497
7208,POLICE OFFICER                     ,F,B ,40 - 49,42,4TH DIVISION                                           ,1ST PLATOON                                            ,8.0,1498
7207,POLICE SERGEANT                    ,M,W ,40 - 49,40,7TH DIVISION                                           ,2ND PLATOON                                            ,8.0,1499
7201,POLICE OFFICER                     ,M,W ,30 - 39,34,SWAT UNIT                                              ,SQUAD 1                                                ,8.0,1500
7202,POLICE OFFICER                     ,M,W ,30 - 39,35,3RD DIVISION                                           ,1ST PLATOON                                            ,7.0,1501
7200,POLICE OFFICER                     ,F,W ,30 - 39,36,6TH DIVISION                                           ,1ST PLATOON                                            ,8.0,1502
7206,POLICE OFFICER                     ,M,W ,30 - 39,32,CANINE UNIT                                            ,3RD PLATOON                                            ,8.0,1503
7204,POLICE OFFICER                     ,M,A ,30 - 39,34,8TH DIVISION                                           ,1ST PLATOON                                            ,8.0,1504
7203,POLICE OFFICER                     ,M,W ,30 - 39,34,5TH DIVISION                                           ,2ND PLATOON                                            ,8.0,1505
7212,POLICE OFFICER                     ,M,B ,30 - 39,31,1ST DIVISION                                           ,RESOURCE OFFICERS                                      ,8.0,1506
7233,POLICE OFFICER                     ,M,W ,30 - 39,37,SWAT UNIT                                              ,SQUAD 2                                                ,8.0,1507
7235,POLICE OFFICER                     ,F,W ,30 - 39,31,CIS SPECIAL VICTIMS                                    ,CRIMES AGAINST CHILDREN                                ,8.0,1508
7236,POLICE OFFICER                     ,M,W ,30 - 39,32,CIS HOMICIDE                                           ,SQUAD 3                                                ,8.0,1509
7237,POLICE OFFICER                     ,M,W ,30 - 39,35,7TH DIVISION                                           ,2ND PLATOON                                            ,8.0,1510
7238,POLICE OFFICER                     ,M,W ,30 - 39,32,4TH DIVISION                                           ,3RD PLATOON                                            ,8.0,1511
7239,POLICE OFFICER                     ,M,W ,30 - 39,30,1ST DIVISION                                           ,1ST PLATOON                                            ,8.0,1512
7193,POLICE OFFICER                     ,M,W ,OVER 60,61,6TH DIVISION                                           ,3RD PLATOON                                            ,8.0,1513
7242,POLICE SERGEANT                    ,M,W ,40 - 49,40,1ST DIVISION                                           ,2ND PLATOON                                            ,8.0,1514
7243,POLICE OFFICER                     ,M,W ,40 - 49,49,CIS HOMICIDE                                           ,SQUAD 4                                                ,8.0,1515
7234,POLICE OFFICER                     ,M,W ,50 - 59,57,3RD DIVISION                                           ,STAFF                                                  ,8.0,1516
7241,POLICE OFFICER                     ,M,W ,30 - 39,35,CIS SPECIAL VICTIMS                                    ,CRIMES AGAINST CHILDREN                                ,8.0,1517
7245,POLICE OFFICER                     ,M,W ,30 - 39,38,VIOLENT CRIME UNIT                                     ,SQUAD 1                                                ,8.0,1518
7246,POLICE OFFICER                     ,M,H ,40 - 49,47,7TH DIVISION                                           ,2ND PLATOON                                            ,13.0,1519
7244,POLICE OFFICER                     ,M,B ,30 - 39,35,3RD DIVISION                                           ,1ST PLATOON                                            ,8.0,1520
7247,POLICE OFFICER                     ,M,W ,30 - 39,30,TECHNICAL SERVICES                                     ,TECHNICAL SERVICES                                     ,8.0,1521
7249,POLICE SERGEANT                    ,M,W ,30 - 39,33,4TH DIVISION                                           ,DETECTIVES                                             ,8.0,1522
7250,POLICE OFFICER                     ,M,B ,30 - 39,34,CIS ROBBERY                                            ,2ND PLATOON                                            ,8.0,1523
7251,POLICE OFFICER                     ,M,W ,30 - 39,33,AIR PATROL                                             ,STAFF                                                  ,8.0,1524
7252,POLICE OFFICER                     ,M,W ,30 - 39,36,3RD DIVISION                                           ,1ST PLATOON                                            ,8.0,1525
7253,POLICE OFFICER                     ,M,W ,30 - 39,38,1ST DIVISION                                           ,DETECTIVES                                             ,7.0,1526
7254,POLICE OFFICER                     ,M,B ,30 - 39,39,STRATEGIC PLANNING                                     ,STAFF                                                  ,8.0,1527
7269,POLICE OFFICER                     ,F,B ,30 - 39,34,7TH DIVISION                                           ,1ST PLATOON                                            ,8.0,1528
7240,POLICE OFFICER                     ,M,W ,30 - 39,37,SWAT UNIT                                              ,SQUAD 2                                                ,8.0,1529
7255,POLICE OFFICER                     ,M,W ,40 - 49,40,1ST DIVISION                                           ,BIKE PLATOON                                           ,8.0,1530
7266,POLICE OFFICER                     ,M,B ,30 - 39,39,1ST DIVISION                                           ,1ST PLATOON                                            ,8.0,1531
7267,POLICE OFFICER                     ,M,W ,30 - 39,37,3RD DIVISION                                           ,1ST PLATOON                                            ,8.0,1532
7268,POLICE OFFICER                     ,F,W ,30 - 39,37,2ND DIVISION                                           ,DETECTIVES                                             ,8.0,1533
7256,POLICE OFFICER                     ,M,B ,30 - 39,34,6TH DIVISION                                           ,2ND PLATOON                                            ,8.0,1534
7258,POLICE OFFICER                     ,M,W ,30 - 39,37,4TH DIVISION                                           ,1ST PLATOON                                            ,8.0,1535
7259,POLICE OFFICER                     ,F,W ,40 - 49,47,4TH DIVISION                                           ,3RD PLATOON                                            ,8.0,1536
7261,POLICE OFFICER                     ,M,W ,40 - 49,41,SUPPORT UNIT                                           ,SCRIPT TEAM                                            ,8.0,1537
7262,POLICE OFFICER                     ,M,W ,30 - 39,39,4TH DIVISION                                           ,DETECTIVES                                             ,8.0,1538
7263,POLICE OFFICER                     ,M,A ,30 - 39,36,3RD DIVISION                                           ,1ST PLATOON                                            ,8.0,1539
7257,POLICE OFFICER                     ,M,W ,30 - 39,35,4TH DIVISION                                           ,DETECTIVES                                             ,8.0,1540
