OBJECTID,OHV_AREA_ID,OHV_AREA_NM,OHV_AREA_NR,ADMIN_ST,ADM_UNIT_CD,ADMU_NM,LUPA_ID,LUP_NM,ROD_DT,LUP_OHV_DSGNTN,OHV_LMTN_CD,OHV_LMTN_TX,LUP_DCLR_ACRES,GIS_ACRES,BLM_ACRES,GlobalID,SHAPE_Length,SHAPE_Area
1836, ,Priority Area 2: Silverton, ,CO,COS01000,Tres Rios Field Office, ,Tres Rios Field Office 2015 RMP,2015/02/27 00:00:00+00,Limited,,,0.0,0.12323507,,{CC885802-3515-450D-BEE7-D03B622DD161},149.94726396468,498.713269257388
1837, ,Priority Area 2: Silverton, ,CO,COS01000,Tres Rios Field Office, ,Tres Rios Field Office 2015 RMP,2015/02/27 00:00:00+00,Limited,,,0.0,4.49693071,,{598A37E2-0865-42F0-A0AF-3338EF17CC94},828.025802248857,18198.4383468948
1838, ,Priority Area 2: Silverton, ,CO,COS01000,Tres Rios Field Office, ,Tres Rios Field Office 2015 RMP,2015/02/27 00:00:00+00,Limited,,,0.0,1.97739896,,{BE83DF6B-2212-4AD8-A4B3-E527FE1952B4},437.420912784696,8002.24487376218
1839, ,Priority Area 2: Silverton, ,CO,COS01000,Tres Rios Field Office, ,Tres Rios Field Office 2015 RMP,2015/02/27 00:00:00+00,Limited,,,0.0,3.56508154,,{19A551B7-0023-49CF-AF12-3EDFD496ACFB},488.748499180343,14427.376521486
1840, ,Priority Area 2: Silverton, ,CO,COS01000,Tres Rios Field Office, ,Tres Rios Field Office 2015 RMP,2015/02/27 00:00:00+00,Limited,,,0.0,0.29559601,,{14373B32-E94C-444A-9843-F5594536947E},221.522044810554,1196.2372997943
1841, ,Priority Area 2: Silverton, ,CO,COS01000,Tres Rios Field Office, ,Tres Rios Field Office 2015 RMP,2015/02/27 00:00:00+00,Limited,,,0.0,1.72115216,,{478AB33D-D244-444B-80F9-C2A66342F2CF},595.812958316713,6965.25953680441
1842, ,Priority Area 2: Silverton, ,CO,COS01000,Tres Rios Field Office, ,Tres Rios Field Office 2015 RMP,2015/02/27 00:00:00+00,Limited,,,0.0,1.1065289,,{9C12A293-12D5-4F39-B17B-D18414040FF5},483.544804462943,4477.96446107869
1843, ,Priority Area 3: Greater Durango,,CO,COS01000,Tres Rios Field Office, ,Tres Rios Field Office 2015 RMP,2015/02/27 00:00:00+00,Limited,,,0.0,88.24244133,,{80BCD206-E64B-4B55-965E-532FB4584062},2508.18170609147,357104.489846886
1844, ,Priority Area 2: Silverton, ,CO,COS01000,Tres Rios Field Office, ,Tres Rios Field Office 2015 RMP,2015/02/27 00:00:00+00,Limited,,,0.0,0.03197642,,{E01C86DA-5416-4FA7-9AA6-8AE4F4674C0D},60.6963054221767,129.402737661394
1845, ,Priority Area 3: Greater Durango,,CO,COS01000,Tres Rios Field Office, ,Tres Rios Field Office 2015 RMP,2015/02/27 00:00:00+00,Limited,,,0.0,31.20063236,,{39DE43AA-CC23-4F06-9F12-F7CF085EF9E5},1995.73293517752,126264.474522139
1846, ,Priority Area 4: Dispersed Tres Rios, ,CO,COS01000,Tres Rios Field Office, ,Tres Rios Field Office 2015 RMP,2015/02/27 00:00:00+00,Limited,,,0.0,39.99609532,,{B7435361-F800-47C0-B6D0-9EB6B699A26A},1609.26801829027,161858.476122324
1847, ,Priority Area 2: Silverton, ,CO,COS01000,Tres Rios Field Office, ,Tres Rios Field Office 2015 RMP,2015/02/27 00:00:00+00,Limited,,,0.0,0.55851304,,{B5A44603-5FAC-4C44-B0E0-930F26A39657},225.381333387291,2260.22044274786
