OBJECTID,SBAS_NO,SUBREGION,RBAS_NO,REGIONAL,MBAS_NO,MAJOR,ACREAGE,AREA_SQMI,SHAPE_Length,SHAPE_Area
315,7300,Norwalk River,73,Norwalk,7,Southwest Coast,20828.90039062,32.54520034,290561.940883644,907308233.294695
316,5101,Oyster River,51,South Central Eastern Complex,5,South Central Coast,3668.85009765,5.73257017,70123.2531718205,159814914.646791
317,2000,Southeast Shoreline,20,Southeast Shoreline,2,Southeast Coast,933.10101318,1.45797002,57877.689461742,40645869.3554732
318,5306,Indian River,53,South Central Western Complex,5,South Central Coast,7797.27978515,12.18330001,111862.691226632,339649557.973838
319,5000,South Central Shoreline,50,South Central Shoreline,5,South Central Coast,9054.79980468,14.14809989,169648.961680602,394427098.714564
320,8105,Waccabuc River,81,Croton,8,Hudson,5066.33007812,7.91614007,92297.7922396209,220689312.458954
321,5000,South Central Shoreline,50,South Central Shoreline,5,South Central Coast,9134.00976562,14.27190017,233007.899351106,397877455.371381
322,5109,Sluice Creek,51,South Central Eastern Complex,5,South Central Coast,1436.6899414,2.24482989,41736.0129159002,62582169.20324
323,5000,South Central Shoreline,50,South Central Shoreline,5,South Central Coast,4461.91992187,6.97174978,97295.9102653262,194361076.060063
324,2000,Southeast Shoreline,20,Southeast Shoreline,2,Southeast Coast,26.66329956,0.0416614,8981.30208078962,1161451.48114596
325,5000,South Central Shoreline,50,South Central Shoreline,5,South Central Coast,4801.97998046,7.50309991,204495.891669055,209174421.01599
326,5000,South Central Shoreline,50,South Central Shoreline,5,South Central Coast,2083.25,3.25507998,67311.2876241701,90746371.3621092
327,7404,Mill River,74,Southwest Western Complex,7,Southwest Coast,8544.63964843,13.35099983,166360.605164696,372204526.9668
328,5000,South Central Shoreline,50,South Central Shoreline,5,South Central Coast,1971.22998046,3.08004999,59446.4131803294,85866918.6603087
329,5000,South Central Shoreline,50,South Central Shoreline,5,South Central Coast,1618.59997558,2.5290699,81849.5029049431,70506425.3966859
330,5000,South Central Shoreline,50,South Central Shoreline,5,South Central Coast,970.04498291,1.51569998,57554.035117307,42255163.2140843
331,7104,Booth Hill Brook,71,Southwest Eastern,7,Southwest Coast,3257.81005859,5.09033012,63652.0034241037,141910333.104393
332,5000,South Central Shoreline,50,South Central Shoreline,5,South Central Coast,586.73297119,0.91676998,46861.8586401104,25558071.5844707
333,6026,Pumpkin Ground Brook,60,Housatonic Main Stem,6,Housatonic,3798.87011718,5.93573999,88257.5199539725,165478883.778655
334,5000,South Central Shoreline,50,South Central Shoreline,5,South Central Coast,233.55400085,0.364928,19217.6180041284,10173594.8766534
335,7106,Ash Creek,71,Southwest Eastern,7,Southwest Coast,9813.0,15.33279991,136561.744030696,427454277.543168
336,7302,Silvermine River,73,Norwalk,7,Southwest Coast,14414.90039062,22.52330017,151204.96080763,627914072.787196
