OBJECTID,SHAPE_Length,SHAPE_Area
837,3493.18233558499,102143.880579225
838,1385.51564366175,108559.684816399
839,1275.02407389631,110544.444489079
840,1688.15616574582,119135.143169981
841,1487.29906991395,145105.643965216
842,30189.3937393834,5303906.9390879
843,17684.7494401075,3500261.1669235
844,1733.69893412536,155919.091801385
845,1961.7832371961,161877.773600648
846,2484.25787844732,180330.160988705
847,1854.28772368216,184385.488897489
848,2468.53561215014,186822.547843577
849,3040.77288472796,206054.7064828
850,2163.92074637541,208323.156586489
851,1936.80965034905,219838.224764061
852,71524.0077310004,14038184.2158019
853,12489.5106588648,2342583.6728071
854,6896.68080833558,844442.896612891
855,2202.93523974728,232529.778388726
856,2454.07873866363,279611.440271359
857,4027.41292167945,281201.510066065
858,4554.40930332057,282936.91313752
859,2813.64900563677,323746.387971679
860,3400.89471291132,329624.311441183
861,1107.12230174764,83038.386027322
862,1817.53723076499,216434.338857111
863,38292.5101180025,7465827.50753545
864,5165.29652301724,511441.820139166
865,3674.77800522199,303015.149508288
866,40.7471682946877,56.366509791749
867,2984.99785782926,442081.110669804
868,3019.6371969655,445866.303918308
869,3824.8491446445,459252.419961794
870,3277.77138372815,513795.361288808
871,2966.7276702739,529450.3067961
872,3658.31502135609,581318.555454378
873,2092.38082450578,192839.023202368
874,2306.25168196869,110841.397943991
875,1513.23448389149,97990.6198504576
876,622.406352580629,10041.7676294026
877,9738.85855625978,2101478.48966497
878,79350.3939088282,52197837.7920976
879,4456.2804704159,618328.529517095
880,4392.74508432218,721510.931277041
881,7266.3683941773,752653.803357287
882,2807.86692205361,167251.615739239
883,6102.13187612638,1051181.7389342
884,5806.89753280515,1132866.04050298
885,5684.75265771264,1144501.55821943
886,8702.50998238223,1222162.78835413
887,4376.5185428716,609929.82933232
888,1127.07318293846,48637.4405636107
889,1052.20389448595,40391.832813957
890,17019.8561426177,3280629.49763562
891,6947.48743778085,1462403.07642903
892,6548.91227809691,1994998.11457741
893,11416.8739484706,1722163.32949949
894,11148.2487113978,3743337.50610097
895,2552.09543919862,277255.555985508
896,6242.45673969046,770296.040271656
897,8603.18683963159,2269843.5637274
898,8394.34677553653,2320211.44099646
899,32930.6190625172,4491739.47399163
900,8325.3555526711,2843146.22757646
901,40177.6197326995,12402925.3540068
902,912.36558887965,16827.410585519
903,821.352392607177,42358.2296288714
904,2145.5434856553,57107.6350006607
905,1474.56026912775,123745.34223298
906,31904.081080186,3634843.93244644
907,1773.26932758906,30925.0008285509
908,1173.80365872229,31150.7230260058
909,11216.1243332013,3632869.96891242
910,6624.93988953294,1042832.94524561
911,4558.95099065551,443881.119812199
912,3073.34779356643,139621.038877424
913,1635.92791996843,158647.421005045
914,5461.04993713217,200441.972991415
915,4070.69639667828,450463.808751391
916,4025.39511759237,463053.590838461
