conc,MCCCountryCode,FundCode,ProjectCode,ActivityCode,hierarchy_level,start_planned,end_planned,start_actual,end_actual,status
MOZ2750BX69GDADMIN0089,MOZ,2750BX69GD,ADMIN,0089,3,7/1/2006,9/30/2010,7/1/2006,9/30/2010,5
MOZ2750BX69GDBSLNE DATA0076,MOZ,2750BX69GD,BSLNE DATA,0076,3,1/1/2006,9/30/2006,1/1/2006,9/30/2006,5
MOZ2750BX69GDERR PSD0075,MOZ,2750BX69GD,ERR PSD,0075,3,1/1/2006,9/30/2006,1/1/2006,9/30/2006,5
MOZ2750BX69GDFORESTRY0074,MOZ,2750BX69GD,FORESTRY,0074,3,1/1/2006,9/30/2006,1/1/2006,9/30/2006,5
MOZ2750BX69GDLAND TNRE0073,MOZ,2750BX69GD,LAND TNRE,0073,3,1/1/2006,9/30/2006,1/1/2006,9/30/2006,5
MOZ2750BX69GDTECH SUP0077,MOZ,2750BX69GD,TECH SUP,0077,3,1/1/2006,9/30/2006,1/1/2006,9/30/2006,5
MOZ2750BX69GDNANA,MOZ,2750BX69GD,,,3,7/1/2006,9/30/2006,7/1/2006,9/30/2006,5
MW22750BXDILD,MW2,2750BXDILD,,,1,1/1/2019,1/1/2024,1/1/2019,,1
MW22750BX69GD,MW2,2750BX69GD,,,1,4/1/2020,4/2/2025,4/1/2020,,1
MWI2750BXDILD,MWI,2750BXDILD,,,1,1/1/2009,1/1/2014,1/1/2009,,1
MWI2750BXDILDENVML ASMTEIF,MWI,2750BXDILD,ENVML ASMT,EIF,3,4/1/2009,9/30/2010,4/1/2009,9/30/2010,5
MWI2750BXDILDPWRNA,MWI,2750BXDILD,PWR,,3,4/1/2014,6/30/2018,4/1/2014,6/30/2018,5
MWI2750BX69GD,MWI,2750BX69GD,,,1,4/22/2009,10/1/2018,4/22/2009,,1
MWI2750BXCOMDGENDER0315,MWI,2750BXCOMD,GENDER,0315,3,10/1/2013,10/1/2018,10/1/2013,10/1/2018,5
MWI2750BXCOMDPWR0368,MWI,2750BXCOMD,PWR,0368,3,10/1/2013,10/1/2018,10/1/2013,10/1/2018,5
MWI2750BXCOMD,MWI,2750BXCOMD,,,1,10/1/2013,10/1/2018,10/1/2013,10/1/2018,4
MWI2750BXCOMDNANA,MWI,2750BXCOMD,,,3,10/1/2013,6/30/2019,10/1/2013,6/30/2019,5
MWI2750BX69GDNANA,MWI,2750BX69GD,,,3,7/1/2010,9/30/2014,7/1/2010,9/30/2014,5
MWI2750BX69GDPWRNA,MWI,2750BX69GD,PWR,,3,10/1/2011,12/31/2011,10/1/2011,12/31/2011,5
NAM2750BXDILDHEALTH SECNA,NAM,2750BXDILD,HEALTH SEC,,3,7/1/2008,9/30/2010,7/1/2008,9/30/2010,5
NAM2750BXDILDLEGAL REGSIGN,NAM,2750BXDILD,LEGAL REG,SIGN,3,4/1/2009,3/31/2016,4/1/2009,3/31/2016,5
NAM2750BX69GD,NAM,2750BX69GD,,,1,4/11/2008,9/16/2014,4/11/2008,,1
NAM2750BXCOMDNANA,NAM,2750BXCOMD,,,3,9/16/2009,3/31/2015,9/16/2009,3/31/2015,5
NAM2750BXCOMDEDU0284,NAM,2750BXCOMD,EDU,0284,3,9/16/2009,9/30/2014,9/16/2009,9/30/2014,5
NAM2750BXCOMDRURAL DEVL0054,NAM,2750BXCOMD,RURAL DEVL,0054,3,9/16/2009,9/16/2014,9/16/2009,9/16/2014,5
NAM2750BXCOMD,NAM,2750BXCOMD,,,1,9/16/2009,9/16/2014,9/16/2009,9/16/2014,4
NAM2750BXDILD,NAM,2750BXDILD,,,1,7/1/2006,7/1/2011,7/1/2006,,1
NAM2750BX69GDPGM ADMIN0019,NAM,2750BX69GD,PGM ADMIN,0019,3,4/1/2008,9/30/2008,4/1/2008,9/30/2008,5
NAM2750BXCOMDTOUR0016,NAM,2750BXCOMD,TOUR,0016,3,9/16/2009,3/31/2012,9/16/2009,3/31/2012,5
NAM2750BXCOMDTOUR0286,NAM,2750BXCOMD,TOUR,0286,3,9/16/2009,3/31/2012,9/16/2009,3/31/2012,5
NER2750BXCOMD,NER,2750BXCOMD,,,1,1/26/2018,1/26/2024,1/26/2018,,2
NER2750BX69GD,NER,2750BX69GD,,,1,1/1/2015,1/26/2024,1/1/2015,,1
NER2750BXDILD,NER,2750BXDILD,,,1,4/1/2008,1/26/2024,4/1/2008,,1
NER2750BX69GDACCESSMARK0061,NER,2750BX69GD,ACCESSMARK,0061,3,1/1/2015,3/31/2016,1/1/2015,3/31/2016,5
NER2750BX69GDNANA,NER,2750BX69GD,,,3,4/1/2017,3/31/2021,4/1/2017,3/31/2021,5
NER2750BX69GDSFSEC ASMT0440,NER,2750BX69GD,SFSEC ASMT,0440,3,1/1/2015,3/31/2016,1/1/2015,3/31/2016,5
NER2750BXDILDCONFERENCENA,NER,2750BXDILD,CONFERENCE,,3,10/1/2018,3/31/2019,10/1/2018,3/31/2019,5
NER2750BXDILDCORP FUNCTNA,NER,2750BXDILD,CORP FUNCT,,3,4/1/2019,9/30/2019,4/1/2019,9/30/2019,5
NER2750BXDILDSPONSORNA,NER,2750BXDILD,SPONSOR,,3,1/1/2016,3/31/2017,1/1/2016,3/31/2017,5
NER2750BX69GDPGM ADMINNA,NER,2750BX69GD,PGM ADMIN,,3,4/1/2020,6/20/2020,4/1/2020,6/20/2020,5
NIC2750BXCOMDNANA,NIC,2750BXCOMD,,,3,5/26/2006,6/30/2013,5/26/2006,6/30/2013,5
NIC2750BXCOMDFISCL PCMT0059,NIC,2750BXCOMD,FISCL PCMT,0059,3,5/26/2006,9/30/2012,5/26/2006,9/30/2012,5
NIC2750BXCOMDMCA PA0016,NIC,2750BXCOMD,MCA PA,0016,3,5/26/2006,9/30/2012,5/26/2006,9/30/2012,5
NIC2750BXCOMDMCA PA0049,NIC,2750BXCOMD,MCA PA,0049,3,5/26/2006,9/30/2012,5/26/2006,9/30/2012,5
NIC2750BXCOMDMCA PA0057,NIC,2750BXCOMD,MCA PA,0057,3,5/26/2006,9/30/2012,5/26/2006,9/30/2012,5
NIC2750BXCOMDMCA PA0058,NIC,2750BXCOMD,MCA PA,0058,3,5/26/2006,9/30/2012,5/26/2006,9/30/2012,5
NIC2750BXCOMDRURAL DEVL0049,NIC,2750BXCOMD,RURAL DEVL,0049,3,5/26/2006,9/30/2012,5/26/2006,9/30/2012,5
NIC2750BXCOMDTRANSPORTN0052,NIC,2750BXCOMD,TRANSPORTN,0052,3,5/26/2006,9/30/2012,5/26/2006,9/30/2012,5
NIC2750BXCOMDTRANSPORTN0053,NIC,2750BXCOMD,TRANSPORTN,0053,3,5/26/2006,9/30/2012,5/26/2006,9/30/2012,5
NIC2750BXCOMDMON & EVAL0058,NIC,2750BXCOMD,MON & EVAL,0058,3,5/26/2006,12/31/2011,5/26/2006,12/31/2011,5
NIC2750BXCOMDRURAL DEVLNA,NIC,2750BXCOMD,RURAL DEVL,,3,5/26/2006,12/31/2011,5/26/2006,12/31/2011,5
NIC2750BX69GDMCA PA0057,NIC,2750BX69GD,MCA PA,0057,3,4/1/2006,6/30/2007,4/1/2006,6/30/2007,5
NIC2750BXCOMDCONN PROJ0151,NIC,2750BXCOMD,CONN PROJ,0151,3,5/26/2006,5/26/2011,5/26/2006,5/26/2011,5
