OBJECTID,PL_LNGTH,PL_TOWNSHIP,PL_RANGE,PL_SECTION,PL_QUARTER,PL_SIXTEENTH,PL_GOVTLOT,PL_FEA_SYM,SHAPE_Length
11042,1332.56998,0.0,0.0,0.0,1.0,1.0,1.0,QS,1332.56998339124
11043,1328.51709,0.0,0.0,0.0,0.0,1.0,1.0,SX,1328.51708528836
11062,1036.56946,0.0,0.0,1.0,1.0,1.0,1.0,SC,1036.56946374667
11063,1319.45283,0.0,0.0,0.0,0.0,0.0,1.0,GL,1319.4528255429
11064,282.96851,0.0,0.0,1.0,1.0,1.0,0.0,SC,282.968512765945
11068,1237.92491,0.0,0.0,0.0,0.0,0.0,1.0,GL,1237.92490557425
11071,205.94553,0.0,0.0,0.0,1.0,1.0,0.0,QS,205.945525951054
11072,374.27215,0.0,0.0,0.0,0.0,0.0,1.0,GL,374.272148131707
11073,1113.34054,0.0,0.0,0.0,1.0,1.0,0.0,QS,1113.34054369218
11080,744.82099,0.0,0.0,0.0,0.0,0.0,1.0,GL,744.820993246174
11081,1062.03492,0.0,0.0,0.0,0.0,1.0,1.0,SX,1062.03491931614
11085,205.94553,0.0,0.0,0.0,1.0,1.0,0.0,QS,205.945525951054
11086,330.61734,0.0,0.0,0.0,0.0,0.0,1.0,GL,330.617343908385
11087,1113.34054,0.0,0.0,0.0,1.0,1.0,0.0,QS,1113.34054369218
11174,1194.25795,0.0,0.0,0.0,1.0,1.0,0.0,QS,1194.25794559148
11175,39.36133,0.0,0.0,1.0,1.0,1.0,0.0,SC,39.3613266090785
11176,1274.28576,0.0,0.0,1.0,1.0,1.0,1.0,SC,1274.28576388734
11177,128.26194,0.0,0.0,0.0,0.0,0.0,1.0,GL,128.2619423822
11217,1330.00415,0.0,0.0,0.0,1.0,1.0,0.0,QS,1330.00415469809
11222,0.48102,0.0,0.0,0.0,0.0,0.0,1.0,GL,0.481023997068405
11224,822.43182,0.0,0.0,1.0,1.0,1.0,0.0,SC,822.431820472577
11521,537.84519,0.0,0.0,0.0,0.0,1.0,1.0,SX,537.845190062086
11523,1375.0691,0.0,0.0,0.0,0.0,0.0,1.0,GL,1375.06909932748
11526,186.08819,0.0,0.0,0.0,0.0,0.0,1.0,GL,186.088187693894
11527,796.58263,0.0,0.0,1.0,1.0,1.0,1.0,SC,796.582629655312
11528,1879.23923,0.0,0.0,1.0,1.0,1.0,0.0,SC,1879.23922674428
11529,1230.63954,0.0,0.0,0.0,0.0,0.0,1.0,GL,1230.63954491839
11530,284.7935,0.0,0.0,0.0,0.0,0.0,1.0,GL,284.793498329516
11531,1412.84133,0.0,0.0,0.0,1.0,1.0,1.0,QS,1412.84132626369
11533,390.24765,0.0,0.0,0.0,0.0,1.0,1.0,SX,390.247646099368
11534,1393.43227,0.0,0.0,0.0,0.0,0.0,1.0,GL,1393.4322749051
11535,1003.13114,0.0,0.0,0.0,0.0,0.0,1.0,GL,1003.13114297379
11540,121.26431,0.0,0.0,0.0,1.0,1.0,0.0,QS,121.264311032282
11541,1258.0609,0.0,0.0,0.0,0.0,0.0,1.0,GL,1258.06089713685
11545,767.85036,0.0,0.0,1.0,1.0,1.0,1.0,SC,767.850361933489
11555,400.00194,0.0,0.0,0.0,0.0,1.0,1.0,SX,400.00193686172
11557,921.44396,0.0,0.0,0.0,0.0,1.0,1.0,SX,921.443955708656
