OBJECTID,LndscpNum,LndscpArea,Type,Questionable,MaintOrg,Area,Shape__Area,Shape__Length
86,302.0,C,Median,,,3472.14452797506,3.52372353518149e-08,0.0011653870955725
87,303.0,C,Median,,,17477.454392194,1.7735601431923e-07,0.0034810917630358
88,304.0,C,Median,,,7518.97350653407,7.62993295211345e-08,0.0041463784883909
89,305.0,C,Median,,,4336.51625952806,4.40049916505814e-08,0.0013813415760876
90,306.0,C,Median,,,1978.01362576804,2.00716385734268e-08,0.0011594592193825
91,307.0,C,Median,,,827.424193125402,8.39622771309223e-09,0.0007595845867665
92,308.0,C,Median,,,1061.81888204244,1.07747837319039e-08,0.0009626555886112
93,309.0,C,Median,,,1239.81165336616,1.25810402096249e-08,0.0009167878657219
97,503.0,E,Median,,MDOT,7573.44808965305,7.68563950259704e-08,0.0014555713242528
98,504.0,E,Median,,MDOT,24127.2238890513,2.44850753006176e-07,0.0064166760769864
99,505.0,E,Median,,MDOT,20803.0357260656,2.11114183912287e-07,0.0039471274095902
100,506.0,E,Median,,MDOT,15896.5365831251,1.61615389515646e-07,0.0034945640117613
102,508.0,E,Median,,MDOT,13049.9407753084,1.32438572109095e-07,0.002804481751207
103,509.0,E,Median,,MDOT,19680.1462407727,1.99729583982844e-07,0.0027077791872956
104,511.0,E,Median,,MDOT,1958.42013587537,1.98756424651947e-08,0.0009286573562383
105,510.0,E,Median,,MDOT,4562.59752343946,4.63037395093124e-08,0.0047715267838058
106,512.0,E,Median,,MDOT,30959.2273822055,3.14189719574642e-07,0.0045065524116061
107,513.0,E,Median,,MDOT,22020.9805185593,2.23474444283056e-07,0.0042781830138945
108,,,Capitol Park,,,21671.2018173901,2.19938101508887e-07,0.0019640103668175
110,,,Campus Martius,,,70020.9616361493,7.10620042809751e-07,0.0032199832987274
111,,,Cadillac Square,,,13104.4252550143,1.33544972413802e-07,0.0018900343991536
112,,,Cadillac Square,,,33432.7973300616,3.39298367180163e-07,0.0033841181256186
115,,,DTE Beacon Park,,,,5.7812690101855e-07,0.0033640372947457
116,,,Median,,,1325.47172059478,1.34511992655462e-08,0.0006779548981506
117,,,,,,,3.3751348382793404e-09,0.0004659149786758
118,,,,,,,7.62747731641866e-08,0.0014141300163902
119,,,,,,,2.58935415331507e-08,0.002008436863105
120,239.0,B,Median,,MDOT,19332.6352683179,1.96224391402211e-07,0.0031976875613918
