OBJECTID,TBPOLY_COD,TOWN_POLY,AV_LEGEND,COASTP_COD,COAST_POLY,ACREAGE,AREA_SQMI,SHAPE_Length,SHAPE_Area
178,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.0480142,7.502e-05,185.553423279738,-2091.49660162637
179,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.09578999,0.00014967,289.186139644275,-4172.62221206156
180,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.098646,0.00015413,335.791655953824,-4297.01776858713
181,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.0862229,0.00013472,274.256793038066,-3755.86341622358
182,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.03358159,5.247e-05,146.920086252239,-1462.84160013991
183,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.02943629,4.599e-05,141.659634599722,-1282.26493536096
184,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.76895999,0.00120149,947.307020197541,-33495.9302794557
185,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.0516428,8.069e-05,197.185072506311,-2249.5569464172
186,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.80891197,0.00126392,837.007581873756,-35236.206199222
187,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.0302958,4.733e-05,170.332767803708,-1319.6656936079
188,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.09644179,0.00015069,272.922501469729,-4200.9802951653
189,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.43191498,0.00067486,591.604025190525,-18814.2007065884
190,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.0426095,6.657e-05,164.337764055474,-1856.07322271753
191,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,1.49767994,0.00234012,1194.80583326614,-65238.8136169738
192,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.03262329,5.097e-05,155.847249265606,-1421.07719244793
193,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,6.34843015,0.00991943,2369.08953961843,-276537.65924966
194,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,6.86498022,0.0107265,4440.25831891319,-299038.627467826
195,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.03095939,4.837e-05,167.43645373254,-1348.58663271004
196,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.60273301,0.00094177,712.007981298475,-26255.0433190542
197,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.228964,0.00035775,410.452094224078,-9973.69265034891
198,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.05379699,8.405e-05,181.233043041469,-2343.4193397652
199,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.247647,0.00038694,397.359872366569,-10787.5517590461
200,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.033144,5.178e-05,173.521505076546,-1443.74130330692
201,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.028465,4.447e-05,131.263378584466,-1239.91439328148
202,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.0170754,2.668e-05,104.405690353821,-743.804157298167
203,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.0215306,3.364e-05,115.682852502853,-937.874262454609
204,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.70425498,0.00110039,668.818153245041,-30677.2854060102
205,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.444424,0.00069441,539.117851149746,-19359.169483656
206,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.0194907,3.045e-05,109.755933406526,-849.020041337582
207,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.01580009,2.468e-05,102.704336286551,-688.261656914247
208,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.0223801,3.496e-05,136.972812217887,-974.874397328893
209,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.0133809,2.09e-05,96.0360227688476,-582.856920557969
210,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.01800679,2.813e-05,110.272585284992,-784.400092811282
211,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.00922012,1.44e-05,83.6265296204577,-401.625966931141
212,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.0380823,5.95e-05,158.141628858012,-1658.83889829576
213,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.01531079,2.392e-05,101.207670011232,-666.927450438234
214,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.04586929,7.167e-05,200.33848483926,-1998.07362347151
215,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.03669929,5.734e-05,169.101271872761,-1598.60876280685
216,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,1.22072994,0.00190738,909.108061672043,-53175.0280581152
217,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.55104297,0.000861,818.183710838017,-24003.4523580127
218,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.0645705,0.00010089,218.391806354858,-2812.688490736
219,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.03413689,5.333e-05,145.095070056064,-1486.9924783124
220,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.0344912,5.389e-05,145.534687058945,-1502.43101365381
221,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.27900901,0.00043595,483.352677272427,-12153.562769908
