OBJECTID,SYMBOL,ZONING_COD,ZONING_NAM,ZONING_TYP,SHAPE_Leng,Shape_Length,Shape_Area
164,0,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1061.1582333,1061.1588616911,71821.6743599033
165,0,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,939.746401972,939.746294788914,39940.2451190072
166,0,EZ1,ENTERPRISE ZONE,COMMERCIAL-INDUSTRIAL,1637.711062,1637.71089632731,118094.341188141
167,0,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,630.349053913,630.348775887423,20770.5604029738
168,0,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1433.33283556,1433.33268501295,96019.0929398872
169,0,R5,RES SINGLE FAMILY,RESIDENTIAL,2189.51656889,2189.51647967411,291675.00032276
170,0,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,819.505461534,819.505524066623,42051.843964698
171,0,OR1,OFFICE/RES,OFFICE,642.780758674,642.780679120136,22228.1906507144
172,0,OR3,OFFICE/RES,OFFICE,988.82170844,988.821577855626,36226.6599734028
173,0,OR1,OFFICE/RES,OFFICE,756.520720631,756.521090892551,35902.4354570528
174,0,OR,OFFICE/RESIDENTIAL,OFFICE,798.204866365,798.20463322499,38057.7316246768
175,0,CN,NEIGHBORHOOD COMM,COMMERCIAL-INDUSTRIAL,1432.90187025,1432.90183195566,115588.491728673
176,0,OR,OFFICE/RESIDENTIAL,OFFICE,819.841435499,819.841160205797,28886.7695742175
177,0,R7,RES MULTI-FAMILY,RESIDENTIAL,3349.42796724,3349.42783916594,386410.185418083
178,0,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,994.383218125,994.383243994944,55504.1914445022
179,0,OR1,OFFICE/RES,OFFICE,846.678724509,846.679367324547,31603.9071482693
180,0,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1231.59564492,1231.59560174114,92883.2736542511
181,0,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,621.179929202,621.179747551844,23811.7400222647
182,0,M2,INDUSTRIAL,INDUSTRIAL,891.912920421,891.91357264415,49050.8991632987
183,0,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1800.64550967,1800.64585594577,177578.831306119
184,0,OR2,OFFICE/RES,OFFICE,1145.2178787,1145.21759604013,80134.0634671163
185,0,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,805.01886765,805.018534290919,39630.3903780045
186,0,M3,INDUSTRIAL,INDUSTRIAL,8780.16748814,8780.16717628813,4196265.2821237
187,0,CN,NEIGHBORHOOD COMM,COMMERCIAL-INDUSTRIAL,1241.49582254,1241.49572920415,96143.0047749287
188,0,R5B,RES TWO-FAMILY,RESIDENTIAL,715.752801718,715.752785284862,25875.8188332763
189,0,(C1),COMM OVERLAY,COMMERCIAL-INDUSTRIAL,1241.75377127,1241.75404829118,51083.98380246
190,0,(C2),COMM OVERLAY,COMMERCIAL-INDUSTRIAL,619.487619492,619.487843325315,20508.0295174574
191,0,(C1),COMM OVERLAY,COMMERCIAL-INDUSTRIAL,631.520579731,631.520466804698,21269.8125685618
192,0,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1786.8251329,1786.82588166561,196674.182985184
193,0,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1461.38050601,1461.38025608148,119362.582491983
194,0,(R4),RES SINGLE FAMILY OVERLAY,RESIDENTIAL,4656.39264822,4656.39202327541,437303.606942393
195,0,M2,INDUSTRIAL,INDUSTRIAL,3772.55359822,3772.55356779064,833404.162895199
196,0,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,3276.95790545,3276.95810075137,465453.71836499
197,0,R1,RES SINGLE FAMILY,RESIDENTIAL,2131.61288038,2131.61257608458,244051.108138095
198,0,OR1,OFFICE/RES,OFFICE,2005.59875137,2005.59883827195,247034.009480605
199,0,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1578.87151794,1578.87156731693,112559.624880148
200,0,R5A,RES MULTI FAMILY,RESIDENTIAL,3377.16961928,3377.16942862654,712418.264675916
201,0,CM,COMM MANUFACTURING,COMMERCIAL-INDUSTRIAL,687.305668716,687.305854621487,26727.1934171531
202,0,M1,INDUSTRIAL,INDUSTRIAL,779.055843011,779.055850062913,37248.8375706961
203,0,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,675.958189826,675.958416577365,28691.9710007531
204,0,R5A,RES MULTI FAMILY,RESIDENTIAL,2592.03301311,2592.0327339075,308310.91507184
205,0,RR,RURAL RESIDENTIAL,RESIDENTIAL,969.282083961,969.281890243612,41463.8894700201
206,0,R5A,RES MULTI FAMILY,RESIDENTIAL,3641.82446782,3641.82416823077,564299.231814883
207,0,OR1,OFFICE/RES,OFFICE,480.503121242,480.502832153851,9794.23936243855
208,0,OR1,OFFICE/RES,OFFICE,513.543570142,513.543488477239,13882.2714237758
209,0,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1462.4919223,1462.49174392243,64364.8266648307
210,0,OR3,OFFICE/RES,OFFICE,1860.41511771,1860.41498831419,197233.306022482
211,0,C3,CENTRAL BUSINESS,COMMERCIAL-INDUSTRIAL,3095.89862518,3095.89859897246,345357.635562441
212,0,CM,COMM MANUFACTURING,COMMERCIAL-INDUSTRIAL,667.5269213,667.527142072397,27820.514752993
213,0,M2,INDUSTRIAL,INDUSTRIAL,1307.63769644,1307.63723117872,98252.6984101883
214,0,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,362.70419598,362.704891155675,6702.18362371583
215,0,M2,INDUSTRIAL,INDUSTRIAL,3964.26367491,3964.26366007055,400273.597465603
216,0,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,513.884814855,513.884415830615,11103.6028540993
217,0,CM,COMM MANUFACTURING,COMMERCIAL-INDUSTRIAL,573.361876558,573.362046249443,18434.6270317022
218,0,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,747.617374239,747.617257658632,32220.5046219186
219,0,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1164.37879944,1164.37880922965,74328.4521267482
220,0,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1882.19996744,1882.20008226534,176749.62617563
221,0,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,668.411930662,668.411829405604,26815.0876104382
222,0,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,640.931651016,640.931906325424,24339.189801446
223,0,M2,INDUSTRIAL,INDUSTRIAL,1047.3119112,1047.31171361159,68523.7345028404
224,0,CM,COMM MANUFACTURING,COMMERCIAL-INDUSTRIAL,582.013497974,582.013343384065,15634.4549734857
225,0,M2,INDUSTRIAL,INDUSTRIAL,480.739048094,480.738932118407,10269.625887716
226,0,C3,CENTRAL BUSINESS,COMMERCIAL-INDUSTRIAL,717.468212728,717.468040544479,32700.9239788272
227,0,UN,URBAN NEIGHBORHOOD,RESIDENTIAL,1617.13570675,1617.13593407693,140511.464181172
228,0,CM,COMM MANUFACTURING,COMMERCIAL-INDUSTRIAL,1618.68247456,1618.682253913,162884.007960308
229,0,R7,RES MULTI-FAMILY,RESIDENTIAL,721.574267729,721.574286547232,30329.0030264255
230,0,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,508.845171715,508.844791435113,13958.3450267632
231,0,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,813.492727103,813.492403292996,22672.951516763
232,0,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,465.848660926,465.848364964298,11171.1420678056
