OBJECTID,SegKey,InstallationDate,DataConfidence,DateLastMaintained,DateLastEdit,Ownership,MaintainedBy,MaintenanceResponsibility,ProjectORVPN,Comments,UseDesignation,Type,Material,Area,Blocktype,autocad_entity,autocad_block_number,F_area,SHAPE_Length
13186,,,,,,,,,,,,,,,,autocad_line,18292,,7.38764409632029
13187,,,,,,,,,,,,,,,,autocad_line,29521,,37.0341353710505
13188,,,,,,,,,,,,,,,,autocad_line,16840,,37.2298823887981
13189,,,,,,,,,,,,,,,,autocad_line,10666,,22.5951839248056
13190,,,,,,,,,,,,,,,,autocad_line,22609,,34.779668600767
13191,,,,,,,,,,,,,,,,autocad_line,1204,,22.6448531262453
13192,,,,,,,,,,,,,,,,autocad_line,17727,,25.9195187440925
13193,,,,,,,,,,,,,,,,autocad_line,5828,,34.7032629738262
13194,,,,,,,,,,,,,,,,autocad_spline,16228,,0.0
13195,,,,,,,,,,,,,,,,autocad_line,18786,,25.9339056154456
13196,,,,,,,,,,,,,,,,autocad_line,3476,,7.19110141137277
13197,,,,,,,,,,,,,,,,autocad_line,15450,,22.680575923307
13198,,,,,,,,,,,,,,,,autocad_line,28488,,22.5964438180496
13199,,,,,,,,,,,,,,,,autocad_line,3669,,22.659157826131
13200,,,,,,,,,,,,,,,,autocad_line,28238,,22.5774464442581
13201,,,,,,,,,,,,,,,,autocad_line,12791,,37.2381280236956
13202,,,,,,,,,,,,,,,,autocad_line,16439,,37.2337682038506
13203,,,,,,,,,,,,,,,,autocad_line,18281,,22.6607902513776
13204,,,,,,,,,,,,,,,,autocad_line,18213,,22.6632726745713
13205,,,,,,,,,,,,,,,,autocad_line,17478,,25.0697517737088
13206,,,,,,,,,,,,,,,,autocad_line,16503,,25.951988347231
13207,,,,,,,,,,,,,,,,autocad_line,30160,,25.8213399773688
13208,,,,,,,,,,,,,,,,,8967,,14.7656578807711
13209,,,,,,,,,,,,,,,,autocad_line,19468,,7.39563213062589
13210,,,,,,,,,,,,,,,,autocad_line,7467,,46.8791109108063
13211,,,,,,,,,,,,,,,,autocad_line,12573,,34.7701613772436
