OBJECTID,WSA_NAME,WSA_NO,WSA_SUIT,BLM_ORG_CD,AUTH_NAME,BOUNDARY_STATUS,GIS_ACRES,SHAPE_Length,SHAPE_Area
209,,roadout,X,ORV05,Wilderness Study Report 1991 - BLM-OR-EA-91-43-8561.6,Unknown,2.76496939,0.0467226084445227,1.27758851074149e-06
210,Homestead WSA,6-2,N,ORV05,Wilderness Study Report 1991 - BLM-OR-EA-91-43-8561.6,Unknown,142.79842244,0.0391760082409296,6.59247279502627e-05
211,inholding,inholding,X,ORV05,Wilderness Study Report 1991 - BLM-OR-EA-91-43-8561.6,Unknown,154.23665778,0.0343157513665979,7.12762721163675e-05
212,inholding,inholding,X,ORV05,Wilderness Study Report 1991 - BLM-OR-EA-91-43-8561.6,Unknown,78.07965941,0.0273994818196632,3.60746768976422e-05
213,inholding,inholding,X,ORV05,Wilderness Study Report 1991 - BLM-OR-EA-91-43-8561.6,Unknown,19.04577303,0.0150129377565788,8.80732418031845e-06
214,Homestead WSA,FS6291,N,ORV05,Wilderness Study Report 1991 - BLM-OR-EA-91-43-8561.6,Unknown,5755.6427288,0.284602238057734,0.00265851795735
215,,roadout,Y,ORV04,,Unknown,2.30662262,0.0304999410785834,1.01931811161356e-06
216,,roadout,X,ORV04,,Unknown,13.49934882,0.189237709653217,5.99088461557884e-06
217,Bowden Hills WSA,3-118,N,ORV04,,Unknown,59030.71851207,0.889799285158565,0.0261823843381075
218,Oregon Canyon WSA,3-157,Y,ORV04,,Unknown,42070.81796642,1.05303775332361,0.0185500444363927
219,,roadout,Y,ORV04,,Unknown,29.31659801,0.393140880605617,1.29322245527455e-05
220,Orejana Canyon WSA,1-78,Y,ORL05,,Unknown,14394.23080931,0.418289961012545,0.0064077662459046
221,Orejana Canyon WSA,1-78,N,ORL05,,Unknown,9778.08427498,0.312623566333585,0.0043580135956585
222,inholding,inholding,X,ORL05,,Unknown,160.62756666,0.0342298791010476,7.15164979050178e-05
223,inholding,inholding,X,ORL05,,Unknown,159.8996396,0.0341399488271942,7.12455484904182e-05
224,inholding,inholding,X,ORL05,,Unknown,133.95798271,0.0386305342184656,5.9729782179024e-05
225,Diablo Mountain WSA,1-58,N,ORL05,,Unknown,21740.9453397,0.667924824711428,0.0096824782093823
226,inholding,inholding,X,ORL05,,Unknown,727.29896116,0.0762108891481469,0.0003244999107704
227,inholding,inholding,X,ORL05,,Unknown,601.93183106,0.102400972191569,0.0002686986969753
228,Diablo Mountain WSA,1-58,N,ORL05,,Unknown,9286.17106853,0.47938864927399,0.0041447318503638
229,Diablo Mountain WSA,1-58,Y,ORL05,,Unknown,81986.63800451,1.22279381318761,0.0365562947710246
230,Four Craters Lava Bed WSA,1-22,N,ORL05,,Unknown,1667.15076232,0.168599436027354,0.0007492602483249
231,Four Craters Lava Bed WSA,1-22,Y,ORL05,,Unknown,8817.00614439,0.277207743098341,0.0039616272045663
232,,out,X,ORL05,,Unknown,321.55977351,0.0490063124431688,0.00014479308554
233,Devils Garden Lava Bed WSA,1-2,N,ORL05,,Unknown,203.82667901,0.0445212977902539,9.16663308145471e-05
234,Devils Garden Lava Bed WSA,1-2,N,ORL05,,Unknown,38.05845352,0.0164960801874692,1.71191942532328e-05
235,Devils Garden Lava Bed WSA,1-2,N,ORL05,,Unknown,84.16888964,0.030809818798635,3.78638671744891e-05
236,,roadout,Y,ORL05,,Unknown,5.36046247,0.0763692137140215,2.41357473520071e-06
237,Devils Garden Lava Bed WSA,1-2,N,ORL05,,Unknown,905.14952052,0.169059936857213,0.0004078881832772
238,Devils Garden Lava Bed WSA,1-2,Y,ORL05,,Unknown,26916.0429132,0.754423914055136,0.0121173885440386
239,Sand Dunes WSA,1-24,N,ORL05,,Unknown,15515.0922312,0.503111046417848,0.0069662421798602
240,Sand Dunes WSA/Lost Forest ISA,1-24,N,ORL00,,Unknown,963.10274791,0.145749699566996,0.0004326098105355
241,Lost Forest ISA,1-24,N,ORL05,,Unknown,8083.97318648,0.315561094684702,0.0036321423548476
242,Fish Creek Rim WSA,1-117,N,ORL05,,Unknown,0.24350479,0.001958836475595,1.07311119947516e-07
243,Fish Creek Rim WSA,1-117,N,ORL05,,Unknown,10.69853978,0.0096891067260938,4.71486414787662e-06
244,Fish Creek Rim WSA,1-117,N,ORL05,,Unknown,3592.86647358,0.191720824377552,0.0015836881748532
