OBJECTID,PLSSID,TWNSHPLAB,STEWARD,REVISEDDATE,STATEABBR,STWRDPLYID,STWRDPLYTP,STWRDLAB,SHAPE_Length,SHAPE_Area
137,AL250240N0010W0,T24N R1W,State of Alabama,2015/10/22 00:00:00+00,AL,,,,0.382954115445712,0.009098246376486
138,AL250030N0080E0,T3N R8E,State of Alabama,2015/10/22 00:00:00+00,AL,,,,0.379416744469888,0.0089443419128958
139,AL250040N0120E0,T4N R12E,State of Alabama,2015/10/22 00:00:00+00,AL,,,,0.379806120696317,0.0090178326319446
140,AL250060N0010E0,T6N R1E,State of Alabama,2015/10/22 00:00:00+00,AL,,,,0.490437187719534,0.0088313557006487
141,AL250050N0160E0,T5N R16E,State of Alabama,2015/10/22 00:00:00+00,AL,,,,0.374861798676267,0.00874583723258
142,AL250040S0030W0,T4S R3W,State of Alabama,2015/10/22 00:00:00+00,AL,,,,0.376195802132312,0.0088332426178176
143,AL250060S0020E0,T6S R2E,State of Alabama,2015/10/22 00:00:00+00,AL,,,,0.369658178966246,0.0083357576999704
144,AL250090N0070E0,T9N R7E,State of Alabama,2015/10/22 00:00:00+00,AL,,,,0.380101885758179,0.0089712933409583
145,AL250080N0040E0,T8N R4E,State of Alabama,2015/10/22 00:00:00+00,AL,,,,0.377454475929036,0.008849706480376
146,AL250110N0090E0,T11N R9E,State of Alabama,2015/10/22 00:00:00+00,AL,,,,0.379484072034199,0.0089236455354799
147,AL250170N0260E0,T17N R26E,State of Alabama,2015/10/22 00:00:00+00,AL,,,,0.380636068401065,0.0089853932504913
148,AL250090N0290E0,T9N R29E,State of Alabama,2015/10/22 00:00:00+00,AL,,,,0.31649342003735,0.0051408023880076
149,AL160090S0050E0,T9S R5E,State of Alabama,2015/10/22 00:00:00+00,AL,,,,0.389566840073917,0.0093969989131864
150,AL250050N0270E0,T5N R27E,State of Alabama,2015/10/22 00:00:00+00,AL,,,,0.377951539853306,0.0088906092208764
151,AL250170N0310E0,T17N R31E,State of Alabama,2015/10/22 00:00:00+00,AL,,,,0.0504515223870426,8.33189628357712e-05
152,AL160060S0100E0,T6S R10E,State of Alabama,2015/10/22 00:00:00+00,AL,,,,0.383356999177835,0.0090833671651796
153,AL160190S0150W0,T19S R15W,State of Alabama,2015/10/22 00:00:00+00,AL,,,,0.38388824514861,0.009168497805349
154,AL250180N0090E0,T18N R9E,State of Alabama,2015/10/22 00:00:00+00,AL,,,,0.381633001744175,0.0090347784732886
155,AL250180N0040E0,T18N R4E,State of Alabama,2015/10/22 00:00:00+00,AL,,,,0.378578967199099,0.0089301950899713
156,AL250020N0010W0,T2N R1W,State of Alabama,2015/10/22 00:00:00+00,AL,,,,0.379287254234615,0.0089447908464618
157,AL250070N0020W0,T7N R2W,State of Alabama,2015/10/22 00:00:00+00,AL,,,,0.382783381951674,0.0089383825474088
158,AL250120N0020W0,T12N R2W,State of Alabama,2015/10/22 00:00:00+00,AL,,,,0.380857567091498,0.0088816390178974
159,AL250150N0180E0,T15N R18E,State of Alabama,2015/10/22 00:00:00+00,AL,,,,0.382657776226993,0.0090932978706754
160,AL160020S0040W0,T2S R4W,State of Alabama,2015/10/22 00:00:00+00,AL,,,,0.387790918944018,0.0092999558362244
161,AL250150N0250E0,T15N R25E,State of Alabama,2015/10/22 00:00:00+00,AL,,,,0.382043670017069,0.0090662786279811
162,AL250200N0270E0,T20N R27E,State of Alabama,2015/10/22 00:00:00+00,AL,,,,0.380026833713766,0.0089354311675202
163,AL250070N0200E0,T7N R20E,State of Alabama,2015/10/22 00:00:00+00,AL,,,,0.376256818310889,0.0087938792109025
164,AL160150S0070E0,T15S R7E,State of Alabama,2015/10/22 00:00:00+00,AL,,,,0.385804874330983,0.0092294783500797
165,AL250060N0160E0,T6N R16E,State of Alabama,2015/10/22 00:00:00+00,AL,,,,0.374005281225416,0.0086342637272879
