OBJECTID,AV_LEGEND,IMS_LEGEND,COASTP_COD,COAST_POLY,NAMEDP_COD,NAMED_POLY,SCALELEVEL,STREAM_NO,STREAM,LAKE_NO,LAKE,BAY_NO,BAY,HARBOR_NO,HARBOR,SOUND_NO,SOUND,ACREAGE,Shape__Area,Shape__Length
10365,Water,Water,1,Inland Polygons,2,Named Waterbody,4,596,Fivemile River,3457,West Pond,0, ,0, ,0, ,0.45341101,19750.5229187012,806.766491530356
10366,Water,Water,1,Inland Polygons,2,Named Waterbody,5,375,Converse Pond Brook,652,Cross Pond,0, ,0, ,0, ,3.33289003,145180.769378662,2369.94613172856
10367,Water,Water,1,Inland Polygons,2,Named Waterbody,5,761,Haviland Brook,3547,Wire Pond,0, ,0, ,0, ,0.414451,18053.4793395996,770.918961766452
10368,Water,Water,1,Inland Polygons,2,Named Waterbody,6,0, ,3485,Whitby Pond,0, ,0, ,0, ,1.02795004,44777.5862121582,988.806942777467
10369,Water,Water,1,Inland Polygons,2,Named Waterbody,5,905,Keelers Brook,0, ,0, ,0, ,0, ,0.150518,6556.6064453125,330.897749519553
10370,Water,Water,1,Inland Polygons,2,Named Waterbody,5,905,Keelers Brook,0, ,0, ,0, ,0, ,0.21047399,9168.30407714844,541.928763124267
10371,Water,Water,1,Inland Polygons,2,Named Waterbody,5,761,Haviland Brook,0, ,0, ,0, ,0, ,0.54113298,23571.746887207,653.17795503535
10372,Water,Water,1,Inland Polygons,2,Named Waterbody,4,513,East Branch Mianus River,0, ,0, ,0, ,0, ,2.66755008,116198.301361084,2868.37471775009
10373,Water,Water,1,Inland Polygons,2,Named Waterbody,5,807,Holy Ghost Fathers Brook,206,Bethmarlea Pond,0, ,0, ,0, ,0.81589502,35540.295715332,808.018130598652
10374,Water,Water,3,Coastal Water Polygons,2,Named Waterbody,1,0, ,0, ,21,Compo Cove,21,Compo Cove,3,Long Island Sound,47.36190032,2063085.31137085,7909.52654795042
10375,Water,Water,1,Inland Polygons,2,Named Waterbody,4,596,Fivemile River,927,Florshiem Pond,0, ,0, ,0, ,3.04214,132515.465576172,2253.80519493176
10376,Water,Water,1,Inland Polygons,2,Named Waterbody,5,807,Holy Ghost Fathers Brook,0, ,0, ,0, ,0, ,0.131943,5747.39398193359,307.550446494901
10377,Water,Water,1,Inland Polygons,2,Named Waterbody,4,0, ,2449,Rockwood Lake Reservoir,0, ,0, ,0, ,43.0931015,1877136.55862427,7218.43022515936
10378,Water,Water,1,Inland Polygons,2,Named Waterbody,6,0, ,1784,Mathers Pond,0, ,0, ,0, ,4.69619989,204566.400848389,2221.08225601753
10379,Water,Water,1,Inland Polygons,2,Named Waterbody,5,807,Holy Ghost Fathers Brook,1565,Land Pond,0, ,0, ,0, ,0.350436,15264.9246520996,643.654604006756
10380,Water,Water,1,Inland Polygons,2,Named Waterbody,6,0, ,72,Attschul Pond,0, ,0, ,0, ,2.68889999,117128.311767578,2305.99157132127
10381,Water,Water,3,Coastal Water Polygons,2,Named Waterbody,1,1515,Saugatuck River,0, ,35,Grays Creek,35,Grays Creek,3,Long Island Sound,23.10379981,1006399.72763062,14198.7030549074
10382,Water,Water,1,Inland Polygons,2,Named Waterbody,4,596,Fivemile River,0, ,0, ,0, ,0, ,0.42345899,18445.9044799805,857.128755699575
10383,Water,Water,1,Inland Polygons,2,Named Waterbody,6,0, ,2557,Scribner Pond,0, ,0, ,0, ,2.39867997,104486.716644287,2661.04296390057
10384,Water,Water,1,Inland Polygons,2,Named Waterbody,6,0, ,334,Bronner Pond,0, ,0, ,0, ,0.0863007,3759.26184082031,229.58662729836
10385,Water,Water,1,Inland Polygons,2,Named Waterbody,3,262,Byram River,0, ,0, ,0, ,0, ,0.24138499,10514.7370910645,574.508423901307
10386,Water,Water,1,Inland Polygons,2,Named Waterbody,4,822,Horseneck Brook,0, ,0, ,0, ,0, ,0.204032,8887.68109130859,441.463881763288
10387,Water,Water,1,Inland Polygons,2,Named Waterbody,5,0, ,547,Closes Pond,0, ,0, ,0, ,6.31477022,275071.369110107,2159.78993493775
10388,Water,Water,1,Inland Polygons,2,Named Waterbody,6,0, ,472,Cemetery Pond,0, ,0, ,0, ,0.0413944,1803.13674926758,159.913829514949
10389,Water,Water,1,Inland Polygons,2,Named Waterbody,3,1081,Mianus River,2430,Riverbank Pond,0, ,0, ,0, ,0.89432901,38957.0745544434,1387.01686516345
10390,Water,Water,1,Inland Polygons,2,Named Waterbody,5,905,Keelers Brook,0, ,0, ,0, ,0, ,0.391238,17042.338104248,549.138233103848
10391,Water,Water,1,Inland Polygons,2,Named Waterbody,5,807,Holy Ghost Fathers Brook,0, ,0, ,0, ,0, ,0.24691699,10755.6522521973,446.128843207361
10392,Water,Water,1,Inland Polygons,2,Named Waterbody,4,504,East Branch Byram River,0, ,0, ,0, ,0, ,0.16002599,6970.73883056641,470.416434168392
10393,Water,Water,1,Inland Polygons,2,Named Waterbody,6,0, ,1663,Live Pond,0, ,0, ,0, ,0.56033897,24408.333770752,757.93730775586
10394,Water,Water,1,Inland Polygons,2,Named Waterbody,6,0, ,2408,Richards Pond,0, ,0, ,0, ,0.263112,11461.1581115723,481.335873091765
