OBJECTID,ZONING_CODE,ZONING_NAME,ZONING_TYPE,Shape_Length,Shape_Area
1444,OR1,OFFICE/RES,OFFICE,1134.79103070893,73046.1677630073
1445,R7,RES MULTI-FAMILY,RESIDENTIAL,801.119408357221,24246.2775754429
1446,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,2455.13309287969,337387.905271057
1447,CR,COMM RESIDENTIAL,COMMERCIAL-INDUSTRIAL,422.825535153647,9090.65267298085
1448,(C2),COMM OVERLAY,COMMERCIAL-INDUSTRIAL,4134.14007853334,504513.708838462
1449,OR3,OFFICE/RES,OFFICE,1420.56382777835,59972.6939162107
1450,EZ1,ENTERPRISE ZONE,COMMERCIAL-INDUSTRIAL,7724.94695416135,1781638.28180313
1451,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,4278.97019107452,250514.561011222
1452,R6,RES MULTI-FAMILY,RESIDENTIAL,725.236978025362,30634.5595791614
1453,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1575.59735236335,98501.4442306823
1454,R7,RES MULTI-FAMILY,RESIDENTIAL,2436.75385163525,260929.57310631
1455,R5,RES SINGLE FAMILY,RESIDENTIAL,19585.9230344818,8017732.87188042
1456,R5A,RES MULTI-FAMILY,RESIDENTIAL,4879.05080184182,824240.604628455
1457,CR,COMM RESIDENTIAL,COMMERCIAL-INDUSTRIAL,375.304998993859,7229.84486896845
1458,CR,COMM RESIDENTIAL,COMMERCIAL-INDUSTRIAL,363.489300412749,6996.15724598816
1459,OR3,OFFICE/RES,OFFICE,577.078198792275,14859.2133014619
1460,OR1,OFFICE/RES,OFFICE,1617.79734870173,48698.7124858951
1461,M2,INDUSTRIAL,INDUSTRIAL,1686.5999874758,127353.027242886
1462,(M2),INDUSTRIAL OVERLAY,INDUSTRIAL,2577.19342020219,168549.941689453
1463,OTF,OFFICE/TOURIST FACILITY,OFFICE,746.155350303441,33700.2745474351
1464,OR3,OFFICE/RES,OFFICE,927.951383443154,43154.0248051326
1465,R7,RES MULTI-FAMILY,RESIDENTIAL,916.167057477327,36486.1867991451
1466,OR2,OFFICE/RES,OFFICE,920.506795706599,38276.7205517848
1467,R5,RES SINGLE FAMILY,RESIDENTIAL,696.614856310985,24898.7705218342
1468,OR2,OFFICE/RES,OFFICE,772.840770087716,35815.3319483508
