OBJECTID,ESMTROW_NM,ESMTROW_TP,ESMTROW_FTR,AUTH_USE,RGT_HOLDER,GRANTOR,ACCESS_ESMTROW,CASEFILE,BLM_ORG_CD,CASETP,LOCAL_ID,COORD_SRC,ACCURACY_FT,EXCL_TP,GIS_ACRES,GLOBALID,CASE_NR,SHAPE_Length,SHAPE_Area
11160,INDIAN HILL RCPL ROW,RROW,PARCEL,Forest Products Management and Removal,PVI,BL,,OROR   056843FD,ORM00,281230,RWA-M-2000E,CADNSDI,0.0,,321.16754115,{E0E2C275-1342-4239-B2BB-B9393F4ADF40},,0.061039021021276,0.0001427740748
11161,TRISTAR RCPL ROW,RROW,PARCEL,Forest Products Management and Removal,PVI,BL,,OROR   048747FD,ORM00,281230,RWA-M-660,CADNSDI,0.0,,118.78965002,{6586AADA-B1DD-4DCC-9CBF-A618479FF82C},,0.0340340819582957,5.28137773928333e-05
11162,TRISTAR RCPL ROW,RROW,PARCEL,Forest Products Management and Removal,BL,PVI,ADMIN,OROR   048747PT,ORM00,210003,RWA-M-660,CADNSDI,0.0,,2780.84850502,{FA70A0BA-D9C5-4CF6-A771-E692E58DD236},,0.225373068728956,0.0012385118260418
11163,COAST RANGE RESOURCES RCPL ROW,RROW,PARCEL,Forest Products Management and Removal,BL,PVI,ADMIN,OROR   056842PT,ORM00,210003,RWA-M-2000D,CADNSDI,0.0,,653.71164646,{E7E1E7BB-4C1C-4CAD-B3A5-91227C393F8F},,0.0690375401308395,0.0002905546692721
11164,TRISTAR RCPL ROW,RROW,PARCEL,Forest Products Management and Removal,PVI,BL,,OROR   048747FD,ORM00,281230,RWA-M-660,CADNSDI,0.0,,78.02622101,{BAFE7665-B373-45E2-94CE-630288C20F53},,0.0265301579650368,3.44997933591449e-05
11165,TRISTAR RCPL ROW,RROW,PARCEL,Forest Products Management and Removal,BL,PVI,ADMIN,OROR   048747PT,ORM00,210003,RWA-M-660,CADNSDI,0.0,,81.87277297,{05824F05-AF92-4A24-93A4-BCFEE2E370D4},,0.0244761229835189,3.60427411237966e-05
11166,TRISTAR RCPL ROW,RROW,PARCEL,Forest Products Management and Removal,PVI,BL,,OROR   048747FD,ORM00,281230,RWA-M-660,CADNSDI,0.0,,118.55555869,{7C190E9E-A981-4B44-9577-46E4D423A0CE},,0.033831499296766,5.26339044011878e-05
11167,TRISTAR RCPL ROW,RROW,PARCEL,Forest Products Management and Removal,BL,PVI,ADMIN,OROR   048747PT,ORM00,210003,RWA-M-660,CADNSDI,0.0,,82.50814944,{50795A0A-8DF8-4E62-9DA2-9C945E0B481C},,0.0246566009559613,3.64859087159308e-05
11168,SILVER BUTTE TIMBER RCPL ROW,RROW,PARCEL,Forest Products Management and Removal,PVI,BL,,OROR   056841FD,ORM00,281210,RWA-M-2000C,CADNSDI,0.0,,39.5342957,{5FDCA5CD-BE12-4462-A798-FB0C16310BD5},,0.0170063757590942,1.76189285707022e-05
11169,INDIAN HILL RCPL ROW,RROW,PARCEL,Forest Products Management and Removal,BL,PVI,ADMIN,OROR   056843PT,ORM00,210003,RWA-M-2000E,SOURCEL,-1.0,,1029.52176216,{DADCBA75-DFED-4294-94B7-286C7BD069A7},,0.114462071773672,0.0004581064622319
11170,TRISTAR RCPL ROW,RROW,PARCEL,Forest Products Management and Removal,BL,PVI,ADMIN,OROR   048747PT,ORM00,210003,RWA-M-660,CADNSDI,0.0,,737.39258342,{BC85A6F4-24C0-4E59-8E13-EF4A218889AD},,0.0860123951526296,0.0003247043963792
11171,SUPERIOR LUMBER RCPL ROW,RROW,PARCEL,Forest Products Management and Removal,BL,PVI,ADMIN,OROR   056844PT,ORM00,210003,RWA-M-2000F,SOURCEL,-1.0,,1256.30955392,{3E418AC6-AAD2-4B25-8231-9C252B90D7F5},,0.121325235946378,0.0005586687394057
11172,TRISTAR RCPL ROW,RROW,PARCEL,Forest Products Management and Removal,PVI,BL,,OROR   048747FD,ORM00,281230,RWA-M-660,CADNSDI,0.0,,1505.49226432,{AB572749-6565-495C-AFB2-F57B1C691524},,0.226947175095379,0.0006648415814919
11173,COAST RANGE RESOURCES RCPL ROW,RROW,PARCEL,Forest Products Management and Removal,PVI,BL,,OROR   056842FD,ORM00,281230,RWA-M-2000D,CADNSDI,0.0,,725.40983631,{E8AF5C8A-6A73-4481-A4E0-B4275785D0DF},,0.0952266772326469,0.0003221040651865
