OBJECTID,DONUT,WETLANDS,ATTRIBUTE,DECODE,HGM_CODE,NAME,WETLAND_NAME,WETLAND_REPORT,CATEGORY,SOURCE,P_AREA,SHAPE_Length,SHAPE_Area
757,,,PSSB,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,F2B,,,,,,683.51154121,144.318591352507,683.515255772764
758,,,PEMB,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,F2B,,,,,,716.11766973,108.622420435965,716.116155004812
759,,,PEM/SSB,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,S2A,,,,,,714.31251247,103.734423607131,714.310180013222
760,,,PEMC,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,D2A,,,,,,615.85320828,95.263835181932,615.854275343363
761,,,PFOA,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,F2B,,,,,,12959.02909349,483.081361028089,12959.031423906
762,,,PEM/SSB,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,S2A,,,,,,8890.01361041,406.015883986714,8890.01726080849
763,,,PFO/SSB,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,S2A,,,,,,8602.20005647,541.342575274186,8602.1952516976
764,,,PEM/SSC,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,D2A,,,,,,3174.54638209,244.428807972476,3174.54431791183
765,,,PFOA,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,R3A,,,,,,1248.16394859,199.710734831762,1248.16690426355
766,,,PFO/EMB,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,S2A,,,,,,1149.24105278,259.686415757349,1149.22845195673
767,,,PFO/EMB,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,S2A,,,,,,688.55516521,159.928867947006,688.555225828148
768,,,PFOA,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,R3A,,,,,,2336.50746392,363.488189846324,2336.51376479138
769,,,PFO/EMB,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,S2A,,,,,,2107.46771508,182.343306070778,2107.47362045919
770,,,PFO/EMB,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,S2A,,,,,,2532.25881442,193.481706945559,2532.25236177991
771,,,PFO/EMB,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,S2A,,,,,,702.66861704,125.730063753168,702.667294349073
772,,,PEMB,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,S2A,,,,,,593.06276374,90.722722365737,593.066920726978
773,,,PEMB,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,F2B,,,,,,1219.4952377,137.244275488023,1219.49316160071
774,,,PEMFx,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,D2B,,,,,,19568.8225725,648.599061615412,19568.8231509913
775,,,PEMC,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,D2A,,,,,,836.43661855,169.18137709453,836.439263655041
776,,,PFOC,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,D2A,,,,,,654.00546957,96.7839974792816,654.005766149753
777,,,PFOC,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,D2A,,,,,,741.04479009,105.427034478337,741.046448740859
778,,,PFOB,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,S2A,,,,,,969.3294918,119.457573199667,969.332042506532
779,,,PFOB,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,S2A,,,,,,2361.76097669,258.038001638573,2361.74380658388
780,,,PFOB,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,S2A,,,,,,681.0526559,107.629393666778,681.050800057404
781,,,PFOB,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,S2A,,,,,,716.02285453,105.04402343867,716.020625519567
782,,,PFOB,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,S2A,,,,,,1375.03302121,189.540907609526,1375.0400529724
783,,,PFOB,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,S2A,,,,,,2325.00734273,290.983821866709,2325.0120900721
784,,,PEM/SSB,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,S2A,,,,,,801.6090632,159.21779769441,801.612447247731
785,,,PEM/SSC,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,D2B,,,,,,5322.99171269,379.874895003292,5322.98844623577
786,,,PEM/SSC,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,D2B,,,,,,2079.56734499,191.536907048203,2079.57654419932
787,,,PFOB,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,S2A,,,,,,1237.29410012,159.768197063672,1237.29842498232
788,,,PFOB,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,S2A,,,,,,751.99179402,117.05461833394,751.987866447169
789,,,PSSC,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,D2B,,,,,,1169.88975423,137.328452595586,1169.8935148444
