314, 2014-286T16:07:31.237, 2014-286T17:40:20.188,-37.64, GOOD / High SNR
315, 2014-286T17:40:20.188, 2014-286T19:13:09.168,-61.228, GOOD / High SNR
316, 2014-286T19:13:09.168, 2014-286T20:45:58.218,-84.817, GOOD / High SNR
317, 2014-286T20:45:58.218, 2014-286T22:18:47.242,-108.407, GOOD / High SNR
318, 2014-286T22:18:47.242, 2014-286T23:51:36.231,-131.994, GOOD / High SNR
319, 2014-286T23:51:36.231, 2014-287T01:24:25.172,-155.581, GOOD / High SNR
320, 2014-287T01:24:25.172, 2014-287T02:57:14.124,-179.167, GOOD / High SNR
321, 2014-287T02:57:14.124, 2014-287T04:30:03.114,157.248, GOOD / High SNR
322, 2014-287T04:30:03.114, 2014-287T06:02:52.075,133.661, GOOD / High SNR
323, 2014-287T06:02:52.075, 2014-287T07:35:40.972,110.074, GOOD / High SNR
324, 2014-287T07:35:40.972, 2014-287T09:08:29.968,86.489, GOOD / High SNR
325, 2014-287T09:08:29.968, 2014-287T10:41:18.976,62.901, GOOD / High SNR
326, 2014-287T10:41:18.976, 2014-287T12:14:07.942,39.313, GOOD / High SNR
327, 2014-287T12:14:07.942, 2014-287T13:46:55.942,15.723, GOOD / High SNR
328, 2014-287T13:46:56.510, 2014-287T15:19:45.419,-7.869, GOOD / High SNR
329, 2014-287T15:19:45.419, 2014-287T16:52:34.322,-31.456, MARGINAL / Bifurcated cal pulse / High SNR
330, 2014-287T16:52:34.631, 2014-287T18:25:23.499,-55.033, BAD / No data or processor fail
331, 2014-287T18:25:23.499, 2014-287T19:58:12.432,-78.621, BAD / No data or processor fail
332, 2014-287T19:58:12.432, 2014-287T21:31:01.359,-102.211, BAD / No data or processor fail
333, 2014-287T21:31:01.359, 2014-287T23:03:50.247,-125.798, BAD / No data or processor fail
334, 2014-287T23:03:50.247, 2014-288T00:36:39.091,-149.385, GOOD / High SNR
335, 2014-288T00:36:39.091, 2014-288T02:09:27.919,-172.97, GOOD / High SNR
336, 2014-288T02:09:27.919, 2014-288T03:42:16.782,163.445, GOOD / High SNR
337, 2014-288T03:42:16.782, 2014-288T05:15:05.644,139.859, GOOD / High SNR
338, 2014-288T05:15:05.644, 2014-288T06:47:54.418,116.272, GOOD / High SNR
339, 2014-288T06:47:54.418, 2014-288T08:20:43.267,92.687, BAD / Poor attitude estimation / High SNR
340, 2014-288T08:20:43.267, 2014-288T09:53:32.139,69.1, BAD / Poor attitude estimation / High SNR
341, 2014-288T09:53:32.139, 2014-288T11:26:20.982,45.513, BAD / Poor attitude estimation / High SNR
342, 2014-288T11:26:20.982, 2014-288T12:59:09.809,21.927, BAD / Poor attitude estimation / High SNR
