Votes,Prec. Count,Party,Dist. Type,Dist. Code,Contest Name,Cand. Num,Cand. Name,Vote For,Ref
1,1,REP,,,County Committeeman HAMPTON DIST 1  (Prec-0243),2,WRITE-IN,1,
37,1,REP,,,County Committeeman HAMPTON DIST 2  (Prec-0244),1,Thomas J. McLaughlin,1,
66,1,REP,,,County Committeeman HAMPTON DIST 2  (Prec-0244),2,Michael Andrew O'Rorke,1,
1,1,REP,,,County Committeeman HAMPTON DIST 2  (Prec-0244),3,WRITE-IN,1,
120,1,REP,,,County Committeeman HAMPTON DIST 3  (Prec-0245),1,Roy Linke,1,
1,1,REP,,,County Committeeman HAMPTON DIST 3  (Prec-0245),2,WRITE-IN,1,
49,1,REP,,,County Committeeman HAMPTON DIST 4  (Prec-0246),1,Edgar J. Holtz,1,
0,1,REP,,,County Committeeman HAMPTON DIST 4  (Prec-0246),2,WRITE-IN,1,
79,1,REP,,,County Committeeman HAMPTON DIST 6  (Prec-0248),1,Gregory J. McQuaide,1,
1,1,REP,,,County Committeeman HAMPTON DIST 6  (Prec-0248),2,WRITE-IN,1,
116,1,REP,,,County Committeeman HAMPTON DIST 8  (Prec-0250),1,Hal English,1,
1,1,REP,,,County Committeeman HAMPTON DIST 8  (Prec-0250),2,WRITE-IN,1,
121,1,REP,,,County Committeeman HAMPTON DIST 9  (Prec-0251),1,Jay Hagerman,1,
34,1,REP,,,County Committeeman HAMPTON DIST 9  (Prec-0251),2,Daniel L. Anderson,1,
0,1,REP,,,County Committeeman HAMPTON DIST 9  (Prec-0251),3,WRITE-IN,1,
107,1,REP,,,County Committeeman HAMPTON DIST 10  (Prec-0252),1,Steven Donnelly,1,
0,1,REP,,,County Committeeman HAMPTON DIST 10  (Prec-0252),2,WRITE-IN,1,
96,1,REP,,,County Committeeman HAMPTON DIST 11  (Prec-0253),1,William L. Rhea,1,
112,1,REP,,,County Committeeman HAMPTON DIST 11  (Prec-0253),2,Mike McMullen,1,
0,1,REP,,,County Committeeman HAMPTON DIST 11  (Prec-0253),3,WRITE-IN,1,
91,1,REP,,,County Committeeman HAMPTON DIST 12  (Prec-0254),1,Daniel A. Nugent,1,
2,1,REP,,,County Committeeman HAMPTON DIST 12  (Prec-0254),2,WRITE-IN,1,
17,1,REP,,,County Committeeman HAMPTON DIST 13  (Prec-0255),1,Todd R. Havekotte,1,
70,1,REP,,,County Committeeman HAMPTON DIST 13  (Prec-0255),2,M. Richard Dunlap,1,
0,1,REP,,,County Committeeman HAMPTON DIST 13  (Prec-0255),3,WRITE-IN,1,
56,1,REP,,,County Committeeman HARRISON WARD 1 DIST 2  (Prec-0260),1,Michael O'Connell,1,
0,1,REP,,,County Committeeman HARRISON WARD 1 DIST 2  (Prec-0260),2,WRITE-IN,1,
73,1,REP,,,County Committeeman INDIANA DIST 1  (Prec-0278),1,Jeffrey W. Hodgkinson,1,
0,1,REP,,,County Committeeman INDIANA DIST 1  (Prec-0278),2,WRITE-IN,1,
73,1,REP,,,County Committeeman INDIANA DIST 2  (Prec-0279),1,Daniel Beatty,1,
0,1,REP,,,County Committeeman INDIANA DIST 2  (Prec-0279),2,WRITE-IN,1,
55,1,REP,,,County Committeeman INDIANA DIST 3  (Prec-0280),1,Mark Bursic,1,
2,1,REP,,,County Committeeman INDIANA DIST 3  (Prec-0280),2,WRITE-IN,1,
103,1,REP,,,County Committeeman INDIANA DIST 4  (Prec-0281),1,Louis Neubert,1,
0,1,REP,,,County Committeeman INDIANA DIST 4  (Prec-0281),2,WRITE-IN,1,
43,1,REP,,,County Committeeman JEFFERSON HL DIST 2  (Prec-0287),1,Paul Calise,1,
0,1,REP,,,County Committeeman JEFFERSON HL DIST 2  (Prec-0287),2,WRITE-IN,1,
174,1,REP,,,County Committeeman JEFFERSON HL DIST 5  (Prec-0290),1,David T. Montgomery,1,
1,1,REP,,,County Committeeman JEFFERSON HL DIST 5  (Prec-0290),2,WRITE-IN,1,
59,1,REP,,,County Committeeman KENNEDY DIST 1  (Prec-0294),1,Michael Muha,1,
0,1,REP,,,County Committeeman KENNEDY DIST 1  (Prec-0294),2,WRITE-IN,1,
79,1,REP,,,County Committeeman LEET DIST 2  (Prec-0303),1,John Bunce,1,
0,1,REP,,,County Committeeman LEET DIST 2  (Prec-0303),2,WRITE-IN,1,
85,1,REP,,,County Committeeman MARSHALL DIST 1  (Prec-0308),1,Patrick Danahey,1,
1,1,REP,,,County Committeeman MARSHALL DIST 1  (Prec-0308),2,WRITE-IN,1,
107,1,REP,,,County Committeeman MARSHALL DIST 2  (Prec-0309),1,James C. Tracy,1,
0,1,REP,,,County Committeeman MARSHALL DIST 2  (Prec-0309),2,WRITE-IN,1,
17,1,REP,,,County Committeeman MARSHALL DIST 3  (Prec-0310),1,Thomas P. Rowlands,1,
54,1,REP,,,County Committeeman MARSHALL DIST 3  (Prec-0310),2,Philip E. Troy,1,
1,1,REP,,,County Committeeman MARSHALL DIST 3  (Prec-0310),3,WRITE-IN,1,
79,1,REP,,,County Committeeman MARSHALL DIST 4  (Prec-0311),1,H. Scott Cunningham,1,
0,1,REP,,,County Committeeman MARSHALL DIST 4  (Prec-0311),2,WRITE-IN,1,
89,1,REP,,,County Committeeman MARSHALL DIST 5  (Prec-0312),1,Jason Bragunier,1,
2,1,REP,,,County Committeeman MARSHALL DIST 5  (Prec-0312),2,WRITE-IN,1,
139,1,REP,,,County Committeeman MCCANDLESS WARD 1 DIST 1  (Prec-0314,1,"James P. Childress, Jr.",1,
0,1,REP,,,County Committeeman MCCANDLESS WARD 1 DIST 1  (Prec-0314,2,WRITE-IN,1,
86,1,REP,,,County Committeeman MCCANDLESS WARD 1 DIST 2  (Prec-0315,1,"David R. Capan, Sr.",1,
0,1,REP,,,County Committeeman MCCANDLESS WARD 1 DIST 2  (Prec-0315,2,WRITE-IN,1,
77,1,REP,,,County Committeeman MCCANDLESS WARD 1 DIST 3  (Prec-0316,1,Robert F. Gaertner,1,
0,1,REP,,,County Committeeman MCCANDLESS WARD 1 DIST 3  (Prec-0316,2,WRITE-IN,1,
104,1,REP,,,County Committeeman MCCANDLESS WARD 2 DIST 2  (Prec-0318,1,"Gerard J. Aufman, Jr.",1,
0,1,REP,,,County Committeeman MCCANDLESS WARD 2 DIST 2  (Prec-0318,2,WRITE-IN,1,
89,1,REP,,,County Committeeman MCCANDLESS WARD 2 DIST 3  (Prec-0319,1,Kenneth G. Doerbecker,1,
0,1,REP,,,County Committeeman MCCANDLESS WARD 2 DIST 3  (Prec-0319,2,WRITE-IN,1,
110,1,REP,,,County Committeeman MCCANDLESS WARD 3 DIST 2  (Prec-0321,1,Charles J. Mazur,1,
3,1,REP,,,County Committeeman MCCANDLESS WARD 3 DIST 2  (Prec-0321,2,WRITE-IN,1,
132,1,REP,,,County Committeeman MCCANDLESS WARD 3 DIST 3  (Prec-0322,1,Ronald P. Eggert,1,
1,1,REP,,,County Committeeman MCCANDLESS WARD 3 DIST 3  (Prec-0322,2,WRITE-IN,1,
146,1,REP,,,County Committeeman MCCANDLESS WARD 4 DIST 1  (Prec-0323,1,Robert Powers,1,
1,1,REP,,,County Committeeman MCCANDLESS WARD 4 DIST 1  (Prec-0323,2,WRITE-IN,1,
84,1,REP,,,County Committeeman MCCANDLESS WARD 4 DIST 2  (Prec-0324,1,Alan T. Shuckrow,1,
0,1,REP,,,County Committeeman MCCANDLESS WARD 4 DIST 2  (Prec-0324,2,WRITE-IN,1,
87,1,REP,,,County Committeeman MCCANDLESS WARD 4 DIST 3  (Prec-0325,1,Terence Joseph Hart,1,
0,1,REP,,,County Committeeman MCCANDLESS WARD 4 DIST 3  (Prec-0325,2,WRITE-IN,1,
106,1,REP,,,County Committeeman MCCANDLESS WARD 5 DIST 1  (Prec-0326,1,Lamar Oliver,1,
