X,Y,OBJECTID,TNF_LS_NO,SLIDE_NO,INVENTORY,CONFID_DAT,YR_INT_TYP,YR_OCCURANCE,LATEST_YEAR_NOTSEEN,FIRST_YEAR_SEEN,TREATMENT,RD_RELATED,STRM_IMPAC,PRED_COVER,COVER_SPP,COVER_PERCENT,FAIL_TYPE,VEG_CLASS,EXAMINER,SLOPE_PER,SLOPE_SHA,BDRK_F_ZON,PM_F_ZONE,LANDSLIDE_NAME,LANDWEHR_N,GROUPED_SL,RECURRANCE,NUMBER_
-132.022368946,54.72289623,36293,6228,C1691,T10,E00002001,2005P,2001,1997.0,2005,,N,Y,BARE,ALRU2,50,SOAR-DEAV-FLOW,UN,Darin Silkworth,,,,,,,,,
-132.02421607,54.727512924,36294,6229,C1692,T10,E00002001,2005P,2001,1997.0,2006,,N,N,BARE,,0,SOAR-DEAV-FLOW,UN,Darin Silkworth,,,,,,,,,
-132.027060346,54.729386086,36295,6230,C1693,T10,E00002001,2005P,2001,1997.0,2006,,N,N,BARE,,0,SOAR-DEAV-FLOW,UN,Darin Silkworth,,,,,,,,,
-132.02619767,54.729147817,36296,6231,C1694,T10,E00001960,2005P,1960,1948.0,1971,,N,N,BATR,ALRU2,100,SOAR-DEAV-FLOW,AL,Dennis Landwehr,,,,,,,,,
-132.024691407,54.729025478,36297,6232,C1695,T10,E00001960,2006P,1960,1948.0,1971,,N,N,BATR,ALRU2,100,SOAR-DEAV-FLOW,CO,Dennis Landwehr,,,,,,,,,
-132.038707271,54.751900981,36298,6233,C1696,T10,E00001991,2005P,1991,1985.0,1997,,N,N,BATR,ALRU2,60,SOAR-DEAV-FLOW,UN,Dennis Landwehr,,,,,,,,,
-132.027386275,54.813284903,36299,6234,C1697,T10,E00002001,2005P,2001,1997.0,2005,,N,N,BARE,,0,SOAR-DEAV-FLOW,UN,Darin Silkworth,,,,,,,,,
-132.007512812,54.838446314,36300,6235,C1698,T10,E00002001,2005P,2001,1997.0,2005,,N,N,BARE,,0,SOAR-DEAV-FLOW,UN,Darin Silkworth,,,,,,,,,
-132.012341619,54.846133062,36301,6236,C1699,T10,E00001960,2005P,1960,1948.0,1971,,N,N,BEDR,,0,SOAR-DEAV-FLOW,UN,Darin Silkworth,,,,,,,,,
-132.030925014,54.846651453,36302,6237,C1700,T10,E000-1948,2005P,-1948,,1948,,N,N,BEDR,,0,SOAR-DEAV-FLOW,UN,Darin Silkworth,,,,,,,,,
-131.974227135,54.805287338,36303,6241,C1704,T10,E00002001,2005P,2001,1997.0,2005,,N,N,BARE,CON1,5,SOAR-DEAV-FLOW,UN,Dennis Landwehr,,,,,,,,,
-132.025296593,54.722634069,36304,6243,C1716,T10,E00001978,2005P,1978,1971.0,1985,,N,Y,BATR,ALRU2,100,SOAR-DEAV-FLOW,AL,Darin Silkworth,,,,,,,,,
-132.02109739,54.722925713,36305,6244,C1717,T10,E00001978,2005P,1978,1971.0,1985,,N,N,BATR,ALRU2,100,SOAR-DEAV-FLOW,AL,Darin Silkworth,,,,,,,,,
-132.106492697,54.730538308,36306,6245,C1718,T10,E000-1948,2005P,-1948,,1948,,N,Y,BATR,ALRU2,100,SOAR-DEAV-FLOW,AL,Dennis Landwehr,,,,,,,,,
-133.174923919,55.138972568,36307,6381,C1810,T10,E000-1929,2006P,-1929,,1929,N,N,Y,BATR,ALRU2,100,SOAR-DEAV-FLOW,AL,Darin Silkworth,,,,,,,,,
-133.177542562,55.140812934,36308,6382,C1811,T20,E00002012,2019P,2012,2006.0,2019,N,N,N,BARE,,0,SOAR-DEAV-FLOW,AL,Dennis Landwehr,,,,,,,,-1929,
-132.973055698,54.953258576,36309,6421,C1850,T10,E00001960,2008P,1960,1948.0,1972,N,N,N,BATR,ALRU2,100,SOAR-DEAV-FLOW,AL,Darin Silkworth,,,,,,,,,
-133.109445652,54.953709303,36310,6422,C1851,T10,E00001960,2008P,1960,1948.0,1972,N,N,N,BEDR,CON1,40,TRZO-DEFL-FLOW,PV,Darin Silkworth,,,,,,,,,
-132.948952252,54.934593918,36311,6423,C1852,T10,E00001978,2008P,1978,1972.0,1985,N,N,N,BATR,ALRU2,100,SOAR-DEAV-FLOW,AL,Darin Silkworth,,,,,,,,,
-133.036280192,54.897751012,36312,6425,C1854,T10,E000-1929,2008P,-1929,,1929,N,N,N,BEDR,ALRU2,40,SOAR-DEAV-FLOW,PV,Darin Silkworth,,,,,,,,,
-133.002219804,54.854973956,36313,6426,C1855,T10,E00001938,2008P,1938,1929.0,1948,N,N,N,BATR,ALRU2,100,TRZO-DEFL-FLOW,PV,Darin Silkworth,,,,,,,,,
-132.990467342,54.835597575,36314,6427,C1856,T10,E00001960,2008P,1960,1948.0,1971,N,N,N,BATR,ALRU2,100,SOAR-DEAV-FLOW,AL,Darin Silkworth,,,,,,,,,
-132.963862403,54.802906677,36315,6428,C1857,T10,E00001960,2008P,1960,1948.0,1972,N,N,N,BATR,ALRU2,100,SOAR-DEAV-FLOW,AL,Darin Silkworth,,,,,,,,,
-132.959476629,54.800721225,36316,6429,C1858,T10,E00001991,2008P,1991,1985.0,1997,N,N,N,BATR,ALRU2,100,SOAR-DEAV-FLOW,AL,Darin Silkworth,,,,,,,,,
-132.956800023,54.799146151,36317,6430,C1859,T10,E00001960,2008P,1960,1948.0,1972,N,N,N,BATR,ALRU2,100,SOAR-DEAV-FLOW,AL,Darin Silkworth,,,,,,,,,
-132.82467988,54.803132881,36318,6431,C1860,T10,E00001960,2006P,1960,1948.0,1972,N,N,N,BATR,ALRU2,100,SOAR-DEAV-FLOW,AL,Darin Silkworth,,,,,,,,,
-132.811473171,54.800626327,36319,6432,C1861,T10,E00002001,2006P,2001,1997.0,2006,N,N,N,BARE,ALRU2,10,SOAR-DEAV-FLOW,UN,Darin Silkworth,,,,,,,,,
-132.806775972,54.799378303,36320,6433,C1862,T10,E00001938,2006P,1938,1929.0,1948,N,N,N,BATR,ALRU2,100,SOAR-DEAV-FLOW,AL,Darin Silkworth,,,,,,,,,
-132.935823609,54.798181783,36321,6434,C1863,T10,E00001960,2008P,1960,1948.0,1972,N,N,Y,BATR,ALRU2,100,SOAR-DEAV-FLOW,AL,Darin Silkworth,,,,,,,,,
-132.938004025,54.797615392,36322,6435,C1864,T10,E00001978,2008P,1978,1972.0,1985,N,N,N,BATR,ALRU2,100,SOAR-DEAV-FLOW,AL,Darin Silkworth,,,,,,,,,
-132.940419504,54.795781399,36323,6436,C1865,T10,E00001960,2008P,1960,1948.0,1972,N,N,N,BATR,ALRU2,100,SOAR-DEAV-FLOW,AL,Darin Silkworth,,,,,,,,,
-132.948390409,54.795967198,36324,6437,C1866,T10,E00001960,2008P,1960,1948.0,1972,N,N,N,BATR,ALRU2,100,SOAR-DEAV-FLOW,AL,Darin Silkworth,,,,,,,,,
-132.949527426,54.795979044,36325,6438,C1867,T10,E00001938,2008P,1938,1929.0,1948,N,N,N,BATR,ALRU2,100,SOAR-DEAV-FLOW,AL,Darin Silkworth,,,,,,,,,
-132.950252777,54.796346113,36326,6439,C1868,T10,E00001978,2008P,1978,1972.0,1985,N,N,N,BATR,ALRU2,100,SOAR-DEAV-FLOW,AL,Darin Silkworth,,,,,,,,Yes,
-132.95264185,54.797662198,36327,6440,C1869,T10,E00001978,2008P,1978,1972.0,1985,N,N,N,BATR,ALRU2,100,SOAR-DEAV-FLOW,AL,Darin Silkworth,,,,,,,,Yes,
-132.954277369,54.797980654,36328,6441,C1870,T10,E000-1948,2008P,-1948,,1948,N,N,N,BATR,ALRU2,100,SOAR-DEAV-FLOW,AL,Darin Silkworth,,,,,,,,,
-132.929039003,54.78743818,36329,6442,C1871,T10,E00001978,2008P,1978,1972.0,1985,N,N,N,BATR,ALRU2,100,SOAR-DEAV-FLOW,AL,Darin Silkworth,,,,,,,,,
-132.925254418,54.787541544,36330,6443,C1872,T10,E00001978,2008P,1978,1972.0,1985,N,N,N,BATR,ALRU2,100,TRZO-DEFL-FLOW,AL,Darin Silkworth,,,,,,,,,
-132.927852375,54.785231682,36331,6444,C1873,T10,E000-1929,2008P,-1929,,1929,N,N,N,BATR,ALRU2,100,SOAR-DEAV-FLOW,AL,Darin Silkworth,,,,,,,,,
-132.930986663,54.789064324,36332,6445,C1874,T10,E00001991,2008P,1991,1985.0,1997,N,N,Y,BATR,ALRU2,100,SOAR-DEAV-FLOW,AL,Darin Silkworth,,,,,,,,,
-132.918517394,54.78651006,36333,6446,C1875,T10,E00001960,2008P,1960,1948.0,1972,N,N,N,BATR,ALRU2,100,SOAR-DEAV-FLOW,AL,Darin Silkworth,,,,,,,,,
-132.916592484,54.785028604,36334,6447,C1876,T10,E00001960,2008P,1960,1948.0,1972,N,N,N,BATR,ALRU2,100,SOAR-DEAV-FLOW,AL,Darin Silkworth,,,,,,,,,
-132.913400695,54.784290292,36335,6448,C1877,T10,E00001960,2008P,1960,1948.0,1972,N,N,N,BATR,ALRU2,100,SOAR-DEAV-FLOW,AL,Darin Silkworth,,,,,,,,,
-132.816515074,54.78746802,36336,6449,C1878,T10,E000-1929,2006P,-1929,,1929,N,N,Y,BATR,ALRU2,100,SOAR-DEFL-FLOW,AL,Darin Silkworth,,,,,,,,,
-132.766911553,54.77911355,36337,6450,C1879,T10,E00002001,2006P,2001,1997.0,2005,N,N,N,BARE,,0,SOAR-DEAV-FLOW,UN,Darin Silkworth,,,,,,,,,
-132.818236072,54.741691097,36338,6454,C1883,T10,E00001978,2006P,1978,1972.0,1985,N,N,N,BATR,ALRU2,100,SOAR-DEAV-FLOW,AL,Darin Silkworth,,,,,,,,,
-132.791145049,54.734127747,36339,6457,C1886,T10,E000-1929,2006P,-1929,,1929,N,N,N,BATR,CON1,80,TRZO-DEFL-FLOW,AL,Darin Silkworth,,,,,,,,,
-132.766505535,54.720879764,36340,6458,C1887,T10,E00001960,2006P,1960,1948.0,1972,N,N,N,BATR,ALRU2,100,SOAR-DEAV-FLOW,AL,Darin Silkworth,,,,,,,,,
-132.787787642,54.711495819,36341,6460,C1889,T10,E00001960,2006P,1960,1948.0,1972,N,N,N,BATR,ALRU2,100,SOAR-DEAV-FLOW,AL,Darin Silkworth,,,,,,,,,
-132.781190697,54.718626758,36342,6461,C1890,T10,E00001978,2006P,1978,1972.0,1985,N,N,Y,BATR,ALRU2,90,SOAR-DEAV-FLOW,AL,Darin Silkworth,,,,,,,,,
-132.777518926,54.713513343,36343,6462,C1891,T10,E00002001,2006P,2001,1997.0,2006,N,N,N,BATR,ALRU2,40,SOAR-DEAV-FLOW,PV,Darin Silkworth,,,,,,,,,
-132.77913585,54.71497629,36344,6463,C1892,T10,E00001978,2006P,1978,1972.0,1985,N,N,N,BATR,PISI,100,TRZO-DEFL-FLOW,CO,Darin Silkworth,,,,,,,,,
-132.740263881,54.718753606,36345,6464,C1893,T10,E00001960,2006P,1960,1972.0,1985,N,N,Y,BATR,ALRU2,100,SOAR-DEAV-FLOW,AL,Darin Silkworth,,,,,,,,,
-132.72742641,54.713264281,36346,6465,C1894,T10,E00002001,2006P,2001,1997.0,2006,N,N,N,BATR,ALRU2,30,TRZO-DEFL-FLOW,PV,Darin Silkworth,,,,,,,,,
-132.725673731,54.71156834,36347,6466,C1895,T10,E000-1929,2006P,-1929,,1929,N,N,N,BATR,ALRU2,100,SOAR-DEAV-FLOW,AL,Darin Silkworth,,,,,,,,,
-132.723964797,54.709984635,36348,6467,C1896,T10,E000-1929,2006P,-1929,,1929,N,N,N,BATR,ALRU2,100,SOAR-DEAV-FLOW,AL,Darin Silkworth,,,,,,,,,
-132.721966549,54.7089968,36349,6468,C1897,T10,E00001978,2006P,1978,1972.0,1985,N,N,N,BATR,ALRU2,100,SOAR-DEAV-FLOW,AL,Darin Silkworth,,,,,,,,,
-132.799615614,54.709693442,36350,6469,C1898,T10,E00001978,2006P,1978,1972.0,1985,N,N,N,BATR,ALRU2,100,SOAR-DEAV-FLOW,AL,Darin Silkworth,,,,,,,,,
-132.821290787,54.702969662,36351,6470,C1899,T10,E00001991,2006P,1991,1985.0,1997,N,N,N,BATR,ALRU2,80,SOAR-DEAV-FLOW,AL,Darin Silkworth,,,,,,,,,
-132.838716333,54.700332393,36352,6471,C1900,T10,E00001938,2008P,1938,1929.0,1948,N,N,N,BATR,ALRU2,50,TRZO-DEFL-FLOW,PV,Darin Silkworth,,,,,,,,,
-132.825086109,54.699404253,36353,6472,C1901,T10,E00002005,2006P,2005,2005.0,2006,N,N,N,BARE,,0,TRZO-DEFL-FLOW,UN,Darin Silkworth,,,,,,,,,
