OBJECTID,DEF_FEATURE,COORD_SRC,ACCURACY_FT,SOURCE_LYR,ADMU_LNTYPE,GLOBALID,SHAPE_Length
18,COUNTY,SOURCEL,0.0,COB_ARC,SOB,{519FB8EB-1CF0-4744-A1E2-C91725D30649},2.78325547926989
19,COUNTY,SOURCEL,0.0,COB_ARC,SOBOCEAN,{85CB7F6D-0F01-4949-9FCF-F16558B86703},5.75801925921598
20,COUNTY,SOURCEL,0.0,COB_ARC,SOB,{9F5049C4-33F4-428F-8BAB-EE145D977287},4.80788442249915
21,SUBDIVISION,DIS,0.0,PLSSIntersected,DOB,{F421B368-FBD3-4DC8-A5AF-C9928602EFD6},0.0013579250935274
22,COUNTY,SOURCEL,0.0,COB_ARC,DOB,{BB7C1366-72A9-40E7-9C52-CCE05B27265D},0.145555928534458
23,CLOSURE,DIS,0.0, ,RAB,{6F6D14AB-0731-4217-B70F-472BA9D3B3D2},0.0450656422811701
24,WATERCOURSE,SOURCEL,0.0,HYD_PUB_FLOWLINE,RAB,{7702403C-491A-4973-93E2-8898B43B0010},1.28518846105093
25,WATERCOURSE,SOURCEL,0.0,HYD_PUB_FLOWLINE,RAB,{3E7A800D-EEC8-4A19-83CF-9C1314A817EE},1.29334671728429
26,COUNTY,SOURCEL,0.0,COB_ARC,SOBOCEAN,{9BB84B6F-1CE6-4EE5-825E-629DCD56CE77},1.65750355826399
27,COUNTY,SOURCEL,0.0,COB_ARC,SOBOCEAN,{F955F0C8-F23B-4167-BE27-CCBE66766A18},0.80575429817532
28,COUNTY,SOURCEL,0.0,COB_ARC,DOB,{FB22091F-E875-41C0-9001-36AFDD3526E8},0.888297440125644
29,COUNTY,SOURCEL,0.0,COB_ARC,SOBOCEAN,{286885F3-5892-4BD9-ACCE-01BF89018B3C},0.326796503341173
30,CLOSURE,DIS,0.0, ,DOBEXT,{E452DA2D-26D4-4765-96D3-7158BC9D0B07},0.0311068279999631
31,SUBDIVISION,CADNSDI,0.0,PLSSIntersected,DOB,{A0DD3C0E-91B0-4C32-94B8-3F096D837258},0.855876072791587
32,SUBDIVISION,DIS,0.0,PLSSIntersected,DOB,{136E6836-3100-4876-ABEA-D67B679A9EFA},0.0241442909670022
33,SUBDIVISION,DIS,0.0,PLSSIntersected,DOB,{AFB3758C-7DFA-4517-93D0-AE78188D3466},0.0201959873480347
34,SUBDIVISION,DIS,0.0,none,DOB,{830FA81D-F488-4FA5-98E3-E07020E7133A},0.0020600920402438
35,SUBDIVISION,DIS,0.0,PLSSIntersected,DOB,{139D2D7B-5345-40C0-8221-B6B17E1DB99A},0.0097480124343175
36,SUBDIVISION,DIS,0.0,PLSSIntersected,DOB,{492466DB-162E-43C6-91D5-92F4ED853E59},0.0332509391245907
37,GRAZING_BOUNDARY,DIS,0.0,GRA_ARC,RAB,{1C97F49C-A917-42B2-BC1E-0F8990E834BD},0.0016047705709078
38,ROAD,SOURCEL,0.0,GTRN_PUB_ROADS_ARC,RAB,{5A78DC1C-84E6-4098-97B3-E848AC655BF4},0.352264645571722
39,ROAD,SOURCEL,0.0,GTRN_PUB_ROADS_ARC,RAB,{1B833FEF-8835-42B1-859E-4403F235F803},0.0677717368391202
40,COUNTY,SOURCEL,0.0,COB_ARC,DOB,{AB78D965-0F5F-4A20-8C8B-A17CEF07D867},0.894446792424745
41,ROAD,SOURCEL,0.0,GTRN_PUB_ROADS_ARC,RAB,{7A78220B-44E7-4199-876E-3B3FF2D5FCCC},0.184333407677721
42,ROAD,SOURCEL,0.0,highways_arc,RAB,{8C90DF35-EF6F-4106-837D-3F09ADF5E23B},0.739416851508007
43,ROAD,SOURCEL,0.0,Highway_arc,RAB,{B6BE8470-F94A-4C09-8080-A1F631A668CD},1.02730253948002
44,WATERCOURSE,SOURCEL,0.0,HYD_PUB_FLOWLINE,DOB,{B2D724DD-1062-408B-AE70-DE7A376A7667},0.43236745762299
