OBJECTID,cons_pct,bldg_dens,avg_parcsz,pop_chg,threatF1,threatF2,threatF3,threatF4,threat,ThreatF5,F1rcl,F1raw,F2rcl,F2raw,F3rcl,F3raw,F4rcl,F4raw,F5rcl,F5raw,F6rcl,F6raw,F7rcl,F7raw,F8rcl,F8raw,F9rcl,F9raw,F10rcl,F10raw,F11rcl,F11raw,Fwght,Fwghtrcl,threatrcl,ACRES,Shapearea,Shapelen
3421,9.41579749,14.55980014,18.40180015,7.50089979,4,5,6,5,5.2,6,7,34.45740127,5,0.87085075,0,0,0,0.0,3,421.94832689,6,0.23312807,3,0.08493931,3,0.59445667,7,2.23105001,2,1.10876135,0,0,3.35,4,5,421.94832613,1707571.12381164,11867.8454498743
3422,74.79133697,11.61429977,37.02880096,4.50168991,5,9,8,10,7.0,3,9,18.88839912,5,1.14987718,0,0,0,0.0,4,557.14340302,3,0.64431526,9,1.43054731,4,1.72917779,9,3.0,8,8.70520582,0,0,4.25,5,7,557.14340986,2254688.40516848,10165.1421794181
3423,0.0,9.0,8.33819961,-19.59230041,6,1,10,1,5.6,10,9,18.97660064,2,0.13212667,0,0,0,0.0,1,95.00917419,10,0.0,0,0.0,6,3.65236307,9,3.0,5,3.65236307,0,0,3.7,4,6,95.00917609,384490.03240964,4507.49641682603
3424,2.2473711,16.86100006,15.96590042,-0.117833,3,4,10,3,5.2,6,8,25.35110092,6,1.17060361,0,0,7,50.19342125,5,2387.69199251,6,0.27168663,8,1.08230877,4,1.89050765,7,2.2848401,3,1.7191095,0,0,5.3,6,5,2387.69199787,9662685.34702908,31451.7550957036
3425,22.81440755,16.43639945,14.48429965,11.4694004,4,3,4,7,4.4,4,7,37.44599914,5,0.67626463,0,0,0,0.0,3,327.66662834,4,0.49435611,7,0.53279762,4,1.53061055,3,1.18237996,3,1.48111512,0,0,3.25,4,4,327.66664217,1326025.1594,11888.1692962338
3426,7.89942657,11.50290012,20.99060058,5.02184009,5,6,7,4,5.8,7,6,44.98020172,7,4.93174606,0,0,5,38.53334915,5,2389.55066264,7,0.17280571,8,1.1180805,6,3.22734735,1,0.46620699,6,5.06027186,0,0,4.85,6,6,2389.55065033,9670207.07672146,41090.4135637072
3427,0.0,11.0369997,37.02880096,4.50168991,5,9,8,1,5.0,2,8,23.74160003,4,0.32817541,0,0,0,0.0,2,159.00895546,2,0.95632349,10,7.35801324,8,12.62004391,9,3.0,9,12.62016968,0,0,3.9,5,5,159.00894409,643488.94059861,7491.43762749634
3428,0.0,9.58333015,13.73379993,-5.61525011,6,3,10,1,6.0,10,7,30.71430015,3,0.18055255,0,0,0,0.0,1,29.80677097,10,0.0,0,0.0,10,30.91277484,9,3.0,10,75.94301313,0,0,3.95,5,6,29.80677613,120624.22594353,2641.62400666867
3429,0.41047916,18.93230056,14.48429965,11.4694004,3,3,4,2,3.6,6,7,35.90869903,5,0.55986531,0,0,0,0.0,3,271.26833525,6,0.20171908,8,0.8595548,8,13.87710805,0,0.0,9,16.38076923,0,0,3.85,5,3,271.26832855,1097788.36875996,8650.83576148938
3430,0.0,16.84569931,16.1331005,10.18290042,3,4,4,1,3.0,3,5,64.84539794,5,0.74569432,0,0,0,0.0,3,361.30699664,3,0.60349786,5,0.18571464,7,7.59694671,9,2.90763998,3,1.73609701,0,0,3.2,4,3,361.30698898,1462163.3575012,13555.0069254575
3431,0.0,21.60810089,20.35750007,4.70390987,3,5,7,1,5.2,10,9,19.42210006,5,0.91056533,3,3,0,0.0,2,150.32195245,10,0.0,10,7.11146963,10,79.66042087,0,0.0,10,28.02858751,0,0,4.95,6,5,150.32195028,608333.78325932,6220.96564703355
3432,0.56097084,9.89933967,20.50130081,8.63535022,6,5,5,2,4.8,6,6,46.832901,7,4.39184133,1,1,6,47.91489549,5,2127.95371788,6,0.26066732,6,0.23749106,4,1.7699492,9,3.0,4,2.64086946,0,0,5.1,6,5,2127.95370132,8611557.54895744,29239.7622451607
3433,31.0410369,9.49244976,8.5692501,-18.9762001,6,2,10,8,6.2,5,4,74.61789703,4,0.3778955,3,4,0,0.0,4,654.32801291,5,0.31318848,2,0.01172194,2,0.03956731,0,0.0,4,2.5284933,0,0,2.8,3,6,654.32800654,2647982.0875662,15930.0597724883
3434,0.0,8.08333015,11.38799953,-11.45960044,7,2,10,1,6.0,10,9,16.87199974,3,0.16762332,0,0,0,0.0,1,27.67233108,10,0.0,0,0.0,5,2.46961485,9,3.0,10,73.71753373,0,0,4.0,5,6,27.67232307,111986.36628536,2791.20886580087
