OBJECTID,MODEL91,LINE91,FRAME91,YEAR,CAN_NBR91,FLGTDATE91,SCALE91,PRINTSAVAIL,SHAPEAREA,SHAPELEN
159,8018,8,18,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,12901828.0372922,15415.6805686635
160,8014,8,14,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,13627381.6870977,15766.472705683
161,9052,9,52,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,12617167.4888336,13960.8077208585
162,9051,9,51,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,9332913.96501094,12404.8984642929
163,9050,9,50,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,8995879.84162969,12264.2028349094
164,9049,9,49,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,9563115.26083594,12609.7932708646
165,9048,9,48,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,10348114.5596141,13063.3701208474
166,9047,9,47,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,10209713.3147641,13041.1476942983
167,9046,9,46,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,9256272.02647891,12617.6850725483
168,9045,9,45,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,9738020.98909297,12897.2898406838
169,9044,9,44,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,9961923.04171016,13013.7135228685
170,9043,9,43,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,10275340.7425008,13173.9871962427
171,9042,9,42,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,10838602.2321039,13468.5488215226
172,9041,9,41,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,10241810.7033898,13197.6655477622
173,9040,9,40,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,10456960.7964906,13325.7831511062
174,9039,9,39,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,10034622.7998477,13165.6559615212
175,9038,9,38,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,11179030.3985016,13753.6629336057
176,9037,9,37,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,11134594.7518539,13768.5244889977
177,9036,9,36,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,11201759.3702148,13870.4637363702
178,9035,9,35,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,11538253.1468477,14087.9382862829
179,9034,9,34,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,12423311.6613547,14609.1601049405
180,9033,9,33,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,10918091.972918,14147.7101215177
181,9032,9,32,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,13658637.8291594,15432.9339197982
182,9031,9,31,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,13376501.4605828,15458.5643034417
183,9030,9,30,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,11997095.2835563,15029.9455189437
184,9029,9,29,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,14171768.3776617,15964.9238058568
185,9028,9,28,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,13154969.7066148,15692.2835495294
186,9027,9,27,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,13444440.0304758,15900.2240211264
187,9026,9,26,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,16094742.8712234,16994.1131806618
188,9025,9,25,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,12996240.5418625,16105.3741066536
189,9024,9,24,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,15600834.3345398,17098.1280659701
190,9023,9,23,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,14812936.5528914,16835.9715500413
191,9022,9,22,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,14501640.1445867,16735.3379834254
192,9021,9,21,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,15584947.5387711,17107.1692314701
193,9020,9,20,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,11074507.6293797,15569.7353807554
194,9019,9,19,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,14074846.46195,16529.4498119972
195,9018,9,18,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,13967540.0419648,16406.3746703775
196,9017,9,17,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,14820933.2082883,16613.8438862994
197,9016,9,16,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,12979449.6847852,15845.7475054851
198,9015,9,15,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,12427529.0318469,15540.9830683194
199,9014,9,14,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,13266105.3339891,15784.4324489315
200,9013,9,13,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,13408774.3537156,15818.5176601496
201,9012,9,12,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,13142241.6020875,15684.8100762289
202,9011,9,11,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,12592479.3268844,15475.3260832882
203,9010,9,10,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,14788152.149907,16277.5969852847
204,9009,9,9,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,13257768.0404883,15702.2589979703
205,9008,9,8,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,11400612.4385148,15004.2533781671
206,9007,9,7,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,12469141.1852078,15386.3681311594
207,9006,9,6,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,13613168.772375,15784.7580694325
208,9005,9,5,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,11929470.1887266,15119.1971278007
209,9004,9,4,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,13276571.7636727,15597.733082251
210,9003,9,3,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,12987099.7735008,15466.95060844
211,9002,9,2,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,13718979.2517641,15734.777357826
212,10052,10,52,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,16532019.8860625,16566.172819938
213,10051,10,51,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,11611640.4103867,14258.4004150212
214,10050,10,50,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,12223824.0902367,14516.8103572085
215,10049,10,49,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,11406468.788593,14079.2903859356
216,10048,10,48,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,12001673.5817469,14264.3251646031
217,10047,10,47,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,11244880.1969648,13841.5875937829
218,10046,10,46,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,12225235.7775375,14232.8501933225
219,10045,10,45,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,11428363.5244539,13777.2128554874
220,10044,10,44,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,10642720.6564242,13319.8049757046
221,10043,10,43,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,10517207.6645758,13192.9447463963
222,10042,10,42,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,10787762.8424086,13323.3421603365
223,10041,10,41,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,11917088.8507023,13958.2071229066
224,10040,10,40,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,11621803.8376531,13864.8510667574
225,11058,11,58,1991,2033,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,12940403.6653852,14948.4291408641
226,11057,11,57,1991,2033,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,7882968.72097891,11331.8248045507
227,11056,11,56,1991,2033,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,8350939.39385312,11720.4672556313
228,11055,11,55,1991,2033,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,7660570.00504922,11444.7676037108
229,11054,11,54,1991,2033,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,8958304.48687109,12299.6208642752
230,11053,11,53,1991,2033,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,10317604.5319063,13133.3001503187
231,11052,11,52,1991,2033,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,10553632.2129508,13376.1373310675
232,11051,11,51,1991,2033,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,10533969.9590117,13464.3358808939
233,11050,11,50,1991,2033,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,9528410.34822422,13102.260189701
234,11049,11,49,1991,2033,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,10984213.8965203,13821.9889148033
235,11048,11,48,1991,2033,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,12131284.3540828,14349.315254117
236,11047,11,47,1991,2033,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,10385464.7525984,13486.6763133618
237,11046,11,46,1991,2033,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,11328456.3202633,13848.5674882492
