ObjectId,Street_,Dir,Post_Dir,Street,Type_,Loc,Zip,Council,Neighborhood,Referred,Down___Clear
214,1221,S,,Brook,St,Entire,,,,,2008/01/22 05:00:00+00
215,5204,,,Cedrus,Cir,Entire,,,,,2008/01/25 05:00:00+00
216,1715,,,Garland,Ave,Entire,,,,,2008/01/25 05:00:00+00
217,2234,,,Garland,Ave,Entire,,,,,2008/01/25 05:00:00+00
218,729,E,,Jacob,St,Entire,,,,,2008/01/25 05:00:00+00
219,2008,W,,Jefferson,St,Rear,,,,,2008/01/25 05:00:00+00
220,1212,,,Fischer ,Ave,Rear,,,,,2008/01/30 05:00:00+00
221,2307,W,,Jefferson,St,Entire,,,,,2008/01/30 05:00:00+00
222,821,,,Dearborn,Ave,Entire,,,,,2008/02/01 05:00:00+00
223,2510,W,,Jefferson,St,Rear,,,,,2008/02/01 05:00:00+00
224,313,N,,21st,St,Entire,,,,,2008/02/13 05:00:00+00
225,1613,,,Dumesnil,St,Entire,,,,,2008/02/13 05:00:00+00
226,2604,W,,Jefferson,St,Rear,,,,,2008/02/13 05:00:00+00
227,2714,W,,Jefferson,St,Entire,,,,,2008/02/18 05:00:00+00
228,2034,,,Portland,Ave,Entire,,,,,2008/02/18 05:00:00+00
229,2034,,,Portland ,Ave,Entire,,,,,2008/02/18 05:00:00+00
230,3230,W,,Jefferson,St,Rear,,,,,2008/02/21 05:00:00+00
231,3519,,,Greenwood,Ave,Entire,,,,,2008/02/26 05:00:00+00
232,3715,,,Greenwood,Ave,Entire,,,,,2008/02/26 05:00:00+00
233,1500,W,,Jefferson ,St,Entire,,,,,2008/02/26 05:00:00+00
234,10710,,,Jefferson Hill,Rd,Entire,,,,,2008/02/26 05:00:00+00
235,1764,W,,Burnett,Ave,Entire,,,,,2008/02/28 05:00:00+00
236,5608,,,Johnsontown,Rd,Entire,,,,,2008/02/28 05:00:00+00
237,632,,,Jordan,Ave,Entire,,,,,2008/03/03 05:00:00+00
238,610,S,,20th,St,Entire,,,,,2008/03/07 05:00:00+00
239,634,,,Jordan,Ave,Entire,,,,,2008/03/07 05:00:00+00
240,4200,,,Bubbling Over,Dr,Entire,,,,,2008/03/13 03:59:59+00
241,1620,W,,Kentucky,St,Entire,,,,,2008/03/13 03:59:59+00
242,356,N,,27th,St,Entire,,,,,2008/03/17 03:59:59+00
243,2709,,,Chickasaw,Ave,Entire,,,,,2008/03/20 03:59:59+00
244,1716,W,,Kentucky,St,Entire,,,,,2008/03/20 03:59:59+00
245,1741,W,,Kentucky,St,Entire,,,,,2008/04/07 03:59:59+00
246,2213,W,,Kentucky,St,Rear,,,,,2008/04/07 03:59:59+00
247,1728,,,Prentice,St,Entire,,,,,2008/04/07 03:59:59+00
248,736,S,,16th,St,Entire,,,,,2008/04/08 03:59:59+00
249,1025,,,Dixie ,Hwy,Entire,,,,,2008/04/08 03:59:59+00
250,2301,W,,Kentucky,St,Entire,,,,,2008/04/08 03:59:59+00
251,1820,,,Baird,St,Entire,,,,,2006/06/22 03:59:59+00
252,1912,,,Baird,St,Entire,,,,,2006/06/22 03:59:59+00
253,1721,,,Prentice,St,Entire,,,,,2006/06/22 03:59:59+00
254,1633,,,Bank,St,Entire,,,,,2006/06/27 03:59:59+00
255,1908,,,Bank,St,Entire,,,,,2006/06/30 03:59:59+00
256,2563,,,Bank,St,Entire,,,,,2006/07/10 03:59:59+00
257,2916,,,Bank,St,Entire,,,,,2006/07/10 03:59:59+00
258,1801-03,,,Bank,St,Entire,,,,,2006/07/17 03:59:59+00
259,5001,,,Monticello ,Ave,Entire,,,,,2006/07/17 03:59:59+00
260,1429,,,Beech,St,Entire,,,,,2006/07/18 03:59:59+00
261,1442,,,Beech,St,Entire,,,,,2006/07/18 03:59:59+00
262,1836,,,Berry,Blvd,Entire,,,,,2006/07/18 03:59:59+00
263,1620,,,Berry ,Blvd,Garage,,,,,2006/07/18 03:59:59+00
264,2646,,,Olive ,St,Entire,,,,,2006/07/18 03:59:59+00
265,2510,,,Blevins Gap,Rd,Entire,,,,,2006/07/26 03:59:59+00
266,1733,,,Bolling,Ave,Entire,,,,,2006/07/27 03:59:59+00
267,2210,,,Bolling,Ave,Entire,,,,,2006/07/31 03:59:59+00
268,120,,,Boston,Ct,Entire,,,,,2006/08/03 03:59:59+00
269,463,E,,Brandeis,Ave,Entire,,,,,2006/08/03 03:59:59+00
270,917,,,Brentwood,Ave,Entire,,,,,2006/08/03 03:59:59+00
271,5607,,,Brinson,Dr,Entire,,,,,2006/08/04 03:59:59+00
272,9409,,,New Maple,Rd,Entire,,,,,2006/08/04 03:59:59+00
273,4011,W,,Broadway,,Rear,,,,,2006/08/17 03:59:59+00
274,4017,W,,Broadway,,Entire,,,,,2006/08/17 03:59:59+00
275,4142,W,,Broadway,,Entire,,,,,2006/08/23 03:59:59+00
276,3434,W,,Market,St,Entire,,,,,2006/08/30 03:59:59+00
277,10001,,,Brownsboro,Rd,Entire,,,,,2006/09/11 03:59:59+00
278,9313,,,New Maple ,Rd,Entire,,,,,2006/09/15 03:59:59+00
279,1814,W,,Burnett,Ave,Entire,,,,,2006/10/27 03:59:59+00
280,2327,W,,Burnett,Ave,Entire,,,,,2006/10/27 03:59:59+00
281,1709,,,Prentice,St,Entire,,,,,2006/10/27 03:59:59+00
282,4311,,,Camp Ground,Rd,Entire,,,,,2006/11/10 05:00:00+00
283,4619,,,Cane Run,Rd,Entire,,,,,2006/11/10 05:00:00+00
284,2433,,,Montgomery,St,Entire,,,,,2006/11/10 05:00:00+00
285,4646,,,Cane Run,Rd,Entire,,,,,2006/11/14 05:00:00+00
