X,Y,OBJECTID,STOPID,STOPABBR,STOPNAME,LON,LAT
1189927.03749999,270109.140000001,852,2759,9760,38th @ Young,-85.81837,38.231197
1189917.13500001,269848.165000007,853,2760,9765,S 38th @ Von Spiegel,-85.818389,38.23048
1189888.25125,269586.056250006,854,2761,9770,38th @ Stratton,-85.818474,38.229759
1190217.62,269255.931250006,855,2762,9775,Bohne @ Russell Lee,-85.817308,38.228868
1190609.60875,269110.496250004,856,8769,9776,Bohne @ Carter Elementary,-85.815935,38.228487
1191238.32375,269048.823750004,857,2412,9780,Bohne @ S 35th,-85.813743,38.228347
1192525.19875,267677.581249997,858,2748,9790,Wilson @ Algonquin,-85.809183,38.224642
1192275.43875,267350.373750001,859,2764,9800,Cane Run @ Algonquin Pkwy,-85.810033,38.223732
1191951.145,266931.921250001,860,2766,9810,Cane Run @ Linwood,-85.811137,38.222568
1191569.1825,266434.323750004,861,2768,9820,Cane Run @ Bells,-85.812437,38.221184
1190008.55875,264468.215000004,862,2773,9845,Cane Run @ Camp Ground,-85.817752,38.215713
1189486.82125001,263866.673749998,863,2774,9850,Cane Run @ Darlene,-85.819532,38.214037
1188508.3275,262703.305000007,864,2778,9870,Cane Run @ Kingswood,-85.822868,38.210797
1188259.4325,262381.946250007,865,2779,9875,Cane Run @ Cane Run Elem,-85.823715,38.209903
1187750.38249999,261905.148750007,866,2780,9880,Cane Run @ Ralph,-85.825458,38.20857
1186374.4875,260603.334999993,867,2781,9885,Cane Run @ Richell,-85.830168,38.204931
1186083.79375,260327.512500003,868,2782,9890,Cane Run @ Farnsley,-85.831163,38.20416
1185545.4225,259838.147499993,869,2783,9895,Cane Run @ Davey Crockett Trail,-85.833007,38.202791
1185342.935,259645.314999998,870,2784,9905,Cane Run @ Van Winkle,-85.8337,38.202252
1185034.7375,259355.599999994,871,2785,9910,Cane Run @ Kramers,-85.834755,38.201442
1184727.16625001,259085.911249995,872,2786,9915,Cane Run @ Hartlage,-85.835809,38.200687
1184293.9825,258682.534999996,873,2787,9920,Cane Run @ Crums,-85.837292,38.199559
1183353.25875001,257799.876249999,874,2788,9925,Cane Run @ Richmont,-85.840512,38.197091
1182616.02,257119.148750007,875,2789,9930,Cane Run @ Shanks,-85.843036,38.195187
1182489.0125,256988.40625,876,2790,9935,Cane Run @ Coventry Place,-85.84347,38.194822
1181857.6225,256430.428749993,877,2791,9940,Cane Run @ Jackson,-85.845633,38.19326
1181528.62625,256122.540000007,878,2792,9945,Cane Run @ Clarinet,-85.846759,38.192399
1180959.8575,255580.981250003,879,2794,9955,Cane Run @ Patricia,-85.848705,38.190885
1180676.40625,255248.637500003,880,2795,9960,Cane Run @ Elaine,-85.849671,38.189959
1181421.44125,256024.967500001,881,2793,9962,Cane Run @ Donald,-85.847126,38.192126
1180493.41249999,255007.061250001,882,2796,9965,Cane Run @ New Lynnview,-85.850293,38.189287
1180083.09625,254421.974999994,883,2797,9970,Cane Run @ Teakwood,-85.851685,38.187661
1179837.42125,254097.724999994,884,2798,9975,Cane Run @ Melody Acres,-85.85252,38.186759
1179565.38875,253745.890000001,885,2799,9980,Cane Run @ Poplar View,-85.853445,38.18578
1179215.55875,253318.198750004,886,2800,9985,Cane Run @ Rockford,-85.854636,38.184589
1179079.2325,253166.146249995,887,2801,9990,Cane Run @ Lees,-85.855101,38.184165
1238130.905,249943.683750004,888,7280,99901,Beuchel Bank @ GE Gate 3,-85.64951,38.177962
1200749.895,243940.040000007,889,7281,99902,Iroquois Park Loop,-85.779185,38.159846
1262480.37375,255427.373750001,890,7283,99904,Taylorsville @  Neal,-85.565085,38.194004
1236949.11125,277273.504999995,891,7293,99910,Shelbyville @ Breckenridge,-85.655071,38.252952
1195079.93375,276511.863749996,892,7294,99911,NIA Center Eastbound,-85.800809,38.249016
1167812.61624999,231976.077500001,893,7295,99912,Tradeport @ Greenbelt,-85.892977,38.12544
1168148.09375,231814.9375,894,8308,99913,Tradeport @ Greenbelt Hwy,-85.891801,38.125014
1190496.7775,306698.386250004,895,7298,99914,Grant Line @ Mt Tabor,-85.818556,38.331683
1204901.86750001,279022.362499997,896,7299,99915,10th @ Market,-85.766756,38.256358
1189597.405,297737.123750001,897,7305,99917,Grant Line @ Daisy,-85.821158,38.307037
1179080.6375,252933.386250004,898,8753,9992,Rockford @ Cane Run,-85.855082,38.183526
1183329.77500001,238352.558750004,899,7308,99920,Dixie @ St. Andrews Church Rd.,-85.839426,38.143695
1206552.29375,271263.331249997,900,7309,99921,W Oak @ S 4th,-85.760566,38.235129
1202273.05625001,268520.672499999,901,7310,99922,W Hill @ S 12th,-85.775304,38.227405
1221636.10875,260402.786249995,902,7315,99927,Louisville Zoo,-85.70746,38.205977
1197764.845,276597.542500004,903,3740,25000,W Broadway @ S 24th,-85.791466,38.249375
1196662.56625,276669.555000007,904,3741,25005,W Broadway @ S 26th,-85.795308,38.249522
1195739.52625,276742.241249993,905,3743,25015,W Broadway @ S 28th,-85.798526,38.249679
1195232.8325,276756.59375,906,3744,25020,W Broadway @ 29th Westbound,-85.800291,38.249695
1194242.74124999,276804.236249998,907,3746,25030,W Broadway @ S 31st,-85.803741,38.24978
1193984.2675,276584.241249993,908,8634,25031,Hazel @ Broadway,-85.804628,38.249164
1193952.28625,275999.847499996,909,8635,25032,Hazel @ 810,-85.804705,38.247558
1193921.76000001,275314.542500004,910,8636,25033,Hazel @ Garland,-85.804771,38.245675
1193586.83499999,275075.808750004,911,8637,25034,32nd @ Garland,-85.805923,38.245004
1193550.095,274839.325000003,912,8638,25036,32nd @ Kentucky,-85.806037,38.244353
1192935.17874999,276879.868750006,913,3748,25040,W Broadway @ S 34th,-85.808298,38.249927
1192458.67625,276913.066249996,914,3749,25045,W Broadway @ S 35th,-85.809959,38.249996
1191830.075,276953.587500006,915,3751,25055,W Broadway @ Lindell,-85.81215,38.250078
1190876.65875,277012.390000001,916,3753,25065,W Broadway @ S 38th,-85.815473,38.250195
1190025.84125,277057.825000003,917,3755,25075,W Broadway @ S 40th,-85.818438,38.25028
1189621.63375001,277085.836250007,918,3756,25080,W Broadway @ S 41st,-85.819847,38.250338
1188834.0125,277131.688749999,919,3758,25090,W Broadway @ S 42nd,-85.822592,38.250427
1208258.535,272485.017499998,920,80,251,S 1st @ W Kentucky,-85.754696,38.23856
1188079.995,277177.353750005,921,3760,25100,W Broadway @ S 44th,-85.82522,38.250517
1186940.91500001,277244.938749999,922,3761,25105,W Broadway @ Southwestern,-85.82919,38.250649
1249066.995,275742.757499993,923,4447,25120,Shelbyville @ Norwood,-85.612798,38.249249
1250976.0,275523.734999999,924,4450,25130,Shelbyville @ Christian Way,-85.60614,38.248725
1251869.13375001,275419.911249995,925,4451,25135,Shelbyville @ Whipps Mill,-85.603025,38.248476
1253049.3125,275441.569999993,926,4452,25140,Lyndon @ Shelbyville,-85.598917,38.248583
1253480.82125001,275214.182500005,927,4453,25145,Shelbyville @ Wood,-85.597403,38.247976
1204907.34375,244782.956249997,928,416,2515,Southside @ Arbor Park South,-85.764776,38.162349
1254373.33125,275105.717500001,929,4454,25150,Shelbyville @ Shaftsbury,-85.59429,38.247714
1255210.81375,275005.006249994,930,4455,25155,Shelbyville @ Bellmeade,-85.591369,38.247471
1256244.2975,274892.367500007,931,4456,25160,Shelbyville @ Chadwick,-85.587765,38.247203
