ObjectId,REQ_ID,Request_Date,person_premise,address1,zip,Activity_Date,ACTIVITY_TYPE_ID,Activity_Type_Desc
64,701725,2020/07/18 03:59:59+00,SUPER USA #5,5901 NEW CUT RD,40214.0,2020/07/31 03:59:59+00,12,ENFORCEMENT ACTION
65,695416,2020/04/13 03:59:59+00,DOLLAR TREE,6801 DIXIE HWY STE155-156,40216.0,2020/04/14 03:59:59+00,12,ENFORCEMENT ACTION
66,708711,2020/11/11 05:00:00+00,DOLLAR GENERAL #2353,7701 SMYRNA PKWY,40228.0,2020/11/18 05:00:00+00,12,ENFORCEMENT ACTION
67,711988,2020/12/10 05:00:00+00,DUNDEE TAVERN,2224 DUNDEE RD,40205.0,2020/12/11 05:00:00+00,12,ENFORCEMENT ACTION
68,704624,2020/09/01 03:59:59+00,LEE'S FAMOUS RECIPE,5059 POPLAR LEVEL RD,40219.0,2020/09/03 03:59:59+00,12,ENFORCEMENT ACTION
69,701807,2020/07/21 03:59:59+00,BON AIR BARBER SHOP,2817 DEL RIO PL  UNIT 101,40220.0,2020/08/18 03:59:59+00,12,ENFORCEMENT ACTION
70,695441,2020/04/13 03:59:59+00,FAMILY DOLLAR #26820,4126 TAYLOR BLVD,40215.0,2020/04/15 03:59:59+00,12,ENFORCEMENT ACTION
71,708870,2020/11/13 05:00:00+00,T&L MART,3320 W MARKET ST,40212.0,2020/11/14 05:00:00+00,12,ENFORCEMENT ACTION
72,711989,2020/12/08 05:00:00+00,COOL BREEZE VAPORS,4120 OUTER LOOP,,2020/12/08 05:00:00+00,12,ENFORCEMENT ACTION
73,704813,2020/09/03 03:59:59+00,SAM'S SEAFOOD,4918 POPLAR LEVEL RD,40219.0,2020/09/10 03:59:59+00,12,ENFORCEMENT ACTION
74,701827,2020/07/21 03:59:59+00,SPEEDWAY #9701,8510 NATIONAL TURNPIKE,40118.0,2020/07/31 03:59:59+00,12,ENFORCEMENT ACTION
75,695477,2020/04/14 03:59:59+00,SHIVELY ANIMAL CLINIC,2401 DIXIE HWY,40216.0,2020/04/14 03:59:59+00,12,ENFORCEMENT ACTION
76,708879,2020/11/13 05:00:00+00,KADER'S MARKET,4100 W MUHAMMAD ALI BLVD,40212.0,2020/11/14 05:00:00+00,12,ENFORCEMENT ACTION
