OBJECTID,SUBJ_FIRE1890,SHAPE_Length,SHAPE_Area
97,0_49,0.215633965617633,0.0016497141913185
98,BURNED,0.401537742632332,0.0042676053905821
99,BURNED,0.100180546828027,0.0005384033170634
100,0_49,0.481117475160857,0.0029346566217394
101,BURNED,0.25176232214398,0.0014091092226404
102,0_49,0.302877036121726,0.0017370490956556
103,BURNED,0.119920694703406,0.0006225000021327
104,BURNED,0.65973743048712,0.0054355794005692
105,BURNED,0.0842585018580052,0.0004001112057473
106,0_49,0.0312437014473074,6.68499599409137e-05
107,50_99,0.217287324777628,0.0014504352436473
108,200+,0.310596135724961,0.0018958668769672
109,0_49,0.19034348635702,0.0015396156993892
110,0_49,0.185912794224767,0.0008893581599667
111,50_99,0.0691784528449485,0.0003155019705564
112,50_99,0.105804973966655,0.0007117078053023
113,50_99,0.37201384911515,0.0038660577078441
114,200+,3.16121793108321,0.0717469601421185
115,0_49,0.0738633442038658,0.0002925185694752
116,50_99,1.57770215259933,0.0180926733487358
117,100_199,0.415953492951257,0.0090922166308699
118,50_99,0.121738571456454,0.0007529635921442
119,50_99,0.132341497521654,0.0008140096301748
120,0_49,0.133563451358524,0.0009889654837163
121,0_49,0.0610365019706112,0.0002441835175711
122,0_49,0.0888416729241126,0.0005297718157796
123,0_49,0.0844733167292194,0.0002864084129979
124,0_49,0.331822971764743,0.0024973953245474
125,50_99,0.68123066493763,0.0114486450538055
126,0_49,0.274131090710892,0.00211293666916
127,0_49,0.24766142683937,0.0016603012382727
128,0_49,0.156875219304416,0.0007888640871369
129,0_49,0.0742550882636517,0.0002898904721815
130,100_199,0.513792319729716,0.0122382023455658
131,0_49,0.0977547032424711,0.000485182267617
132,0_49,0.938320727163019,0.0132438497015646
133,200+,1.09396452456873,0.026956275896743
134,50_99,0.118365115785075,0.0006687483690272
135,0_49,0.249871415817273,0.0025225839666022
136,50_99,0.313361637627362,0.0022607638404867
137,50_99,0.20098470400254,0.0018459025889217
138,0_49,0.13015222823929,0.0009428555944087
139,BURNED,2.36785323535098,0.0377606865990995
140,50_99,0.210394164454499,0.0017947022423875
141,0_49,0.178588949680913,0.0009346367121831
142,0_49,0.150490925266419,0.0009657674863357
143,BURNED,0.0637023179211682,0.0002936352662376
144,0_49,0.280739730196759,0.0022837177613513
145,BURNED,0.13080572471609,0.0007082315494373
146,50_99,0.513359194766142,0.0042819147043925
147,0_49,0.0820971134111177,0.0003740939854102
148,0_49,0.113111915225419,0.0002960607490092
149,50_99,0.200893927854224,0.0012645916616207
150,50_99,0.205745528614764,0.0016052521950855
151,50_99,0.186947044473231,0.0016199752846363
152,0_49,0.282083432289151,0.0011153091435558
153,50_99,0.711915115248337,0.0069256732160899
154,0_49,0.0894624687727327,0.0004298023485117
155,0_49,0.0896530899394656,0.0003493524438774
156,0_49,0.140808138135141,0.0008046732575733
157,0_49,0.119247571410525,0.0007423942231515
158,0_49,0.221916344137479,0.0013693511033283
159,50_99,0.0890244019525137,0.0005803314524149
160,BURNED,0.519458243185216,0.0052755075465169
161,50_99,0.0994209523073993,0.0005823986765194
162,200+,0.255802206150506,0.0020990917755331
163,BURNED,0.055811124980206,0.0002152448556498
164,BURNED,0.0862480034009329,0.0003449653661019
165,50_99,0.284611627073027,0.0022990948522974
166,0_49,0.124529503316603,0.0007122604054108
167,BURNED,0.0483889337840865,0.0001327424557707
168,0_49,0.076134925807094,0.0003610616800688
169,0_49,0.776477938791218,0.0067970231683666
170,0_49,0.156053637516061,0.000605720877223
171,50_99,0.0757313664279862,0.0002798943372101
172,50_99,0.184884093059296,0.0008586985609291
173,0_49,0.21473526184766,0.0008412277774984
174,0_49,0.188894966439932,0.0012492052342485
175,0_49,0.119466014357669,0.000420086514467
176,0_49,0.0589067317472312,0.0002175357885014
177,0_49,0.166349789807513,0.0009071363106816
178,200+,0.157057076517559,0.0008770559465036
179,200+,0.0662792943318736,0.0002318710282877
180,0_49,0.142703994698145,0.0007067063827426
181,BURNED,0.12213246707977,0.0006939752107497
182,0_49,0.101952062626382,0.0004476373742679
183,0_49,1.29631879702326,0.0122517578438049
184,BURNED,0.348658423509452,0.0022849115758896
185,BURNED,0.93221333640004,0.0117684115811453
186,0_49,0.102303082092076,0.0004526049230403
187,50_99,4.36600994371002,0.150831261889992
188,200+,0.116656591415777,0.0006976816958267
189,200+,0.374075464931443,0.0029113716918607
190,0_49,0.0602290588457731,0.0002555967380272
191,0_49,0.187133292983792,0.0009888940265197
192,0_49,0.0912705721007288,0.0003626074639901
193,200+,1.54259167507241,0.0227081845896034
194,0_49,0.175600156392883,0.0015947080066484
195,0_49,0.155372394326621,0.0007391063835546
196,50_99,0.128707755131988,0.0007306281104336
197,0_49,0.109422304455646,0.0003882884298605
198,0_49,0.138914231920414,0.000606342929039
199,0_49,0.118580241020288,0.0004545393733544
200,0_49,0.0656106376172384,0.0002221649876156
201,0_49,0.205176811583033,0.0014120024575574
202,0_49,0.124060183040964,0.0005138772216913
203,0_49,0.25066137651383,0.0020459408072654
204,0_49,0.0943313199857991,0.0003342534484194
205,0_49,0.147044096372903,0.0007626108777932
206,200+,0.441582335684922,0.0095656799331383
207,0_49,0.668821918790549,0.0059612584422069
208,0_49,0.103186673677758,0.0005389964678554
209,50_99,0.185622493362941,0.0009423975509984
210,200+,0.211205147064617,0.0014827011071745
211,50_99,0.268169165019233,0.0016498294752457
212,0_49,0.10356410644295,0.0006102703050079
213,0_49,0.15175902410932,0.0009201754238846
214,BURNED,0.125168299467085,0.0004412649654151
