OBJECTID,NAME,TYPE,VISIBLE,RRSYM,DRAW_SYMBOL,GlobalID,CreationDate,Creator,EditDate,Editor,Shape__Length
1535,UNKNOWN,OLD GRADE,N,214.0,,ee3eecdf-953b-4b68-93ff-3e403bbee36b,2023/10/22 05:06:05.137+00,FairfaxCounty,2023/10/22 05:06:05.137+00,FairfaxCounty,329.313628319311
1536,NORFOLK SOUTHERN,RAILWAY,Y,204.0,,f3fa9e7e-27ab-4db5-bc73-da0db6597519,2023/10/22 05:06:05.137+00,FairfaxCounty,2023/10/22 05:06:05.137+00,FairfaxCounty,2955.92910842784
1537,NORFOLK SOUTHERN,RAILWAY,Y,204.0,,b2cef74d-01f2-46a0-a103-6df7d5aafe53,2023/10/22 05:06:05.137+00,FairfaxCounty,2023/10/22 05:06:05.137+00,FairfaxCounty,3012.36266614765
1538,NORFOLK SOUTHERN,OLD GRADE,N,214.0,,a9be1be4-6341-46ce-8ccd-e0bcc7c20351,2023/10/22 05:06:05.137+00,FairfaxCounty,2023/10/22 05:06:05.137+00,FairfaxCounty,245.979076340353
1539,NORFOLK SOUTHERN,OLD GRADE,N,214.0,,16e2fb8b-c4b4-440d-8f9b-5223e1032f8d,2023/10/22 05:06:05.137+00,FairfaxCounty,2023/10/22 05:06:05.137+00,FairfaxCounty,169.815664609903
1540,NORFOLK SOUTHERN,RAILWAY,Y,204.0,,34fde586-dc4e-4b57-8a54-fbdf9ded3ee2,2023/10/22 05:06:05.137+00,FairfaxCounty,2023/10/22 05:06:05.137+00,FairfaxCounty,1138.06984779459
1541,NORFOLK SOUTHERN,RAILWAY,Y,204.0,,9edc490d-5ca1-4222-8355-535f735bc937,2023/10/22 05:06:05.137+00,FairfaxCounty,2023/10/22 05:06:05.137+00,FairfaxCounty,1214.74047868043
1542,NORFOLK SOUTHERN,RAILWAY,Y,204.0,,8d30d8f9-6b81-488e-b5ae-e78a2cf863ea,2023/10/22 05:06:05.137+00,FairfaxCounty,2023/10/22 05:06:05.137+00,FairfaxCounty,2130.55623412508
1543,NORFOLK SOUTHERN,RAILWAY,Y,204.0,,403020d3-8f50-4ebe-b86c-b99e32f2cc11,2023/10/22 05:06:05.137+00,FairfaxCounty,2023/10/22 05:06:05.137+00,FairfaxCounty,2355.40912850816
1544,NORFOLK SOUTHERN,OLD GRADE,N,214.0,,5151e186-935b-45f3-8cfa-a506826b74f0,2023/10/22 05:06:05.137+00,FairfaxCounty,2023/10/22 05:06:05.137+00,FairfaxCounty,577.57930642932
1545,NORFOLK SOUTHERN,RAILWAY,Y,204.0,,43e204fe-3368-4605-88b2-14740e1bc378,2023/10/22 05:06:05.137+00,FairfaxCounty,2023/10/22 05:06:05.137+00,FairfaxCounty,677.223229435958
1546,NORFOLK SOUTHERN,ABANDONED,N,205.0,,5193c312-a3a3-4f78-b69b-d320920eb1f7,2023/10/22 05:06:05.137+00,FairfaxCounty,2023/10/22 05:06:05.137+00,FairfaxCounty,246.467249015877
1547,NORFOLK SOUTHERN,RAILWAY,Y,204.0,,f4c976a8-4210-42c8-9ef0-d4f4cdc1c362,2023/10/22 05:06:05.137+00,FairfaxCounty,2023/10/22 05:06:05.137+00,FairfaxCounty,1074.70456987776
1548,NORFOLK SOUTHERN,RAILWAY,Y,204.0,,5f72d674-f5d5-4695-a86d-7ed77154e6d0,2023/10/22 05:06:05.137+00,FairfaxCounty,2023/10/22 05:06:05.137+00,FairfaxCounty,1457.67475043603
1549,NORFOLK SOUTHERN,RAILWAY,Y,204.0,,88b9e9d4-a37d-48d6-b478-7fbad84bd315,2023/10/22 05:06:05.137+00,FairfaxCounty,2023/10/22 05:06:05.137+00,FairfaxCounty,1021.61358819879
1550,NORFOLK SOUTHERN,RAILWAY,Y,204.0,,e1e8913e-985c-41b1-8004-4ab66ad815f9,2023/10/22 05:06:05.137+00,FairfaxCounty,2023/10/22 05:06:05.137+00,FairfaxCounty,591.203811528207
1551,NORFOLK SOUTHERN,RAILWAY,Y,204.0,,626ecbce-6404-40ae-8d6b-997f7b35d156,2023/10/22 05:06:05.137+00,FairfaxCounty,2023/10/22 05:06:05.137+00,FairfaxCounty,430.693325946215
1552,NORFOLK SOUTHERN,RAILWAY,Y,204.0,,a8f3251f-ee6e-4322-a0d0-068abd8761f8,2023/10/22 05:06:05.137+00,FairfaxCounty,2023/10/22 05:06:05.137+00,FairfaxCounty,435.292930709183
1553,NORFOLK SOUTHERN,RAILWAY,Y,204.0,,a3b693fc-9feb-4bf9-a7da-509b5fa09a38,2023/10/22 05:06:05.137+00,FairfaxCounty,2023/10/22 05:06:05.137+00,FairfaxCounty,466.938853020096
1554,NORFOLK SOUTHERN,RAILWAY,Y,204.0,,88534508-7746-46f9-963b-4c41f52dc71d,2023/10/22 05:06:05.137+00,FairfaxCounty,2023/10/22 05:06:05.137+00,FairfaxCounty,1306.28630847451
1555,NORFOLK SOUTHERN,OLD GRADE,N,214.0,,a83b3836-37fa-4a82-8e02-f03ab6fb4dd7,2023/10/22 05:06:05.137+00,FairfaxCounty,2023/10/22 05:06:05.137+00,FairfaxCounty,695.686833750562
1556,NORFOLK SOUTHERN,OLD GRADE,N,214.0,,5a57de1e-f228-4799-9bfc-b6b5748b7b63,2023/10/22 05:06:05.137+00,FairfaxCounty,2023/10/22 05:06:05.137+00,FairfaxCounty,495.694518342003
1557,NORFOLK SOUTHERN,OLD GRADE,N,214.0,,368564e5-58f1-4cfb-ba9b-686d097864f8,2023/10/22 05:06:05.137+00,FairfaxCounty,2023/10/22 05:06:05.137+00,FairfaxCounty,392.404463287174
1558,NORFOLK SOUTHERN,RAILWAY,Y,204.0,,fc74a6cf-bf13-4324-b99a-e923c1e2a36e,2023/10/22 05:06:05.137+00,FairfaxCounty,2023/10/22 05:06:05.137+00,FairfaxCounty,2088.05993112735
