OBJECTID,MNL_FEA_KEY,MNL_CMPNT_KEY,MNL_UPS_FEATURE_KEY,MNL_DNS_FEATURE_KEY,MNL_EQNUM_ID,MNL_UPS_ENDPT_ID,MNL_DNS_ENDPT_ID,MNL_MNLPT_ID,MNL_MAP_AREA_ID,MNL_SSC2001_ID,MNL_NPDES_ID,MNL_FEATYPE_CODE,MNL_FEATYPE_TEXT,MNL_OWNER_CODE,MNL_OWNER_NAME,MNL_PARALLEL_CODE,MNL_PARALLEL_TEXT,MNL_PRBL_FLOW_CODE,MNL_PRBL_FLOW_TEXT,MNL_USE_PERMIT_CODE,MNL_USE_PERMIT_TEXT,MNL_MATERIAL_CODE,MNL_MATERIAL_TYPE,MNL_PIPE_SHP_CODE,MNL_PIPE_SHP_TEXT,MNL_LIFECYCLE_CODE,MNL_LIFECYCLE_STAT,MNL_CNVYNC_TYPE,MNL_DSTNTN_TYPE,MNL_OVRFLW_FLAG,MNL_PUMP_FLAG,MNL_CUNETTE_FLAG,MNL_CASING_FLAG,MNL_LINING_FLAG,MNL_PERF_PIPE_FLAG,MNL_LENGTH_FT_NBR,MNL_FCNLENGTH_FT_NBR,MNL_WIDTH_IN_NBR,MNL_HEIGHT_IN_NBR,MNL_SLOPE_PCT_NBR,MNL_UPS_DEPTH_FT_NBR,MNL_DNS_DEPTH_FT_NBR,MNL_UPS_ELEV_FT_NBR,MNL_DNS_ELEV_FT_NBR,MNL_PRBL_FLOW_SYM_NUM,MNL_USE_PERMIT_SYM_NUM,MNL_INC_MNL_NBR,MNL_INSTALL_DATE,MNL_RETIRE_DATE,MNL_LST_UPDT_DATE,MNL_STREAM_NAME,MNL_CCTV_DATE,MNL_CCTV_COLLAPSE_FLAG,SHAPE_Length
37982,2201400,174624,5853,4674.0,,209-071,209-070,209-071 209-070,209,LC221,,MNL,Mainline,RWW,Ronald WasteWater,,Not Parallel,S,Sanitary,S,Sanitary,CON,Concrete,CIR,Circular,C,Connected,,,N,N,N,N,N,N,356.65,356.65,8.0,8.0,1.79999995231628,7.26,8.76,425.74,419.24,16,16,,1967/01/01 00:00:00+00,,2017/12/02 00:00:00+00,,,N,356.652332741076
37983,2201411,175426,13331,12851.0,,210-109,210-015,210-109 210-015,210,LC1535-1,,STB,Stub,RWW,Ronald WasteWater,,Not Parallel,S,Sanitary,S,Sanitary,CON,Concrete,CIR,Circular,C,Connected,,,N,N,N,N,N,N,198.43,198.43,8.0,8.0,,,9.86,,477.14,16,16,,1958/01/01 00:00:00+00,,2017/12/02 00:00:00+00,,,N,198.431457708423
37984,2201427,174919,15485,15554.0,,209-226,209-227,209-226 209-227,209,LC1511-1,,MNL,Mainline,RWW,Ronald WasteWater,,Not Parallel,S,Sanitary,S,Sanitary,CON,Concrete,CIR,Circular,C,Connected,,,N,N,N,N,N,N,265.61,265.61,8.0,8.0,2.79999995231628,11.46,10.15,366.54,359.14,16,16,,1960/01/01 00:00:00+00,,2017/12/02 00:00:00+00,,,N,265.606964927943
37985,2201433,-29062,18407,18361.0,,209-461,209-331,209-461 209-331,209,LC1863-2,,STB,Stub,RWW,Ronald WasteWater,,Not Parallel,S,Sanitary,S,Sanitary,CON,Concrete,CIR,Circular,C,Connected,,,N,N,N,N,N,N,8.34,8.34,8.0,8.0,,,7.46,,420.54,16,16,,1960/01/01 00:00:00+00,,2017/12/02 00:00:00+00,,,N,8.342950458932
37986,2201437,175104,21997,22633.0,,209-318,215-002,209-318 215-002,209,LC1473,,MNL,Mainline,RWW,Ronald WasteWater,,Not Parallel,S,Sanitary,S,Sanitary,CON,Concrete,CIR,Circular,C,Connected,,,N,N,N,N,N,N,140.67,140.67,8.0,8.0,3.29999995231628,14.96,10.56,390.04,385.44,16,16,,1963/01/01 00:00:00+00,,2017/12/02 00:00:00+00,,,N,140.66591219553
37987,2201452,175323,20163,18432.0,,210-045,210-035,210-045 210-035,210,LC314,,MNL,Mainline,RWW,Ronald WasteWater,,Not Parallel,S,Sanitary,S,Sanitary,CON,Concrete,CIR,Circular,C,Connected,,,N,N,N,N,N,N,330.11,330.11,8.0,8.0,3.09999990463257,8.16,7.26,438.84,428.74,16,16,,1958/01/01 00:00:00+00,,2017/12/02 00:00:00+00,,,N,330.114380906703
37988,2201484,175763,31550,29454.0,,214-078,214-063,214-078 214-063,214,LC1729,,MNL,Mainline,RWW,Ronald WasteWater,,Not Parallel,S,Sanitary,S,Sanitary,CON,Concrete,CIR,Circular,C,Connected,,,N,N,N,N,N,N,357.88,357.88,8.0,8.0,0.5,10.36,11.36,377.64,375.74,16,16,,1959/01/01 00:00:00+00,,2017/12/02 00:00:00+00,,,N,357.882149085947
37989,2201485,175770,35735,37468.0,,214-081,214-100,214-081 214-100,214,LC1728-1,,MNL,Mainline,RWW,Ronald WasteWater,,Not Parallel,S,Sanitary,S,Sanitary,CON,Concrete,CIR,Circular,C,Connected,,,N,N,N,N,N,N,293.47,293.47,8.0,8.0,3.5,8.96,11.46,378.04,367.74,16,16,,1959/01/01 00:00:00+00,,2017/12/02 00:00:00+00,,,N,293.468121786871
37990,2201500,176737,26434,26473.0,,215-378,215-060,215-378 215-060,215,LC1469-9,,MNL,Mainline,RWW,Ronald WasteWater,,Not Parallel,S,Sanitary,S,Sanitary,CON,Concrete,CIR,Circular,C,Connected,,,N,N,N,N,N,N,220.76,220.76,8.0,8.0,4.40000009536743,11.36,10.06,359.64,349.94,16,16,,1963/01/01 00:00:00+00,,2017/12/02 00:00:00+00,,,N,220.763550188935
37991,2201505,176393,37671,37680.0,,215-174,215-175,215-174 215-175,215,LC1648-1A,,MNL,Mainline,RWW,Ronald WasteWater,,Not Parallel,S,Sanitary,S,Sanitary,RCP,Reinforced Concrete Pipe,CIR,Circular,C,Connected,,,N,N,N,N,N,N,21.72,21.72,18.0,18.0,-3.20000004768372,14.66,14.76,313.34,314.04,16,16,,1959/01/01 00:00:00+00,,2017/12/02 00:00:00+00,,,N,21.7174618501631
