COUNTY1_00,COUNTY2_00,DIR_FLY,FRAME,MODEL00,OBJECTID,LINE00,SEQUENCE00,YEAR,CAN_NBR00,FLGTDATE00,SCALE00,PRINTSAVAIL,SHAPEAREA,SHAPELEN
Jefferson, ,W-E,02&03,037002,77,037,2,2000,1042,2000/03/24 00:00:00+00,1 in.=660 ft.,YES,9326693.02705938,12663.8064139353
Jefferson, ,W-E,02&03,039002,78,039,2,2000,1042,2000/03/24 00:00:00+00,1 in.=660 ft.,YES,9326956.84306875,12663.9664676473
Jefferson, ,W-E,02&03,041002,79,041,2,2000,1042,2000/03/24 00:00:00+00,1 in.=660 ft.,YES,9327062.67145937,12664.0339773575
Jefferson, ,E-W,02&03,038002,80,038,2,2000,1042,2000/03/24 00:00:00+00,1 in.=660 ft.,YES,9326823.8962625,12663.8864432268
Jefferson, ,E-W,02&03,040002,81,040,2,2000,1042,2000/03/24 00:00:00+00,1 in.=660 ft.,YES,9327023.12711484,12664.0081042401
Jefferson, ,E-W,02&03,042002,82,042,2,2000,1042,2000/03/24 00:00:00+00,1 in.=660 ft.,YES,9327288.40345156,12664.2115108728
Oldham, ,E-W,03&04,001003,83,001,3,2000,1041,2000/03/23 00:00:00+00,1 in.=660 ft.,YES,9324658.11381016,12662.3178024311
Oldham, ,E-W,03&04,002003,84,002,3,2000,1041,2000/03/23 00:00:00+00,1 in.=660 ft.,YES,9324771.85323906,12662.4315189467
Oldham, ,E-W,03&04,003003,85,003,3,2000,1041,2000/03/23 00:00:00+00,1 in.=660 ft.,YES,9324690.30255313,12662.3776847107
Oldham, ,E-W,03&04,004003,86,004,3,2000,1041,2000/03/23 00:00:00+00,1 in.=660 ft.,YES,9324437.72047266,12662.1939951185
Oldham, ,E-W,03&04,005003,87,005,3,2000,1041,2000/03/23 00:00:00+00,1 in.=660 ft.,YES,9324302.83423828,12662.1051456497
Oldham, ,E-W,03&04,006003,88,006,3,2000,1041,2000/03/23 00:00:00+00,1 in.=660 ft.,YES,9324166.22753203,12662.0175182469
Jefferson, ,W-E,03&04,016003,89,016,3,2000,1044,2000/03/31 00:00:00+00,1 in.=660 ft.,YES,9324149.42762578,12662.021368935
Oldham, ,W-E,03&04,008003,90,008,3,2000,1041,2000/03/23 00:00:00+00,1 in.=660 ft.,YES,9323967.68505859,12661.8848101838
Oldham, ,W-E,03&04,009003,91,009,3,2000,1041,2000/03/23 00:00:00+00,1 in.=660 ft.,YES,9324016.31741562,12661.932056039
Oldham, ,W-E,03&04,010003,92,010,3,2000,1041,2000/03/23 00:00:00+00,1 in.=660 ft.,YES,9323765.57602969,12661.750835241
Oldham, ,W-E,03&04,011003,93,011,3,2000,1041,2000/03/23 00:00:00+00,1 in.=660 ft.,YES,9323643.5962625,12661.6694719532
Oldham, ,W-E,03&04,012003,94,012,3,2000,1041,2000/03/23 00:00:00+00,1 in.=660 ft.,YES,9323689.30119844,12661.7142093568
Oldham, ,W-E,03&04,007003,95,007,3,2000,1041,2000/03/23 00:00:00+00,1 in.=660 ft.,YES,9324216.96063281,12662.0647732773
Oldham, ,W-E,03&04,013003,96,013,3,2000,1041,2000/03/23 00:00:00+00,1 in.=660 ft.,YES,9323433.14668438,12661.529235999
Oldham, ,W-E,03&04,014003,97,014,3,2000,1044,2000/03/31 00:00:00+00,1 in.=660 ft.,YES,9323568.61800078,12661.633984389
Oldham, ,W-E,03&04,015003,98,015,3,2000,1044,2000/03/31 00:00:00+00,1 in.=660 ft.,YES,9324013.34675312,12661.9314438711
Jefferson, ,E-W,03&04,018003,99,018,3,2000,1044,2000/03/31 00:00:00+00,1 in.=660 ft.,YES,9324042.48491641,12661.9511454718
Jefferson, ,E-W,03&04,019003,100,019,3,2000,1043,2000/03/26 00:00:00+00,1 in.=660 ft.,YES,9324507.85024531,12662.3495564397
Jefferson, ,W-E,03&04,020003,101,020,3,2000,1043,2000/03/26 00:00:00+00,1 in.=660 ft.,YES,9324684.67679766,12662.5030975053
Jefferson, ,W-E,03&04,021003,102,021,3,2000,1044,2000/03/31 00:00:00+00,1 in.=660 ft.,YES,9324682.41816406,12662.502984822
Jefferson, ,E-W,03&04,022003,103,022,3,2000,1044,2000/03/31 00:00:00+00,1 in.=660 ft.,YES,9324689.93686641,12662.5103675102
Jefferson, ,E-W,03&04,017003,104,017,3,2000,1041,2000/03/23 00:00:00+00,1 in.=660 ft.,YES,9323903.04206562,12661.8438905322
Jefferson, ,W-E,03&04,023003,105,023,3,2000,1044,2000/03/31 00:00:00+00,1 in.=660 ft.,YES,9324694.13134375,12662.5140029174
Jefferson, ,W-E,03&04,026003,106,026,3,2000,1043,2000/03/26 00:00:00+00,1 in.=660 ft.,YES,9324819.17182422,12662.6061679759
Jefferson, ,W-E,03&04,027003,107,027,3,2000,1042,2000/03/24 00:00:00+00,1 in.=660 ft.,YES,9324826.6926875,12662.6135520616
Jefferson, ,W-E,03&04,028003,108,028,3,2000,1042,2000/03/24 00:00:00+00,1 in.=660 ft.,YES,9324886.50044687,12662.6559460085
Jefferson, ,W-E,03&04,029003,109,029,3,2000,1042,2000/03/24 00:00:00+00,1 in.=660 ft.,YES,9324895.48388125,12662.6645830537
Jefferson, ,E-W,03&04,024003,110,024,3,2000,1043,2000/03/26 00:00:00+00,1 in.=660 ft.,YES,9324756.84529531,12662.5588909914
Jefferson, ,E-W,03&04,025003,111,025,3,2000,1043,2000/03/26 00:00:00+00,1 in.=660 ft.,YES,9324812.06225469,12662.6000317529
Jefferson, ,E-W,03&04,030003,112,030,3,2000,1043,2000/03/26 00:00:00+00,1 in.=660 ft.,YES,9324902.59514844,12662.6707203787
Jefferson, ,E-W,03&04,031003,113,031,3,2000,1043,2000/03/26 00:00:00+00,1 in.=660 ft.,YES,9324914.08236953,12662.6806103563
Jefferson, ,E-W,03&04,032003,114,032,3,2000,1042,2000/03/24 00:00:00+00,1 in.=660 ft.,YES,9325133.21943125,12662.8355241911
Jefferson, ,E-W,03&04,033003,115,033,3,2000,1042,2000/03/24 00:00:00+00,1 in.=660 ft.,YES,9325415.00995234,12663.0217386618
Jefferson, ,E-W,03&04,034003,116,034,3,2000,1042,2000/03/24 00:00:00+00,1 in.=660 ft.,YES,9325761.17314063,12663.2182852894
Jefferson, ,W-E,03&04,037003,117,037,3,2000,1042,2000/03/24 00:00:00+00,1 in.=660 ft.,YES,9326716.39144609,12663.8201858016
Jefferson, ,W-E,03&04,039003,118,039,3,2000,1042,2000/03/24 00:00:00+00,1 in.=660 ft.,YES,9326977.70453125,12663.9789871277
Jefferson, ,W-E,03&04,041003,119,041,3,2000,1042,2000/03/24 00:00:00+00,1 in.=660 ft.,YES,9327088.53378125,12664.0489968383
Jefferson, ,W-E,03&04,036003,120,036,3,2000,1042,2000/03/24 00:00:00+00,1 in.=660 ft.,YES,9326551.76173047,12663.7201468489
Jefferson, ,E-W,03&04,038003,121,038,3,2000,1042,2000/03/24 00:00:00+00,1 in.=660 ft.,YES,9326849.748625,12663.9014577759
Jefferson, ,E-W,03&04,040003,122,040,3,2000,1042,2000/03/24 00:00:00+00,1 in.=660 ft.,YES,9327041.48565156,12664.0193714024
Jefferson, ,E-W,03&04,042003,123,042,3,2000,1042,2000/03/24 00:00:00+00,1 in.=660 ft.,YES,9327321.96380547,12664.2340303072
Oldham, ,E-W,04&05,001004,124,001,4,2000,1041,2000/03/23 00:00:00+00,1 in.=660 ft.,YES,9324697.04339062,12662.3440446952
Oldham, ,E-W,04&05,002004,125,002,4,2000,1041,2000/03/23 00:00:00+00,1 in.=660 ft.,YES,9324813.29633125,12662.4590188866
Oldham, ,E-W,04&05,003004,126,003,4,2000,1041,2000/03/23 00:00:00+00,1 in.=660 ft.,YES,9324729.24246562,12662.4039320921
Oldham, ,E-W,04&05,004004,127,004,4,2000,1041,2000/03/23 00:00:00+00,1 in.=660 ft.,YES,9324601.87346563,12662.3188455178
