ObjectId,incident_number,ucr_category,type_of_firearm,firearm_manufacturer,firearm_model,firearm_caliber,recovery_date,address_geocode_type,recovery_block_address,city,state,recovery_zipcode,person_recovered_from_race,person_recovered_from_sex,person_recovered_from_age,address_concat,x,y,longitude,latitude,confidence,source
2598,80-16-081655,Wpns Law Violation,"Pistol, Revolver                                       ",Charter 2000,Bulldog,44C,2016/09/23 00:00:00+00,INTERSECTION,Taylor Blvd / Winkler Ave,Louisville,KY,40208.0,Black,M,54.0,Taylor Blvd / Winkler Ave Louisville KY 40208,1203521.75,262432.75,-85.7706078358404,38.2107465029783,,LOJIC
2599,80-14-052966,Narcotics,"Pistol, Semi-automatic                                 ",Ruger,Sr45,45C,2014/07/17 00:00:00+00,INTERSECTION,Tiverton Ct / Tiverton Way,Rolling_hills,KY,40242.0,Black,F,21.0,Tiverton Ct / Tiverton Way Rolling_hills KY 40242,,,,,,
2600,80-14-093611,Wpns Law Violation,"Pistol, Semi-automatic                                 ",Taurus International,Model Pt745,45C,2014/12/05 00:00:00+00,INTERSECTION,Trafalgar Sq / Wimbleton Ct,Louisville,KY,40218.0,Black,M,30.0,Trafalgar Sq / Wimbleton Ct Louisville KY 40218,1232016.25,261632.4375,-85.6714063615864,38.2097987237335,,LOJIC
2601,80-16-097365,Wpns Law Violation,"Pistol, Semi-automatic                                 ",Ruger,,9MM,2016/11/14 00:00:00+00,INTERSECTION,W Ashland Ave / N Rutland Ave,Louisville,KY,40215.0,White,M,23.0,W Ashland Ave / N Rutland Ave Louisville KY 40215,1201434.49875,253576.78125,-85.7773600768972,38.1863363358677,,LOJIC
2602,80-14-063985,Wpns Law Violation,"Pistol, Semi-automatic                                 ",Smith & Wesson,,380C,2014/08/24 00:00:00+00,INTERSECTION,W Ashland Ave / Southern Pky,Louisville,KY,40214.0,White,M,58.0,W Ashland Ave / Southern Pky Louisville KY 40214,1204284.99875,253127.03125,-85.7674182936323,38.1852308544822,,LOJIC
2603,80-16-051123,Wpns Law Violation,"Pistol, Revolver                                       ",Rossi - Amadeo Rossi & Co,,22C,2016/06/16 00:00:00+00,INTERSECTION,W Ashland Ave / Taylor Blvd,Louisville,KY,40215.0,Null,,,W Ashland Ave / Taylor Blvd Louisville KY 40215,1199585.125,253719.5475,-85.7838017267588,38.1866439332566,,LOJIC
2604,80-16-098804,Wpns Law Violation,"Pistol, Revolver                                       ",Harrington & Richardson,929 Sidekick,22C,2016/11/18 00:00:00+00,INTERSECTION,W Ashland Ave / Taylor Blvd,Louisville,KY,40215.0,White,F,38.0,W Ashland Ave / Taylor Blvd Louisville KY 40215,1199585.125,253719.5475,-85.7838017267588,38.1866439332566,,LOJIC
2605,80-16-098804,Wpns Law Violation,"Pistol, Revolver                                       ",,,22C,2016/11/18 00:00:00+00,INTERSECTION,W Ashland Ave / Taylor Blvd,Louisville,KY,40215.0,White,F,38.0,W Ashland Ave / Taylor Blvd Louisville KY 40215,1199585.125,253719.5475,-85.7838017267588,38.1866439332566,,LOJIC
2606,80-16-012088,Wpns Law Violation,"Pistol, Derringer                                      ",Fmj (full Metal Jacket),,45C,2016/02/09 00:00:00+00,INTERSECTION,W Ashland Ave / Taylor Blvd,Louisville,KY,40215.0,White,M,45.0,W Ashland Ave / Taylor Blvd Louisville KY 40215,1199585.125,253719.5475,-85.7838017267588,38.1866439332566,,LOJIC
2607,80-12-047635,Wpns Law Violation,"Pistol, Semi-automatic                                 ",Davis Industries,P-380,380C,2012/06/16 00:00:00+00,INTERSECTION,W Breckinridge St / Dixie Hwy,Louisville,KY,40210.0,Black,M,36.0,W Breckinridge St / Dixie Hwy Louisville KY 40210,1199899.875,274751.625,-85.7839253975277,38.244404723583,,LOJIC
2608,80-12-077778,Wpns Law Violation,"Pistol, Semi-automatic                                 ",Fie,,25C,2012/09/30 00:00:00+00,INTERSECTION,W Broadway / Cecil Ave,Louisville,KY,40211.0,Black,M,23.0,W Broadway / Cecil Ave Louisville KY 40211,1189185.5,277094.6875,-85.8213659955329,38.2503419282139,,LOJIC
2609,80-11-086577,Wpns Law Violation,"Pistol, Semi-automatic                                 ",Raven Arms,P-25,25C,2011/10/26 00:00:00+00,INTERSECTION,W Broadway / Cecil Ave,Louisville,KY,40211.0,Black,M,18.0,W Broadway / Cecil Ave Louisville KY 40211,1189185.5,277094.6875,-85.8213659955329,38.2503419282139,,LOJIC
2610,80-10-019519,Aggravated Assault,"Pistol, Revolver                                       ",Harrington & Ri,926,38C,2010/03/19 00:00:00+00,INTERSECTION,W Broadway / Cecil Ave,Louisville,KY,40211.0,Black,M,23.0,W Broadway / Cecil Ave Louisville KY 40211,1189185.5,277094.6875,-85.8213659955329,38.2503419282139,,LOJIC
2611,80-16-054006,Wpns Law Violation,"Pistol, Semi-automatic                                 ",Smith & Wesson,,40C,2016/06/26 00:00:00+00,INTERSECTION,W Broadway / Cecil Ave,Louisville,KY,40211.0,Black,M,24.0,W Broadway / Cecil Ave Louisville KY 40211,1189185.5,277094.6875,-85.8213659955329,38.2503419282139,,LOJIC
2612,80-14-028171,Wpns Law Violation,"Pistol, Semi-automatic                                 ","Springfield Armory,geneseo,il                          ",,45C,2014/04/22 00:00:00+00,INTERSECTION,W Broadway / Cecil Ave,Louisville,KY,40211.0,Black,M,18.0,W Broadway / Cecil Ave Louisville KY 40211,1189185.5,277094.6875,-85.8213659955329,38.2503419282139,,LOJIC
