ScoreRecent,GradeRecent,DateRecent,Score2,Grade2,Date2,Score3,Grade3,Date3,permit_number,facility_type,facility_type_description,subtype,subtype_description,premise_name,premise_address,premise_city,premise_state,premise_zip,opening_date,ObjectId
100,A,2023/10/03 00:00:00,100,,2023/10/03 00:00:00,100,A,2023/04/17 00:00:00,68057,607,RETAIL/FOOD ESTABLISHMENT,54,"RETAIL-FOOD  10,000 SQ FT OR LESS",SPEEDWAY #8132,2300 BROWNSBORO RD,LOUISVILLE,KY,40207,2002/07/15 00:00:00,49
100,A,2023/11/01 00:00:00,98,A,2023/04/20 00:00:00,95,A,2022/09/08 00:00:00,70508,605,FOOD SERVICE ESTABLISHMENT,11,FOOD SERVICE,CAFE CLASSICO,2144 FRANKFORT AVE,LOUISVILLE,KY,40206,2003/09/26 00:00:00,50
99,A,2023/06/29 00:00:00,98,A,2022/12/08 00:00:00,98,A,2022/06/16 00:00:00,33070,605,FOOD SERVICE ESTABLISHMENT,11,FOOD SERVICE,CAPTAIN'S QUARTERS,5700 CAPTAINS QUARTERS RD,PROSPECT,KY,40059,1989/02/27 00:00:00,51
97,A,2023/05/22 00:00:00,96,A,2022/11/08 00:00:00,96,A,2022/04/14 00:00:00,33122,605,FOOD SERVICE ESTABLISHMENT,11,FOOD SERVICE,EL NOPAL,9451 WESTPORT RD,LOUISVILLE,KY,40241,1988/08/02 00:00:00,52
99,A,2023/08/02 00:00:00,99,A,2023/06/02 00:00:00,99,A,2022/08/31 00:00:00,33419,605,FOOD SERVICE ESTABLISHMENT,11,FOOD SERVICE,HUNTING CREEK POOL CONCESSION,6807 FOXCROFT RD,PROSPECT,KY,40059,1988/08/03 00:00:00,53
100,A,2023/10/10 00:00:00,100,,2023/10/10 00:00:00,99,A,2023/04/14 00:00:00,33684,607,RETAIL/FOOD ESTABLISHMENT,54,"RETAIL-FOOD  10,000 SQ FT OR LESS",CIRCLE K #4703244,9109 US HWY 42,PROSPECT,KY,40059,1988/08/05 00:00:00,54
95,A,2023/05/12 00:00:00,97,A,2022/11/11 00:00:00,88,C,2022/04/01 00:00:00,34396,605,FOOD SERVICE ESTABLISHMENT,11,FOOD SERVICE,HUNTING CREEK COUNTRY CLUB,6807 FOXCROFT RD,PROSPECT,KY,40059,1988/08/10 00:00:00,55
97,A,2023/07/25 00:00:00,98,A,2023/01/20 00:00:00,99,A,2022/08/03 00:00:00,34573,605,FOOD SERVICE ESTABLISHMENT,11,FOOD SERVICE,BROWNSBORO PARK COMMUNITY,2960 GOOSE CREEK RD,LOUISVILLE,KY,40241,1988/08/11 00:00:00,56
99,A,2023/11/08 00:00:00,100,A,2023/05/11 00:00:00,89,C,2022/11/11 00:00:00,34791,605,FOOD SERVICE ESTABLISHMENT,11,FOOD SERVICE,RIVER VALLEY CLUB,4701 RIVER RD,LOUISVILLE,KY,40222,1988/08/11 00:00:00,57
98,A,2023/07/13 00:00:00,100,A,2022/12/29 00:00:00,98,A,2022/07/07 00:00:00,34792,605,FOOD SERVICE ESTABLISHMENT,11,FOOD SERVICE,CUNNINGHAM'S CREEKSIDE,6301 RIVER RD,PROSPECT,KY,40059,2006/06/09 00:00:00,58
