OBJECTID,LBAS_NO,SBAS_NO,SUBREGION,RBAS_NO,REGIONAL,MBAS_NO,MAJOR,ACREAGE,AREA_SQMI,SHAPE_Length,SHAPE_Area
1477,4702-01,4702,Judd Brook,47,Salmon,4,Connecticut,921.01599121,1.43909001,30813.3608618354,-40119445.8144229
1478,6700-25,6700,Shepaug River,67,Shepaug,6,Housatonic,1852.4399414,2.89443993,51828.7611825957,-80692338.4521573
1479,4600-01,4600,Mattabesset River,46,Mattabesset,4,Connecticut,1426.56994628,2.22902011,64680.6766103245,-62141511.8676829
1480,6802-13,6802,Nonewaug River,68,Pomperaug,6,Housatonic,1543.54003906,2.41178011,55961.8453253101,-67236627.2399029
1481,6914-09,6914,Mad River,69,Naugatuck,6,Housatonic,1737.39001464,2.71467995,48924.5020120243,-75680810.5889015
1482,3601-02,3601,Great Meadow Brook,36,Pachaug,3,Thames,177.36999511,0.27713999,13506.26499278,-7726223.24727609
1483,3905-07,3905,Pease Brook,39,Yantic,3,Thames,468.26599121,0.73166602,20345.9605773546,-20397668.3247234
1484,4705-03,4705,Jeremy River,47,Salmon,4,Connecticut,545.4500122,0.85226601,26483.6152974496,-23759811.8371464
1485,3901-02,3901,Exeter Brook,39,Yantic,3,Thames,277.49899291,0.433593,17536.2973325496,-12087872.1468677
1486,4601-01,4601,Belcher Brook,46,Mattabesset,4,Connecticut,913.28302001,1.42701005,44778.5777427327,-39782624.8815488
1487,5203-00,5203,Misery Brook,52,Quinnipiac,5,South Central Coast,3285.4099121,5.13346004,79275.3617117326,-143112599.460791
1488,6912-09,6912,Steele Brook,69,Naugatuck,6,Housatonic,230.42599487,0.36004099,18728.9030781244,-10037361.8486867
1489,6000-34,6000,Housatonic River,60,Housatonic Main Stem,6,Housatonic,1770.91003417,2.76705002,54016.588525058,-77140902.3395798
1490,6803-03,6803,Sprain Brook,68,Pomperaug,6,Housatonic,670.5949707,1.04779994,28248.3046432818,-29211123.2029571
