OBJECTID,ROUTE_ID,BEGIN_POINT,END_POINT,LIMA_LIM_ACC_CODE,LIM_ACC_CODE_DESC,TOWN_TOWN,TOWN_DESC,YEAR,GlobalID,Shape__Length
1354,722-N,0.0,0.37,7,Partial Control-Channelization,15,BRIDGEPORT,2022,5fbd4090-a497-427c-8b9b-0a6ad217410f,1990.96972792488
1355,73-E,2.8,3.46,5,"Partial Control-Divided, 4 or more lanes",151,WATERBURY,2022,d7784118-d80f-4ea5-8413-617de7389e7d,3563.46076642754
1356,78-E,0.0,0.43,3,Full Control-Divided 2 Lanes,137,STONINGTON,2022,e52c4dcb-41d1-4469-8461-bd0c33658655,2246.35375957717
1357,3-S,11.86,13.73,2,Full Control-Other Divided Hwys 4 or more lanes,53,GLASTONBURY,2022,4f8051f2-d71a-452a-a5f1-552fe68f5d30,9834.99458506089
1358,32-N,13.75,16.21,2,Full Control-Other Divided Hwys 4 or more lanes,103,NORWICH,2022,636c1d8f-5c99-47e7-aa83-fd2a1f5ddf8b,13017.3255593906
1359,34-W,23.72,24.37,2,Full Control-Other Divided Hwys 4 or more lanes,92,NEW HAVEN,2022,153a4ded-4988-46f6-90e8-278e11b1e4cd,4998.34436632559
1360,349-N,3.07,4.17,2,Full Control-Other Divided Hwys 4 or more lanes,58,GROTON,2022,4b425cbd-b88c-42f9-ad88-1242450f57d0,5837.4286233063
1361,395-S,0.13,4.98,2,Full Control-Other Divided Hwys 4 or more lanes,152,WATERFORD,2022,394d2a51-b58c-4326-ba77-9a849e6beb4a,25486.4305919041
1362,395-S,43.98,47.78,2,Full Control-Other Divided Hwys 4 or more lanes,115,PUTNAM,2022,1eb62742-1fd8-4cd7-a1e6-6c7ce6e61b43,19984.8685378224
1363,476-N,0.0,0.63,2,Full Control-Other Divided Hwys 4 or more lanes,158,WESTPORT,2022,d689fea1-d6a5-480b-988d-ca7e80283c0b,3341.2077572859
