OBJECTID,GEOID10,B03002_001,White,AA,AI_AN_A,Asian,NHOPIA,Other,TwoRace,Hispanic,RaceEthnic,Shape__Area,Shape__Length
471,261635067001,1295,29,1243,0,0,0,0,23,0,Black or African American alone,10064932.8457031,12974.3105938244
472,261635066004,516,12,504,0,0,0,0,0,0,Black or African American alone,3161239.953125,7627.53220197034
473,261635066003,327,0,327,0,0,0,0,0,0,Black or African American alone,2526208.48974609,7162.88900428055
474,261635066002,903,33,855,0,0,0,0,15,0,Black or African American alone,4839704.76611328,8930.04790433788
475,261635066001,693,15,646,0,0,0,0,32,0,Black or African American alone,2785330.81201172,7363.62781235652
476,261635133001,873,144,674,0,0,0,0,55,0,Black or African American alone,30775062.4421387,28333.5877787284
477,261635133002,1469,82,1323,0,0,0,0,38,26,Black or African American alone,4982283.89526367,11566.6844419789
478,261635132003,587,101,452,0,0,0,0,30,4,Black or African American alone,4623114.06518555,9366.81173312596
479,261635132002,725,6,676,0,0,0,0,26,17,Black or African American alone,2947449.09228516,7514.45513127548
480,261635132001,610,195,363,0,0,0,0,17,35,Black or African American alone,2416282.87597656,6900.57423777556
481,261635129003,137,7,123,0,0,0,0,7,0,Black or African American alone,3035871.40820313,8158.98375015697
482,261635126004,252,0,252,0,0,0,0,0,0,Black or African American alone,3879322.41064453,8806.55450191904
483,261635126003,399,4,346,1,0,0,0,48,0,Black or African American alone,3439469.2487793,8115.24052473591
484,261635126002,500,12,481,0,0,0,0,7,0,Black or African American alone,4131454.78686523,8379.92592842357
485,261635126001,345,0,345,0,0,0,0,0,0,Black or African American alone,3442520.27880859,7768.89180069143
486,261635124003,539,25,514,0,0,0,0,0,0,Black or African American alone,4130444.70849609,9331.71369887619
487,261635124002,168,7,147,0,0,0,0,14,0,Black or African American alone,3505847.80371094,9256.03901123178
488,261635124001,471,8,463,0,0,0,0,0,0,Black or African American alone,3143949.32373047,9364.11259979998
489,261635123002,470,18,440,0,5,0,0,4,3,Black or African American alone,3857737.07666016,8856.32676088915
490,261635122001,1041,18,1023,0,0,0,0,0,0,Black or African American alone,6546553.75292969,11076.859038193
491,261635121003,466,0,466,0,0,0,0,0,0,Black or African American alone,2287634.86279297,6332.5289160987
492,261635121001,734,0,734,0,0,0,0,0,0,Black or African American alone,1911325.49462891,5891.28412937863
493,261635121005,865,53,812,0,0,0,0,0,0,Black or African American alone,3118594.43115234,7157.57360113729
494,261635121004,411,14,397,0,0,0,0,0,0,Black or African American alone,2492873.97070313,7228.06783850176
495,261635114002,568,68,485,0,0,0,0,9,6,Black or African American alone,4445428.69970703,11591.3023747811
496,261635114004,408,0,408,0,0,0,0,0,0,Black or African American alone,1954520.22363281,5772.27818792784
497,261635114003,511,0,484,0,0,0,0,16,11,Black or African American alone,2039645.65429688,5874.38941830409
498,261635113001,1146,321,630,0,76,0,45,74,0,Black or African American alone,3408256.18505859,7975.85754560966
499,261635114005,890,32,822,0,0,0,0,22,14,Black or African American alone,4799219.33496094,8919.81590920853
500,261635119002,711,15,669,0,0,0,0,8,19,Black or African American alone,3892180.37597656,7945.8146285336
501,261635119001,894,76,813,0,0,0,0,5,0,Black or African American alone,8513924.14086914,13206.0342983179
502,261635323001,800,160,594,0,8,0,0,38,0,Black or African American alone,7279233.08618164,11661.3539216769
503,261635121002,740,0,740,0,0,0,0,0,0,Black or African American alone,3034141.24707031,9565.32434385237
504,261635223002,856,7,829,10,0,0,0,5,5,Black or African American alone,10495097.1806641,15193.9332005066
505,261635065003,979,23,935,0,0,0,0,21,0,Black or African American alone,2920097.49853516,7500.4014561512
506,261635065002,1060,0,1060,0,0,0,0,0,0,Black or African American alone,3889726.25927734,8236.24942586702
507,261635065001,430,6,424,0,0,0,0,0,0,Black or African American alone,3478688.10839844,7931.94266015536
508,261635064003,1098,278,716,0,33,0,0,54,17,Black or African American alone,7509677.61083984,13378.2109416781
509,261635064002,307,15,292,0,0,0,0,0,0,Black or African American alone,5326445.77929688,11958.7717446289
510,261635064001,743,56,657,0,0,0,0,29,1,Black or African American alone,6801266.93847656,13622.1061611703
511,261635063002,794,41,720,0,0,0,0,33,0,Black or African American alone,7502966.21044922,11438.6683190709
512,261635063001,371,12,359,0,0,0,0,0,0,Black or African American alone,2966702.37451172,7977.64410179114
513,261635062002,1357,48,1309,0,0,0,0,0,0,Black or African American alone,7469244.89892578,10913.0229737958
514,261635062001,957,17,920,0,0,0,4,0,16,Black or African American alone,3115585.65429688,7691.12079464055
515,261635061002,570,43,463,14,50,0,0,0,0,Black or African American alone,6646201.82421875,10348.317399418
516,261635061001,1575,51,1486,9,21,0,0,8,0,Black or African American alone,3283452.46142578,7612.24754057255
517,261635054004,726,0,726,0,0,0,0,0,0,Black or African American alone,3944664.33007813,9077.70017599144
518,261635054001,775,7,743,0,0,0,0,25,0,Black or African American alone,3731139.29785156,8044.59953871274
519,261635052001,834,21,803,0,0,0,0,10,0,Black or African American alone,2880741.60791016,7749.30820703691
520,261635052004,1168,44,1043,0,0,0,0,58,23,Black or African American alone,2980020.30224609,8348.65727454273
521,261635052003,484,14,455,0,0,0,0,15,0,Black or African American alone,1807015.79638672,5412.09067927966
522,261635051005,766,30,680,0,56,0,0,0,0,Black or African American alone,1887168.75683594,6961.87257798368
523,261635051004,171,10,161,0,0,0,0,0,0,Black or African American alone,1928229.61914063,5913.53134521581
524,261635051003,552,88,464,0,0,0,0,0,0,Black or African American alone,3530983.95751953,7579.32462867849
525,261635468004,1033,27,1006,0,0,0,0,0,0,Black or African American alone,3425036.09472656,7851.66614742211
526,261639850001,0,0,0,0,0,0,0,0,0,White alone,7573355.62280273,14380.6736919144
527,261635254003,968,40,842,0,5,0,0,0,81,Black or African American alone,5818565.00854492,9898.85317909694
528,261635245002,349,125,0,0,0,0,0,0,224,Hispanic or Latino:,21305038.0849609,24141.5457881001
529,261635249001,756,85,220,0,0,0,0,0,451,Hispanic or Latino:,15709772.6901855,17455.5211087421
530,261635249002,700,390,0,0,0,0,0,0,310,White alone,26462319.0803223,24194.2515144001
