OBJECTID,ADMIN_ST,ADMU_NM,LUP_OHV_DSGNTN,GIS_ACRES,GlobalID,Shape__Area,Shape__Length
1145,UT,Vernal Field Office,Limited,0.10890429,{3A362285-23D7-46AB-9721-8A315568FFCF},440.720017075,87.2485014332416
1146,UT,Vernal Field Office,Limited,8.49274078,{37CD0C88-0C3E-4B8C-B598-981C1334382C},34368.902560715,3785.67923575624
1147,UT,Vernal Field Office,Limited,0.90821561,{6785B76F-266F-401C-8C39-3F2F266E5C98},3675.418157055,886.944935085328
1148,UT,Vernal Field Office,Limited,2.07356834,{3661A518-0714-4370-B842-D45317B661E8},8391.43334275,1110.29229346666
1149,UT,Vernal Field Office,Limited,3.06460437,{95611174-A9BD-4086-A280-451104FA9BB3},12402.01389606,3247.15513179594
1150,UT,Vernal Field Office,Limited,0.13901123,{604EEC22-77C0-4126-B330-DEB5A3CFDB4F},562.55848511,129.602011294052
1151,UT,Vernal Field Office,Limited,6.86625621,{ABF78F35-826C-4104-B1BF-3CFE98AAE2E5},27786.753049815,3596.31184842205
1152,UT,Vernal Field Office,Limited,150.90299091,{F7C75338-0129-451B-B4D8-2A7CC6D13C53},610682.737927205,3919.33613479053
1153,UT,Vernal Field Office,Limited,184.1599137,{73C21482-E482-4F8A-9294-310407F1A85B},745268.729512465,5366.15389978653
1154,UT,Vernal Field Office,Limited,7.02553728,{CC0772D8-0F89-428E-8ED7-8F58D4ADC429},28431.3406686,1703.30067823567
1155,UT,Vernal Field Office,Limited,8.52298251,{3097F8B9-C876-4E1C-8DCF-FC5F0B7F209A},34491.286517025,3518.26850243878
1156,UT,Vernal Field Office,Limited,28.99165752,{C32B7735-E435-48A3-BE58-A600B60C3D82},117325.075434225,11914.6990882242
1157,UT,Vernal Field Office,Limited,4.32274275,{DFC61E79-9EA2-49BB-AFC8-0C060601AF96},17493.51927,2447.4278000964
1158,UT,Vernal Field Office,Limited,3.31271975,{6251615E-E9EA-4589-8E93-EDB3D29D86F9},13406.101215645,810.118246602502
1159,UT,Vernal Field Office,Limited,0.98820989,{B728F5F4-5B20-4B4F-9971-AC237BB2BC4D},3999.14353038,1368.96233393826
1160,UT,Vernal Field Office,Limited,2.23197493,{10C70645-F17A-441A-8A72-82548EF1ADF7},9032.482095805,1218.58318795365
1161,UT,Vernal Field Office,Limited,1.39312838,{399E4A19-1095-4E08-B97D-1160EA5D812A},5637.79054858,662.945336453623
1162,UT,Vernal Field Office,Limited,0.79756131,{65DA2FBD-DC9E-49A0-8507-C7C686A4DA2F},3227.61609174,348.25403014968
1163,UT,Vernal Field Office,Limited,1.17888003,{55179622-0ED4-40E5-A404-45D1D0DDEB78},4770.75820749,1530.18962298747
1164,UT,Vernal Field Office,Limited,2.06517667,{09FB1C75-6436-4CD3-9CAB-403EA345D2FE},8357.473468135,1827.41496815539
1165,UT,Vernal Field Office,Limited,591.3448561,{CED6A0B7-20DE-474F-A88C-D6BCC67BC330},2393087.72875541,7295.85893355816
1166,UT,Vernal Field Office,Limited,77.44101488,{0313CC35-7DA0-4D98-8ADA-A567E3DCA5C3},313392.668415585,2368.79410141474
1167,UT,Vernal Field Office,Limited,77.726532,{3E344BD4-38A4-4215-99A5-289C3E3E2ED3},314548.115233045,2389.91180003031
1168,UT,Vernal Field Office,Limited,0.34450995,{72181D18-122A-4FD5-AF51-F939370D840A},1394.182305685,499.132990124869
1169,UT,Vernal Field Office,Limited,3.68793069,{DD08531A-F849-4074-8282-D86E35CEC2F8},14924.525982775,1663.10557172456
1170,UT,Vernal Field Office,Limited,3.37963306,{64F48F01-5B14-463F-91C8-A2A410BA3068},13676.88976861,867.480720022446
1171,UT,Vernal Field Office,Limited,31.02289728,{F6622A81-2B39-48F7-888F-083633D59411},125545.211115775,6465.43292803265
1172,UT,Vernal Field Office,Limited,0.43539547,{DCEB5032-B4FF-4AEF-8C92-62CAA0510072},1761.98295535,692.498073029216
1173,UT,Vernal Field Office,Limited,2.20444413,{D0FF9AFE-0B9C-4899-BFA3-6DF0F30DB86B},8921.068873715,2238.57276984936
1174,UT,Vernal Field Office,Limited,1.1328514,{1B804776-E5E6-4789-BF6C-3C0B75F1A48B},4584.48697332,727.363043717617
1175,UT,Vernal Field Office,Limited,0.35939331,{E2812E60-BBF5-4920-A426-A505EB7701E0},1454.41312757,531.125066832739
1176,UT,Vernal Field Office,Limited,0.6299461,{02D032B5-04CE-40C3-8AC7-9DA169BCF8F0},2549.301408505,650.205423829217
1177,UT,Vernal Field Office,Limited,1.21940358,{C9F4204F-1BF9-4764-B63E-6DFAF6ED26F8},4934.751227085,1863.83756304635
1178,UT,Vernal Field Office,Limited,0.07392097,{AB5AEEF0-9981-4EE5-B257-65B37DDD01B8},299.147535015,88.6729952590234
1179,UT,Vernal Field Office,Limited,2.26037414,{20F8AD22-6CC7-469B-97DE-420DF41D1A5B},9147.409620195,1874.04517559227
1180,UT,Vernal Field Office,Limited,1.8425083,{EAE45468-8043-4D24-8ACB-6EEC4B37D426},7456.36653761,2316.41753789449
1181,UT,Vernal Field Office,Limited,15.37494405,{5AAD4BEE-05EA-4733-8988-744A042984E4},62220.191086555,1022.59872311081
1182,UT,Vernal Field Office,Limited,62.05655594,{6C9B8332-4E03-408D-BAC5-860B98D4C42F},251133.97194959,2942.25175538009
1183,UT,Vernal Field Office,Limited,3.99833771,{1137CF9B-D437-438C-BAA6-1E9A23B4BE96},16180.698620725,644.003543673797
1184,UT,Vernal Field Office,Open,580.22360619,{BB700401-7CD1-4B01-AFE6-BC6598B5B17C},2348081.62714154,12845.4279295397
1185,UT,Vernal Field Office,Limited,1.75361277,{E5FFCD6A-C692-49A3-A86B-5E21078A1924},7096.619100945,925.618503999564
1186,UT,Vernal Field Office,Limited,185.31152572,{3A1159B1-5471-4E4F-B8D0-1924938E1AA3},749929.1380026,8412.50739356001
1187,UT,Vernal Field Office,Limited,3.16993324,{6637FC59-95D2-4CFA-A2B0-487136F082D6},12828.264674875,845.711075240716
1188,UT,Vernal Field Office,Limited,5.98851876,{352CAF91-AE06-4003-86F4-200AF41BF69F},24234.67561268,2109.5372110469
1189,UT,Vernal Field Office,Limited,8.26361634,{025EA77D-C77A-4CC4-9714-D44A03CF5344},33441.668847235,3209.99675694236
1190,UT,Vernal Field Office,Closed,2.05573998,{4E54AAC9-F583-4F66-AED4-662DE28F4566},8319.28455729,508.682833648705
1192,UT,Vernal Field Office,Limited,1.01280593,{3E32A7FB-61AD-4A46-AE0C-984ED20F84F1},4098.680176365,888.463302188979
1193,UT,Vernal Field Office,Limited,1.28775272,{D42AB49E-A3CC-44F8-8D08-E5AB9B004027},5211.350372305,519.497383879073
1194,UT,Vernal Field Office,Limited,1.40948598,{447FB2CD-1A1D-4C58-B0EC-E4A359A9C312},5703.98737986,793.009420600713
1195,UT,Vernal Field Office,Limited,2212.01643459,{C6AB915F-25A7-4A1A-9B94-5B78DCFD6F00},8951712.9147919,26503.8908826919
1196,UT,Vernal Field Office,Limited,1.68955547,{A7C85E18-33EE-48A0-985B-258C7314E0D0},6837.38839728,2043.95648488569
1197,UT,Richfield Field Office,Limited,1840.99546207,{822CF46F-3E36-401B-9CDD-6909A7F399F6},7450244.30927488,24219.5321095703
1198,UT,Vernal Field Office,Limited,3.01720256,{9133AAFE-847F-4856-B8FC-8D5FA1FCE04D},12210.185567875,2862.52239358143
1199,UT,Vernal Field Office,Limited,0.12610787,{73416777-35F8-498C-8570-2C6F4BB37640},510.340456335,300.910062538946
1200,UT,Vernal Field Office,Limited,6.70174196,{78006281-66DE-495A-98BC-EEE9DD21C920},27120.9875048,1344.42979403585
1201,UT,Richfield Field Office,Limited,359.02668739,{AE2BF1D2-EAD2-4073-82A3-023167F95B86},1452929.45566141,6423.79621428733
1202,UT,Vernal Field Office,Limited,0.65053946,{4E1D0C2D-6048-449F-BC0C-058BE87073D7},2632.639787285,376.099751038981
1203,UT,Vernal Field Office,Limited,10.27557765,{9519C742-69E6-485E-B86D-BC370A0CEC83},41583.78740409,4508.0425884372
1204,UT,Vernal Field Office,Limited,2.34076918,{A205C707-DC8B-4ED6-8440-6FF64B9F5CCB},9472.756779495,2885.97670596846
1206,UT,Vernal Field Office,Limited,15.84967099,{7F33AD58-17D0-428A-BEC7-3522FF0C8CE6},64141.342842715,1727.34793534591
