sensor_ID,Longitude,Latitude,1a,2a,3a,4a,5a,6a,7a,8a,9a,10a,11a,12p,1p,2p,3p,4p,5p,6p,7p,8p,9p,10p,11p,12a
24132@1,-79.79010781,40.37179572,64.0,31.0,26.0,45.0,71.0,175.0,555.0,675.0,707.0,622.0,598.0,610.0,656.0,666.0,774.0,881.0,982.0,926.0,749.0,568.0,489.0,370.0,213.0,190.0
10607@2,-80.0907907,40.31112173,40.0,26.0,16.0,31.0,57.0,172.0,573.0,42.0,47.0,820.0,720.0,894.0,964.0,862.0,951.0,68.0,159.0,237.0,18.0,720.0,570.0,354.0,232.0,101.0
10607@1,-80.09095523,40.31039353,70.0,44.0,30.0,28.0,68.0,200.0,651.0,968.0,834.0,790.0,740.0,867.0,868.0,862.0,894.0,968.0,185.0,226.0,16.0,674.0,612.0,328.0,220.0,97.0
46736@1,-80.2500992,40.47381107,51.0,20.0,36.0,64.0,99.0,456.0,953.0,133.0,36.0,677.0,608.0,571.0,607.0,652.0,806.0,854.0,30.0,926.0,803.0,758.0,562.0,453.0,301.0,153.0
46736@2,-80.24978243,40.47398852,40.0,18.0,38.0,81.0,114.0,391.0,832.0,968.0,951.0,721.0,657.0,607.0,629.0,674.0,776.0,867.0,44.0,885.0,853.0,760.0,649.0,464.0,296.0,188.0
21555@1,-80.0869656,40.44578722,57.0,45.0,57.0,80.0,51.0,97.0,124.0,102.0,135.0,122.0,114.0,134.0,138.0,151.0,118.0,129.0,128.0,139.0,178.0,148.0,97.0,134.0,99.0,74.0
19700@1,-80.08522436,40.35083103,24.0,19.0,7.0,17.0,39.0,106.0,360.0,544.0,453.0,366.0,363.0,397.0,419.0,435.0,465.0,562.0,627.0,681.0,477.0,311.0,212.0,142.0,67.0,51.0
27656@1,-80.06126686,40.42685331,47.0,26.0,22.0,24.0,31.0,72.0,181.0,440.0,467.0,324.0,321.0,367.0,441.0,418.0,421.0,473.0,600.0,536.0,459.0,351.0,268.0,232.0,141.0,94.0
38958@1,-80.02408843,40.33426643,62.0,55.0,35.0,82.0,258.0,520.0,797.0,887.0,933.0,134.0,193.0,346.0,241.0,220.0,299.0,286.0,276.0,306.0,128.0,964.0,701.0,468.0,277.0,125.0
27571@1,-79.89196742,40.37303781,39.0,35.0,29.0,44.0,134.0,349.0,555.0,462.0,366.0,417.0,495.0,476.0,498.0,564.0,658.0,744.0,707.0,536.0,410.0,355.0,337.0,300.0,116.0,72.0
