OBJECTID,adm_code,adm_manage,adm_name,GIS_acres,SMA_ID,GlobalID,SHAPE_Length,SHAPE_Area
4581,PRI,PRI, ,128.86442602,2388.0,{BE0CFB36-EDB6-44D7-BEEA-1367BA8F9E76},7749.25927633899,521495.830037781
4582,STA,LOCAL,Russell Creek STL,627.91007102,2386.0,{2B9E560B-B66A-40D9-BB99-4659A5C7E2B2},6375.91221565132,2541061.90358394
4583,LOCAL,LOCAL,,0.38925563,2387.0,{B0EF6495-8C09-425D-BEAB-DCCF0FBA30FF},289.842567599603,1575.26164574345
4584,PRI,PRI, ,26.55562024,2388.0,{F7CD7280-5A34-4B52-A6FF-D917B7495886},2558.36810531723,107466.782331223
4585,BLM,BLM,,39.92648484,2.0,{DF14FAAA-CA20-49F1-8DDC-122D626036EB},1607.86855350843,161576.751588118
4586,PRI,PRI, ,317.51453787,2388.0,{086EEA55-7934-4BEF-B038-AD2C908733F7},5616.48142519423,1284935.74679593
4587,STA,STA,,634.93182904,2386.0,{3BB77406-61BF-45BD-84A3-3801F4A23BCF},6411.94737673489,2569477.95012457
4588,BLM,BLM,,2.2467594,2.0,{72611F66-5908-4FDE-B45F-860D34738E30},850.302951770697,9092.31272107157
4589,PRI,PRI, ,3.88e-06,2388.0,{5E5B94CF-E71B-4F82-9E9F-3787B1FA7885},30.8118088239574,0.0156915024844966
4590,BLM,BLM,,40.7432566,2.0,{00565364-0C24-4C46-8D71-AC5E0417A722},1624.50158288852,164882.109660916
4591,USFS,USFS,,0.10671616,915.0,{B5BA9E07-40D9-48E0-A935-591FEFBC71AB},98.408843736418,431.864983039659
4592,STA,STA,,641.8509898,2386.0,{E569C044-F3FD-4509-B551-A969EBFA0B9E},6446.81122095254,2597478.80030854
4593,USFS,USFS,,43.4215381,915.0,{EAB1FDAD-A595-4136-9123-149CE37AB8EC},1741.2057870393,175720.730311872
4594,BLM,BLM,,0.5362149,2.0,{4C41AC46-467F-4255-81DE-3B74D1CA992D},426.355138447426,2169.98472055335
4595,PRI,LOCAL,Roaring Fork State Wildlife Area - Burry Easement,27.16982537,2388.0,{AC149E73-DC05-41A8-A72D-3E88D4C8440C},6236.86832167404,109952.382281879
4596,PRI,PRI, ,39.76238294,2388.0,{EE4936E5-69F7-4D32-AB75-036455237DB3},1604.58971731665,160912.654767531
4597,BLM,BLM,,0.0005539,2.0,{452363BA-EC6B-49F4-8696-6871CE11EAE9},13.2314360659578,2.24154346083387
4598,LOCAL,LOCAL,,0.01145199,2387.0,{8BBC8990-129D-4656-899D-9CE0DC9BD1CE},1661.42484783899,46.3445767510169
4599,BLM,BLM,,0.15744875,2.0,{E5A8699A-22BC-4844-9269-B1E4A0AD7FE7},585.614220290927,637.172493159116
4600,PRI,PRI, ,4.59834475,2388.0,{03B29C4E-3571-411A-B420-F601EBCC3C7C},541.505595057835,18608.8409644955
4601,USFS,USFS,,7.04954617,915.0,{23BC4B6D-0B6F-4584-833C-4871BF5D8446},2314.03177100541,28528.5011856148
4602,USFS,USFS,,33.42441946,915.0,{AEFBDA06-D251-4D1E-9D71-132CE3B441BB},2494.92165249334,135263.82657494
