YEAR,STATE,BENE_GEO_CD,MA_OP_POPN,BENE_AVG_AGE,BENE_FEML_PCT,BENE_MALE_PCT,BENE_RACE_WHT_PCT,BENE_RACE_BLACK_PCT,BENE_RACE_HSPNC_PCT,BENE_RACE_OTHR_PCT,BENE_DUAL_PCT,BENES_IP_STAY_CNT,BENES_IP_PCT,IP_STAY_PER_1000_BENES,IP_DAYS_PER_1000_BENES,BENES_IRF_CNT,BENES_IRF_PCT,IRF_STAYS_PER_1000_BENES,IRF_DAYS_PER_1000_BENES,BENES_LTC_CNT,BENES_LTC_PCT,LTC_STAYS_PER_1000_BENES,LTC_DAYS_PER_1000_BENES,BENES_SNF_CNT,BENES_SNF_PCT,SNF_STAYS_PER_1000_BENES,SNF_DAYS_PER_1000_BENES
2017,IN,18.0,320429,73,0.5553,0.4447,0.8726,0.0854,0.0208,0.0212,0.1223,49737,0.1552,231.2025,1234.1954,1175,0.0037,3.9697,54.5519,305,0.0010,1.1110,32.9683,14475,0.0452,60.1662,1195.5784
2017,KS,20.0,79529,73,0.5571,0.4429,0.8424,0.0869,0.0369,0.0338,0.1228,12766,0.1605,242.7919,1229.9539,329,0.0041,4.4764,57.6645,68,0.0009,0.9053,27.5246,3881,0.0488,65.6239,1314.6274
2017,KY,21.0,255637,71,0.5635,0.4365,0.9075,0.0730,0.0047,0.0148,0.1073,39913,0.1561,238.6509,1337.2516,1085,0.0042,4.6472,65.2801,279,0.0011,1.6860,49.8363,9774,0.0382,50.6108,903.2182
2017,LA,22.0,273567,71,0.5561,0.4439,0.6412,0.3052,0.0322,0.0213,0.2455,40706,0.1488,223.2908,1222.1869,877,0.0032,3.4580,52.8646,613,0.0022,2.4711,64.5619,6496,0.0237,29.2140,532.9152
2017,MA,25.0,282484,74,0.5811,0.4189,0.7956,0.0498,0.0766,0.0780,0.2597,44918,0.159,245.7803,1332.0046,743,0.0026,3.0196,44.6751,467,0.0017,2.8320,53.8898,18957,0.0671,95.0567,3254.2055
2017,MD,24.0,107898,73,0.5869,0.4131,0.5185,0.3830,0.0288,0.0697,0.1647,11249,0.1043,163.7009,933.2147,77,0.0007,0.8063,11.4645,*,*,*,*,3600,0.0334,47.2391,919.2571
2017,ME,23.0,90890,72,0.5325,0.4675,0.9568,0.0025,0.0044,0.0363,0.1633,10996,0.121,169.5786,870.2057,362,0.0040,4.2359,57.1350,*,*,*,*,2725,0.0300,38.2770,673.6605
2017,MI,26.0,720097,73,0.5532,0.4468,0.8437,0.1090,0.0157,0.0316,0.1044,104347,0.1449,212.6908,1083.1805,2744,0.0038,4.1189,55.2689,772,0.0011,1.1735,31.8263,27981,0.0389,52.6193,1053.3484
2017,MN,27.0,559667,74,0.5621,0.4379,0.9388,0.0143,0.0074,0.0395,0.0944,20801,0.0372,53.5372,238.3882,236,0.0004,0.4306,5.7391,94,0.0002,0.1965,5.0852,10955,0.0196,26.4336,741.2318
2017,MO,29.0,377521,73,0.5659,0.4341,0.8518,0.1161,0.0121,0.0199,0.1273,61004,0.1616,243.8672,1237.7801,1840,0.0049,5.3110,70.4252,314,0.0008,1.1072,25.5324,15601,0.0413,54.6619,989.1158
2017,MS,28.0,95178,70,0.5593,0.4407,0.5415,0.4421,0.0073,0.0091,0.3075,15555,0.1634,252.4428,1388.0308,239,0.0025,2.6162,35.1552,164,0.0017,1.8282,46.7020,2541,0.0267,32.9068,642.0286
2017,MT,30.0,44318,73,0.5414,0.4586,0.9511,0.0016,0.0112,0.0361,0.0733,5579,0.1259,173.5412,796.0874,82,0.0019,1.9631,25.9263,19,0.0004,0.4513,12.4329,1214,0.0274,33.8012,624.3738
2017,NC,37.0,604333,72,0.5805,0.4195,0.7557,0.2037,0.0127,0.0279,0.1269,82844,0.1371,199.213,1061.8335,1326,0.0022,2.3199,33.7877,209,0.0003,0.3591,11.0469,22268,0.0368,48.8572,987.6376
2017,ND,38.0,22305,75,0.5483,0.4517,0.9721,0.0018,0.0042,0.0219,0.0618,469,0.021,31.2486,162.3403,*,*,*,*,*,*,*,*,124,0.0056,7.0836,146.1556
2017,NE,31.0,43076,73,0.557,0.443,0.8640,0.0779,0.0316,0.0265,0.1143,7023,0.163,250.4411,1278.0667,176,0.0041,4.2715,66.0461,48,0.0011,1.2304,31.3167,2228,0.0517,70.5265,1665.4982
2017,NH,33.0,30007,72,0.5541,0.4459,0.9436,0.0062,0.0133,0.0369,0.0735,4107,0.1369,197.5539,1054.9872,102,0.0034,3.6658,53.5542,11,0.0004,0.7998,20.6952,1130,0.0377,49.0885,1105.8086
2017,NJ,34.0,327779,73,0.5598,0.4402,0.6237,0.1582,0.1404,0.0777,0.1298,50495,0.1541,240.5737,1396.8528,1189,0.0036,4.1278,62.4628,144,0.0004,0.5675,16.1664,17945,0.0547,76.9756,1895.0848
2017,NM,35.0,132142,72,0.5633,0.4367,0.5634,0.0160,0.3765,0.0441,0.2662,16369,0.1239,174.0476,879.8111,617,0.0047,5.1460,65.0361,130,0.0010,1.6119,37.2856,2930,0.0222,28.6434,762.3390
2017,NV,32.0,172105,73,0.5562,0.4438,0.7097,0.0875,0.1095,0.0933,0.1187,24516,0.1424,214.5841,1164.0626,213,0.0012,1.2899,20.0575,128,0.0007,1.2202,31.3007,6146,0.0357,46.7157,807.5129
2017,NY,36.0,1333180,73,0.5787,0.4213,0.6061,0.1463,0.1505,0.0971,0.2917,192306,0.1442,220.2913,1305.1966,2618,0.0020,2.1565,29.8467,188,0.0001,0.1853,5.9572,48440,0.0363,48.2320,1134.2857
2017,National,,19615102,73,0.5648,0.4352,0.6922,0.1163,0.1335,0.0579,0.1899,2678803,0.1366,204.8765,1092.5654,54589,0.0028,3.0555,40.2123,15462,0.0008,1.0023,26.2290,671751,0.0342,45.6986,1008.0602
2017,OH,39.0,858654,73,0.5785,0.4215,0.8459,0.1124,0.0128,0.0289,0.1626,145580,0.1695,263.7407,1414.6688,3458,0.0040,4.3999,58.3157,1208,0.0014,1.5967,45.5539,50723,0.0591,80.1033,3205.0919
2017,OK,40.0,127802,73,0.5619,0.4381,0.8294,0.0819,0.0212,0.0676,0.1231,21965,0.1719,261.0444,1350.6987,604,0.0047,5.0390,61.0319,229,0.0018,2.0266,42.4798,3391,0.0265,34.3891,627.2359
2017,OR,41.0,362051,73,0.5683,0.4317,0.9043,0.0137,0.0247,0.0573,0.1582,43571,0.1203,166.6533,790.5737,288,0.0008,0.8231,10.6725,70,0.0002,0.2458,8.8993,10646,0.0294,36.9616,701.0808
2017,PA,42.0,1083839,73,0.5703,0.4297,0.8487,0.0951,0.0296,0.0265,0.1847,186934,0.1725,267.3017,1469.3797,5622,0.0052,5.7047,78.3603,936,0.0009,1.0232,24.1715,58914,0.0544,74.7390,1265.9076
2017,PR,72.0,563643,71,0.5423,0.4577,0.0015,0.0001,0.9983,0.0001,*,65797,0.1167,165.4895,1139.6717,1490,0.0026,2.7624,31.4312,*,*,*,*,2127,0.0038,3.8996,40.1690
2017,RI,44.0,87698,73,0.5895,0.4105,0.8503,0.0335,0.0746,0.0416,0.2305,14380,0.164,259.1735,1332.6758,114,0.0013,1.4253,20.6390,24,0.0003,0.4333,11.5054,6130,0.0699,100.4128,1834.4660
2017,SC,45.0,255275,71,0.5743,0.4257,0.6395,0.3310,0.0129,0.0166,0.2654,41673,0.1632,250.6669,1420.2135,638,0.0025,2.6246,39.3223,232,0.0009,0.9833,29.6425,9761,0.0382,49.5857,1083.0320
2017,SD,46.0,34434,75,0.5518,0.4482,0.9708,0.0022,0.0042,0.0228,0.0642,1180,0.0343,47.2498,243.5964,14,0.0004,0.4066,6.1567,*,*,*,*,302,0.0088,10.9194,227.4206
2017,TN,47.0,472678,70,0.5623,0.4377,0.8276,0.1475,0.0083,0.0166,0.2871,78221,0.1655,256.0051,1406.3993,1884,0.0040,4.3370,59.6283,419,0.0009,0.9859,30.0754,20198,0.0427,57.1869,1217.2917
2017,TX,48.0,1341519,72,0.5649,0.4351,0.5340,0.1304,0.2919,0.0437,0.2294,201234,0.15,229.8432,1274.3636,6148,0.0046,5.0488,68.0482,2525,0.0019,2.1431,62.1654,38804,0.0289,38.2514,810.9225
2017,UT,49.0,131204,72,0.5505,0.4495,0.9037,0.0057,0.0516,0.0390,0.1167,12958,0.0988,131.6652,530.9518,136,0.0010,1.0747,15.1672,123,0.0009,0.9832,25.0297,4779,0.0364,44.3660,802.3079
2017,VA,51.0,272691,71,0.5653,0.4347,0.6693,0.2577,0.0233,0.0496,0.1913,40122,0.1471,227.4699,1261.2187,668,0.0024,2.6770,40.0857,97,0.0004,0.3961,13.7518,10206,0.0374,49.0372,925.6264
2017,VI,78.0,238,73,0.563,0.437,*,*,*,*,*,29,0.1218,197.479,1004.2017,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,*,*,*,*
2017,VT,50.0,12660,73,0.5405,0.4595,0.9498,0.0038,0.0066,0.0398,0.0904,1439,0.1137,159.3207,800.9479,25,0.0020,1.9747,27.9621,*,*,*,*,398,0.0314,40.9953,902.5276
