OBJECTID,SampleDate,Location,Ph,Temperature,DissolvedOxygen,Conductivity,BiologicalOxygenDemand,TotalSuspendedSolids,EColi,Ammonia,Nitrate,Weather,R_Humidity,WindSpeed,WindGust,FrozenOver,Comments,LocationID,GlobalID
24418,2013/04/19 09:55:00+00,Big Sioux River @ I-90,8.62,2.09,14.36,0.909,4.0,38.0,30.0,,2.1,,,,,No,,26C,{07B206C1-EE5D-42B5-BBCC-6A726C77CE7C}
24419,2013/06/20 09:55:00+00,Big Sioux River @ Bahnson,8.51,22.44,7.01,1.049,6.4,96.5,649.0,0.05,1.7,,,,,No,,26A,{1B85100F-D720-4B10-A148-10B10BA4DAD0}
24420,2013/08/12 09:55:00+00,Big Sioux River @ I-90,8.78,21.55,8.0,0.942,2.4,42.0,249.0,0.01,0.91,,,,,No,,26C,{F18E7CEA-3F4D-4850-AF5C-630F5DF09CCE}
24421,2013/09/11 09:55:00+00,Big Sioux River @ I-90,8.63,20.86,5.22,1.227,4.1,38.0,77.0,0.07,0.01,,,,,No,,26C,{6A92A2D4-F13E-45DA-BC86-5AEA6EABB54B}
24422,2013/09/26 09:55:00+00,Big Sioux River @ I-90,8.94,17.55,7.08,1.018,7.2,42.0,214.0,0.01,0.01,,,,,No,,26C,{740EEAF2-43D1-4AAF-AE6F-A862BF39AB3F}
24423,2014/02/18 09:55:00+00,Big Sioux River @ Bahnson,7.83,1.97,10.63,4.609,15.5,13.5,,0.14,15.0,,,,,No,,26A,{409C7988-5C58-41D9-B48C-5AA9D31FB486}
24424,2012/09/28 09:53:00+00,Big Sioux River @ Bahnson,8.33,13.9,6.51,1.761,1.1,17.0,147.0,0.18,17.0,,,,,No,,26A,{E51C2914-3184-4E73-9D46-D42A85E3D2DC}
24425,2012/12/21 09:53:00+00,Big Sioux River @ Timberline,9.53,1.58,11.94,1.644,6.9,16.7,411.0,0.25,14.0,,,,,No,,26B,{F7D0BF0A-EAB7-4830-A69B-0E8894AC1A10}
24426,2013/09/23 09:53:00+00,Big Sioux River @ I-90,8.99,16.3,8.15,1.02,6.9,59.0,161.0,0.02,0.01,,,,,No,,26C,{8FFF72FF-F32B-4933-9FCA-C69E8F676BF6}
24427,2012/06/11 09:50:00+00,Big Sioux River @ Timberline,8.37,21.5,6.38,0.0,4.5,55.0,148.0,0.02,2.7,,,,,No,,26B,{7DB280E4-D3A1-470B-8753-E785585CA7BC}
24428,2012/09/07 09:50:00+00,Big Sioux River @ Bahnson,8.23,19.76,5.87,1.387,6.1,6.1,770.0,0.68,5.0,,,,,No,,26A,{62098DA2-BCF3-4C10-8897-36176B57F819}
24429,2012/10/19 09:50:00+00,Skunk Creek @ Marion Road,7.36,16.42,9.68,1.329,7.9,17.0,411.0,0.03,0.066,,,,,No,,26D,{1F108AB8-CBA2-4CC5-9781-6143F4549836}
24430,2012/11/13 09:50:00+00,Skunk Creek @ Marion Road,7.54,1.09,15.69,1.235,4.4,10.0,5.0,0.07,0.01,,,,,No,,26D,{A64FAF22-2542-4099-8DFC-194411247E64}
