OBJECTID,SampleDate,Location,Ph,Temperature,DissolvedOxygen,Conductivity,BiologicalOxygenDemand,TotalSuspendedSolids,EColi,Ammonia,Nitrate,Weather,R_Humidity,WindSpeed,WindGust,FrozenOver,Comments,LocationID,GlobalID
36891,2018/06/19 14:03:40+00,Skunk Creek @ Marion Road,8.16,21.54,6.69,1.423,3.4,38.0,770.0,0.09,2.6,,,,,No,,26D,{827F6B44-1561-4712-A866-8C4D6F5D243D}
36892,2018/06/19 14:38:42+00,Big Sioux River @ Falls Park,8.34,22.63,7.94,,3.9,108.0,727.0,0.06,1.8,,,,,No,,26E,{147AE17C-7D21-4407-9642-101945B39E90}
36893,2018/06/19 14:57:32+00,Big Sioux River @ Bahnson,8.28,23.12,7.47,1.052,4.1,86.0,461.0,0.07,1.9,,,,,No,,26A,{6CC671D6-A739-4F52-A12D-A4DB48F557CF}
36894,2018/06/19 15:12:52+00,Big Sioux River @ Timberline,8.24,23.09,7.34,1.062,3.4,64.0,548.0,0.08,2.9,,,,,No,,26B,{CCCE7E80-FC58-4754-A0CB-928CA1459007}
37290,2018/06/21 14:03:25+00,Big Sioux River @ I-90,7.76,18.78,6.95,0.8,5.2,64.0,2420.0,0.13,3.2,,,,,No,,26C,{13D502B9-BEEB-4E57-90EA-F02718F8FA79}
37291,2018/06/21 14:25:23+00,Skunk Creek @ Marion Road,7.76,16.44,7.22,0.843,6.8,80.0,2420.0,0.16,5.4,,,,,No,,26D,{E93A511E-5D43-4FE8-94E1-C16D95F9129C}
37292,2018/06/21 14:52:37+00,Big Sioux River @ Falls Park,7.94,16.72,9.35,0.51,3.9,47.0,2420.0,0.1,1.9,,,,,No,,26E,{3D789066-120D-4D16-98D7-882121691A77}
37293,2018/06/21 15:16:27+00,Big Sioux River @ Bahnson,8.01,17.78,8.76,0.647,5.2,65.0,2420.0,0.17,2.4,,,,,No,,26A,{52785E20-A049-471C-8D0E-CA87AFC35FC1}
37294,2018/06/21 15:31:24+00,Big Sioux River @ Timberline,8.03,17.82,8.71,0.628,4.9,66.0,2420.0,0.11,2.2,,,,,No,,26B,{F5269CED-F6FE-410A-8A6B-11E92E5C698D}
37690,2018/06/25 14:37:47+00,Big Sioux River @ I-90,8.16,21.79,7.12,0.886,1.6,88.0,488.0,0.04,5.0,,,,,No,,26C,{9C67AAAD-C567-4C3B-8671-920E927CA2B4}
37691,2018/06/25 14:58:35+00,Skunk Creek @ Marion Road,8.02,20.61,7.23,1.19,1.7,68.0,2420.0,0.05,4.2,,,,,No,,26D,{14366B79-F7B8-4C80-B4D6-D39C1AE8B95C}
38090,2018/06/25 15:34:32+00,Big Sioux River @ Falls Park,8.2,20.98,9.01,1.14,3.1,87.0,2420.0,0.05,4.1,,,,,No,,26E,{A9F7AAC5-B75B-4DD0-B1C6-81E5F2ABC518}
38091,2018/06/25 15:52:40+00,Big Sioux River @ Bahnson,8.2,21.71,8.81,0.955,2.4,98.0,1203.0,0.08,4.7,,,,,No,,26A,{C1EE4CA0-151A-4ECD-8835-979EA82AB57B}
38092,2018/06/25 16:05:48+00,Big Sioux River @ Timberline,8.2,21.6,8.53,0.953,1.3,136.0,980.0,0.05,5.0,,,,,No,,26B,{D9A400F9-BCF5-4CDC-B06A-70111551D8C1}
38490,2018/06/28 13:50:44+00,Big Sioux River @ I-90,7.8,22.19,6.66,0.772,5.0,85.0,1120.0,0.05,5.0,,,,,No,,26C,{3046C8A5-60E7-457D-A216-8007D6271FF1}
38491,2018/06/28 14:15:54+00,Skunk Creek @ Marion Road,8.02,22.03,6.95,1.327,5.3,68.0,1046.0,0.05,3.1,,,,,No,,26D,{69DEDB92-D13B-41DE-A654-25E89CA4DED9}
38492,2018/06/28 14:58:36+00,Big Sioux River @ Falls Park,8.27,22.39,6.97,1.281,5.2,61.0,770.0,0.03,3.2,,,,,No,,26E,{C2BB03C3-0C2B-4F57-92EB-5FA058964E49}
38493,2018/06/28 15:16:11+00,Big Sioux River @ Bahnson,8.16,22.3,8.2,0.865,4.8,94.0,1046.0,0.05,4.1,,,,,No,,26A,{D587D258-F7AA-4A36-8B9E-D02466ABE6D5}
38494,2018/06/28 15:29:02+00,Big Sioux River @ Timberline,8.15,22.19,8.39,0.868,5.4,106.0,1414.0,0.06,5.4,,,,,No,,26B,{A032E4F1-3D35-4D81-B8B1-4FB52ECB62E5}
38890,2018/07/03 14:00:05+00,Big Sioux River @ I-90,7.98,22.46,6.05,0.686,2.2,95.0,1733.0,0.08,3.4,,,,,No,,26C,{80B8DBA4-2356-4E7D-A42C-9C48E4ABB783}
38891,2018/07/03 14:24:25+00,Skunk Creek @ Marion Road,8.05,22.52,6.39,1.281,2.6,71.0,1986.0,0.04,2.4,,,,,No,,26D,{734BB80E-263B-4CB5-BBC4-54B7F17A460A}
39290,2018/07/03 14:59:30+00,Big Sioux River @ Falls Park,8.29,22.97,7.82,1.272,1.8,62.0,2420.0,0.03,2.1,,,,,No,,26E,{A8091BA4-EB71-49AB-8224-B9BBD8A003A0}
39291,2018/07/03 15:20:08+00,Big Sioux River @ Bahnson,8.21,23.08,7.93,0.789,2.2,113.0,1203.0,0.07,3.2,,,,,No,,26A,{457E4E94-1C31-423B-89F6-0C2596270E76}
39292,2018/07/03 15:33:37+00,Big Sioux River @ Timberline,8.18,23.04,7.87,0.793,2.5,116.0,1986.0,0.08,3.2,,,,,No,,26B,{2378D331-D601-4403-AFA0-5B596ACB75A5}
39690,2018/07/05 14:40:29+00,Skunk Creek @ Marion Road,8.12,23.18,6.15,1.355,4.8,64.0,1120.0,0.0423,2.9,,,,,No,,26D,{8474DFF7-E56F-4AA6-AB6D-4F463BDBD5DC}
39691,2018/07/05 15:06:04+00,Big Sioux River @ Falls Park,8.31,23.45,7.21,1.304,3.5,77.0,921.0,0.0402,2.2,,,,,No,,26E,{8C0556B0-CFFB-45C4-81DD-6DB163071034}
39692,2018/07/05 15:29:05+00,Big Sioux River @ Bahnson,8.26,24.23,7.25,0.937,3.7,86.0,461.0,0.0359,2.0,,,,,No,,26A,{416FB88A-987A-4E2B-AAAD-48E6D5829FEA}
39693,2018/07/05 15:42:20+00,Big Sioux River @ Timberline,8.23,24.26,7.27,0.946,4.2,71.0,365.0,0.0431,3.0,,,,,No,,26B,{F20F8CCA-0353-49E7-AE93-058E7B5B31E8}
39694,2018/07/05 15:44:37+00,Big Sioux River @ I-90,8.11,24.36,5.7,0.848,3.4,39.0,488.0,0.0439,3.5,,,,,No,,26C,{20923EC4-3392-44EB-9969-1EBF8C306E43}
40090,2018/07/09 14:29:34+00,Big Sioux River @ I-90,8.24,25.72,6.46,0.915,4.1,34.0,158.0,0.0311,2.3,,,,,No,,26C,{B21EB526-7B6D-461D-8DA3-4CF05A3C3D65}
40091,2018/07/09 14:53:26+00,Skunk Creek @ Marion Road,8.14,25.01,6.84,1.452,3.5,105.0,488.0,0.0524,1.5,,,,,No,,26D,{1FD240A2-7AFF-4351-BA00-BA393E1B7978}
40092,2018/07/09 15:34:11+00,Big Sioux River @ Falls Park,8.38,25.36,7.83,1.412,4.6,121.0,579.0,0.0387,1.7,,,,,No,,26E,{9595689D-F729-4080-961D-8FB65E050565}
40093,2018/07/09 15:55:13+00,Big Sioux River @ Bahnson,8.32,26.16,7.94,1.004,3.4,104.0,261.0,0.0933,2.4,,,,,No,,26A,{F7501544-93C3-456C-9FBB-FCAC35682320}
40094,2018/07/09 16:07:49+00,Big Sioux River @ Timberline,8.33,25.96,8.02,1.007,3.6,106.0,205.0,0.0391,3.0,,,,,No,,26B,{419832B3-9887-4A9B-946E-20E37CC43822}
40490,2018/07/12 14:12:31+00,Big Sioux River @ I-90,8.29,26.59,6.5,1.045,2.1,100.0,201.0,0.04,2.8,,,,,No,,26C,{90CAF960-A43C-4D5E-A09C-C368A74C58A3}
40491,2018/07/12 14:32:00+00,Skunk Creek @ Marion Road,8.21,26.4,6.57,1.46,2.4,133.0,387.0,0.05,1.8,,,,,No,,26D,{2B0C8F0C-9A77-4265-8EB6-147EB2B95EBF}
40492,2018/07/12 14:56:52+00,Big Sioux River @ Falls Park,8.4,26.71,7.7,1.419,2.7,93.0,260.0,0.05,1.7,,,,,No,,26E,{10F6511E-32FF-495A-B098-C959CDA76D5B}
40493,2018/07/12 15:17:00+00,Big Sioux River @ Bahnson,8.38,26.9,7.64,1.128,2.5,91.0,291.0,0.04,2.8,,,,,No,,26A,{603DE29B-ED6A-463A-BB42-9047C23214D6}
40494,2018/07/12 15:29:46+00,Big Sioux River @ Timberline,8.37,26.62,7.54,1.137,2.7,88.0,291.0,0.04,3.5,,,,,No,,26B,{3572339F-8FC2-4C9F-A00D-DFDF8C041243}
40890,2018/07/16 13:50:47+00,Big Sioux River @ I-90,8.21,24.17,6.46,1.018,5.8,120.0,365.0,0.04,2.7,,,,,No,,26C,{B16E366B-487E-4158-A549-B4000DADD590}
41290,2018/07/16 14:36:59+00,Skunk Creek @ Marion Road,8.08,23.07,6.6,1.367,4.4,141.0,613.0,0.04,2.3,,,,,No,,26D,{B721BE63-E898-4473-AA87-0E5A2AF22333}
41291,2018/07/16 15:16:04+00,Big Sioux River @ Falls Park,8.28,23.73,8.11,1.323,4.2,109.0,649.0,0.06,2.0,,,,,No,,26E,{2F889C79-EF6C-4E33-8DE4-BCD3D0D2205B}
41292,2018/07/16 15:37:05+00,Big Sioux River @ Bahnson,8.24,24.61,7.96,1.101,3.4,125.0,488.0,0.06,2.6,,,,,No,,26A,{E4481210-436F-4B69-B92F-7B81C0EAEE33}
41293,2018/07/16 15:51:26+00,Big Sioux River @ Timberline,8.24,24.5,6.95,1.12,4.4,105.0,517.0,0.05,3.3,,,,,No,,26B,{61CB0837-1267-451D-9F23-76C40C6D5B77}
41690,2018/07/19 13:35:10+00,Big Sioux River @ I-90,8.01,23.96,6.1,1.065,2.9,114.0,1986.0,0.05,2.8,,,,,No,,26C,{40B520C8-E3FF-4A12-BFB5-AE4F6CFED65E}
41691,2018/07/19 13:49:25+00,Big Sioux River @ Falls Park,8.3,22.71,7.3,1.312,5.2,179.0,2420.0,0.05,2.2,,,,,No,,26E,{61390CDC-F388-473F-AF09-791F2A929946}
41692,2018/07/19 13:50:51+00,Skunk Creek @ Marion Road,8.1,22.41,6.59,1.385,4.7,128.0,2420.0,0.05,2.1,,,,,No,,26D,{0677B40E-522D-43C8-ADDE-9195F4F200BD}
41693,2018/07/19 13:52:41+00,Big Sioux River @ Bahnson,8.28,23.44,7.7,1.108,5.0,113.0,2420.0,0.06,2.5,,,,,No,,26A,{996270A4-FE30-4EB9-AC68-8962B53BA0FC}
41694,2018/07/19 13:54:07+00,Big Sioux River @ Timberline,8.3,23.32,7.62,1.081,4.1,99.0,1203.0,0.05,3.5,,,,,No,,26B,{49B53E44-CCDE-4F07-9EF4-16FA4EDF1C57}
42090,2018/07/24 14:28:44+00,Big Sioux River @ I-90,8.12,23.99,6.13,0.572,1.6,113.0,387.0,0.03,1.2,,,,,No,,26C,{C2E6B886-9FD2-48ED-9238-3F9769F1ECD6}
42091,2018/07/24 14:50:26+00,Skunk Creek @ Marion Road,8.03,22.85,7.2,1.376,3.36,160.0,687.0,0.04,2.3,,,,,No,,26D,{373D0DA1-6ECA-4DD6-94AC-EE9F33734F03}
42092,2018/07/24 15:29:19+00,Big Sioux River @ Falls Park,8.25,23.31,8.66,1.288,2.91,116.0,1203.0,0.04,1.9,,,,,No,,26E,{F3A20CD1-C45D-4F6E-8077-8540AE72D6B5}
42093,2018/07/24 15:43:15+00,Big Sioux River @ Bahnson,8.12,24.27,8.63,0.633,4.11,112.0,613.0,0.03,1.4,,,,,No,,26A,{3FDDF1A1-473D-4160-A968-154B32BA8712}
42094,2018/07/24 15:59:28+00,Big Sioux River @ Timberline,8.07,24.21,8.68,0.639,2.6,120.0,488.0,0.03,1.5,,,,,No,,26B,{7D60D3B6-1002-4A10-A217-E339623B8146}
42490,2018/07/26 13:16:09+00,Big Sioux River @ I-90,7.91,23.61,6.82,0.747,4.3,63.5,155.0,0.02,1.0,,,,,No,,26C,{8E7DF5AC-6B58-4228-93BF-7F8873D9F3A1}
42491,2018/07/26 13:37:15+00,Skunk Creek @ Marion Road,7.98,21.05,7.48,1.426,3.5,146.0,236.0,0.03,2.4,,,,,No,,26D,{1CC00EE8-157D-4C30-8DE0-4FB83273EF3E}
42492,2018/07/26 13:58:47+00,Big Sioux River @ Falls Park,8.2,21.44,8.44,1.392,3.0,101.0,411.0,0.03,2.5,,,,,No,,26E,{EB059A4B-3001-4190-BB59-A9CADB355A7E}
42493,2018/07/26 14:17:04+00,Big Sioux River @ Bahnson,8.13,23.85,8.39,0.782,4.9,72.0,179.0,0.03,1.1,,,,,No,,26A,{B88C7464-AE44-4F87-860B-22D685CC7862}
42494,2018/07/26 14:32:50+00,Big Sioux River @ Timberline,8.09,24.0,8.33,0.782,4.6,80.0,166.0,0.02,1.3,,,,,No,,26B,{1770B09E-86DD-4574-87E0-4239F141649D}
42495,2018/07/31 14:01:50+00,Big Sioux River @ I-90,8.35,21.88,7.77,1.05,2.3,42.0,88.0,0.02,2.2,,,,,No,,26C,{AAA1BBC0-7B18-431C-ABEF-4AB03761A30F}
42496,2018/07/31 14:24:13+00,Skunk Creek @ Marion Road,8.2,21.17,8.1,1.447,2.2,46.0,313.0,0.02,2.1,,,,,No,,26D,{C6705B8F-F6D4-4BBC-8254-24A210E89C31}
42497,2018/07/31 14:58:43+00,Big Sioux River @ Falls Park,8.39,21.43,9.13,1.332,2.4,36.0,275.0,0.02,2.3,,,,,No,,26E,{75E2CE53-811C-4834-8380-AA8993FFEC4E}
42498,2018/07/31 15:19:43+00,Big Sioux River @ Bahnson,8.34,22.22,8.87,1.094,3.5,65.0,104.0,0.02,2.0,,,,,No,,26A,{4B036A8C-D9B6-4E63-BC71-52DE768D53A5}
42499,2018/07/31 15:35:00+00,Big Sioux River @ Timberline,8.32,22.06,8.85,1.098,4.0,28.0,119.0,0.02,3.1,,,,,No,,26B,{6E7D3008-AA54-4FC6-A62D-E5CAAF86E30C}
42895,2018/08/02 13:51:20+00,Big Sioux River @ I-90,8.26,20.86,7.51,1.068,3.5,27.0,53.0,0.02,1.9,,,,,No,,26C,{E08DD8FC-4CF0-42BC-94D7-2A53162F9B4F}
42896,2018/08/02 14:17:55+00,Skunk Creek @ Marion Road,8.2,19.58,7.8,1.443,1.7,33.0,197.0,0.02,2.0,,,,,No,,26D,{3F3C2DBE-7FE4-4D82-9F0A-5C99EAB0CA7B}
42897,2018/08/02 14:46:38+00,Big Sioux River @ Falls Park,8.38,19.75,8.38,1.419,2.0,30.0,649.0,0.02,1.8,,,,,No,,26E,{64414D46-273F-40AB-A423-F90BB0EC1F2A}
42898,2018/08/02 15:09:31+00,Big Sioux River @ Bahnson,8.43,21.19,8.8,1.128,3.2,35.0,135.0,0.1,2.0,,,,,No,,26A,{CCDC95C4-A5C4-45B8-AD1A-86542993A58F}
42899,2018/08/02 15:23:33+00,Big Sioux River @ Timberline,8.41,21.19,9.0,1.142,3.3,35.0,119.0,0.03,2.6,,,,,No,,26B,{374C1A4D-AF54-4ED1-B3B0-D41777C6A952}
43295,2018/08/06 14:42:13+00,Big Sioux River @ I-90,8.44,21.82,7.97,1.064,4.2,52.0,2420.0,0.03,1.6,,,,,No,,26C,{FC81C0A6-925A-455C-A455-175706238AE7}
43296,2018/08/06 15:06:23+00,Skunk Creek @ Marion Road,8.09,20.54,7.58,1.215,4.0,127.0,2420.0,0.08,1.7,,,,,No,,26D,{DE2A4CB3-CE24-4918-9ABF-25C884103050}
43297,2018/08/06 15:27:59+00,Big Sioux River @ Falls Park,8.29,21.05,9.05,1.078,4.1,109.0,2420.0,0.05,1.4,,,,,No,,26E,{B60BDEF5-5664-4E50-A91F-0C0AF9FAC5C7}
43298,2018/08/06 15:45:10+00,Big Sioux River @ Bahnson,8.33,21.67,8.84,1.071,4.5,68.0,2420.0,0.09,1.6,,,,,No,,26A,{4C2168BA-9D35-4F2E-8908-FEC74A09BB35}
43299,2018/08/06 16:05:48+00,Big Sioux River @ Timberline,8.33,21.88,9.12,1.079,4.4,67.0,1553.0,0.04,2.5,,,,,No,,26B,{740D39E2-C528-44FB-A701-682EE1CB1C01}
43695,2018/08/09 14:11:25+00,Big Sioux River @ I-90,8.42,23.92,7.66,0.997,5.9,94.0,816.0,0.001,1.3,,,,,No,,26C,{DA8C84BB-22CE-40A0-A9D2-945925BFA2E7}
43696,2018/08/09 14:33:42+00,Skunk Creek @ Marion Road,8.06,23.52,6.49,1.02,2.3,117.0,1986.0,0.03,1.8,,,,,No,,26D,{F3A5425A-FA4A-4621-8021-A20DF08188D0}
43697,2018/08/09 14:55:40+00,Big Sioux River @ Falls Park,8.26,23.94,7.37,1.0,2.9,132.0,1733.0,0.01,1.5,,,,,No,,26E,{E713268B-C3BF-4F9C-BD3C-886195CC031D}
43698,2018/08/09 15:21:40+00,Big Sioux River @ Bahnson,8.37,24.36,8.0,0.995,4.7,109.0,2420.0,0.01,1.4,,,,,No,,26A,{976FA04A-57B4-4396-9D79-51B0B07BB826}
43699,2018/08/09 15:37:23+00,Big Sioux River @ Timberline,8.37,24.36,8.09,1.009,4.3,115.0,1414.0,0.01,2.2,,,,,No,,26B,{CC6FBCFE-512A-489A-AF5F-4A3D791DAA79}
44095,2018/08/14 14:01:16+00,Big Sioux River @ I-90,8.31,25.12,7.21,1.027,5.3,56.0,80.0,0.03,0.88,,,,,No,,26C,{7E10B9DC-CE6C-450B-906F-59DFA20ED64F}
44096,2018/08/14 14:24:59+00,Skunk Creek @ Marion Road,7.88,24.77,7.91,1.303,0.6,80.0,411.0,0.03,2.0,,,,,No,,26D,{6A953C1B-715C-4524-90F5-ED3BF25F7E00}
44097,2018/08/14 14:56:51+00,Big Sioux River @ Falls Park,8.32,25.42,8.8,1.153,2.8,75.0,328.0,0.03,1.3,,,,,No,,26E,{AB0A51F5-F885-4C54-AF5E-0A335275133C}
44098,2018/08/14 15:17:36+00,Big Sioux River @ Bahnson,8.29,25.87,7.98,1.111,4.6,55.0,68.0,0.14,1.1,,,,,No,,26A,{342A3516-7850-4D49-95EB-27E912E68750}
44099,2018/08/14 15:33:36+00,Big Sioux River @ Timberline,8.26,25.61,8.61,1.134,4.6,60.0,119.0,0.18,2.6,,,,,No,,26B,{B358ABA8-1717-4C41-9816-02422AF669FE}
44895,2018/08/17 18:25:30+00,Big Sioux River @ I-90,8.14,22.89,8.53,1.034,6.2,,120.0,0.0382,0.87,,,,,No,,26C,{7CF30301-CB77-4F79-9F63-2F8B5A575AD8}
44896,2018/08/17 18:26:33+00,Big Sioux River @ Bahnson,8.22,22.87,8.86,1.045,1.8,,525.0,0.0843,1.9,,,,,No,,26A,{ED40102A-224B-48AB-948B-CC83ED59003D}
44897,2018/08/17 18:27:54+00,Big Sioux River @ Falls Park,8.25,21.68,9.94,1.083,1.6,,1300.0,0.0659,1.5,,,,,No,,26E,{B1C91EA3-3D7D-4265-A49A-572DA07B5488}
44898,2018/08/17 18:29:03+00,Skunk Creek @ Marion Road,8.07,21.51,8.56,1.306,5.2,,579.0,0.458,0.9,,,,,No,,26D,{4DAA66EF-E94C-4C80-9D60-C94DA13818E1}
44899,2018/08/17 18:30:45+00,Big Sioux River @ Timberline,8.24,22.55,9.14,1.042,4.0,,816.0,0.44,2.2,,,,,No,,26B,{C16847C0-AC2C-42A5-80ED-23FBDE10E1E1}
45295,2018/08/21 14:33:11+00,Big Sioux River @ I-90,8.41,19.3,8.74,0.917,4.7,82.0,2420.0,0.03,1.5,,,,,No,,26C,{AF37A683-6C19-4073-973D-9E5EF3773393}
45296,2018/08/21 15:09:25+00,Skunk Creek @ Marion Road,8.15,18.62,7.67,1.061,4.5,82.0,2420.0,0.03,1.6,,,,,No,,26D,{69A4BF81-6DB8-4F7F-AAE3-749A8BE10103}
45695,2018/08/21 15:49:05+00,Big Sioux River @ Falls Park,8.29,18.92,8.86,0.956,3.1,67.0,2420.0,0.03,1.3,,,,,No,,26E,{63115D80-E013-4CCB-9CE4-775EB6953076}
45696,2018/08/21 16:18:53+00,Big Sioux River @ Bahnson,8.38,20.07,9.52,0.935,5.3,101.0,2420.0,0.03,1.7,,,,,No,,26A,{7CBE54DB-4F20-4224-A07E-5780DFA44972}
46095,2018/08/21 16:39:39+00,Big Sioux River @ Timberline,,19.9,,0.936,3.8,98.0,2420.0,0.03,2.3,,,,,No,,26B,{C530DF07-9A3B-40B5-BBD4-3CF43AC4DFE6}
46096,2018/08/23 14:08:02+00,Big Sioux River @ I-90,8.4,19.47,8.1,0.986,6.0,81.0,102.0,0.03,1.4,,,,,No,,26C,{9B752F3D-486D-4541-8274-4D68C2002B37}
46097,2018/08/23 14:31:26+00,Skunk Creek @ Marion Road,8.12,18.52,7.95,1.318,2.1,75.0,1986.0,0.04,2.5,,,,,No,,26D,{1286BB8B-96CA-4BFD-BB83-C11B1D812FBE}
46098,2018/08/23 14:53:35+00,Big Sioux River @ Falls Park,8.23,18.94,9.32,1.277,1.5,54.0,1986.0,0.04,2.1,,,,,No,,26E,{F15F2177-BE39-4E99-A5E1-85030922D0D2}
46099,2018/08/23 15:12:13+00,Big Sioux River @ Bahnson,8.38,19.53,9.02,1.073,6.6,54.5,548.0,0.03,1.7,,,,,No,,26A,{2C1D8D55-674C-4123-B6C6-593048E28B13}
46100,2018/08/23 15:29:02+00,Big Sioux River @ Timberline,8.37,19.92,8.77,1.092,5.4,31.0,488.0,0.03,2.3,,,,,No,,26B,{58AE0696-9057-4112-848D-9FFE91D30B44}
46495,2018/08/28 14:30:00+00,Big Sioux River @ I-90,8.29,21.76,6.97,0.929,9.4,54.0,133.0,0.02,0.01,,,,,No,,26C,{16B3287D-FA07-4E55-A268-665923135EDA}
46496,2018/08/28 14:52:42+00,Skunk Creek @ Marion Road,8.15,19.35,7.8,1.135,3.8,79.0,2420.0,0.04,1.9,,,,,No,,26D,{848900EA-2D58-44C6-8035-D1F54882467E}
46497,2018/08/28 15:17:28+00,Big Sioux River @ Falls Park,8.27,19.81,9.14,0.834,8.7,132.0,2420.0,0.03,0.65,,,,,No,,26E,{A129694D-9E11-4830-9744-AF70A4D1E323}
46498,2018/08/28 15:39:16+00,Big Sioux River @ Bahnson,8.25,20.89,8.08,0.921,11.0,96.0,2420.0,0.03,0.62,,,,,No,,26A,{32FEB99B-F877-4BCC-8E2E-93F0DE797A0E}
46499,2018/08/28 15:56:22+00,Big Sioux River @ Timberline,8.25,20.77,7.73,0.846,7.8,95.0,2420.0,0.03,1.4,,,,,No,,26B,{F4E93BB9-1FE5-469D-968F-744213C5DAB8}
46895,2018/08/30 13:27:26+00,Big Sioux River @ I-90,8.29,19.13,8.36,0.956,12.5,80.0,111.0,0.0242,0.027,,,,,No,,26C,{31F14EF1-1E1E-45E7-9AC1-83DAFD0B0E77}
46896,2018/08/30 13:52:19+00,Skunk Creek @ Marion Road,8.1,18.04,8.33,1.329,4.6,48.0,223.0,0.0145,2.2,,,,,No,,26D,{8264CFCE-E744-43C4-B376-8899295F45B2}
46897,2018/08/30 14:15:32+00,Big Sioux River @ Falls Park,8.32,19.03,9.42,1.097,8.7,69.0,548.0,0.0139,0.53,,,,,No,,26E,{3D337E41-AE6C-44F6-90A0-6724BFC69F15}
46898,2018/08/30 14:32:15+00,Big Sioux River @ Bahnson,8.36,19.52,9.96,1.044,12.7,77.0,435.0,0.141,0.51,,,,,No,,26A,{49DAD85F-1092-4C2B-9B1F-EA8BB52A2A5B}
46899,2018/08/30 14:46:54+00,Big Sioux River @ Timberline,8.27,19.79,9.01,1.065,11.6,73.0,435.0,0.0338,1.6,,,,,No,,26B,{C0FF9BE6-1636-41EE-9B9F-650DBE9A20F7}
47295,2018/09/04 14:24:51+00,Big Sioux River @ I-90,8.2,22.59,7.1,1.051,8.1,29.0,79.0,0.0501,0.65,,,,,No,,26C,{8742C235-FB44-45A7-B6DF-8F5FC0EE75C8}
47296,2018/09/04 14:50:06+00,Skunk Creek @ Marion Road,8.17,21.88,7.53,1.334,3.3,23.0,326.0,0.052,1.8,,,,,No,,26D,{49CE14A1-F451-4ECE-9B5A-F8DF49998234}
47297,2018/09/04 15:27:35+00,Big Sioux River @ Falls Park,8.27,22.3,8.83,1.136,6.5,53.0,326.0,0.0425,0.7,,,,,No,,26E,{24F39D32-F6EB-4A06-8BB2-C571DD23C96C}
47298,2018/09/04 15:47:06+00,Big Sioux River @ Bahnson,8.22,22.53,8.49,1.111,9.6,46.0,308.0,0.0531,0.74,,,,,No,,26A,{DF45004A-8131-40C1-BBCD-80019D1D4EBC}
47299,2018/09/04 16:02:09+00,Big Sioux River @ Timberline,8.23,22.59,8.01,1.13,9.3,52.0,326.0,0.0519,2.1,,,,,No,,26B,{8A1AEAA4-7465-41CD-A380-6FCF7B44CA2C}
47695,2018/09/06 14:25:55+00,Big Sioux River @ I-90,8.2,18.96,8.32,1.085,5.8,51.0,79.0,0.0561,0.91,,,,,No,,26C,{DED0E1CE-C181-45AC-B571-52CB28AAABE4}
47696,2018/09/06 14:48:01+00,Skunk Creek @ Marion Road,8.23,18.02,8.67,1.352,2.2,36.0,225.0,0.0713,1.4,,,,,No,,26D,{08422C3E-E0B8-4EA7-9D3A-3386BB71F2A1}
47697,2018/09/06 15:11:35+00,Big Sioux River @ Falls Park,8.35,19.18,9.55,1.169,5.3,69.0,152.0,0.0272,0.76,,,,,No,,26E,{68CB692C-4DC9-4371-BC57-D24CCD0F4F25}
47698,2018/09/06 15:30:23+00,Big Sioux River @ Bahnson,8.33,19.62,10.23,1.147,7.1,54.0,194.0,0.0602,1.2,,,,,No,,26A,{31963356-B72A-4EAE-A72C-706E39C8A5F2}
47699,2018/09/06 15:44:49+00,Big Sioux River @ Timberline,8.29,19.43,9.55,1.168,6.5,53.0,173.0,0.0572,2.5,,,,,No,,26B,{B9052C72-59B0-403F-9C8C-02FB8F799B40}
48095,2018/09/11 14:24:13+00,Big Sioux River @ I-90,8.33,19.23,8.0,0.923,5.9,75.0,140.0,0.0602,1.1,,,,,No,,26C,{99980B92-7F9C-409E-807D-DD235C301321}
48096,2018/09/11 14:45:40+00,Skunk Creek @ Marion Road,8.21,19.01,8.8,1.282,1.89,112.0,142.0,0.0955,1.2,,,,,No,,26D,{B2044115-C0F4-41EF-BE3D-7BD6F5EE0145}
48495,2018/09/11 15:20:57+00,Big Sioux River @ Falls Park,8.34,19.73,9.33,1.024,4.1,75.0,105.0,0.0367,1.1,,,,,No,,26E,{5348E5A3-7CDF-487B-9155-10F07B8B589B}
48496,2018/09/11 15:44:55+00,Big Sioux River @ Bahnson,8.41,20.24,9.66,0.988,8.3,62.0,162.0,0.0906,1.7,,,,,No,,26A,{CAF8ECC3-B25A-43AF-A7EF-A74334AAFEA2}
48497,2018/09/11 16:00:58+00,Big Sioux River @ Timberline,8.38,20.28,9.02,1.018,5.5,68.0,145.0,0.0506,2.9,,,,,No,,26B,{FB38CC2C-9328-4F85-9EA4-0ADDBA6EF34F}
48895,2018/09/13 14:14:29+00,Big Sioux River @ I-90,8.32,20.27,7.55,1.04,7.6,42.0,108.0,0.0349,1.1,,,,,No,,26C,{0EB262DF-5200-4B3C-A3D1-633CC8C6E2AC}
48896,2018/09/13 14:34:23+00,Skunk Creek @ Marion Road,8.1,19.58,7.28,1.251,3.6,14.0,184.0,0.0296,0.86,,,,,No,,26D,{3113A53B-D26C-48EF-AF94-A424BAF55B2A}
48897,2018/09/13 15:05:05+00,Big Sioux River @ Falls Park,8.31,20.3,9.13,1.08,6.2,43.0,126.0,0.0313,0.75,,,,,No,,26E,{54EB0F13-BA43-47D7-85BB-7E300DC71DE5}
