OBJECTID,ALLOT_NO,ALLOT_NAME,GIS_ACRES,ADMIN_ST,ADM_OFC_CD,ADM_UNIT_CD,ST_ALLOT,ACTIVE_DT,GlobalID,Shape__Length,Shape__Area
1028,5321.0,Kanab Creek,6943.65853334,AZ,A01000,AZA01000,AZ05321,9999/09/09 00:00:00+00,{A14DF3A4-AA56-4118-812D-9BF42FB7667B},65998.8977300204,28099989.1305906
1029,5323.0,Suicide,3854.76512968,AZ,A01000,AZA01000,AZ05323,9999/09/09 00:00:00+00,{54BA2164-295E-4BA5-9B7F-D4758542F8DD},25969.8934554407,15599681.0218735
1030,4809.0,Cottonwood West,33309.72731722,AZ,A03000,AZA03000,AZ04809,9999/09/09 00:00:00+00,{9E4176AF-E263-4B78-B543-A3B26657709C},66557.3950748376,134799683.922071
1031,5221.0,June Tank,116029.73844888,AZ,A01000,AZA01000,AZ05221,9999/09/09 00:00:00+00,{267540E8-6393-42B3-A3D8-7C938CD53BAC},139254.477197138,469555692.231246
1032,4813.0,Blake Pond,10228.49090556,AZ,A01000,AZA01000,AZ04813,9999/09/09 00:00:00+00,{F93E82AF-5C21-4D1A-A27A-29F8824F6B94},36398.9310615595,41393234.112625
1033,4840.0,Pocum Tank,8449.1141603,AZ,A01000,AZA01000,AZ04840,9999/09/09 00:00:00+00,{C99523F7-6129-4B07-8A53-9B437F9504BE},30518.6889845898,34192351.9032143
1034,4862.0,Pat's Pond,1286.40507206,AZ,A01000,AZA01000,AZ04862,9999/09/09 00:00:00+00,{DA3C5E66-1CF0-498E-9705-2628FCF9B7A3},9652.61436818797,5205896.6276711
1035,0.0,,4259.75321398,AZ,A03000,AZA03000,AZ00000,9999/09/09 00:00:00+00,{75794DB5-1DDF-4CD9-A117-FEAABC79C2EB},28637.0294183436,17238609.6518466
1036,4849.0,Belnap,8243.75189474,AZ,A03000,AZA03000,AZ04849,9999/09/09 00:00:00+00,{F3AE69D6-EFBF-42CC-A32A-782CC5CEEF6E},32998.3992421244,33361280.2998967
1037,4832.0,Mesquite Community,26813.06060954,AZ,A01000,AZA01000,AZ04832,9999/09/09 00:00:00+00,{27523158-56D1-4284-8196-072D1BAB93C2},49138.1274289425,108508606.531916
1039,4851.0,Tassi,71.27862773,AZ,A03000,AZA03000,AZ04851,9999/09/09 00:00:00+00,{E04D5928-C93C-4B1A-9F59-29557AFFC9BF},3797.13492196749,288454.372426825
1040,5248.0,Swapp Tank,9441.7595435,AZ,A01000,AZA01000,AZ05248,9999/09/09 00:00:00+00,{121D0525-C466-4DCC-907C-C1AAAE981261},28660.9243972326,38209445.2473877
1041,4800.0,Pakoon Springs,17419.28330378,AZ,A03000,AZA03000,AZ04800,9999/09/09 00:00:00+00,{0B612680-E994-47BF-AC9E-30ADB8379635},48029.5605448453,70493338.511496
