X,Y,OBJECTID,RIPS_num,RIPS_name,allot_num,allot_name,NEPA_num,improve_subtype,improve_type,admin_st_code,admin_unit_code,maint_respone,est_year,last_insp_date,GlobalID,COORD_SRC_TYPE,ACCURACY_FT,created_date,last_edited_date,TempPurpose,RIPS_num_legacy,Old_GUID,Comment_cnt
326086.9594,4387879.5203,4451,000684,Red Hill Pond B,,,,8.0,NATURAL POND OR RESERVOIR,CO,COG02000,,,,{CEB88288-28AA-4298-A259-E495B07555A2},,,2015/04/08 21:18:13+00,2022/07/28 17:23:27+00,,000684,{8235D95F-4930-4305-8B5F-54776FA81D43},0.0
326327.4696,4387238.1597,4452,000685,Red Hill Pond C,,,,8.0,NATURAL POND OR RESERVOIR,CO,COG02000,,,,{C76529EC-1F25-4203-9411-B9EA5BD17CEE},,,2015/04/08 21:18:13+00,2022/07/28 17:23:27+00,,000685,{B12455DB-9B23-4548-9DC8-D54B12D22D95},0.0
325544.2697,4385751.93,4453,000687,S Red Hill Pond 1,,,,8.0,NATURAL POND OR RESERVOIR,CO,COG02000,,,,{208F42E6-6CED-45F3-8D7C-C061B563C2F9},,,2015/04/08 21:18:13+00,2022/07/28 17:23:27+00,,000687,{22C16327-09CD-4D5D-A4CC-9F55CE02D376},0.0
325309.9265,4385092.0686,4454,000688,S Red Hill Pond 2,,,,8.0,NATURAL POND OR RESERVOIR,CO,COG02000,,,,{1D9E78C7-47C0-4D3F-B6AB-51BF3C298705},,,2015/04/08 21:18:13+00,2022/07/28 17:23:27+00,,000688,{00A4F17C-62B1-4EEA-8C8E-14DD889CEED3},0.0
325285.2587,4384765.2214,4455,000699,S Red Hill Pond 3,,,,8.0,NATURAL POND OR RESERVOIR,CO,COG02000,,,,{5A6922B3-EA1D-4EC3-97AB-23260456EB8D},,,2015/04/08 21:18:13+00,2022/07/28 17:23:27+00,,000699,{3B03F87F-6283-4B60-8086-59CECEC00916},0.0
325223.5895,4384635.7159,4456,000690,S Red Hill Pond 4,,,,8.0,NATURAL POND OR RESERVOIR,CO,COG02000,,,,{D5691CFA-9179-46A7-B371-B8BA942B570D},,,2015/04/08 21:18:13+00,2022/07/28 17:23:27+00,,000690,{EC35ECEA-9778-4C9D-B067-8992648E09FA},0.0
325679.9422,4384142.3617,4457,000691,S Red Hill Pond 5,,,,8.0,NATURAL POND OR RESERVOIR,CO,COG02000,,,,{9846C0A2-0257-45B5-9E44-C86AED1AB4D1},,,2015/04/08 21:18:13+00,2022/07/28 17:23:27+00,,000691,{1777CE99-7BA3-43FE-8802-03F02D7B4260},0.0
325821.7815,4383883.3507,4458,000692,S Red Hill Pond 6,,,,8.0,NATURAL POND OR RESERVOIR,CO,COG02000,,,,{5E657EFB-3FA3-43CA-831D-0276D917D2EC},,,2015/04/08 21:18:13+00,2022/07/28 17:23:27+00,,000692,{7BD056DC-EC16-4B49-9ADF-522BE128A1F6},0.0
326228.7988,4383809.3475,4459,000693,S Red Hill Pond 7,,,,8.0,NATURAL POND OR RESERVOIR,CO,COG02000,,,,{01870789-3AF5-4C08-B9FD-11C3EA180395},,,2015/04/08 21:18:13+00,2022/07/28 17:23:27+00,,000693,{F40988A9-6F57-4821-A9A2-F83825997143},0.0
328226.8836,4384876.2261,4460,000694,Slaughter Homestead Pond A,,,,8.0,NATURAL POND OR RESERVOIR,CO,COG02000,,,,{5D054F64-4B57-4F31-A540-CA51D61616D8},,,2015/04/08 21:18:13+00,2022/07/28 17:23:27+00,,000694,{2198A28F-258C-4F89-8CFD-3CA6637119DB},0.0
328209.5936,4385176.4999,4461,000695,Slaughter Homestead Pond B,,,,8.0,NATURAL POND OR RESERVOIR,CO,COG02000,,,,{23671504-2E03-40CB-AEFA-532336C345AF},,,2015/04/08 21:18:13+00,2022/07/28 17:23:27+00,,000695,{B39D97D7-8BA0-4AF9-AB38-894622D9DF2F},0.0
328664.7355,4385560.7552,4462,000696,Slaughter Homestead Pond D,,,,8.0,NATURAL POND OR RESERVOIR,CO,COG02000,,,,{2C2F2B37-ECD1-47F0-88D0-01A78D688B1E},,,2015/04/08 21:18:13+00,2022/07/28 17:23:27+00,,000696,{F1AD2BF6-FC79-4504-9FFB-E2F9A1AC5FA3},0.0
329699.0684,4385158.9371,4463,000700,E Spring Gulch Pond A,,,,8.0,NATURAL POND OR RESERVOIR,CO,COG02000,,,,{011F69FB-2C35-4B54-89E6-9794DA75486C},,,2015/04/08 21:18:13+00,2022/07/28 17:23:27+00,,000700,{3173E8AA-ED4F-4F2A-B466-742827FF4A27},0.0
330118.9851,4384955.7795,4464,000701,E Spring Gulch Pond B,,,,8.0,NATURAL POND OR RESERVOIR,CO,COG02000,,,,{97E2A7E5-605E-4A49-AFEC-0DFAD0DF2BFE},,,2015/04/08 21:18:13+00,2022/07/28 17:23:27+00,,000701,{78FB3666-0640-4BCF-9CC5-665635BC675F},0.0
330039.9605,4384722.0529,4465,000702,E Spring Gulch Pond C,,,,8.0,NATURAL POND OR RESERVOIR,CO,COG02000,,,,{8911BFFC-27F8-445F-99CB-AE79CB1AE129},,,2015/04/08 21:18:13+00,2022/07/28 17:23:27+00,,000702,{4F778A75-40AD-4388-9142-0A8459BB3568},0.0
329651.444,4384327.3695,4466,000703,E Spring Gulch Pond D,,,,8.0,NATURAL POND OR RESERVOIR,CO,COG02000,,,,{F02FC744-C058-4087-80E8-C6CEC7AC235E},,,2015/04/08 21:18:13+00,2022/07/28 17:23:27+00,,000703,{EC03C3BF-1B5C-4E8A-92A5-83D083A45B81},0.0
329854.9527,4384148.5286,4467,000704,E Spring Gulch Pond E,,,,8.0,NATURAL POND OR RESERVOIR,CO,COG02000,,,,{4200B918-25F8-4280-A35F-E4D0D49DBCF4},,,2015/04/08 21:18:13+00,2022/07/28 17:23:27+00,,000704,{D0768E64-8777-4AAE-A884-20EE1030E807},0.0
329700.7794,4383377.6626,4468,000705,Old Mans Pond A,,,,8.0,NATURAL POND OR RESERVOIR,CO,COG02000,,,,{F7BE85CD-223D-41A4-A877-8E2258FE13C9},,,2015/04/08 21:18:13+00,2022/07/28 17:23:27+00,,000705,{3DE12024-4670-44AC-941C-BE00E9A710A4},0.0
328936.0803,4384876.2261,4469,000716,Lower Sprig Gulch Pond,,,,8.0,NATURAL POND OR RESERVOIR,CO,COG02000,,,,{8CE9E07C-D164-442E-B8BD-8B85A46EE07F},,,2015/04/08 21:18:13+00,2022/07/28 17:23:27+00,,000716,{793CB46C-B8E4-4F7F-9C66-786A2ED0EA99},0.0
327511.5199,4382138.11,4470,000710,U Spring Gulch Pond A,,,,8.0,NATURAL POND OR RESERVOIR,CO,COG02000,,,,{56213BFE-1692-4CF3-B553-E475D5D8C9BD},,,2015/04/08 21:18:13+00,2022/07/28 17:23:27+00,,000710,{E270D777-EB7E-40AB-9449-D8BC6681EC50},0.0
