OBJECTID,COMMENT,STEWARD1,STEWARD2,SHAPE_Length,SHAPE_Area
333,,,,1486.73345994339,138114.388263093
334,,,,1581.34830184129,155571.35016392
335,,,,1533.4384755256,146939.064822446
336,,,,1588.99869831172,157436.762584605
337,,,,1609.22714723903,161681.117607816
338,,,,1607.06316829255,161265.085927217
339,,,,1604.90391989724,160849.070987957
340,,,,1602.74307339192,160431.652882016
341,,,,1586.89886019405,157177.959148713
342,,,,1588.0850086406,157400.829577387
343,,,,1589.84372168633,157741.578240738
344,,,,1591.03112830099,157964.441749667
345,,,,1596.17795307931,159008.33147071
346,,,,1597.5198749409,159267.582748542
347,,,,1598.86211911885,159526.693123632
348,,,,1600.20619775622,159785.978343223
349,,,,1598.00151094774,159342.002189791
350,,,,1595.10512144683,158786.923134247
351,,,,1591.99752614764,158305.603651704
352,,,,1586.11333759069,157059.537663171
353,,,,1572.63557519299,154466.284653348
354,,,,1554.2495603288,150939.734582007
355,Known survey issue,,,1502.76385917192,60716.040735007
356,Known survey issue,,,1600.91258635173,141056.541786873
357,Known survey issue,,,1363.56774105608,96447.5429614968
358,Known survey issue,,,1328.90266591225,92524.6435247273
359,Known survey issue,,,1612.58597024304,161507.194956516
360,Known survey issue,,,1405.55947168195,119409.38822469
361,Known survey issue,,,1455.35967546173,103370.321314533
362,Known survey issue,,,1549.05353975575,140479.510336537
363,Known survey issue,,,1534.72040661744,87283.4768925836
364,Known survey issue,,,1349.21991921994,110226.951021573
365,Known survey issue,,,1491.0257305052,143064.765441044
366,Known survey issue,,,1432.01697081611,123115.832633188
367,Known survey issue,,,1623.37910831977,164199.819870014
368,Known survey issue,,,226.462490947337,3027.09292527082
369,Known survey issue,,,3290.99285716137,287552.970392779
370,Known survey issue,,,10512.2132292949,1510910.02744031
371,G 34 & 35,BLM Cadastral - NM,,17643.8050768136,12398287.7079861
372,G 13A & 95,,,57469.8257632681,45049156.1129283
373,G 13A & 5,,,85213.9089167777,433137368.667898
374,Known survey issue,,,1544.09390924335,151534.789674765
375,Known survey issue,,,1333.00412582815,103264.691095581
376,Known survey issue,,,1410.37948291742,115209.359616976
377,Known survey issue,,,1742.63804520954,161744.12541231
378,G 1 & 29,,,121168.10013033,486552715.436069
379,G 1 & 16,,,28501.124969076,20848910.7899777
380,Known Survey Issue,,,2042.40093951872,186199.485743818
381,,,,1503.751490514,65023.2449296101
382,,,,1688.00386998166,123524.566700404
383,,,,1585.18289844371,92929.0553538638
384,,,,12898.6370064394,5855573.39589414
385,G 9 & 32,,,43150.581883421,64207503.824006
386,G 9 & 20,,,22985.8785515375,22543974.6462904
387,G 32 & 58,,,15000.9348827437,10098786.1895985
388,G 24 & 44,,,7309.9174767243,2764298.65007606
389,G 25 & 182,,,802.462091068404,11205.9268381924
390,G 135 & 182,,,1917.14354847649,115002.848946738
391,,,,1653.18259880202,170285.138429561
392,,,,1664.29300147066,172607.716291665
393,,,,1663.03198047056,172289.0170117
394,,,,1526.53657329959,71195.4433575132
395,,,,1607.8878407735,162511.926748253
396,,,,1605.52349010337,129547.704921607
397,,,,1744.69782203857,102063.155607833
398,,,,1191.00057551659,60849.6636895049
